date,month,weekday,expert,model,target_label,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_machine_count,top1_avg_diff_per_machine,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,confidence_band,operational_pick_tail,operational_pick_source,operational_pick_pred,operational_pick_actual_raw_diff,operational_pick_in_actual_top2,top1_is_avoid,top2_is_avoid,hit_at_2,hit_at_3
2026-01-07,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.45259320349902055,-11200.0,32.0,-350.0,0.5,0.45259320349902055,9,0.021948504499203058,-5900.0,0.5,0.021948504499203058,0.4306446989998175,high,8,top1_default,0.45259320349902055,-11200.0,0,0,0,0.0,1.0
2026-01-07,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.8094960123181869,-6600.0,21.0,-314.2857142857143,0.5,0.8094960123181869,6,0.04138317713106871,-1500.0,0.5,0.04138317713106871,0.7681128351871181,high,4,top1_default,0.8094960123181869,-6600.0,0,0,0,0.0,0.0
2026-01-07,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,5,0.1939951372896455,-13600.0,16.0,-850.0,0.5,0.1939951372896455,6,0.1078629199764382,-17600.0,0.5,0.1078629199764382,0.08613221731320729,low,5,top1_default,0.1939951372896455,-13600.0,0,0,0,0.0,0.0
2026-01-08,2026-01,Thursday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,1,0.7143617038093957,-2700.0,4.0,-675.0,0.5,0.7143617038093957,2,0.073778846205614,-1400.0,0.5,0.073778846205614,0.6405828576037816,high,1,top1_default,0.7143617038093957,-2700.0,0,0,0,0.0,0.0
2026-01-08,2026-01,Thursday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,9,0.09564003933434789,-1500.0,32.0,-46.875,0.5,0.09564003933434789,3,0.0904079036169826,-2700.0,0.5,0.0904079036169826,0.005232135717365291,low,9,top1_default,0.09564003933434789,-1500.0,0,0,0,0.0,0.0
2026-01-08,2026-01,Thursday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,0,0.9287862665591661,-3400.0,21.0,-161.9047619047619,0.5,0.9287862665591661,8,0.13181413219638613,-600.0,0.5,0.13181413219638613,0.7969721343627799,high,0,top1_default,0.9287862665591661,-3400.0,0,0,0,0.0,0.0
2026-01-08,2026-01,Thursday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.9978094014961559,-31300.0,15.0,-2086.6666666666665,0.5,0.9978094014961559,3,0.9936794180892776,-15900.0,0.5,0.9936794180892776,0.0041299834068783126,low,9,top1_default,0.9978094014961559,-31300.0,0,0,0,0.0,0.0
2026-01-09,2026-01,Friday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.9497245172433617,-4100.0,3.0,-1366.6666666666667,0.5,0.9497245172433617,2,0.9216176839624821,-2200.0,0.5,0.9216176839624821,0.028106833280879595,low,8,top1_default,0.9497245172433617,-4100.0,0,0,0,0.0,0.0
2026-01-09,2026-01,Friday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.9934230859750637,-29100.0,32.0,-909.375,0.5,0.9934230859750637,1,0.6826980478283133,-11400.0,0.5,0.6826980478283133,0.31072503814675034,high,8,top1_default,0.9934230859750637,-29100.0,0,0,0,0.0,0.0
2026-01-09,2026-01,Friday,3F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,2,0.9566422417805039,-10100.0,22.0,-459.09090909090907,0.5,0.9566422417805039,4,0.19091468280802973,-1700.0,0.5,0.19091468280802973,0.7657275589724742,high,2,top1_default,0.9566422417805039,-10100.0,0,0,0,0.0,0.0
2026-01-09,2026-01,Friday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.0019503319395539872,5400.0,15.0,360.0,0.5,0.0019503319395539872,3,0.0015656502440856064,4600.0,0.5,0.0015656502440856064,0.0003846816954683808,undefined,3,top2_on_undefined,0.0015656502440856064,4600.0,0,0,0,0.0,0.0
2026-01-10,2026-01,Saturday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.05483835912944824,-1400.0,3.0,-466.6666666666667,0.5,0.05483835912944824,8,0.034620679503195965,-700.0,0.5,0.034620679503195965,0.020217679626252275,low,4,top1_default,0.05483835912944824,-1400.0,0,0,0,0.0,0.0
2026-01-10,2026-01,Saturday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.07404073435879599,2100.0,32.0,65.625,0.5,0.07404073435879599,1,0.0204579067837739,800.0,0.5,0.0204579067837739,0.053582827575022085,low,8,top1_default,0.07404073435879599,2100.0,0,0,0,0.0,0.0
2026-01-10,2026-01,Saturday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,6,0.9868446322424095,-4700.0,20.0,-235.0,0.5,0.9868446322424095,5,0.9823271401421945,-5200.0,0.5,0.9823271401421945,0.004517492100215015,low,6,top1_default,0.9868446322424095,-4700.0,0,0,0,0.0,0.0
2026-01-10,2026-01,Saturday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,5,0.9950289980787075,-25100.0,16.0,-1568.75,0.5,0.9950289980787075,9,0.3442947887495162,-16600.0,0.5,0.3442947887495162,0.6507342093291912,high,5,top1_default,0.9950289980787075,-25100.0,0,0,0,0.0,0.0
2026-01-11,2026-01,Sunday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,1,0.997508234824763,-5200.0,4.0,-1300.0,0.5,0.997508234824763,8,0.028415857760479744,-1600.0,0.5,0.028415857760479744,0.9690923770642833,high,1,top1_default,0.997508234824763,-5200.0,0,0,0,0.0,0.0
2026-01-11,2026-01,Sunday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,2,0.5755936264343678,-11400.0,32.0,-356.25,0.5,0.5755936264343678,8,0.0446497803621977,1800.0,0.5,0.0446497803621977,0.5309438460721702,high,2,top1_default,0.5755936264343678,-11400.0,0,0,0,0.0,0.0
2026-01-11,2026-01,Sunday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,3,0.9444416664706982,-4500.0,21.0,-214.28571428571428,0.5,0.9444416664706982,5,0.9081542044809815,-5300.0,0.5,0.9081542044809815,0.03628746198971666,low,3,top1_default,0.9444416664706982,-4500.0,0,0,0,0.0,0.0
2026-01-11,2026-01,Sunday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,1,0.9978904647917604,-25000.0,15.0,-1666.6666666666667,0.5,0.9978904647917604,2,0.8874000670162424,-21500.0,0.5,0.8874000670162424,0.11049039777551795,medium,1,top1_default,0.9978904647917604,-25000.0,0,0,0,0.0,0.0
2026-01-12,2026-01,Monday,2F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,0,0.9930819554932215,-4900.0,3.0,-1633.3333333333333,0.5,0.9930819554932215,9,0.18189917964057253,-2000.0,0.5,0.18189917964057253,0.811182775852649,high,0,top1_default,0.9930819554932215,-4900.0,0,0,0,0.0,0.0
2026-01-12,2026-01,Monday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.9943579015651699,-22000.0,32.0,-687.5,0.5,0.9943579015651699,5,0.4211079547451997,-7700.0,0.5,0.4211079547451997,0.5732499468199702,high,4,top1_default,0.9943579015651699,-22000.0,0,0,0,0.0,0.0
2026-01-12,2026-01,Monday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.9984500077584346,-10400.0,21.0,-495.23809523809524,0.5,0.9984500077584346,3,0.9925426607982033,-5000.0,0.5,0.9925426607982033,0.005907346960231319,low,9,top1_default,0.9984500077584346,-10400.0,0,0,0,0.0,0.0
2026-01-12,2026-01,Monday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,2,0.9844694440056573,-30700.0,15.0,-2046.6666666666667,0.5,0.9844694440056573,1,0.3437503578970466,-15500.0,0.5,0.3437503578970466,0.6407190861086107,high,2,top1_default,0.9844694440056573,-30700.0,0,0,0,0.0,0.0
2026-01-13,2026-01,Tuesday,2F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,1.0,8,0.9904107938085863,-3500.0,3.0,-1166.6666666666667,0.5,0.9904107938085863,5,0.969350375445237,-6200.0,0.5,0.969350375445237,0.021060418363349376,low,8,top1_default,0.9904107938085863,-3500.0,0,0,0,0.0,0.0
2026-01-13,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,4,0.9954342871499848,-35200.0,32.0,-1100.0,0.5,0.9954342871499848,6,0.9931927973368402,-25900.0,0.5,0.9931927973368402,0.002241489813144648,low,4,top1_default,0.9954342871499848,-35200.0,0,0,0,0.0,0.0
2026-01-13,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.9961094096446234,-10400.0,21.0,-495.23809523809524,0.5,0.9961094096446234,0,0.8433176240862926,-2800.0,0.5,0.8433176240862926,0.15279178555833073,medium,9,top1_default,0.9961094096446234,-10400.0,0,0,0,0.0,0.0
2026-01-13,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,1,0.9968545246175422,-22400.0,15.0,-1493.3333333333333,0.5,0.9968545246175422,0,0.9774535927516746,-16100.0,0.5,0.9774535927516746,0.019400931865867554,low,1,top1_default,0.9968545246175422,-22400.0,0,0,0,0.0,0.0
2026-01-14,2026-01,Wednesday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,2,0.9722632489834439,-3900.0,3.0,-1300.0,0.5,0.9722632489834439,9,0.006224786947355731,6500.0,0.5,0.006224786947355731,0.9660384620360881,high,2,top1_default,0.9722632489834439,-3900.0,0,0,0,1.0,1.0
2026-01-14,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,3,0.9291180205009244,-16000.0,32.0,-500.0,0.5,0.9291180205009244,6,0.9265205536359264,-23800.0,0.5,0.9265205536359264,0.002597466864997955,low,3,top1_default,0.9291180205009244,-16000.0,0,0,0,0.0,0.0
2026-01-14,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.9328083036343459,-7300.0,21.0,-347.6190476190476,0.5,0.9328083036343459,2,0.005873195457145976,-800.0,0.5,0.005873195457145976,0.9269351081771999,high,4,top1_default,0.9328083036343459,-7300.0,0,0,0,0.0,0.0
2026-01-14,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.8798595217003254,-17800.0,15.0,-1186.6666666666667,0.5,0.8798595217003254,8,0.14813730000574948,-10500.0,0.5,0.14813730000574948,0.731722221694576,high,4,top1_default,0.8798595217003254,-17800.0,0,0,0,0.0,0.0
2026-01-15,2026-01,Thursday,2F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,1.0,2,0.7008385390618466,-2800.0,3.0,-933.3333333333334,0.5,0.7008385390618466,0,0.028656033746881557,-1900.0,0.5,0.028656033746881557,0.672182505314965,high,2,top1_default,0.7008385390618466,-2800.0,0,0,0,0.0,0.0
2026-01-15,2026-01,Thursday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,5,0.9726268947025607,-20900.0,31.0,-674.1935483870968,0.5,0.9726268947025607,6,0.6369458934677379,-6700.0,0.5,0.6369458934677379,0.3356810012348228,high,5,top1_default,0.9726268947025607,-20900.0,0,0,0,0.0,0.0
2026-01-15,2026-01,Thursday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,2,0.8332668014829219,-3300.0,22.0,-150.0,0.5,0.8332668014829219,6,0.28173082835979285,-1800.0,0.5,0.28173082835979285,0.5515359731231291,high,2,top1_default,0.8332668014829219,-3300.0,0,0,0,0.0,0.0
2026-01-15,2026-01,Thursday,3F_N,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,0,0.985361684440027,-16200.0,16.0,-1012.5,0.5,0.985361684440027,9,0.9647478090160809,-14000.0,0.5,0.9647478090160809,0.020613875423946104,low,0,top1_default,0.985361684440027,-16200.0,0,0,0,0.0,1.0
2026-01-16,2026-01,Friday,2F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,0,0.9964634904850823,-3500.0,3.0,-1166.6666666666667,0.5,0.9964634904850823,7,0.08411555857084162,-1900.0,0.5,0.08411555857084162,0.9123479319142407,high,0,top1_default,0.9964634904850823,-3500.0,0,0,0,0.0,0.0
2026-01-16,2026-01,Friday,2F_N,xgb_ranker_ndcg,is_worst_1,recent_60d,1.25,7,0.599680213821563,-4400.0,32.0,-137.5,0.5,0.599680213821563,3,0.1405203348167918,900.0,0.5,0.1405203348167918,0.4591598790047712,high,7,top1_default,0.599680213821563,-4400.0,0,0,0,0.0,0.0
2026-01-16,2026-01,Friday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,2,0.92672861435413,-4500.0,22.0,-204.54545454545453,0.5,0.92672861435413,0,0.30829729185341737,-1600.0,0.5,0.30829729185341737,0.6184313225007126,high,2,top1_default,0.92672861435413,-4500.0,0,0,0,0.0,0.0
2026-01-16,2026-01,Friday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,6,0.9487729440026694,-22000.0,16.0,-1375.0,0.5,0.9487729440026694,0,0.0013293111828438465,12300.0,0.5,0.0013293111828438465,0.9474436328198256,high,6,top1_default,0.9487729440026694,-22000.0,0,0,0,0.0,0.0
2026-01-17,2026-01,Saturday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,0,0.9739862690412753,-3300.0,3.0,-1100.0,0.5,0.9739862690412753,1,0.7490767717515076,-3300.0,0.5,0.7490767717515076,0.22490949728976772,medium,0,top1_default,0.9739862690412753,-3300.0,0,0,0,0.0,0.0
2026-01-17,2026-01,Saturday,2F_N,xgb_ranker_ndcg,is_worst_1,recent_60d,1.25,4,0.981885951428384,-30600.0,32.0,-956.25,0.5,0.981885951428384,1,0.8835104540105538,-19200.0,0.5,0.8835104540105538,0.09837549741783014,low,4,top1_default,0.981885951428384,-30600.0,0,0,0,0.0,0.0
2026-01-17,2026-01,Saturday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,4,0.6361144057573377,-3600.0,21.0,-171.42857142857142,0.5,0.6361144057573377,0,0.26476915642491006,-1300.0,0.5,0.26476915642491006,0.37134524933242763,high,4,top1_default,0.6361144057573377,-3600.0,0,0,0,0.0,0.0
2026-01-17,2026-01,Saturday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,8,0.9978860988534142,-37800.0,15.0,-2520.0,0.5,0.9978860988534142,6,0.9861112245531685,-30800.0,0.5,0.9861112245531685,0.011774874300245708,low,8,top1_default,0.9978860988534142,-37800.0,0,0,0,0.0,0.0
2026-01-18,2026-01,Sunday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,1,0.9935714587420081,-4800.0,4.0,-1200.0,0.5,0.9935714587420081,8,0.984339806361645,-5000.0,0.5,0.984339806361645,0.009231652380363164,low,1,top1_default,0.9935714587420081,-4800.0,0,0,0,0.0,0.0
2026-01-18,2026-01,Sunday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.9533137132677542,-19500.0,32.0,-609.375,0.5,0.9533137132677542,5,0.940792312432617,-15800.0,0.5,0.940792312432617,0.012521400835137197,low,4,top1_default,0.9533137132677542,-19500.0,0,0,0,0.0,0.0
2026-01-18,2026-01,Sunday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,8,0.9918223454024817,-5100.0,21.0,-242.85714285714286,0.5,0.9918223454024817,6,0.9505461027768388,-6100.0,0.5,0.9505461027768388,0.04127624262564289,low,8,top1_default,0.9918223454024817,-5100.0,0,0,0,0.0,0.0
2026-01-18,2026-01,Sunday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,7,0.9908411369745478,-19000.0,15.0,-1266.6666666666667,0.5,0.9908411369745478,4,0.9879533561561872,-19900.0,0.5,0.9879533561561872,0.002887780818360608,low,7,top1_default,0.9908411369745478,-19000.0,0,0,0,0.0,0.0
2026-01-19,2026-01,Monday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.9950006290857826,-4100.0,3.0,-1366.6666666666667,0.5,0.9950006290857826,1,0.9845428125146348,-3700.0,0.5,0.9845428125146348,0.010457816571147749,low,8,top1_default,0.9950006290857826,-4100.0,0,0,0,0.0,0.0
2026-01-19,2026-01,Monday,2F_N,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,9,0.997392164123146,-44600.0,32.0,-1393.75,0.5,0.997392164123146,8,0.9502407575576721,-21500.0,0.5,0.9502407575576721,0.0471514065654739,low,9,top1_default,0.997392164123146,-44600.0,0,0,0,0.0,0.0
2026-01-19,2026-01,Monday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,5,0.9418362971098005,-3800.0,20.0,-190.0,0.5,0.9418362971098005,7,0.08484780310612768,100.0,0.5,0.08484780310612768,0.8569884940036728,high,5,top1_default,0.9418362971098005,-3800.0,0,0,0,0.0,0.0
2026-01-19,2026-01,Monday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,8,0.0686765578065634,-8200.0,15.0,-546.6666666666666,0.5,0.0686765578065634,3,0.03273596144396258,-8800.0,0.5,0.03273596144396258,0.035940596362600816,low,8,top1_default,0.0686765578065634,-8200.0,0,0,0,0.0,0.0
2026-01-20,2026-01,Tuesday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,4,0.6702349622392271,-2300.0,3.0,-766.6666666666666,0.5,0.6702349622392271,7,0.5127010741646403,-2200.0,0.5,0.5127010741646403,0.1575338880745868,medium,4,top1_default,0.6702349622392271,-2300.0,0,0,0,0.0,0.0
2026-01-20,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,6,0.05379669430473512,-1600.0,31.0,-51.61290322580645,0.5,0.05379669430473512,4,0.048448872047696254,3700.0,0.5,0.048448872047696254,0.0053478222570388645,low,6,top1_default,0.05379669430473512,-1600.0,0,0,0,0.0,0.0
