hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
蒲田1,9,other,69,28,41,0.4057971014492754,-0.8019022263905738,-1.9877675840978668
蒲田1,10,bt,12,6,6,0.5,2.9353470916239446,2.3575617753439495
蒲田1,10,hana,2,1,1,0.5,-3.7976284147545574,-3.7976284147545574
蒲田1,10,jug,9,2,7,0.2222222222222222,-1.4211035369841147,-1.6346614022493462
蒲田1,10,oki,4,2,2,0.5,-2.524977652105184,-0.09287962732230781
蒲田1,10,other,70,38,32,0.5428571428571428,0.1052027268942552,0.9579893152015497
蒲田1,11,bt,12,7,5,0.5833333333333334,12.7481674984846,11.771079544124877
蒲田1,11,hana,2,1,1,0.5,-0.5779314450575868,-0.5779314450575868
蒲田1,11,jug,9,3,6,0.3333333333333333,-0.7733204805349705,-0.8972739318677085
蒲田1,11,oki,4,2,2,0.5,-0.7142986107518006,-0.7590806894193882
蒲田1,11,other,70,44,26,0.6285714285714286,3.4211808007623414,2.9651458293701793
蒲田1,12,bt,11,6,5,0.5454545454545454,0.17151241953636287,0.21929824561403422
蒲田1,12,hana,2,2,0,1.0,1.6108235750227333,1.6108235750227333
蒲田1,12,jug,9,1,8,0.1111111111111111,-3.2193889806858476,-2.7639304309294346
蒲田1,12,oki,4,2,2,0.5,2.5484596175395158,0.06460095436333191
蒲田1,12,other,66,29,37,0.4393939393939394,-1.133874193145953,-1.978453827646387
蒲田1,13,bt,12,5,7,0.4166666666666667,1.8440146767621164,-4.745827843653933
蒲田1,13,hana,2,0,2,0.0,-5.5695280837130525,-5.5695280837130525
蒲田1,13,jug,9,7,2,0.7777777777777778,2.024498368037385,3.0367231638418097
蒲田1,13,oki,4,2,2,0.5,0.5693033521565667,-3.26104276499764
蒲田1,13,other,69,34,35,0.4927536231884058,0.14585871219558294,-0.22522522522522337
蒲田1,14,bt,12,5,7,0.4166666666666667,2.4293987915579955,-3.2534246575342465
蒲田1,14,hana,2,1,1,0.5,-0.7383163688747505,-0.7383163688747505
蒲田1,14,jug,9,3,6,0.3333333333333333,-1.0589907398992975,-1.3934333320739043
蒲田1,14,oki,4,3,1,0.75,8.644633876716869,2.5095013250586433
蒲田1,14,other,64,29,35,0.453125,-1.3092638585173626,-0.54191838767224
蒲田1,15,bt,12,6,6,0.5,1.7513561098388424,-0.40865300402873217
蒲田1,15,hana,2,2,0,1.0,6.669967714606278,6.669967714606278
蒲田1,15,jug,9,4,5,0.4444444444444444,-0.45822900443356374,-1.4847421599398345
蒲田1,15,oki,3,0,3,0.0,-3.912836682175282,-4.059370529327616
蒲田1,15,other,67,28,39,0.417910447761194,-0.48408046898594337,-2.7650523560209415
蒲田1,16,bt,12,4,8,0.3333333333333333,-6.77812707037963,-4.758643593149751
蒲田1,16,hana,2,1,1,0.5,-4.772283604526029,-4.772283604526029
蒲田1,16,jug,9,3,6,0.3333333333333333,-1.8990225948185027,-1.7378516269210778
蒲田1,16,oki,4,0,4,0.0,-6.389557449752517,-6.1770491872017015
蒲田1,16,other,67,19,48,0.2835820895522388,-2.4063201845174587,-2.8217679239850213
蒲田1,17,bt,12,3,9,0.25,-4.405162559257226,-4.171717171717173
蒲田1,17,hana,2,2,0,1.0,1.0887352216090775,1.0887352216090775
蒲田1,17,jug,9,7,2,0.7777777777777778,1.7051641890968368,1.6380759583990994
蒲田1,17,oki,4,1,3,0.25,-4.9463289955801475,-5.228576774980997
蒲田1,17,other,70,33,37,0.4714285714285714,-1.4777963631718267,-0.9125558207228259
蒲田1,18,bt,11,6,5,0.5454545454545454,5.138451303587549,8.275862068965516
蒲田1,18,hana,2,0,2,0.0,-4.145250202249763,-4.145250202249763
蒲田1,18,jug,9,5,4,0.5555555555555556,-0.5149747819274464,0.9739317491297079
蒲田1,18,oki,4,1,3,0.25,1.3341670316380752,-3.1202042949235125
蒲田1,18,other,64,34,30,0.53125,0.04016477026893667,0.28685179655618676
蒲田1,19,bt,11,5,6,0.45454545454545453,-0.3052315732504095,-1.724137931034484
蒲田1,19,hana,2,1,1,0.5,-1.3843830579608127,-1.3843830579608127
蒲田1,19,jug,9,2,7,0.2222222222222222,-2.890014709193541,-2.1847404172731686
蒲田1,19,oki,4,3,1,0.75,12.227798685290026,13.031132638419066
蒲田1,19,other,63,35,28,0.5555555555555556,1.5929563582615751,0.5491488193300356
蒲田1,20,bt,11,6,5,0.5454545454545454,-0.4750513553696562,0.9009009009008935
蒲田1,20,hana,2,2,0,1.0,0.9464587988448514,0.9464587988448514
蒲田1,20,jug,9,1,8,0.1111111111111111,-3.076564525491592,-2.60828490822243
蒲田1,20,oki,3,1,2,0.3333333333333333,-1.1845478857750287,-0.4179139466945543
蒲田1,20,other,65,27,38,0.4153846153846154,-1.3935770131508372,-2.3474178403755914
蒲田1,21,bt,11,3,8,0.2727272727272727,-6.56324346628904,-7.120336311087758
蒲田1,21,hana,2,1,1,0.5,-0.45888382600996813,-0.45888382600996813
蒲田1,21,jug,9,5,4,0.5555555555555556,0.0867000771111507,2.0084420886024077
蒲田1,21,oki,4,3,1,0.75,4.022334244211849,2.549840289347518
蒲田1,21,other,66,31,35,0.4696969696969697,-1.297900600757824,-0.8881513778562198
蒲田1,22,bt,11,3,8,0.2727272727272727,-3.49897187929018,-7.120336311087758
蒲田1,22,hana,2,2,0,1.0,5.017306650180506,5.017306650180506
蒲田1,22,jug,9,5,4,0.5555555555555556,-0.4177003544841054,0.17724603965880092
蒲田1,22,oki,4,0,4,0.0,-6.1337081648276675,-5.6405465595759186
蒲田1,22,other,67,38,29,0.5671641791044776,2.3553773904153443,1.057863599375402
蒲田1,23,bt,11,3,8,0.2727272727272727,-0.8579512837241322,-11.506849315068493
蒲田1,23,hana,2,1,1,0.5,-0.8304566975828429,-0.8304566975828429
蒲田1,23,jug,9,3,6,0.3333333333333333,-0.8649542325762462,-2.1465985410842237
蒲田1,23,oki,4,1,3,0.25,-4.450189644536855,-3.1946591136884717
蒲田1,23,other,62,30,32,0.4838709677419355,-0.787849152842964,-0.6044263910044929
蒲田1,24,bt,11,7,4,0.6363636363636364,7.3743719485991,4.747474747474747
蒲田1,24,hana,2,1,1,0.5,1.3128248574634185,1.3128248574634185
蒲田1,24,jug,9,1,8,0.1111111111111111,-2.2903192183755667,-2.845251732866977
蒲田1,24,oki,4,1,3,0.25,-4.984250835062576,-7.018992674864139
蒲田1,24,other,61,24,37,0.39344262295081966,-1.1795781310425413,-1.7494649538599916
蒲田1,25,bt,11,5,6,0.45454545454545453,1.9444231095593543,-8.114035087719294
蒲田1,25,hana,2,1,1,0.5,-1.2239623058123748,-1.2239623058123748
蒲田1,25,jug,9,7,2,0.7777777777777778,1.850195135870639,2.950863290210769
蒲田1,25,oki,4,2,2,0.5,-1.9807011087064899,0.13137442973637725
蒲田1,25,other,61,25,36,0.4098360655737705,-1.3250709101909681,-1.669121256750124
蒲田1,26,bt,10,5,5,0.5,4.993663775313644,1.9473042213316845
蒲田1,26,hana,2,1,1,0.5,-4.165250688661592,-4.165250688661592
蒲田1,26,jug,9,2,7,0.2222222222222222,-2.5277972154881603,-3.1465512992216347
蒲田1,26,oki,4,2,2,0.5,-1.3065176507504468,-1.7372008474384675
蒲田1,26,other,62,26,36,0.41935483870967744,-1.2183987889371455,-1.9196715991489484
蒲田1,27,bt,11,2,9,0.18181818181818182,-7.434922292513321,-7.364649681528661
蒲田1,27,hana,2,2,0,1.0,3.3926567902365274,3.3926567902365274
蒲田1,27,jug,9,6,3,0.6666666666666666,2.1729576899480607,0.6338383838383805
蒲田1,27,oki,4,1,3,0.25,-12.129411530919864,-8.73578465481401
蒲田1,27,other,67,33,34,0.4925373134328358,0.6461393914879885,-0.17048435041090926
蒲田1,28,bt,11,8,3,0.7272727272727273,7.061502999366513,3.209109730848855
蒲田1,28,hana,2,1,1,0.5,-3.792217159343304,-3.792217159343304
蒲田1,28,jug,9,3,6,0.3333333333333333,-1.3395559714991505,-1.5094739070604426
蒲田1,28,oki,3,1,2,0.3333333333333333,-2.0018294263404393,-3.7720142074885317
蒲田1,28,other,65,32,33,0.49230769230769234,0.878080089722632,-0.5177789455246113
蒲田1,29,bt,11,4,7,0.36363636363636365,-3.739362801499286,-12.170841361592807
蒲田1,29,hana,2,1,1,0.5,-0.5094382943726572,-0.5094382943726572
蒲田1,29,jug,9,1,8,0.1111111111111111,-3.1554608015061785,-2.5625706442757945
蒲田1,29,oki,4,4,0,1.0,12.633230367944943,11.977922377690223
蒲田1,29,other,58,22,36,0.3793103448275862,0.7013880070748739,-1.9456603190999378
蒲田1,30,bt,11,5,6,0.45454545454545453,-1.355484053984174,-3.0377266046055844
蒲田1,30,hana,2,1,1,0.5,-1.9005120902188768,-1.9005120902188768
蒲田1,30,jug,9,9,0,1.0,7.7368950440625355,6.6478342749529205
蒲田1,30,oki,4,4,0,1.0,8.212177736365994,7.346343430321802
蒲田1,30,other,64,39,25,0.609375,2.9444861422016713,2.2923244918400094
蒲田1,31,bt,8,4,4,0.5,0.7520309551206883,-2.5867369345630244
蒲田1,31,hana,2,1,1,0.5,-1.0089659278162095,-1.0089659278162095
蒲田1,31,jug,9,6,3,0.6666666666666666,0.288923854625873,1.2084731267679771
蒲田1,31,oki,4,0,4,0.0,-9.17694021981478,-9.21197513100449
蒲田1,31,other,52,33,19,0.6346153846153846,2.667586096067966,1.784942870825173
