hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
ヒロキ,10,jug,8,3,5,0.375,-0.9790743910884459,-3.059730740060596
ヒロキ,10,other,72,34,38,0.4722222222222222,-0.04096946751541965,-0.5438970646004488
ヒロキ,11,bt,21,6,15,0.2857142857142857,-2.0207258185709303,-1.8022328548644317
ヒロキ,11,jug,8,7,1,0.875,1.2740653521207075,1.5364423859165353
ヒロキ,11,other,79,46,33,0.5822784810126582,2.7752011681295077,1.512605042016805
ヒロキ,12,bt,20,10,10,0.5,4.441284078147386,-0.7961570593149556
ヒロキ,12,jug,8,5,3,0.625,1.3172931468160711,1.4483348135705523
ヒロキ,12,other,71,32,39,0.4507042253521127,-2.1513173102755214,-1.0031347962382497
ヒロキ,13,bt,19,13,6,0.6842105263157895,3.9719838873468714,4.425249169435219
ヒロキ,13,jug,8,5,3,0.625,2.20929959348039,2.5045904791742863
ヒロキ,13,other,74,35,39,0.47297297297297297,-1.676792349876643,-1.7901557850223817
ヒロキ,14,bt,22,10,12,0.45454545454545453,-2.583862459566861,-2.859688764420028
ヒロキ,14,jug,8,6,2,0.75,2.2681280954951264,0.9406231117047668
ヒロキ,14,other,69,36,33,0.5217391304347826,1.3277850572581102,0.43790546802595287
ヒロキ,15,bt,19,8,11,0.42105263157894735,-0.6931626350586462,-3.5353535353535364
ヒロキ,15,jug,8,6,2,0.75,2.6556207678153463,2.795829324967345
ヒロキ,15,other,69,38,31,0.5507246376811594,1.0896692425711407,0.5948797339525846
ヒロキ,16,bt,21,11,10,0.5238095238095238,0.2068829220971441,0.6365152706148507
ヒロキ,16,jug,8,6,2,0.75,1.0964163767763808,1.808516740922041
ヒロキ,16,other,79,45,34,0.569620253164557,0.6436215556095051,1.2937673053376209
ヒロキ,17,bt,20,12,8,0.6,3.450453815296888,4.219492392954212
ヒロキ,17,jug,8,4,4,0.5,-0.7717226488234148,-0.566001675378768
ヒロキ,17,other,70,31,39,0.44285714285714284,-0.0003061911839240951,-1.5679699137858183
ヒロキ,18,bt,20,11,9,0.55,-0.1973172408533804,1.6938587684069581
ヒロキ,18,jug,8,2,6,0.25,-1.857047495270944,-2.3406202709759025
ヒロキ,18,other,68,32,36,0.47058823529411764,2.605521232578916,-0.2933031379201019
ヒロキ,19,bt,21,11,10,0.5238095238095238,2.6479251636908634,0.1025290498974698
ヒロキ,19,jug,8,2,6,0.25,-1.4800369968582792,-3.356070282163488
ヒロキ,19,other,71,33,38,0.4647887323943662,0.43520812541141435,-0.5841924398625444
ヒロキ,20,bt,22,10,12,0.45454545454545453,-1.7331881692937865,-0.3880665135887966
ヒロキ,20,jug,8,2,6,0.25,-2.7093268239642487,-0.9755766763148621
ヒロキ,20,other,70,32,38,0.45714285714285713,-1.1424493231935315,-1.6670361338949231
ヒロキ,21,bt,20,12,8,0.6,2.637121253570027,4.918128654970754
ヒロキ,21,jug,8,7,1,0.875,2.869045086693058,3.2471254584756117
ヒロキ,21,other,73,30,43,0.410958904109589,-2.1105702312712875,-2.0568816658202174
ヒロキ,22,bt,21,14,7,0.6666666666666666,2.2917779232948945,2.8363895635124052
ヒロキ,22,jug,8,4,4,0.5,-3.099691108068872,-1.6489305688142277
ヒロキ,22,other,74,31,43,0.4189189189189189,-0.7229950979822191,-2.314961685576975
ヒロキ,23,bt,22,14,8,0.6363636363636364,-0.42804422555839816,3.0468716877560773
ヒロキ,23,jug,8,4,4,0.5,0.9551597644343528,-0.11914848216014917
ヒロキ,23,other,71,38,33,0.5352112676056338,1.2032109348702171,0.7092198581560325
ヒロキ,24,bt,21,9,12,0.42857142857142855,-3.449223247968721,-4.977777777777781
ヒロキ,24,jug,8,2,6,0.25,-0.5258050349507641,-1.7067698077291436
ヒロキ,24,other,68,37,31,0.5441176470588235,0.7203797657704666,1.2608719331854168
ヒロキ,25,bt,22,12,10,0.5454545454545454,0.08530788912709122,1.570495294179505
ヒロキ,25,jug,8,5,3,0.625,0.9782673825838875,1.1592668223385392
ヒロキ,25,other,70,26,44,0.37142857142857144,-1.5935489105738252,-2.1262392429223134
ヒロキ,26,bt,22,8,14,0.36363636363636365,-2.698617943036022,-6.910967390226981
ヒロキ,26,jug,8,5,3,0.625,1.1395799000735332,0.39578953390023486
ヒロキ,26,other,76,33,43,0.4342105263157895,-1.2101783504949504,-1.2554042656844455
ヒロキ,27,bt,21,9,12,0.42857142857142855,-2.2661028141366106,-3.2710622710622665
ヒロキ,27,jug,8,4,4,0.5,3.366871528627321,1.491056423461723
ヒロキ,27,other,75,33,42,0.44,0.5645566669523345,-1.2987012987012996
ヒロキ,28,bt,20,7,13,0.35,-1.3438224190191048,-3.116428173919388
ヒロキ,28,jug,8,3,5,0.375,-2.684834144036206,-1.9568593589500125
ヒロキ,28,other,70,32,38,0.45714285714285713,-0.6066560383049886,-1.0191642996115302
ヒロキ,29,bt,20,9,11,0.45,-1.823783311911591,-4.007646183620274
ヒロキ,29,jug,8,2,6,0.25,-2.478179289362751,-2.7978384514907813
ヒロキ,29,other,67,38,29,0.5671641791044776,2.15240206529386,3.3742929588453237
ヒロキ,30,bt,21,10,11,0.47619047619047616,0.28603791745067975,-0.30202355783751145
ヒロキ,30,jug,8,6,2,0.75,4.540157431106612,5.435042072190942
ヒロキ,30,other,72,40,32,0.5555555555555556,0.4653410585772938,0.5335797228727568
ヒロキ,31,bt,17,11,6,0.6470588235294118,4.250357193689283,3.238636363636367
ヒロキ,31,jug,8,1,7,0.125,-2.797221011962029,-2.0149924858098327
ヒロキ,31,other,62,30,32,0.4838709677419355,0.048319861399493694,-0.10026737967914556
