hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
みとや,17,jug,8,7,1,0.875,3.258799971397677,3.6896475164307017
みとや,17,oki,3,0,3,0.0,-7.856983997836408,-8.058672276764842
みとや,17,other,55,30,25,0.5454545454545454,1.5085560130638447,1.1904761904761862
みとや,18,bt,14,7,7,0.5,-4.943245240813772,-1.5351775956284222
みとや,18,hana,1,0,1,0.0,-5.194805194805198,-5.194805194805198
みとや,18,jug,8,4,4,0.5,-1.0302315168161993,-0.08404540761827839
みとや,18,oki,3,1,2,0.3333333333333333,-1.4898816013222447,-1.5276720669783543
みとや,18,other,58,23,35,0.39655172413793105,-2.0534574214673027,-1.8316442437186264
みとや,19,bt,14,8,6,0.5714285714285714,0.29965272533854087,0.27423469387754906
みとや,19,hana,1,1,0,1.0,9.090909090909086,9.090909090909086
みとや,19,jug,8,5,3,0.625,1.2992013127692474,1.7107115859184212
みとや,19,oki,3,0,3,0.0,-10.093456973632511,-5.214215177373202
みとや,19,other,59,30,29,0.5084745762711864,0.9770437317063327,0.36201615148983635
みとや,20,bt,14,7,7,0.5,0.5447297663738071,-0.14971784001198785
みとや,20,hana,1,0,1,0.0,-11.78821178821179,-11.78821178821179
みとや,20,jug,8,2,6,0.25,-2.569078062391162,-2.4292052266375226
みとや,20,oki,3,2,1,0.6666666666666666,1.7335275663593646,5.189339061797476
みとや,20,other,55,27,28,0.4909090909090909,-0.12604836833477964,-0.4975124378109541
みとや,21,bt,14,7,7,0.5,2.2331915073093116,-0.5330939356727349
みとや,21,hana,1,0,1,0.0,-11.78821178821179,-11.78821178821179
みとや,21,jug,8,3,5,0.375,-0.45612926195302794,-0.3514901470212646
みとや,21,oki,3,1,2,0.3333333333333333,-1.8076012817870257,-0.628979256520843
みとや,21,other,56,21,35,0.375,-0.5043651355423925,-2.2689660974009502
みとや,22,bt,14,6,8,0.42857142857142855,1.5441427720420893,-1.9849532600418058
みとや,22,hana,1,0,1,0.0,-5.194805194805198,-5.194805194805198
みとや,22,jug,8,1,7,0.125,-1.6674347565840963,-2.4149873505937602
みとや,22,oki,3,0,3,0.0,-5.341422217568746,-3.605169732711321
みとや,22,other,55,20,35,0.36363636363636365,-2.4289546002287,-4.716312056737586
みとや,23,bt,14,7,7,0.5,0.31806025104504954,1.5610267952188366
みとや,23,hana,1,0,1,0.0,-5.194805194805198,-5.194805194805198
みとや,23,jug,8,0,8,0.0,-4.033057109348178,-4.08618260834027
みとや,23,oki,3,2,1,0.6666666666666666,3.4606798198274085,4.441327723235151
みとや,23,other,56,21,35,0.375,-3.3055714438401256,-2.95618559493753
みとや,24,bt,14,7,7,0.5,2.1944310906645277,0.71332491113656
みとや,24,hana,1,0,1,0.0,-5.194805194805198,-5.194805194805198
みとや,24,jug,8,6,2,0.75,3.872398789385295,4.424040857287581
みとや,24,oki,3,2,1,0.6666666666666666,3.336544695692286,9.56953285144029
みとや,24,other,58,33,25,0.5689655172413793,3.0903064691343216,1.7833262891302795
みとや,25,bt,14,6,8,0.42857142857142855,-4.55108120271528,-5.536789791972023
みとや,25,hana,1,0,1,0.0,-4.095904095904098,-4.095904095904098
みとや,25,jug,8,5,3,0.625,0.7576226074018471,0.34600439235029157
みとや,25,oki,3,3,0,1.0,9.35891202240744,5.890603085553995
みとや,25,other,54,15,39,0.2777777777777778,-3.5766057160577556,-4.902656039857291
みとや,26,bt,14,8,6,0.5714285714285714,4.148972398654112,1.131099431634695
みとや,26,hana,1,1,0,1.0,3.5964035964035936,3.5964035964035936
みとや,26,jug,8,3,5,0.375,-1.5652358857594797,-1.1611094050308957
みとや,26,oki,3,1,2,0.3333333333333333,-2.664099215399389,-8.892005610098177
みとや,26,other,55,21,34,0.38181818181818183,-2.574223159915343,-2.9475587703435835
みとや,27,bt,14,7,7,0.5,0.3327489536807996,-0.7011973334287411
みとや,27,hana,1,1,0,1.0,3.5964035964035936,3.5964035964035936
みとや,27,jug,8,6,2,0.75,1.1133226728845558,1.2084372682784998
みとや,27,oki,3,2,1,0.6666666666666666,0.2642530027109385,0.3630842355426509
