dd,kakuban_rank,machine_digit,n,avg_diff,plus_rate,hit104_rate
15,角N,6,24,342.0,58.3,45.8
23,中間,4,116,340.0,40.5,33.6
10,角1,9,35,340.0,37.1,28.6
23,角2,4,33,339.0,48.5,39.4
13,角1,5,48,338.0,37.5,33.3
22,中間,4,119,336.0,43.7,35.3
26,中間,2,110,336.0,44.5,38.2
6,角N,4,44,336.0,45.5,36.4
15,中間,6,131,335.0,45.0,35.9
22,中間,8,142,334.0,44.4,35.2
20,角N,4,43,333.0,44.2,39.5
13,角1,2,36,333.0,44.4,33.3
4,角1,5,44,332.0,47.7,36.4
22,角1,9,33,330.0,45.5,42.4
25,中間,0,108,329.0,41.7,38.0
16,中間,7,151,326.0,42.4,36.4
24,角2,6,44,320.0,40.9,34.1
3,中間,0,107,319.0,39.3,34.6
26,角N-1,3,43,319.0,41.9,34.9
21,角N,2,32,319.0,43.8,34.4
25,中間,6,120,316.0,35.8,31.7
18,角1,5,44,316.0,52.3,40.9
15,角N,4,48,315.0,47.9,41.7
5,角2,0,33,315.0,45.5,39.4
25,角1,5,44,314.0,43.2,34.1
19,角1,9,32,312.0,43.8,40.6
18,角1,1,21,310.0,42.9,38.1
22,角2,2,21,310.0,38.1,33.3
1,角2,3,33,309.0,39.4,33.3
26,中間,5,130,308.0,39.2,33.1
11,角N-1,3,48,308.0,39.6,33.3
11,中間,1,120,303.0,42.5,36.7
21,角N,1,31,303.0,48.4,41.9
13,中間,2,119,301.0,42.9,33.6
16,中間,5,139,300.0,44.6,34.5
23,角N-1,7,32,300.0,37.5,28.1
26,中間,6,117,298.0,41.9,35.9
8,角N-1,1,35,297.0,42.9,37.1
21,角N,4,43,295.0,41.9,34.9
18,角N-1,7,32,294.0,34.4,28.1
29,中間,9,130,293.0,33.1,26.9
18,中間,6,117,290.0,41.0,34.2
1,角N-1,5,21,290.0,38.1,28.6
14,中間,4,126,287.0,44.4,36.5
16,角N,1,36,286.0,50.0,38.9
6,角1,1,21,286.0,33.3,28.6
28,中間,8,140,285.0,39.3,36.4
9,角N,4,48,285.0,45.8,33.3
3,角N,8,33,285.0,45.5,39.4
13,角1,9,35,283.0,42.9,37.1
15,角N-1,7,35,283.0,45.7,34.3
29,角1,2,30,283.0,40.0,26.7
3,角1,3,33,282.0,48.5,48.5
9,中間,6,128,281.0,41.4,37.5
14,角2,6,48,281.0,39.6,31.2
14,中間,2,120,280.0,47.5,35.8
8,角2,4,35,280.0,45.7,37.1
26,中間,8,139,278.0,41.0,34.5
18,中間,9,138,278.0,40.6,33.3
13,角N,8,35,277.0,28.6,25.7
25,中間,9,140,275.0,39.3,33.6
14,角1,9,34,274.0,38.2,35.3
17,中間,7,156,273.0,41.0,35.9
2,角N-1,7,33,273.0,39.4,24.2
1,角1,1,21,271.0,42.9,42.9
31,角N-1,1,17,271.0,29.4,29.4
22,中間,6,121,268.0,38.8,33.1
20,中間,8,141,267.0,39.7,34.8
25,角N,1,33,267.0,48.5,39.4
16,角1,9,35,266.0,48.6,31.4
14,角N,4,48,265.0,39.6,33.3
29,角N-1,1,29,262.0,34.5,31.0
4,角2,4,33,261.0,30.3,27.3
31,中間,3,48,260.0,50.0,41.7
11,中間,6,131,259.0,39.7,32.1
27,中間,6,121,259.0,42.1,36.4
31,角1,2,17,259.0,47.1,23.5
18,角N,8,33,258.0,36.4,33.3
24,角1,5,44,257.0,38.6,36.4
13,角1,1,23,257.0,39.1,30.4
19,中間,5,132,256.0,38.6,31.8
8,角N,4,48,256.0,45.8,35.4
8,角N-1,3,47,255.0,46.8,38.3
26,角2,3,31,255.0,35.5,25.8
7,中間,4,118,253.0,44.9,37.3
30,角N-1,0,30,253.0,50.0,40.0
19,中間,1,109,250.0,37.6,33.9
2,角N-1,1,32,250.0,37.5,28.1
12,中間,5,119,248.0,36.1,27.7
5,中間,1,105,248.0,34.3,28.6
14,角1,5,47,247.0,44.7,40.4
10,中間,9,154,246.0,44.8,33.1
1,中間,4,119,245.0,44.5,31.1
1,中間,3,88,245.0,42.0,33.0
3,角2,4,33,245.0,30.3,27.3
4,角N-1,3,43,242.0,44.2,39.5
28,中間,9,138,241.0,42.8,34.1
6,角N-1,5,22,241.0,45.5,31.8
22,角1,5,44,239.0,43.2,38.6
7,中間,5,132,238.0,46.2,38.6
2,中間,4,118,238.0,46.6,38.1
22,中間,0,107,238.0,34.6,30.8
14,角N,1,34,238.0,44.1,32.4
25,中間,1,110,237.0,39.1,33.6
31,中間,1,60,237.0,35.0,31.7
26,中間,1,110,236.0,42.7,36.4
4,角N-1,7,33,236.0,33.3,30.3
11,中間,7,156,235.0,43.6,36.5
8,中間,6,129,235.0,36.4,32.6
29,中間,4,108,232.0,40.7,36.1
29,角N-1,0,30,230.0,36.7,26.7
3,中間,5,129,229.0,39.5,31.8
28,角1,3,32,228.0,28.1,25.0
19,角1,1,22,227.0,45.5,36.4
8,中間,5,142,221.0,41.5,33.1
16,中間,1,119,220.0,40.3,29.4
8,角2,0,36,219.0,41.7,38.9
14,角N-1,7,36,219.0,44.4,36.1
13,角1,3,36,217.0,44.4,38.9
21,角N-1,3,43,216.0,51.2,37.2
20,角N-1,5,22,214.0,40.9,27.3
1,中間,8,141,211.0,44.7,32.6
5,中間,4,118,211.0,36.4,30.5
14,角N,8,36,211.0,44.4,38.9
23,中間,6,117,210.0,46.2,41.0
26,中間,0,106,210.0,39.6,33.0
12,角2,3,30,210.0,36.7,26.7
28,中間,5,126,209.0,39.7,34.1
11,中間,3,95,209.0,36.8,31.6
3,角1,2,33,209.0,33.3,27.3
18,角2,2,22,209.0,40.9,36.4
14,角1,1,24,208.0,41.7,33.3
25,中間,5,130,207.0,37.7,31.5
9,中間,0,118,207.0,37.3,33.1
11,中間,9,156,206.0,39.1,34.6
14,中間,0,117,206.0,39.3,34.2
27,角2,6,44,205.0,43.2,29.5
12,角1,1,20,205.0,35.0,35.0
1,中間,6,121,204.0,40.5,34.7
29,中間,1,100,203.0,46.0,39.0
11,角2,0,36,203.0,44.4,33.3
20,中間,2,107,201.0,40.2,33.6
26,角2,2,21,200.0,23.8,23.8
4,中間,1,108,199.0,43.5,38.0
17,角2,4,36,197.0,41.7,38.9
31,中間,4,65,195.0,38.5,29.2
7,角2,2,22,195.0,45.5,45.5
16,中間,8,154,194.0,41.6,36.4
10,中間,0,119,194.0,37.8,32.8
30,角1,5,40,192.0,47.5,27.5
19,中間,7,140,191.0,35.7,30.0
13,角N,4,48,190.0,47.9,35.4
15,中間,0,119,187.0,38.7,34.5
24,角N,4,42,186.0,47.6,31.0
13,中間,4,127,182.0,32.3,30.7
1,角2,6,44,182.0,45.5,34.1
9,角N-1,7,34,182.0,44.1,23.5
18,中間,7,135,181.0,37.0,34.8
17,角N,4,48,181.0,47.9,37.5
9,角2,3,35,180.0,42.9,34.3
25,角2,3,33,179.0,33.3,27.3
17,中間,5,144,177.0,43.1,31.2
2,中間,9,141,177.0,37.6,32.6
28,角2,0,33,176.0,30.3,30.3
27,中間,2,110,175.0,45.5,40.0
28,角N-1,3,44,175.0,34.1,25.0
4,角N,4,43,174.0,48.8,37.2
27,中間,7,143,173.0,41.3,34.3
1,角1,9,33,173.0,45.5,33.3
1,中間,0,108,172.0,39.8,35.2
19,角N,1,32,172.0,40.6,34.4
13,中間,0,119,171.0,38.7,36.1
21,中間,3,87,171.0,33.3,31.0
5,角N-1,1,31,171.0,38.7,25.8
23,角1,1,21,171.0,42.9,33.3
30,中間,1,100,169.0,42.0,33.0
18,角2,0,33,167.0,27.3,27.3
29,角N,1,30,167.0,46.7,40.0
8,角2,2,24,167.0,29.2,29.2
29,角N-1,7,29,166.0,37.9,34.5
6,角N-1,3,44,164.0,43.2,29.5
11,角1,2,36,164.0,50.0,25.0
2,角N,1,33,164.0,45.5,30.3
4,角N,6,22,164.0,31.8,31.8
19,角N-1,5,22,164.0,45.5,31.8
19,中間,9,140,163.0,39.3,34.3
3,中間,1,110,162.0,40.9,31.8
23,角N,2,32,162.0,34.4,31.2
10,中間,7,153,161.0,37.9,30.7
1,角N-1,7,33,161.0,39.4,30.3
8,角2,3,35,160.0,40.0,25.7
1,角N-1,3,44,159.0,31.8,20.5
22,中間,2,110,158.0,40.0,29.1
20,中間,1,108,158.0,46.3,31.5
30,中間,4,108,152.0,38.9,34.3
6,角N-1,1,31,152.0,25.8,25.8
25,角2,2,21,152.0,33.3,23.8
3,中間,4,118,151.0,44.9,34.7
27,角N,4,43,151.0,39.5,39.5
12,角1,3,30,150.0,46.7,40.0
12,角N,1,30,150.0,43.3,23.3
24,角N,8,33,148.0,39.4,33.3
20,中間,7,141,147.0,36.9,30.5
17,中間,6,132,147.0,40.9,34.8
16,中間,6,128,146.0,35.9,32.8
16,中間,2,119,144.0,46.2,34.5
17,中間,0,118,142.0,39.8,33.9
12,中間,8,128,141.0,38.3,31.2
4,角N-1,5,22,141.0,40.9,31.8
28,角N-1,5,22,141.0,40.9,31.8
17,角1,9,35,140.0,37.1,25.7
14,中間,3,94,139.0,40.4,31.9
14,角N,6,24,138.0,54.2,33.3
10,中間,3,95,137.0,44.2,41.1
29,中間,5,117,135.0,47.0,36.8
15,角N-1,3,48,135.0,47.9,31.2
16,角1,5,47,134.0,34.0,21.3
18,中間,1,109,133.0,37.6,30.3
15,角1,5,48,133.0,43.8,31.2
3,角N-1,3,42,133.0,40.5,33.3
7,角2,0,33,133.0,51.5,45.5
16,中間,9,155,132.0,38.1,34.8
31,中間,6,66,132.0,42.4,33.3
5,角2,3,29,131.0,44.8,34.5
1,中間,9,143,130.0,37.8,29.4
4,角1,2,33,130.0,36.4,27.3
8,角1,1,23,130.0,26.1,26.1
9,中間,5,144,129.0,39.6,32.6
9,中間,4,126,127.0,39.7,34.9
28,角N,8,33,127.0,39.4,30.3
15,中間,9,155,125.0,39.4,32.3
14,中間,8,154,124.0,43.5,35.1
25,中間,3,88,120.0,35.2,30.7
2,角2,2,21,119.0,42.9,38.1
29,中間,2,99,117.0,41.4,35.4
22,角N-1,0,33,115.0,42.4,30.3
8,中間,0,119,112.0,35.3,31.1
29,角N-1,5,20,110.0,45.0,30.0
19,角1,5,44,109.0,38.6,31.8
6,角1,3,32,109.0,40.6,31.2
9,中間,8,153,108.0,33.3,28.8
25,角N-1,7,33,106.0,33.3,30.3
10,中間,5,141,100.0,37.6,29.1
5,角N-1,0,32,100.0,31.2,25.0
28,角2,4,32,97.0,34.4,31.2
28,中間,6,117,95.0,38.5,29.9
24,角N,6,22,95.0,36.4,27.3
15,中間,7,156,90.0,32.1,26.9
24,中間,9,143,90.0,39.9,33.6
12,角N-1,0,29,86.0,31.0,24.1
15,角1,2,34,82.0,41.2,29.4
27,角N-1,5,22,82.0,36.4,31.8
11,角1,5,48,79.0,43.8,31.2
15,角2,6,47,79.0,38.3,34.0
12,角2,4,29,79.0,31.0,31.0
27,中間,0,108,78.0,40.7,35.2
26,角1,3,32,78.0,37.5,31.2
7,角1,5,44,77.0,31.8,27.3
30,中間,0,98,76.0,35.7,34.7
20,角1,3,33,76.0,42.4,36.4
23,角2,6,44,75.0,40.9,31.8
4,角N-1,1,32,75.0,40.6,34.4
1,角N,4,43,74.0,51.2,39.5
18,角2,4,31,74.0,35.5,35.5
20,角N,6,22,73.0,36.4,22.7
15,中間,2,119,71.0,39.5,32.8
18,角N-1,3,42,71.0,35.7,33.3
18,角N-1,5,21,71.0,42.9,19.0
12,角2,2,20,70.0,40.0,40.0
8,角1,3,35,69.0,37.1,31.4
6,中間,7,141,68.0,38.3,29.8
4,中間,2,109,68.0,35.8,26.6
29,中間,8,129,67.0,35.7,32.6
8,中間,4,126,67.0,38.1,32.5
31,中間,7,78,65.0,43.6,39.7
12,角2,6,40,65.0,30.0,20.0
8,角N-1,0,36,58.0,44.4,27.8
21,角2,2,21,57.0,33.3,28.6
28,角N,2,32,56.0,34.4,28.1
19,中間,3,87,55.0,33.3,31.0
21,角2,3,33,55.0,33.3,33.3
18,中間,8,141,52.0,36.2,29.8
18,角N-1,1,31,52.0,32.3,29.0
21,角1,9,31,52.0,35.5,29.0
19,中間,6,119,51.0,39.5,35.3
7,中間,3,88,48.0,44.3,35.2
7,角N-1,3,44,48.0,40.9,34.1
26,角N,2,32,47.0,31.2,25.0
26,角2,4,33,45.0,36.4,30.3
10,角N,4,48,42.0,37.5,33.3
31,中間,9,78,37.0,39.7,37.2
3,角N-1,7,33,36.0,39.4,33.3
14,角1,3,36,33.0,36.1,25.0
24,角1,2,33,33.0,42.4,36.4
8,角N,2,34,32.0,26.5,23.5
15,角1,9,34,29.0,44.1,32.4
1,角N,2,32,28.0,31.2,28.1
24,角1,3,33,27.0,39.4,33.3
4,中間,9,141,26.0,36.2,29.8
15,中間,1,119,25.0,36.1,31.1
6,中間,4,115,25.0,35.7,31.3
7,角1,2,33,24.0,36.4,36.4
18,中間,5,128,23.0,37.5,32.0
22,中間,1,110,23.0,32.7,26.4
4,中間,5,129,19.0,36.4,28.7
19,中間,4,116,19.0,40.5,36.2
21,中間,9,141,18.0,35.5,29.8
12,角N-1,3,40,18.0,42.5,32.5
4,角N,1,33,18.0,30.3,30.3
6,角2,0,33,18.0,39.4,30.3
22,角N-1,5,22,18.0,40.9,36.4
27,角2,3,33,15.0,36.4,30.3
13,中間,7,155,14.0,37.4,32.3
4,角2,2,21,14.0,33.3,28.6
7,中間,9,143,12.0,35.7,30.1
19,中間,2,110,12.0,39.1,31.8
12,中間,1,99,12.0,40.4,36.4
1,角1,2,33,12.0,36.4,18.2
23,中間,3,88,11.0,35.2,29.5
17,角1,2,36,11.0,36.1,36.1
21,角2,0,33,9.0,36.4,24.2
14,角2,4,36,8.0,36.1,30.6
15,角2,0,36,8.0,38.9,36.1
29,中間,7,130,5.0,36.2,28.5
15,中間,3,96,3.0,37.5,30.2
8,角N,1,36,3.0,47.2,41.7
28,中間,4,118,2.0,35.6,27.1
