level,segment,digit,n,avg_diff,plus_rate,hit104_rate,rank
2,2F,2,11093,228.83800594969802,39.97115297935635,33.85017578653205,6
2,2F,4,11038,212.76499365827144,39.84417466932415,33.82859213625657,7
2,2F,5,11079,194.98149652495712,40.14802780034299,33.36041158949364,8
2,2F,1,11455,184.54823221300742,39.79048450458315,33.28677433435181,9
2,2F,3,11104,161.75252161383284,40.04863112391931,33.90670028818444,10
2,3F,8,11482,175.26563316495384,42.057132903675324,30.848284271032924,1
2,3F,9,11474,160.28412062053337,41.40665853233397,30.99180756492941,2
2,3F,6,11144,157.49282124910266,41.11629576453697,30.17767408470926,3
2,3F,5,11161,153.8034226323806,41.421019621897685,30.409461517785147,4
2,3F,2,11454,138.64152261218788,41.08608346429195,30.504627204470054,5
2,3F,4,11163,138.59177640419242,41.29714234524769,30.66380005374899,6
2,3F,0,11483,121.74518853958025,40.86040233388487,30.34921187842898,7
2,3F,7,11119,111.98848817339689,40.81302275384477,30.245525676769493,8
2,3F,1,11472,111.00069735006973,41.23082287308228,30.352161785216182,9
2,3F,3,11163,90.31622323748097,40.89402490369972,30.027770312639973,10
3,2F_N,6,11420,297.3817863397548,40.814360770577935,34.85113835376533,1
3,2F_N,9,11127,266.52287229262157,40.85557652556844,34.708367035139744,2
3,2F_N,7,11103,261.03755741691435,40.07025128343691,33.90074754570836,3
3,2F_N,0,11082,249.9278108644649,39.70402454430608,34.57859592131384,4
3,2F_N,8,11140,238.84201077199282,39.81149012567325,33.96768402154399,5
3,2F_N,2,11093,228.83800594969802,39.97115297935635,33.85017578653205,6
3,2F_N,4,11038,212.76499365827144,39.84417466932415,33.82859213625657,7
3,2F_N,5,11079,194.98149652495712,40.14802780034299,33.36041158949364,8
3,2F_N,1,11455,184.54823221300742,39.79048450458315,33.28677433435181,9
3,2F_N,3,11104,161.75252161383284,40.04863112391931,33.90670028818444,10
3,3F_A,3,6209,234.25672411016268,43.85569334836528,27.540666774037685,1
3,3F_A,4,6215,227.8841512469831,43.57200321802092,27.787610619469028,2
3,3F_A,2,6507,222.68326417704012,43.491624404487474,28.169663439372982,3
3,3F_A,8,6539,219.60544425753173,43.90579599327114,27.75653769689555,4
3,3F_A,5,6472,217.28986402966626,43.525957972805934,27.45673671199011,5
3,3F_A,6,6453,216.6589183325585,43.204710987137766,27.258639392530604,6
3,3F_A,1,6540,208.9296636085627,43.70030581039755,27.75229357798165,7
3,3F_A,9,6532,208.54255970606246,42.95774647887324,27.878138395590934,8
3,3F_A,0,6560,206.78353658536585,43.201219512195124,27.957317073170735,9
3,3F_A,7,6515,197.94320798158097,42.31772831926324,27.06062931696086,10
3,3F_N,8,4943,116.60934655067773,39.61157191988671,34.93829658102367,1
3,3F_N,9,4942,96.49939295831648,39.356535815459324,35.10724403075678,2
3,3F_N,6,4691,76.10317629503304,38.24344489447879,34.19313579194201,3
3,3F_N,5,4689,66.17615696310514,38.515674984005116,34.4849648112604,4
3,3F_N,2,4947,28.09783707297352,37.92197291287649,33.575904588639574,5
3,3F_N,4,4948,26.43492320129345,38.43977364591754,34.27647534357316,6
3,3F_N,0,4923,8.42981921592525,37.74121470647979,33.53646150721105,7
3,3F_N,7,4604,-9.643788010425716,38.68375325803649,34.75238922675934,8
3,3F_N,1,4932,-18.856447688564476,37.95620437956204,33.79967558799676,9
3,3F_N,3,4954,-90.08881711748083,37.18207509083569,33.14493338716189,10
4,2F_L,6,6068,364.9307844429796,41.69413315754779,35.16809492419248,1
4,2F_L,9,5741,297.7704232712071,41.38651802821808,34.7152064100331,2
4,2F_L,0,5719,284.47280993180624,40.496590312991785,34.84874978143032,3
4,2F_L,8,5750,284.3304347826087,40.95652173913044,34.66086956521739,4
4,2F_L,7,5742,280.5294322535702,40.891675374433994,34.04737025426681,5
4,2F_L,2,6047,253.48106499090457,40.92938647263106,33.78534810649909,6
4,2F_L,1,6044,241.13170086035737,41.148246194573126,33.73593646591661,7
4,2F_L,4,5995,223.06922435362802,40.46705587989992,33.61134278565471,8
4,2F_L,5,6085,159.44124897288415,40.62448644207067,32.29252259654889,9
4,2F_L,3,6079,146.93206119427538,39.72692877117947,32.91659812469156,10
4,2F_R,7,5361,240.16041783249395,39.19044954299571,33.74370453273643,1
4,2F_R,5,4994,238.2859431317581,39.56748097717261,34.66159391269523,2
4,2F_R,9,5386,233.21574452283699,40.2896398069068,34.70107686594876,3
4,2F_R,6,5352,220.79596412556054,39.8168908819133,34.49177877428998,4
4,2F_R,0,5363,213.08968860712287,38.85884765989186,34.29050904344583,5
4,2F_R,4,5043,200.51556613127107,39.10370811025183,34.08685306365259,6
4,2F_R,2,5046,199.30638129211258,38.82282996432818,33.927863654379706,7
4,2F_R,8,5390,190.31539888682747,38.5899814471243,33.22820037105751,8
4,2F_R,3,5025,179.681592039801,40.43781094527363,35.1044776119403,9
4,2F_R,1,5411,121.34540750323416,38.2738865274441,32.785067455183885,10
4,3F_L,8,6394,200.9852987175477,41.0697528933375,30.512980919612136,1
4,3F_L,9,6379,184.21382661859226,40.64900454616711,31.196112243298323,2
4,3F_L,6,6406,166.6250390259132,39.80643147049641,30.15922572588198,3
4,3F_L,5,6401,135.99437587876895,40.118731448211214,30.495235119512575,4
4,3F_L,1,6408,135.06554307116104,40.68352059925094,30.118601747815234,5
4,3F_L,2,6386,131.5690573128719,40.19730660820545,30.7860945818979,6
4,3F_L,4,6413,131.10868548261345,40.19959457352253,30.40698581007329,7
4,3F_L,7,6383,104.9976500078333,39.620867930440234,30.189566034779887,8
4,3F_L,0,6409,79.32594788578561,39.241691371508814,29.44297082228117,9
4,3F_L,3,6414,70.31493607733084,39.56969130028064,29.747427502338635,10
4,3F_R,5,4760,177.75210084033614,43.17226890756303,30.294117647058822,1
4,3F_R,0,5074,175.32518722901065,42.90500591249508,31.493890421757982,2
4,3F_R,4,4750,148.69473684210527,42.77894736842106,31.010526315789473,3
4,3F_R,2,5068,147.55327545382795,42.20599842146803,30.14996053670087,4
4,3F_R,6,4738,145.14563106796118,42.88729421696919,30.202617138032927,5
4,3F_R,8,5088,142.9441823899371,43.297955974842765,31.269654088050313,6
4,3F_R,9,5095,130.32384690873405,42.35525024533857,30.7360157016683,7
4,3F_R,7,4736,121.41047297297297,42.419763513513516,30.320945945945947,8
4,3F_R,3,4749,117.3299642029901,42.68267003579701,30.40640134765214,9
4,3F_R,1,5064,80.54897314375988,41.92338072669826,30.647709320695103,10
5,2F_L_N,6,6068,364.9307844429796,41.69413315754779,35.16809492419248,1
5,2F_L_N,9,5741,297.7704232712071,41.38651802821808,34.7152064100331,2
5,2F_L_N,0,5719,284.47280993180624,40.496590312991785,34.84874978143032,3
5,2F_L_N,8,5750,284.3304347826087,40.95652173913044,34.66086956521739,4
5,2F_L_N,7,5742,280.5294322535702,40.891675374433994,34.04737025426681,5
5,2F_L_N,2,6047,253.48106499090457,40.92938647263106,33.78534810649909,6
5,2F_L_N,1,6044,241.13170086035737,41.148246194573126,33.73593646591661,7
5,2F_L_N,4,5995,223.06922435362802,40.46705587989992,33.61134278565471,8
5,2F_L_N,5,6085,159.44124897288415,40.62448644207067,32.29252259654889,9
5,2F_L_N,3,6079,146.93206119427538,39.72692877117947,32.91659812469156,10
5,2F_R_N,7,5361,240.16041783249395,39.19044954299571,33.74370453273643,1
5,2F_R_N,5,4994,238.2859431317581,39.56748097717261,34.66159391269523,2
5,2F_R_N,9,5386,233.21574452283699,40.2896398069068,34.70107686594876,3
5,2F_R_N,6,5352,220.79596412556054,39.8168908819133,34.49177877428998,4
5,2F_R_N,0,5363,213.08968860712287,38.85884765989186,34.29050904344583,5
5,2F_R_N,4,5043,200.51556613127107,39.10370811025183,34.08685306365259,6
5,2F_R_N,2,5046,199.30638129211258,38.82282996432818,33.927863654379706,7
5,2F_R_N,8,5390,190.31539888682747,38.5899814471243,33.22820037105751,8
5,2F_R_N,3,5025,179.681592039801,40.43781094527363,35.1044776119403,9
5,2F_R_N,1,5411,121.34540750323416,38.2738865274441,32.785067455183885,10
5,3F_L_A,5,3064,274.44516971279376,44.22323759791122,28.7532637075718,1
5,3F_L_A,2,3137,250.7810009563277,43.67229837424291,29.167994899585594,2
5,3F_L_A,4,3154,247.27330374128093,43.658845909955616,27.964489537095748,3
5,3F_L_A,6,3064,232.63707571801567,43.08093994778068,27.349869451697128,4
5,3F_L_A,3,3152,230.86928934010152,43.24238578680203,27.601522842639593,5
5,3F_L_A,1,3158,229.76567447751742,44.45851804939836,27.612412919569344,6
5,3F_L_A,9,3138,225.84448693435309,43.021032504780116,28.330146590184828,7
5,3F_L_A,8,3149,209.27278501111465,43.34709431565577,27.278501111463953,8
5,3F_L_A,0,3158,192.811906269791,42.1785940468651,27.07409753008233,9
5,3F_L_A,7,3135,187.62360446570972,41.65869218500797,26.475279106858054,10
5,3F_L_N,8,3245,192.94298921417567,38.8597842835131,33.6517719568567,1
5,3F_L_N,9,3241,143.90620178957113,38.35236038259796,33.97099660598581,2
5,3F_L_N,6,3342,106.10412926391382,36.80430879712747,32.73488928785159,3
5,3F_L_N,1,3250,43.04615384615385,37.01538461538462,32.55384615384615,4
5,3F_L_N,7,3248,25.246305418719214,37.6539408866995,33.77463054187192,5
5,3F_L_N,4,3259,18.68671371586376,36.85179502915005,32.77078858545566,6
5,3F_L_N,2,3249,16.46660510926439,36.84210526315789,32.348414896891356,7
5,3F_L_N,5,3337,8.870242732993708,36.35001498351813,32.09469583458196,8
5,3F_L_N,0,3251,-30.91356505690557,36.388803445093814,31.744078745001538,9
5,3F_L_N,3,3262,-84.82526057633353,36.02084610668302,31.820968730839976,10
5,3F_R_A,3,3057,237.74942754334316,44.48806018972849,27.47791952894995,1
5,3F_R_A,8,3390,229.20353982300884,44.424778761061944,28.200589970501476,2
5,3F_R_A,0,3402,219.7530864197531,44.150499706055264,28.777189888300995,3
5,3F_R_A,4,3061,207.90591310029401,43.48252205161712,27.605357726233258,4
5,3F_R_A,7,3380,207.5147928994083,42.92899408284024,27.603550295857985,5
5,3F_R_A,6,3389,202.21304219533786,43.31661257007967,27.17615815874889,6
5,3F_R_A,2,3370,196.52818991097922,43.32344213649852,27.240356083086052,7
5,3F_R_A,9,3394,192.54566882734238,42.89923394225103,27.460223924572773,8
5,3F_R_A,1,3382,189.47368421052633,42.992312241277354,27.882909520993493,9
5,3F_R_A,5,3408,165.9037558685446,42.89906103286385,26.291079812206576,10
5,3F_R_N,5,1352,207.61834319526628,43.86094674556213,40.38461538461539,1
5,3F_R_N,0,1672,84.92822966507177,40.37081339712918,37.02153110047847,2
5,3F_R_N,2,1698,50.35335689045937,39.98822143698469,35.924617196702,3
5,3F_R_N,4,1689,41.3854351687389,41.503848431024274,37.18176435760805,4
5,3F_R_N,9,1701,6.172839506172839,41.269841269841265,37.272192827748384,5
5,3F_R_N,6,1349,1.7790956263899185,41.808747220163085,37.805782060785766,6
5,3F_R_N,8,1698,-29.269729093050646,41.04829210836278,37.396937573616015,7
5,3F_R_N,7,1356,-93.21533923303835,41.150442477876105,37.094395280235986,8
5,3F_R_N,3,1692,-100.23640661938535,39.42080378250591,35.69739952718676,9
5,3F_R_N,1,1682,-138.46611177170035,39.77407847800238,36.206896551724135,10
