dow,dd_mod10,machine_digit,avg_diff,plus_rate,hit104_rate,n,rank
月,4,9,96,39.0,30.1,282,8
月,5,0,199,38.5,31.7,426,7
月,5,1,165,40.0,31.1,440,8
月,5,2,301,39.4,31.4,424,3
月,5,3,238,39.2,31.1,421,4
月,5,4,65,36.9,30.2,420,10
月,5,5,219,38.1,31.2,420,6
月,5,6,423,45.5,37.6,420,1
月,5,7,225,43.2,35.7,417,5
月,5,8,318,45.1,35.5,417,2
月,5,9,142,39.9,32.8,421,9
月,6,0,236,42.2,36.0,344,4
月,6,1,-42,30.3,25.8,357,9
月,6,2,95,39.0,30.3,346,7
月,6,3,157,37.0,27.8,338,5
月,6,4,337,41.2,34.8,345,2
月,6,5,290,40.4,33.3,339,3
月,6,6,-59,32.5,25.4,338,10
月,6,7,100,35.7,29.4,333,6
月,6,8,380,41.9,34.8,339,1
月,6,9,27,34.7,27.6,340,8
月,7,0,523,46.3,35.6,216,1
月,7,1,-55,40.5,29.3,222,10
月,7,2,-8,39.4,30.6,216,9
月,7,3,252,40.3,33.2,211,5
月,7,4,489,44.8,34.4,212,2
月,7,5,152,41.5,32.1,212,6
月,7,6,142,40.8,29.1,213,7
月,7,7,41,47.6,36.8,212,8
月,7,8,268,43.9,33.5,212,4
月,7,9,275,42.9,30.7,212,3
月,8,0,160,42.1,34.1,413,9
月,8,1,65,40.9,32.8,430,10
月,8,2,195,40.2,30.2,420,7
月,8,3,336,45.1,36.3,408,2
月,8,4,183,41.2,33.6,408,8
月,8,5,295,42.1,33.2,413,3
月,8,6,277,38.2,31.9,414,4
月,8,7,364,41.0,34.4,410,1
月,8,8,226,40.7,32.3,415,6
月,8,9,259,42.8,33.9,416,5
月,9,0,12,34.5,28.5,351,7
月,9,1,102,39.8,31.1,357,3
月,9,2,21,35.5,27.3,355,6
月,9,3,-222,33.8,26.3,346,10
月,9,4,135,38.8,31.2,340,1
月,9,5,-3,39.1,30.7,345,8
月,9,6,23,34.8,28.1,342,5
月,9,7,-66,33.5,25.9,340,9
月,9,8,109,36.0,31.6,342,2
月,9,9,53,38.1,31.5,349,4
火,0,0,-20,36.2,30.8,351,10
火,0,1,142,40.0,31.0,365,8
火,0,2,175,39.2,30.4,355,7
火,0,3,287,38.6,30.8,347,3
火,0,4,272,38.4,30.9,346,4
火,0,5,55,40.5,32.1,346,9
火,0,6,265,37.4,30.0,350,5
火,0,7,322,40.7,33.3,351,2
火,0,8,211,39.5,30.1,352,6
火,0,9,520,46.9,39.0,354,1
火,1,0,162,40.8,32.4,287,5
火,1,1,-59,38.9,28.8,288,10
火,1,2,272,39.9,31.2,288,3
火,1,3,510,42.9,34.3,280,2
火,1,4,42,36.6,28.3,279,9
火,1,5,74,40.5,32.3,279,7
火,1,6,68,41.8,30.4,280,8
火,1,7,76,36.7,26.0,281,6
火,1,8,574,44.5,33.5,281,1
火,1,9,179,38.0,29.7,279,4
火,2,0,71,40.2,31.1,425,10
火,2,1,96,39.8,32.3,440,9
火,2,2,97,40.0,30.0,427,8
火,2,3,272,41.1,30.9,421,3
火,2,4,120,40.0,30.1,418,7
火,2,5,405,41.7,31.4,417,1
火,2,6,349,41.4,31.6,418,2
火,2,7,121,42.3,31.2,423,6
火,2,8,228,39.6,32.5,422,4
火,2,9,213,40.4,33.5,421,5
火,3,0,114,37.7,31.7,353,5
火,3,1,-17,40.4,27.5,364,7
火,3,2,-80,37.2,29.3,355,10
火,3,3,293,42.7,33.8,349,2
火,3,4,-32,35.8,27.8,349,9
火,3,5,128,39.8,29.8,352,4
火,3,6,144,38.6,31.1,347,3
火,3,7,11,39.3,30.5,351,6
火,3,8,-23,36.2,27.7,354,8
火,3,9,371,39.0,30.7,349,1
火,4,0,108,39.4,32.9,350,8
火,4,1,-186,33.3,28.0,357,10
火,4,2,141,37.8,30.8,347,7
火,4,3,205,38.9,31.7,347,4
火,4,4,44,39.2,31.4,344,9
火,4,5,324,35.1,31.6,345,1
火,4,6,183,37.0,32.4,343,5
火,4,7,229,39.9,30.2,341,2
火,4,8,205,36.1,29.2,346,3
火,4,9,159,36.1,30.3,346,6
火,5,0,278,45.3,33.0,285,10
火,5,1,323,46.9,36.2,290,8
火,5,2,787,48.9,42.1,278,1
火,5,3,475,45.0,37.2,282,5
火,5,4,495,47.3,35.7,277,3
火,5,5,306,41.6,32.0,281,9
火,5,6,477,49.6,36.5,282,4
火,5,7,432,42.6,33.7,282,7
火,5,8,621,48.4,38.4,281,2
火,5,9,451,47.0,38.2,283,6
火,6,0,193,37.3,30.5,413,6
火,6,1,235,40.5,32.3,439,4
火,6,2,182,41.4,35.7,420,7
火,6,3,341,40.3,34.5,414,1
火,6,4,123,39.2,33.1,411,9
火,6,5,317,42.7,33.0,412,2
火,6,6,274,40.2,31.2,413,3
火,6,7,193,38.8,32.3,412,5
火,6,8,151,36.1,30.1,415,8
火,6,9,25,38.3,31.8,415,10
火,7,0,36,39.8,29.2,359,9
火,7,1,119,41.5,31.4,369,7
火,7,2,323,40.2,33.5,358,3
火,7,3,167,41.4,33.8,355,6
火,7,4,75,40.6,31.8,355,8
火,7,5,-220,39.3,29.7,354,10
火,7,6,354,43.8,35.2,352,2
火,7,7,434,42.1,34.5,354,1
火,7,8,270,44.5,31.8,355,5
火,7,9,275,43.9,34.6,355,4
火,8,0,320,43.8,34.2,281,4
火,8,1,218,41.3,34.1,293,7
火,8,2,284,38.7,31.7,284,5
火,8,3,207,40.4,33.2,280,8
火,8,4,262,41.4,33.9,280,6
火,8,5,337,45.1,38.6,277,3
火,8,6,642,44.3,37.1,280,1
火,8,7,148,38.6,31.0,277,9
火,8,8,429,45.2,39.1,279,2
火,8,9,89,39.3,31.6,275,10
火,9,0,349,40.2,32.2,428,1
火,9,1,0,38.3,28.6,441,10
火,9,2,125,37.2,28.6,427,7
火,9,3,26,38.7,33.4,416,9
火,9,4,129,39.7,31.5,416,6
火,9,5,265,40.2,33.8,420,3
火,9,6,144,39.6,32.2,422,5
火,9,7,277,39.0,31.6,415,2
火,9,8,115,40.2,30.6,418,8
火,9,9,245,42.6,33.3,420,4
水,0,0,-193,35.0,26.9,428,10
水,0,1,35,39.3,31.4,440,8
水,0,2,434,45.3,35.4,426,2
水,0,3,44,42.7,32.9,417,7
水,0,4,208,43.2,34.0,421,4
水,0,5,96,42.2,31.7,417,6
水,0,6,181,41.8,32.9,416,5
水,0,7,-114,36.7,30.5,417,9
水,0,8,472,43.5,32.5,418,1
水,0,9,376,43.9,33.9,419,3
水,1,0,356,40.8,33.6,429,3
水,1,1,301,39.7,33.3,441,6
水,1,2,168,42.7,35.2,429,9
水,1,3,307,42.3,32.4,426,5
水,1,4,316,44.3,36.0,420,4
水,1,5,112,39.4,31.4,424,10
水,1,6,357,42.9,34.5,420,2
水,1,7,225,39.7,33.1,423,8
水,1,8,378,42.7,34.0,424,1
水,1,9,285,41.7,32.1,424,7
水,2,0,44,39.7,27.1,214,6
水,2,1,266,43.5,32.9,216,3
水,2,2,451,44.4,35.6,216,1
水,2,3,9,36.8,30.1,209,9
水,2,4,22,33.0,24.8,206,7
水,2,5,-18,34.3,28.2,213,10
水,2,6,315,41.4,31.9,210,2
水,2,7,17,37.5,29.3,208,8
水,2,8,81,40.0,30.5,210,5
水,2,9,232,39.2,34.0,209,4
水,3,0,304,39.1,34.7,427,3
水,3,1,94,40.2,29.9,438,8
水,3,2,-168,34.0,27.9,426,10
水,3,3,-34,39.0,29.7,418,9
水,3,4,416,42.4,32.1,420,2
水,3,5,494,48.0,38.2,419,1
水,3,6,276,42.9,34.3,420,4
水,3,7,148,39.8,34.1,422,7
水,3,8,267,44.5,37.1,420,5
水,3,9,216,39.7,33.7,421,6
水,4,0,313,43.2,36.2,354,2
水,4,1,346,42.0,34.5,362,1
水,4,2,-15,36.6,28.2,347,10
水,4,3,201,40.7,34.2,351,5
水,4,4,117,38.7,30.3,346,7
水,4,5,271,42.1,34.1,349,3
水,4,6,207,37.8,31.5,349,4
水,4,7,11,34.0,25.9,347,9
水,4,8,86,39.0,31.8,346,8
水,4,9,119,35.7,30.0,347,6
水,5,0,283,42.4,33.6,354,2
水,5,1,-40,34.2,27.5,357,8
水,5,2,118,36.6,31.2,352,5
水,5,3,-180,32.5,25.0,348,10
水,5,4,197,40.6,32.7,352,3
水,5,5,362,39.3,31.3,351,1
水,5,6,18,32.7,27.2,346,7
水,5,7,42,34.0,27.1,347,6
水,5,8,-88,34.1,26.4,349,9
水,5,9,135,35.3,29.3,348,4
水,6,0,98,39.2,30.1,286,5
水,6,1,907,52.7,43.2,292,1
水,6,2,167,38.7,28.7,282,4
水,6,3,-282,32.1,24.6,280,10
水,6,4,29,36.6,28.0,279,8
水,6,5,60,37.5,29.3,280,7
水,6,6,-95,35.0,27.1,280,9
水,6,7,512,44.0,36.2,282,2
水,6,8,303,41.1,32.5,280,3
水,6,9,75,39.0,32.3,282,6
水,7,0,291,41.0,31.7,429,4
水,7,1,128,43.7,32.2,444,10
水,7,2,265,42.3,33.5,430,6
水,7,3,254,42.6,35.1,425,7
水,7,4,453,46.2,37.5,424,1
水,7,5,234,43.6,34.7,424,8
水,7,6,220,43.3,34.8,425,9
水,7,7,438,46.2,36.8,424,2
水,7,8,324,43.3,32.2,423,3
水,7,9,277,46.1,36.7,425,5
水,8,0,141,33.7,28.6,353,5
水,8,1,52,36.9,29.8,366,6
水,8,2,-64,36.7,29.4,354,9
水,8,3,-36,36.9,28.8,344,7
水,8,4,-164,36.1,27.2,349,10
水,8,5,-60,33.3,26.1,345,8
水,8,6,164,37.3,30.9,343,3
水,8,7,164,35.4,29.6,345,4
水,8,8,337,41.4,35.3,348,1
水,8,9,276,40.5,30.9,346,2
水,9,0,160,38.0,28.5,284,8
水,9,1,538,46.4,36.9,295,3
水,9,2,216,43.3,34.9,284,7
水,9,3,646,50.9,40.6,281,2
水,9,4,859,54.5,43.0,279,1
水,9,5,-42,37.5,25.6,277,10
水,9,6,268,47.0,36.7,283,6
水,9,7,59,39.4,31.6,282,9
水,9,8,268,44.5,34.9,281,5
水,9,9,293,41.8,33.0,282,4
木,0,0,293,43.7,37.1,286,10
木,0,1,458,46.8,37.9,293,4
木,0,2,435,41.9,34.4,279,5
木,0,3,540,44.6,35.5,276,2
木,0,4,376,44.6,36.2,276,8
木,0,5,516,48.0,37.4,281,3
木,0,6,686,46.5,42.2,282,1
木,0,7,430,46.6,38.4,281,6
木,0,8,374,46.8,37.9,282,9
木,0,9,423,45.7,38.4,276,7
木,1,0,337,42.9,34.1,499,3
木,1,1,303,42.2,33.5,514,4
木,1,2,255,41.0,32.1,495,6
木,1,3,82,41.7,33.8,494,10
木,1,4,157,40.9,32.1,492,9
木,1,5,199,42.0,33.3,490,8
木,1,6,388,45.5,35.8,494,2
木,1,7,417,43.9,35.0,492,1
木,1,8,274,44.0,35.7,493,5
木,1,9,203,44.9,34.8,492,7
木,2,0,266,39.3,30.9,346,3
木,2,1,262,37.6,30.1,362,4
木,2,2,453,40.5,33.4,353,1
木,2,3,114,39.0,31.1,344,5
木,2,4,296,38.6,31.6,345,2
木,2,5,-62,31.1,25.4,350,10
木,2,6,109,35.1,27.4,339,6
木,2,7,30,36.7,30.0,343,9
木,2,8,43,37.2,29.7,347,8
木,2,9,83,36.7,32.4,346,7
木,3,0,330,35.7,31.4,207,2
木,3,1,56,35.2,27.1,210,3
木,3,2,-41,35.2,28.6,199,7
木,3,3,-54,36.5,30.0,203,8
木,3,4,-69,34.8,28.9,201,9
木,3,5,-25,31.0,22.5,200,6
木,3,6,-4,36.0,31.0,200,4
木,3,7,-106,35.2,28.6,199,10
木,3,8,-20,34.3,28.4,204,5
木,3,9,391,40.3,30.8,201,1
木,4,0,34,36.5,31.5,416,10
木,4,1,46,42.0,31.5,426,9
木,4,2,100,38.4,30.4,424,6
木,4,3,364,44.8,36.0,417,3
木,4,4,81,37.8,28.3,410,7
木,4,5,56,37.2,28.0,414,8
木,4,6,206,40.0,30.6,418,5
木,4,7,434,42.2,34.2,415,1
木,4,8,238,38.8,32.5,415,4
木,4,9,383,49.4,39.1,419,2
木,5,0,221,40.2,31.3,348,3
木,5,1,19,36.0,27.5,356,8
木,5,2,203,38.9,30.9,350,5
木,5,3,106,39.0,28.8,344,7
木,5,4,289,39.1,32.8,338,1
木,5,5,11,37.2,28.5,347,9
木,5,6,-17,35.4,28.7,345,10
木,5,7,258,42.4,33.9,342,2
木,5,8,148,39.7,31.3,345,6
木,5,9,205,35.2,29.3,341,4
木,6,0,340,41.7,34.0,350,1
木,6,1,134,40.6,34.3,350,4
木,6,2,294,37.7,30.9,350,2
木,6,3,-128,31.0,25.4,339,10
木,6,4,20,33.5,28.3,343,5
木,6,5,-19,33.2,25.2,337,6
木,6,6,-27,35.8,28.4,338,7
木,6,7,181,37.5,31.4,344,3
木,6,8,-37,32.7,29.2,343,8
木,6,9,-51,36.6,27.7,336,9
木,7,0,267,44.8,37.8,286,7
木,7,1,453,50.0,42.1,292,4
木,7,2,623,46.3,38.5,283,2
木,7,3,272,46.1,34.4,282,6
木,7,4,124,42.7,34.5,281,10
木,7,5,470,50.5,40.3,283,3
木,7,6,213,47.2,34.4,282,9
木,7,7,432,42.8,32.2,283,5
木,7,8,768,54.6,42.9,282,1
木,7,9,237,45.2,35.3,283,8
木,8,0,294,37.8,31.5,349,2
木,8,1,253,36.8,28.4,359,3
木,8,2,144,39.8,30.0,347,5
木,8,3,-99,36.0,30.1,342,10
木,8,4,347,43.6,36.8,342,1
木,8,5,15,35.7,27.5,342,7
木,8,6,7,34.2,28.9,336,8
木,8,7,104,38.3,31.6,332,6
木,8,8,175,36.3,30.5,344,4
木,8,9,-7,35.9,27.9,337,9
木,9,0,158,38.1,32.7,349,4
木,9,1,49,34.9,28.6,350,6
木,9,2,8,38.3,31.9,345,9
木,9,3,-79,31.4,25.2,341,10
木,9,4,211,39.7,32.7,343,3
木,9,5,105,34.8,29.0,345,5
木,9,6,41,34.4,27.2,334,7
木,9,7,253,39.6,33.6,336,2
木,9,8,29,35.9,30.9,337,8
木,9,9,287,37.3,32.8,335,1
金,0,0,51,35.8,31.0,358,8
金,0,1,36,39.9,30.9,366,9
金,0,2,85,38.8,30.3,353,6
金,0,3,132,41.2,31.0,352,3
金,0,4,-11,34.4,27.5,349,10
金,0,5,96,36.6,26.4,352,5
金,0,6,322,41.3,30.9,346,1
金,0,7,73,38.9,29.4,350,7
金,0,8,152,34.3,26.9,350,2
金,0,9,104,41.3,32.5,351,4
金,1,0,264,42.4,32.3,356,8
金,1,1,224,44.2,32.2,369,9
金,1,2,465,43.9,36.9,355,3
金,1,3,348,42.7,33.0,349,6
金,1,4,308,43.8,35.5,349,7
金,1,5,54,42.1,30.9,349,10
金,1,6,471,47.4,35.1,350,2
金,1,7,463,44.0,34.9,352,4
金,1,8,414,43.8,36.6,352,5
金,1,9,587,45.0,37.5,349,1
金,2,0,214,41.1,34.4,358,5
金,2,1,314,41.9,33.8,370,3
金,2,2,244,43.7,34.3,359,4
金,2,3,119,40.4,33.3,354,10
金,2,4,141,44.1,37.0,354,9
金,2,5,195,42.6,30.1,352,6
金,2,6,389,40.6,33.2,355,1
金,2,7,349,41.9,34.0,353,2
金,2,8,148,42.7,31.9,354,8
金,2,9,186,40.5,31.7,353,7
金,3,0,71,38.9,31.8,352,5
金,3,1,50,38.3,30.3,360,7
金,3,2,201,37.1,32.3,353,2
金,3,3,-36,36.2,28.5,354,10
金,3,4,289,42.7,34.0,344,1
金,3,5,145,38.9,30.3,347,3
金,3,6,30,34.4,28.0,346,8
金,3,7,-36,35.4,28.7,342,9
金,3,8,67,37.4,30.5,348,6
金,3,9,121,39.9,31.0,348,4
金,4,0,-22,34.0,27.8,212,6
金,4,1,164,40.9,34.4,215,3
金,4,2,-73,38.0,31.0,213,8
金,4,3,-175,38.0,28.4,208,9
金,4,4,-177,30.8,23.1,208,10
金,4,5,355,44.3,35.7,210,1
金,4,6,290,35.4,26.8,209,2
金,4,7,-58,39.7,31.6,209,7
金,4,8,27,32.5,25.8,209,4
金,4,9,-4,35.6,31.7,205,5
金,5,0,-32,34.1,28.2,425,10
金,5,1,164,38.4,31.3,435,4
金,5,2,4,37.6,29.6,423,9
金,5,3,99,40.0,32.5,415,5
金,5,4,231,38.4,31.6,414,3
金,5,5,94,39.3,32.8,415,6
金,5,6,364,42.3,35.6,418,1
金,5,7,45,35.9,29.2,418,7
金,5,8,23,37.7,28.4,422,8
金,5,9,294,41.2,33.1,417,2
金,6,0,89,40.4,30.4,349,6
金,6,1,216,39.8,29.3,369,5
金,6,2,371,41.9,34.3,356,1
金,6,3,-106,33.7,28.6,350,9
金,6,4,51,36.7,30.7,349,8
金,6,5,328,43.6,35.3,346,3
金,6,6,-206,37.5,31.1,344,10
金,6,7,79,40.3,30.8,347,7
金,6,8,337,44.2,35.6,351,2
金,6,9,294,40.1,30.9,349,4
金,7,0,254,45.0,34.6,358,3
金,7,1,317,42.0,32.2,367,1
金,7,2,-316,36.8,29.0,359,10
金,7,3,74,40.4,30.8,354,6
金,7,4,91,39.8,31.9,354,5
金,7,5,-229,38.0,28.5,355,9
金,7,6,73,41.2,30.7,352,7
金,7,7,-34,38.4,29.5,352,8
金,7,8,189,42.5,32.1,355,4
金,7,9,305,42.0,33.8,355,2
金,8,0,416,41.0,33.2,283,3
金,8,1,80,40.4,36.2,287,8
金,8,2,73,36.8,27.9,280,9
金,8,3,68,39.3,33.2,280,10
金,8,4,598,45.2,33.7,279,1
金,8,5,494,44.3,35.4,280,2
金,8,6,321,42.5,32.5,280,4
金,8,7,166,39.3,30.0,280,6
金,8,8,224,40.0,31.1,280,5
金,8,9,166,39.9,30.2,281,7
金,9,0,-16,36.5,27.8,345,8
金,9,1,-30,36.5,29.4,364,9
金,9,2,67,38.0,30.9,350,5
金,9,3,-110,35.8,27.7,346,10
金,9,4,-8,38.3,28.5,347,6
金,9,5,-11,37.9,29.3,348,7
金,9,6,293,37.5,30.2,344,1
金,9,7,92,39.2,30.5,347,4
金,9,8,117,37.1,32.8,348,3
金,9,9,172,39.5,32.0,347,2
土,0,0,46,41.5,32.8,357,10
土,0,1,300,45.7,38.1,370,5
土,0,2,711,47.4,37.0,359,1
土,0,3,576,48.2,37.1,353,2
土,0,4,177,42.4,30.5,354,7
土,0,5,305,46.5,35.1,353,4
土,0,6,136,42.4,33.1,354,8
土,0,7,232,45.9,36.0,353,6
土,0,8,92,40.4,32.2,354,9
土,0,9,382,48.0,40.7,354,3
土,1,0,189,40.8,33.4,431,1
土,1,1,32,39.1,29.2,442,5
土,1,2,-3,40.7,30.5,430,6
土,1,3,-177,38.7,29.3,426,10
土,1,4,-123,37.8,29.1,426,9
土,1,5,-107,37.6,29.9,425,8
土,1,6,76,40.2,30.5,423,4
土,1,7,114,40.9,31.1,425,2
土,1,8,-107,39.0,30.5,426,7
土,1,9,85,40.5,32.2,425,3
土,2,0,470,49.7,39.5,286,2
土,2,1,9,42.5,30.3,294,10
土,2,2,332,45.1,38.7,284,6
土,2,3,155,43.6,31.9,282,9
土,2,4,380,46.6,34.1,279,5
土,2,5,392,48.8,36.0,283,4
土,2,6,1056,52.5,42.2,282,1
土,2,7,422,47.0,36.7,283,3
土,2,8,312,44.2,36.4,283,7
土,2,9,233,44.9,33.2,283,8
土,3,0,120,42.2,33.2,431,7
土,3,1,109,41.2,32.7,444,8
土,3,2,310,44.1,36.2,431,1
土,3,3,276,46.4,34.6,425,2
土,3,4,199,42.5,34.4,424,5
土,3,5,212,44.4,33.6,423,3
土,3,6,136,41.9,32.7,425,6
土,3,7,204,43.4,34.0,424,4
土,3,8,-28,38.4,30.8,425,9
土,3,9,-118,38.4,28.7,425,10
土,4,0,264,41.3,32.7,358,6
土,4,1,-81,39.3,29.0,369,10
土,4,2,327,42.2,33.0,358,5
土,4,3,22,40.3,31.5,355,9
土,4,4,386,42.5,34.1,355,2
土,4,5,376,47.0,38.0,355,4
土,4,6,713,48.3,38.4,352,1
土,4,7,70,42.4,32.2,354,7
土,4,8,385,46.5,38.0,355,3
土,4,9,49,41.7,32.1,355,8
土,5,0,67,38.0,33.8,216,5
土,5,1,350,45.0,34.2,222,1
土,5,2,101,47.2,36.1,216,4
土,5,3,43,41.5,32.1,212,7
土,5,4,-97,39.6,31.1,212,10
土,5,5,60,39.4,31.9,213,6
土,5,6,15,41.3,30.0,213,8
土,5,7,160,40.6,33.5,212,2
土,5,8,10,38.5,27.7,213,9
土,5,9,109,42.0,34.0,212,3
土,6,0,111,44.9,35.6,430,9
土,6,1,77,43.2,32.8,442,10
土,6,2,160,41.3,32.6,429,7
土,6,3,151,43.7,32.6,423,8
土,6,4,564,48.8,39.6,422,2
土,6,5,618,45.3,35.3,422,1
土,6,6,506,45.2,36.6,423,3
土,6,7,482,46.9,36.6,424,4
土,6,8,404,43.0,34.5,423,5
土,6,9,337,44.3,35.4,424,6
土,7,0,144,41.6,32.7,358,7
土,7,1,26,43.0,30.5,370,9
土,7,2,249,48.2,38.4,359,2
土,7,3,-25,42.8,30.1,355,10
土,7,4,164,43.6,32.9,353,4
土,7,5,49,42.9,32.5,354,8
土,7,6,246,47.0,38.0,353,3
土,7,7,164,43.1,35.2,355,5
土,7,8,513,49.0,34.1,355,1
土,7,9,147,47.0,33.5,355,6
土,8,0,359,42.3,34.2,357,2
土,8,1,76,41.8,35.6,368,8
土,8,2,253,43.6,34.1,358,4
土,8,3,-14,39.8,29.7,354,10
土,8,4,269,42.9,32.5,354,3
土,8,5,210,46.8,36.1,355,7
土,8,6,0,39.8,31.0,352,9
土,8,7,567,46.7,37.1,353,1
土,8,8,242,41.4,31.5,355,6
土,8,9,247,42.8,36.6,355,5
土,9,0,268,42.7,32.9,286,4
土,9,1,94,43.8,34.9,292,9
土,9,2,200,42.0,33.2,283,6
土,9,3,425,45.4,39.0,282,3
土,9,4,250,42.5,33.2,280,5
土,9,5,189,42.6,36.5,282,7
土,9,6,185,42.9,33.7,282,8
土,9,7,-246,38.9,27.9,283,10
土,9,8,525,46.3,37.1,283,2
土,9,9,655,51.2,38.9,283,1
日,0,0,258,43.0,36.7,286,6
日,0,1,321,45.2,35.6,292,4
日,0,2,415,47.0,38.5,283,2
日,0,3,64,45.7,36.9,282,8
日,0,4,61,42.1,35.7,280,9
日,0,5,315,44.2,36.4,283,5
日,0,6,347,49.3,37.2,282,3
日,0,7,22,43.8,35.0,283,10
日,0,8,207,42.0,33.2,283,7
日,0,9,714,49.1,41.3,283,1
日,1,0,137,42.1,35.0,428,7
日,1,1,196,42.8,33.8,444,5
日,1,2,85,41.3,30.5,429,9
日,1,3,275,44.6,35.8,424,3
日,1,4,366,47.1,37.6,425,2
日,1,5,-35,39.6,30.7,424,10
日,1,6,393,48.9,37.4,423,1
日,1,7,204,45.0,34.2,424,4
日,1,8,195,46.4,34.8,425,6
日,1,9,119,43.1,32.5,425,8
日,2,0,375,42.7,34.0,288,4
日,2,1,-81,37.8,26.5,294,10
日,2,2,246,42.5,32.4,287,6
日,2,3,116,39.6,32.5,283,8
日,2,4,122,41.2,33.1,284,7
日,2,5,537,44.7,35.2,284,1
日,2,6,478,44.3,36.5,282,2
日,2,7,389,42.8,34.6,283,3
日,2,8,326,41.9,32.4,284,5
日,2,9,25,38.5,32.9,283,9
日,3,0,84,41.6,35.0,286,9
日,3,1,445,43.2,38.1,294,1
日,3,2,158,43.7,34.9,284,7
日,3,3,264,47.3,36.7,281,6
日,3,4,2,39.8,33.0,279,10
日,3,5,337,47.0,37.1,283,3
日,3,6,356,44.0,35.5,282,2
日,3,7,268,41.0,31.8,283,5
日,3,8,93,43.5,33.6,283,8
日,3,9,286,41.7,33.9,283,4
日,4,0,194,43.0,36.0,430,5
日,4,1,-3,39.0,32.9,444,8
日,4,2,-64,42.6,31.9,430,9
日,4,3,-77,40.2,30.4,425,10
日,4,4,303,41.4,34.3,423,2
日,4,5,58,36.6,29.3,423,7
日,4,6,200,39.8,31.5,425,4
日,4,7,322,45.0,35.6,424,1
日,4,8,242,42.4,32.0,422,3
日,4,9,180,43.3,33.6,425,6
日,5,0,293,41.1,35.2,358,1
日,5,1,39,41.2,30.6,369,7
日,5,2,35,38.5,29.9,358,8
日,5,3,-21,39.8,31.4,354,9
日,5,4,-68,36.1,27.6,355,10
日,5,5,232,42.3,31.5,355,3
日,5,6,154,41.5,33.0,352,4
日,5,7,72,35.9,28.5,354,6
日,5,8,235,43.1,32.4,355,2
日,5,9,129,37.5,29.0,355,5
日,6,0,143,38.4,31.9,216,5
日,6,1,591,46.8,41.0,222,1
日,6,2,-139,39.4,31.0,216,10
日,6,3,-29,34.0,27.4,212,9
日,6,4,133,40.6,34.4,212,6
日,6,5,29,38.5,30.0,213,8
日,6,6,186,37.6,30.5,213,4
日,6,7,341,43.6,35.5,211,2
日,6,8,231,44.3,32.1,212,3
日,6,9,70,33.0,27.4,212,7
日,7,0,379,45.1,36.5,430,4
日,7,1,528,48.6,37.1,442,1
日,7,2,394,49.9,36.8,429,3
日,7,3,232,46.3,35.0,423,8
日,7,4,245,46.4,35.8,422,7
日,7,5,333,46.2,36.3,422,5
日,7,6,409,47.5,38.1,423,2
日,7,7,226,46.9,37.3,424,9
日,7,8,185,44.8,34.9,424,10
日,7,9,280,43.9,34.4,424,6
日,8,0,343,47.3,34.7,357,1
日,8,1,111,44.6,35.4,370,6
日,8,2,196,40.4,33.4,359,4
日,8,3,66,40.3,31.5,355,7
日,8,4,-26,38.5,28.3,353,10
日,8,5,249,41.4,30.6,353,2
日,8,6,133,41.4,34.6,353,5
日,8,7,45,39.2,30.1,355,8
日,8,8,248,38.9,30.1,355,3
日,8,9,14,39.8,30.5,354,9
日,9,0,-69,36.9,27.2,287,8
