machine_name,total_machines,avg_diff,avg_games,std_diff,std_games,outlier_diff_count,outlier_games_count,outlier_either_count,outlier_diff_rate,outlier_games_rate,outlier_either_rate,outlier_avg_diff,outlier_avg_games
東京リベンジャーズ,9,-677.7777777777778,5654.666666666667,2060.2049520483256,2117.8178628012374,3,3,4,33.33333333333333,33.33333333333333,44.44444444444444,850.0,7633.25
沖ドキ!DUO アンコール,9,-522.2222222222222,2559.222222222222,2430.420631175691,1274.129779278565,2,3,4,22.22222222222222,33.33333333333333,44.44444444444444,550.0,3080.5
甲鉄城のカバネリ 海門(うなと)決戦,34,-605.8823529411765,5025.294117647059,3543.0633190375593,839.2443400992298,12,3,15,35.294117647058826,8.823529411764707,44.11764705882353,1746.6666666666667,4974.133333333333
マイジャグラーV,57,375.43859649122805,6493.596491228071,1433.31293335136,1610.3370971371305,21,17,25,36.84210526315789,29.82456140350877,43.859649122807014,1548.0,7837.88
からくりサーカス,7,214.28571428571428,4871.714285714285,6318.8681928091555,1222.8597240738222,2,1,3,28.57142857142857,14.285714285714285,42.857142857142854,4133.333333333333,5367.666666666667
スマスロ炎炎ノ消防隊2,12,1091.6666666666667,5885.916666666667,3906.7443626569066,749.8701049131271,5,1,5,41.66666666666667,8.333333333333332,41.66666666666667,5360.0,6092.4
モンキーターンV,29,593.1034482758621,3531.0,3067.4478729396474,1095.9732139583912,9,7,12,31.03448275862069,24.137931034482758,41.37931034482759,3325.0,4292.666666666667
かぐや様は告らせたい,10,970.0,5777.0,3152.79417518986,1649.4221210270382,4,4,4,40.0,40.0,40.0,4275.0,7155.75
ウルトラミラクルジャグラー,5,360.0,5545.4,792.4645102463579,2261.580045012778,2,2,2,40.0,40.0,40.0,1100.0,7928.0
スマスロ ハナビ,5,-140.0,3402.2,642.6507605223851,2380.5930353590466,1,2,2,20.0,40.0,40.0,350.0,5911.0
バイオハザード RE:3,16,-375.0,3832.75,3529.9669497980667,592.0205514450772,6,0,6,37.5,0.0,37.5,3383.3333333333335,3594.5
新ハナビ,8,300.0,2816.0,796.4205637009345,1735.1730255428213,2,2,3,25.0,25.0,37.5,966.6666666666666,4275.0
ファンキージャグラー2,24,-41.666666666666664,4741.0,1093.0279707891907,2404.013763253664,6,8,9,25.0,33.33333333333333,37.5,888.8888888888889,7304.888888888889
痛いのは嫌なので防御力に極振りしたいと思います。,8,662.5,4013.375,3288.046532517446,1820.845403141864,2,2,3,25.0,25.0,37.5,3300.0,5241.666666666667
ゴーゴージャグラー3,23,378.2608695652174,5836.826086956522,1378.7202635840931,1875.2713173922307,7,4,8,30.434782608695656,17.391304347826086,34.78260869565217,1900.0,7352.625
無職転生 ～異世界行ったら本気だす～,6,1166.6666666666667,3694.3333333333335,5169.784005803983,1104.3665454307582,1,1,2,16.666666666666664,16.666666666666664,33.33333333333333,5800.0,4705.5
この素晴らしい世界に祝福を！,3,333.3333333333333,4375.0,1450.2873278538061,961.242945357728,1,1,1,33.33333333333333,33.33333333333333,33.33333333333333,1800.0,5397.0
A‐SLOT+ 異世界かるてっと,3,-200.0,5885.666666666667,793.7253933193772,740.4433356667703,1,0,1,33.33333333333333,0.0,33.33333333333333,700.0,6393.0
機動戦士ガンダムユニコーン 覚醒DRIVE,6,2266.6666666666665,2587.3333333333335,4707.299296482715,1080.6750976434437,2,1,2,33.33333333333333,16.666666666666664,33.33333333333333,7600.0,3526.5
ゾンビランドサガ,3,3200.0,5690.333333333333,5802.5856305616035,1578.534235717849,1,1,1,33.33333333333333,33.33333333333333,33.33333333333333,8900.0,6980.0
ガールズ&パンツァー 最終章,3,4033.3333333333335,3032.3333333333335,6182.502190321758,572.9304786213886,1,0,1,33.33333333333333,0.0,33.33333333333333,11000.0,2373.0
攻殻機動隊,3,800.0,4704.333333333333,1637.07055437449,163.95527845523404,1,0,1,33.33333333333333,0.0,33.33333333333333,2200.0,4565.0
ディスクアップ ULTRAREMIX,10,710.0,4674.2,1443.3371824429046,2373.6016608614946,3,3,3,30.0,30.0,30.0,2500.0,7592.0
ゴッドイーター リザレクション,10,-500.0,3370.1,3517.2590338374443,1018.1684481896348,1,2,3,10.0,20.0,30.0,1433.3333333333333,4621.666666666667
タクトオーパス デスティニー,4,-125.0,4749.0,2796.873254189399,368.01358670570846,1,0,1,25.0,0.0,25.0,4000.0,4354.0
シャーマンキング,4,100.0,2957.0,4490.731195102493,468.79490895984213,1,0,1,25.0,0.0,25.0,6300.0,2528.0
スマスロ サンダーV,4,-775.0,4940.0,780.4912982645396,2441.7017289860228,1,1,1,25.0,25.0,25.0,200.0,8214.0
ヨルムンガンド,5,-320.0,3552.4,2763.5122579789654,594.9632761776141,1,0,1,20.0,0.0,20.0,4100.0,3802.0
ハッピージャグラーVIII,10,-40.0,4276.0,972.0539536923292,2384.4673292885445,1,2,2,10.0,20.0,20.0,1250.0,7974.5
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,5,-1120.0,4217.2,1044.9880382090505,2274.1518638824455,1,1,1,20.0,20.0,20.0,700.0,7702.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2,-1700.0,4423.5,424.26406871192853,610.2331521639906,0,0,0,0.0,0.0,0.0,,
SHAKE BONUS TRIGGER,2,1350.0,6004.5,70.71067811865476,41.71930009000631,0,0,0,0.0,0.0,0.0,,
アクダマドライブ,2,-2250.0,3552.5,70.71067811865476,465.98336880193483,0,0,0,0.0,0.0,0.0,,
戦国†恋姫,1,-300.0,4760.0,,,0,0,0,0.0,0.0,0.0,,
とある魔術の禁書目録,1,-2100.0,3036.0,,,0,0,0,0.0,0.0,0.0,,
マジカルハロウィン8,1,1800.0,5554.0,,,0,0,0,0.0,0.0,0.0,,
