date,machine_number,machine_name,games,diff,payout,day_baseline,edge,edge_vs_excluded,pool_size,universe_size
20260406,2263,スマスロ北斗の拳,1230,-100,0.9728997289972899,72.3076923076923,-172.30769230769232,-172.0863309352518,715,715
20260406,2330,攻殻機動隊,3304,-3100,0.6872477804681194,72.3076923076923,-3172.3076923076924,-3172.0863309352517,715,715
20260406,2331,攻殻機動隊,6206,-300,0.9838865613922011,72.3076923076923,-372.3076923076923,-372.0863309352518,715,715
20260406,2332,攻殻機動隊,3977,-2600,0.7820802950297544,72.3076923076923,-2672.3076923076924,-2672.0863309352517,715,715
20260413,2146,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,2055,200,1.0324412003244121,-15.664335664335665,215.66433566433565,210.8910891089109,715,715
20260413,2147,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,1637,-100,0.9796375483608226,-15.664335664335665,-84.33566433566433,-89.10891089108911,715,715
20260413,2148,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,2243,-900,0.8662505572893446,-15.664335664335665,-884.3356643356643,-889.1089108910891,715,715
20260413,2149,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,2916,300,1.0342935528120714,-15.664335664335665,315.6643356643357,310.8910891089109,715,715
20260413,2150,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,1219,-1200,0.671862182116489,-15.664335664335665,-1184.3356643356644,-1189.1089108910892,715,715
20260413,2335,スマスロ秘宝伝,921,-300,0.8914223669923995,-15.664335664335665,-284.3356643356643,-289.1089108910891,715,715
20260413,2336,スマスロ秘宝伝,402,-500,0.5854063018242123,-15.664335664335665,-484.3356643356643,-489.1089108910891,715,715
20260413,2337,スマスロ秘宝伝,1113,-1000,0.7005091344713986,-15.664335664335665,-984.3356643356643,-989.1089108910891,715,715
20260420,3316,ジャグラーガールズ,1142,-100,0.9708114419147694,69.23076923076923,-169.23076923076923,-167.71879483500717,715,715
20260420,3317,ジャグラーガールズ,2428,-200,0.9725425590334981,69.23076923076923,-269.2307692307692,-267.7187948350072,715,715
20260420,3318,ジャグラーガールズ,1066,-600,0.8123827392120075,69.23076923076923,-669.2307692307693,-667.7187948350072,715,715
20260420,3319,ジャグラーガールズ,704,0,1.0,69.23076923076923,-69.23076923076923,-67.71879483500717,715,715
20260420,3320,ジャグラーガールズ,1266,-800,0.789362822538178,69.23076923076923,-869.2307692307693,-867.7187948350072,715,715
20260420,3321,ジャグラーガールズ,267,0,1.0,69.23076923076923,-69.23076923076923,-67.71879483500717,715,715
20260420,3322,ジャグラーガールズ,7792,900,1.038501026694045,69.23076923076923,830.7692307692307,832.2812051649928,715,715
20260420,3323,ジャグラーガールズ,2003,-100,0.9833582958894991,69.23076923076923,-169.23076923076923,-167.71879483500717,715,715
20260420,3324,ジャグラーガールズ,5484,0,1.0,69.23076923076923,-69.23076923076923,-67.71879483500717,715,715
20260420,2255,スマスロ北斗の拳,1459,-300,0.9314599040438657,69.23076923076923,-369.2307692307692,-367.7187948350072,715,715
20260420,2256,スマスロ北斗の拳,2360,-400,0.943502824858757,69.23076923076923,-469.2307692307692,-467.7187948350072,715,715
20260420,2257,スマスロ北斗の拳,370,400,1.3603603603603605,69.23076923076923,330.7692307692308,332.2812051649928,715,715
20260420,2258,スマスロ北斗の拳,3345,1800,1.1793721973094171,69.23076923076923,1730.7692307692307,1732.2812051649928,715,715
20260420,2259,スマスロ北斗の拳,314,-100,0.8938428874734607,69.23076923076923,-169.23076923076923,-167.71879483500717,715,715
20260420,2260,スマスロ北斗の拳,978,2900,1.9884117246080437,69.23076923076923,2830.769230769231,2832.281205164993,715,715
20260420,2261,スマスロ北斗の拳,920,-1000,0.6376811594202898,69.23076923076923,-1069.2307692307693,-1067.7187948350072,715,715
20260420,2262,スマスロ北斗の拳,2165,200,1.0307929176289454,69.23076923076923,130.76923076923077,132.28120516499283,715,715
20260420,2263,スマスロ北斗の拳,533,-300,0.8123827392120075,69.23076923076923,-369.2307692307692,-367.7187948350072,715,715
20260427,3103,からくりサーカス,4439,-4600,0.6545768566493955,170.34965034965035,-4770.34965034965,-4778.409090909091,715,715
20260427,3104,からくりサーカス,2371,-700,0.9015886405173625,170.34965034965035,-870.3496503496503,-878.4090909090909,715,715
20260427,3105,からくりサーカス,4221,-1500,0.8815446576640606,170.34965034965035,-1670.3496503496503,-1678.409090909091,715,715
20260427,3106,からくりサーカス,2913,-400,0.9542281725597894,170.34965034965035,-570.3496503496503,-578.4090909090909,715,715
20260427,3107,からくりサーカス,5682,-1600,0.9061363369705503,170.34965034965035,-1770.3496503496503,-1778.409090909091,715,715
20260427,3108,からくりサーカス,1482,300,1.067476383265857,170.34965034965035,129.65034965034965,121.5909090909091,715,715
20260427,3109,からくりサーカス,3895,-1100,0.905862216516902,170.34965034965035,-1270.3496503496503,-1278.409090909091,715,715
20260427,2102,ソードアート・オンライン,2017,2200,1.363576268385391,170.34965034965035,2029.6503496503497,2021.590909090909,715,715
20260427,2103,ソードアート・オンライン,3953,2800,1.2361075976051943,170.34965034965035,2629.6503496503497,2621.590909090909,715,715
20260427,2104,ソードアート・オンライン,1410,-700,0.83451536643026,170.34965034965035,-870.3496503496503,-878.4090909090909,715,715
20260427,2105,ソードアート・オンライン,2704,1500,1.1849112426035502,170.34965034965035,1329.6503496503497,1321.590909090909,715,715
20260504,3043,かぐや様は告らせたい,4804,2600,1.1804052178739939,-280.55944055944053,2880.5594405594406,2901.14122681883,715,715
20260504,3044,かぐや様は告らせたい,6028,4900,1.2709577527095774,-280.55944055944053,5180.55944055944,5201.141226818831,715,715
20260504,3045,かぐや様は告らせたい,4757,1700,1.1191226963772687,-280.55944055944053,1980.5594405594406,2001.1412268188303,715,715
20260504,3046,かぐや様は告らせたい,5351,-400,0.9750825390892668,-280.55944055944053,-119.44055944055947,-98.85877318116974,715,715
20260504,3047,かぐや様は告らせたい,2401,-2400,0.6668054977092878,-280.55944055944053,-2119.4405594405594,-2098.85877318117,715,715
20260504,3048,かぐや様は告らせたい,5216,2800,1.1789366053169734,-280.55944055944053,3080.5594405594406,3101.14122681883,715,715
20260504,3049,かぐや様は告らせたい,5812,-800,0.9541179169534297,-280.55944055944053,-519.4405594405595,-498.85877318116974,715,715
