hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
楽園,kakuban_bin,2091-2100,2231-2240,162,2462.1042095572275,-131.145601828232,2593.2498113854595,-0.030050308995552447,offset_candidate
楽園,kakuban_bin,2091-2100,2011-2020,162,2462.1042095572275,-130.07522410924315,2592.1794336664707,0.010401426333436995,offset_candidate
楽園,kakuban_bin,2091-2100,3251-3260,160,2462.1042095572275,-121.43251052272876,2583.5367200799565,-0.06737889811643054,offset_candidate
楽園,kakuban_bin,2091-2100,3151-3160,162,2462.1042095572275,-116.31088450508875,2578.4150940623163,0.04015861701325727,offset_candidate
楽園,kakuban_bin,2091-2100,1211-1220,162,2462.1042095572275,-108.3773748049124,2570.48158436214,0.01671356015618009,offset_candidate
楽園,kakuban_bin,2091-2100,3181-3190,162,2462.1042095572275,-101.99100894169467,2564.0952184989223,0.10835351657818325,offset_candidate
楽園,kakuban_bin,2091-2100,1161-1170,162,2462.1042095572275,-95.5859481931154,2557.6901577503427,-0.06378968511146525,offset_candidate
楽園,kakuban_bin,2091-2100,2001-2010,162,2462.1042095572275,-92.30521137163785,2554.4094209288655,-0.0666299264840476,offset_candidate
楽園,kakuban_bin,2091-2100,1111-1120,162,2462.1042095572275,-90.83168599440877,2552.9358955516363,-0.1540288360948219,offset_candidate
楽園,kakuban_bin,2091-2100,1101-1110,162,2462.1042095572275,-71.9364772936445,2534.040686850872,-0.007101354338698145,offset_candidate
楽園,kakuban_bin,2091-2100,1151-1160,162,2462.1042095572275,-71.40977731324082,2533.513986870468,-0.012879060855598316,offset_candidate
楽園,kakuban_bin,2091-2100,1191-1200,162,2462.1042095572275,-69.97809496952145,2532.082304526749,0.08016016847042977,offset_candidate
楽園,kakuban_bin,2091-2100,3131-3140,159,2462.1042095572275,-66.69183693388037,2528.796046491108,0.09407974528080043,offset_candidate
楽園,kakuban_bin,2091-2100,2121-2130,162,2462.1042095572275,-65.1851496432428,2527.2893592004702,0.031850181189639136,offset_candidate
楽園,kakuban_bin,2091-2100,1171-1180,162,2462.1042095572275,-55.48807439338975,2517.5922839506175,0.04821359299474356,offset_candidate
楽園,kakuban_bin,2091-2100,3121-3130,160,2462.1042095572275,-54.1045312631977,2516.208740820425,-0.02430250467867912,offset_candidate
楽園,kakuban_bin,2091-2100,3191-3200,161,2462.1042095572275,-52.496965864037854,2514.6011754212655,0.05554936948161015,offset_candidate
楽園,kakuban_bin,2091-2100,2111-2120,162,2462.1042095572275,-48.94847513804975,2511.052684695277,-0.047149977375431855,offset_candidate
楽園,kakuban_bin,2091-2100,2041-2050,162,2462.1042095572275,-44.21510261208465,2506.319312169312,-0.03316463236855626,offset_candidate
楽園,kakuban_bin,2091-2100,1201-1210,162,2462.1042095572275,-42.9796553261744,2505.083864883402,0.02354946352928504,offset_candidate
