hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,share_of_total_diff,excess_vs_hall_day,hit104_lift
レイトギャップ,20250320,kakuban_bin,791-800,10,79606,-3163,-316.3,0.2,0.2,0.04293493151423757,0.061743577730928395,-193.45107913669068,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,801-810,10,66391,-20348,-2034.8,0.2,0.2,0.03580751498833941,0.3972046537050051,-1911.9510791366906,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,811-820,10,52962,-2302,-230.2,0.4,0.3,0.028564679080183033,0.04493636292652456,-107.35107913669064,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,821-830,10,27924,-7330,-733.0,0.3,0.3,0.015060611355972791,0.14308581244631843,-610.1510791366907,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,831-840,10,48147,-114,-11.4,0.3,0.2,0.02596774297937337,0.0022253455141719373,111.44892086330934,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,841-850,10,34022,7038,703.8,0.3,0.3,0.018349524407423948,-0.13738580463808855,826.6489208633093,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,851-860,10,28910,-12036,-1203.6,0.1,0.1,0.015592403463012942,0.23494963691731086,-1080.7510791366906,-0.20935251798561152
レイトギャップ,20250320,kakuban_bin,861-870,10,46371,-925,-92.5,0.5,0.4,0.0250098699752118,0.018056531584289843,30.348920863309345,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,871-880,10,36870,8734,873.4,0.4,0.4,0.01988557300869205,-0.17049269930506755,996.2489208633093,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,881-890,9,37246,-9538,-1059.7777777777778,0.2222222222222222,0.2222222222222222,0.020088365942005536,0.1861872413523854,-936.9288569144685,-0.08713029576338932
レイトギャップ,20250320,kakuban_bin,891-900,10,27933,-221,-22.1,0.4,0.3,0.01506546544214253,0.004314047005543843,100.74892086330934,-0.009352517985611541
