threshold_A,threshold_N,alpha,beta,target_date,is_event,overall_hit_rate,selected_hit_rate,selected_lift,selected_diff_sum,selected_count,section_count
104.0,104.0,0.0,0.1,2026-05-24,0,0.3631123919308357,0.3181818181818182,0.8762626262626263,-300.0,22,53
104.0,104.0,0.0,0.1,2026-05-25,0,0.3326923076923077,0.22727272727272727,0.6831318970047294,-6100.0,22,53
104.0,104.0,0.0,0.1,2026-05-26,0,0.3611111111111111,0.4583333333333333,1.2692307692307692,-2800.0,24,52
104.0,104.0,0.0,0.1,2026-05-27,1,0.314540059347181,0.28,0.8901886792452831,5600.0,25,53
104.0,104.0,0.0,0.1,2026-05-28,0,0.35777777777777775,0.38095238095238093,1.064773735581189,6600.0,21,53
104.0,104.0,0.0,0.1,2026-05-29,0,0.3617886178861789,0.391304347826087,1.0815828041035662,6600.0,23,52
104.0,104.0,0.0,0.1,2026-05-30,0,0.39915966386554624,0.36363636363636365,0.9110047846889952,-3600.0,22,53
104.0,104.0,0.0,0.1,2026-06-01,1,0.34715821812596004,0.52,1.4978761061946904,31500.0,25,53
104.0,104.0,0.0,0.1,2026-06-02,0,0.3270321361058601,0.4090909090909091,1.2509196006305834,4500.0,22,53
104.0,104.0,0.0,0.1,2026-06-03,0,0.3481781376518219,0.44,1.263720930232558,36800.0,25,53
104.0,104.0,0.0,0.1,2026-06-04,0,0.29957805907172996,0.3333333333333333,1.112676056338028,2200.0,24,53
104.0,104.0,0.0,0.1,2026-06-05,0,0.3154875717017208,0.45454545454545453,1.440771349862259,4900.0,22,53
104.0,104.0,0.0,0.1,2026-06-06,0,0.31512605042016806,0.44,1.3962666666666668,6600.0,25,53
104.0,104.0,0.0,0.1,2026-06-07,1,0.355021216407355,0.44,1.2393625498007967,9400.0,25,53
104.0,104.0,0.0,0.1,2026-06-08,0,0.37265917602996257,0.32,0.8586934673366834,-9100.0,25,53
104.0,104.0,0.0,0.1,2026-06-09,0,0.30727272727272725,0.4,1.3017751479289943,8900.0,25,52
104.0,104.0,0.0,0.1,2026-06-10,0,0.3674911660777385,0.36,0.9796153846153846,-4600.0,25,53
104.0,104.0,0.0,0.1,2026-06-11,1,0.31795716639209226,0.28,0.8806217616580312,1500.0,25,53
104.0,104.0,0.0,0.1,2026-06-13,0,0.3495702005730659,0.36,1.0298360655737704,-600.0,25,53
104.0,104.0,0.0,0.1,2026-06-14,0,0.3103953147877013,0.44,1.4175471698113207,20300.0,25,53
104.0,104.0,0.0,0.1,2026-06-15,0,0.3288201160541586,0.32,0.9731764705882353,-10600.0,25,53
104.0,104.0,0.0,0.1,2026-06-16,0,0.3675889328063241,0.52,1.4146236559139787,16300.0,25,53
104.0,104.0,0.0,0.1,2026-06-17,1,0.37333333333333335,0.44,1.1785714285714286,8100.0,25,53
104.0,104.0,0.0,0.1,2026-06-18,0,0.314410480349345,0.52,1.653888888888889,18200.0,25,53
104.0,104.0,0.0,0.1,2026-06-19,0,0.2859960552268245,0.28,0.9790344827586207,1000.0,25,52
104.0,104.0,0.0,0.1,2026-06-20,0,0.3157894736842105,0.52,1.6466666666666667,15100.0,25,53
104.0,104.0,0.0,0.1,2026-06-21,1,0.29017857142857145,0.32,1.1027692307692307,-1400.0,25,53
104.0,104.0,0.0,0.1,2026-06-22,1,0.35294117647058826,0.36,1.0199999999999998,13000.0,25,53
104.0,104.0,0.0,0.1,2026-06-23,0,0.3522727272727273,0.36,1.0219354838709676,0.0,25,53
104.0,104.0,0.0,0.1,2026-06-24,0,0.33398821218074654,0.48,1.4371764705882353,13700.0,25,53
104.0,104.0,0.0,0.1,2026-06-25,0,0.35348837209302325,0.56,1.5842105263157897,32200.0,25,53
104.0,104.0,0.0,0.1,2026-06-26,0,0.32015065913371,0.36,1.124470588235294,1800.0,25,52
104.0,104.0,0.0,0.1,2026-06-27,1,0.3323903818953324,0.56,1.6847659574468088,42100.0,25,53
104.0,104.0,0.0,0.1,2026-06-28,0,0.29542097488921715,0.28,0.9478000000000001,-21900.0,25,53
