scope,dd,is_event_dd,n_days,avg_games,avg_diff,win_rate,hit_rate,avg_payout_rate
2004,2,False,18,1470.8,-245.7,27.8,16.7,89.9
2004,3,False,18,1705.1,-299.0,35.7,21.4,87.7
2004,4,True,18,2442.5,-570.9,28.6,21.4,84.5
2004,5,False,18,1535.0,425.7,46.7,33.3,99.5
2004,6,False,18,2150.0,-488.6,20.0,20.0,88.2
2004,7,True,18,3467.7,238.5,35.3,29.4,99.7
2004,8,False,18,2031.6,-526.4,18.8,12.5,85.5
2004,9,False,18,1711.2,393.2,31.2,31.2,103.5
2004,10,False,17,3591.1,277.8,47.1,29.4,98.4
2004,11,False,18,3098.8,-189.9,35.3,23.5,94.6
2004,12,False,17,2873.6,-863.0,20.0,13.3,91.7
2004,13,False,18,2589.6,140.4,29.4,23.5,91.9
2004,14,True,18,1338.7,-663.4,12.5,12.5,84.0
2004,15,False,18,2988.4,220.1,30.8,23.1,97.5
2004,16,False,18,2366.2,127.3,38.9,33.3,94.4
2004,17,True,18,2460.9,381.2,29.4,29.4,95.2
2004,18,False,18,1912.8,35.5,26.7,20.0,105.4
2004,19,False,18,2815.9,71.8,42.9,35.7,97.6
2004,20,False,18,2435.4,426.3,27.8,22.2,94.6
2004,21,False,18,2554.9,1559.9,50.0,50.0,110.8
2004,22,False,18,3651.2,-86.5,41.2,29.4,97.3
2004,23,False,18,1991.0,196.7,25.0,25.0,85.4
2004,24,True,18,2625.6,157.3,52.9,47.1,98.3
2004,25,False,18,3121.3,653.7,38.9,33.3,101.0
2004,26,False,18,2710.9,-92.2,29.4,29.4,92.9
2004,27,True,18,2055.9,-550.6,14.3,7.1,81.8
2004,28,False,18,2429.6,-890.3,17.6,17.6,84.1
2004,29,False,15,2063.3,419.5,40.0,40.0,98.0
2004,30,True,15,5639.1,254.3,53.3,26.7,95.2
2004,31,False,10,2335.5,-803.2,12.5,12.5,82.9
2005,1,True,18,2711.8,-181.8,29.4,29.4,92.0
2005,2,False,18,1837.9,-510.9,20.0,13.3,81.1
2005,3,False,18,1321.1,298.8,40.0,33.3,98.2
2005,4,True,18,1525.9,736.9,40.0,40.0,105.9
2005,5,False,18,2051.4,95.6,28.6,28.6,92.0
2005,6,False,18,1978.2,125.2,31.2,31.2,86.4
2005,7,True,18,2372.1,-257.4,29.4,23.5,96.5
2005,8,False,18,1192.9,-37.7,20.0,20.0,104.2
2005,9,False,18,1544.7,-579.9,18.8,18.8,84.8
2005,10,False,17,2436.1,540.9,41.2,35.3,101.8
2005,11,False,18,3614.4,-148.8,33.3,20.0,89.7
2005,12,False,17,1513.3,244.8,33.3,26.7,87.4
2005,13,False,18,1911.5,571.8,26.7,13.3,95.8
2005,14,True,18,1611.9,-202.7,26.7,20.0,82.7
2005,15,False,18,1004.7,-203.8,42.9,35.7,100.4
2005,16,False,18,1517.1,-730.6,11.8,11.8,76.6
2005,17,True,18,1770.2,-897.2,30.8,30.8,83.3
2005,18,False,18,1746.2,-868.7,8.3,8.3,86.1
2005,19,False,18,954.9,-488.7,13.3,13.3,83.4
2005,20,False,18,2947.2,981.9,38.9,33.3,99.2
2005,21,False,18,2095.4,-874.6,18.8,12.5,82.2
2005,22,False,18,3484.2,255.2,41.2,29.4,90.9
2005,23,False,18,2159.6,-325.6,15.4,7.7,80.6
2005,24,True,18,2459.2,172.5,38.5,23.1,97.6
2005,25,False,18,2361.9,330.8,25.0,25.0,92.2
2005,26,False,18,1349.1,473.1,35.7,28.6,92.3
2005,27,True,18,2033.1,-109.7,31.2,18.8,91.8
2005,28,False,18,1581.2,19.3,13.3,13.3,85.1
2005,29,False,15,1724.5,-166.3,25.0,16.7,80.6
2005,30,True,15,5121.7,63.8,33.3,26.7,94.0
2005,31,False,10,2466.4,-237.8,22.2,22.2,81.1
2006,1,True,18,2381.8,643.2,50.0,31.2,102.6
2006,2,False,18,1466.7,-685.3,6.7,6.7,78.3
2006,3,False,18,2178.2,446.2,54.5,45.5,99.3
2006,4,True,18,1032.3,-406.0,13.3,13.3,79.4
2006,5,False,18,1568.6,395.0,21.4,21.4,109.6
2006,6,False,18,3049.6,-463.2,20.0,13.3,88.3
2006,7,True,18,2382.1,117.9,33.3,26.7,96.1
2006,8,False,18,1468.9,171.1,23.5,23.5,91.9
2006,9,False,18,1687.4,-826.9,12.5,6.2,75.6
2006,10,False,17,2519.0,426.1,29.4,23.5,95.2
2006,11,False,18,2977.6,67.0,20.0,20.0,88.5
2006,12,False,17,1729.9,-401.5,31.2,25.0,87.0
2006,13,False,18,1706.4,-266.3,26.7,20.0,85.8
2006,14,True,18,1605.4,-329.5,21.4,21.4,88.1
2006,15,False,18,948.4,-633.3,7.7,0.0,77.2
2006,16,False,18,1784.2,568.7,40.0,20.0,95.5
2006,17,True,18,2744.6,784.6,53.3,46.7,112.6
2006,18,False,18,1877.0,681.8,46.2,38.5,114.4
2006,19,False,18,860.9,341.0,23.1,23.1,87.0
2006,20,False,18,2716.8,598.6,37.5,37.5,89.6
2006,21,False,18,1817.0,0.3,26.7,26.7,92.2
2006,22,False,18,3469.0,1162.8,41.2,29.4,95.7
2006,23,False,18,1890.0,-241.1,35.7,28.6,96.2
2006,24,True,18,2107.8,245.8,46.2,38.5,99.9
2006,25,False,18,2231.9,548.1,57.1,50.0,98.0
2006,26,False,18,2396.3,-166.4,21.4,14.3,84.1
2006,27,True,18,2051.3,397.1,46.7,40.0,101.2
2006,28,False,18,1400.1,74.4,38.9,33.3,92.1
2006,29,False,15,1957.4,429.0,33.3,25.0,89.9
2006,30,True,15,4437.9,428.9,46.7,46.7,110.0
2006,31,False,10,2097.9,-719.9,12.5,12.5,92.6
2007,1,True,18,2365.2,-409.7,22.2,11.1,88.2
2007,2,False,18,1559.1,-478.8,18.8,12.5,80.0
2007,3,False,18,1729.0,905.1,35.7,28.6,101.8
2007,4,True,18,1105.1,-647.3,6.7,6.7,77.8
2007,5,False,18,2214.0,306.2,41.7,41.7,100.0
2007,6,False,18,1690.7,158.0,37.5,25.0,84.8
2007,7,True,18,2494.5,-209.6,35.3,29.4,87.0
2007,8,False,18,1578.7,297.4,29.4,23.5,95.2
2007,9,False,18,2048.8,790.9,46.7,46.7,98.2
2007,10,False,17,2635.2,-470.3,35.3,35.3,88.7
2007,11,False,18,3239.7,-68.1,50.0,37.5,99.6
2007,12,False,17,2596.5,1565.5,40.0,40.0,98.4
2007,13,False,18,1861.2,-164.5,23.1,15.4,85.2
2007,14,True,18,2038.4,-595.0,21.4,21.4,88.8
2007,15,False,18,1428.5,244.8,46.7,33.3,96.8
2007,16,False,18,2619.1,581.4,46.7,40.0,95.8
2007,17,True,18,1812.8,113.4,43.8,31.2,102.9
2007,18,False,18,2012.9,27.6,35.7,28.6,95.7
2007,19,False,18,1221.0,-463.1,26.7,26.7,84.2
2007,20,False,18,1959.2,173.0,37.5,37.5,100.1
2007,21,False,18,1837.5,-208.0,18.8,18.8,89.1
2007,22,False,18,3272.5,-159.2,29.4,23.5,93.2
2007,23,False,18,1744.6,-675.8,20.0,13.3,81.3
2007,24,True,18,2063.3,283.1,50.0,31.2,99.1
2007,25,False,18,2870.3,533.1,50.0,37.5,101.6
2007,26,False,18,1352.3,-440.2,16.7,16.7,84.8
2007,27,True,18,1946.1,-717.4,14.3,7.1,80.2
2007,28,False,18,1675.7,-117.1,26.7,26.7,92.5
2007,29,False,15,2332.1,568.2,53.8,46.2,91.7
2007,30,True,15,2819.2,-482.1,13.3,13.3,90.2
2007,31,False,10,2226.1,-434.0,37.5,25.0,89.6
