index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
4,3F_R_A,1068.0,470.1807228915663,64.0,103.16601594823987,597.8192771084337,0.0,0.0,0.0,0.0,2.0,0.5712,13.0,1.1183132530120483,7.0,0.9430188679245283,5.0,0.9272727272727272,2026-02-28,v6a_hit_an,90,event,bottom50
5,3F_R_N,-324.0,575.0,38.0,98.10767676945814,-899.0,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,10.0,0.8602409638554217,8.0,1.0777358490566038,7.0,1.298181818181818,2026-02-28,v6a_hit_an,90,event,bottom50
0,2F_L_N,446.0,517.0180722891566,48.0,101.72050502273638,-71.01807228915663,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,11.0,0.9462650602409639,8.0,1.0777358490566038,6.0,1.1127272727272726,2026-02-28,v11_seg_weights,90,event,top50
1,2F_R_N,338.0,525.1506024096385,44.0,103.65650351642908,-187.1506024096385,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,11.0,0.9462650602409639,6.0,0.8083018867924529,3.0,0.5563636363636363,2026-02-28,v11_seg_weights,90,event,top50
2,3F_L_A,1296.0,453.0120481927711,64.0,104.64039863875531,842.9879518072289,0.0,0.0,0.0,0.0,3.0,0.8568,15.0,1.2903614457831325,8.0,1.0777358490566038,5.0,0.9272727272727272,2026-02-28,v11_seg_weights,90,event,top50
3,3F_L_N,452.0,516.566265060241,38.0,107.08992500812771,-64.566265060241,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,12.0,1.032289156626506,8.0,1.0777358490566038,8.0,1.4836363636363634,2026-02-28,v11_seg_weights,90,event,top50
4,3F_R_A,776.0,492.1686746987952,62.0,102.71897490862757,283.8313253012048,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6881927710843374,1.0,0.13471698113207548,1.0,0.18545454545454543,2026-02-28,v11_seg_weights,90,event,top50
5,3F_R_N,224.0,533.7349397590361,38.0,100.73995267605855,-309.73493975903614,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,12.0,1.032289156626506,10.0,1.3471698113207546,8.0,1.4836363636363634,2026-02-28,v11_seg_weights,90,event,top50
0,2F_L_N,38.0,547.7409638554217,34.0,100.19563489685821,-509.7409638554217,0.0,0.0,1.0,0.7140000000000001,5.0,1.428,9.0,0.7742168674698795,8.0,1.0777358490566038,6.0,1.1127272727272726,2026-02-28,v11_seg_weights,90,event,bottom50
1,2F_R_N,674.0,499.84939759036143,46.0,105.13565587370054,174.15060240963857,2.0,2.8560000000000003,4.0,2.8560000000000003,4.0,1.1424,11.0,0.9462650602409639,9.0,1.2124528301886792,6.0,1.1127272727272726,2026-02-28,v11_seg_weights,90,event,bottom50
2,3F_L_A,864.0,485.5421686746988,60.0,101.39188456446867,378.4578313253012,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.3763855421686748,6.0,0.8083018867924529,1.0,0.18545454545454543,2026-02-28,v11_seg_weights,90,event,bottom50
3,3F_L_N,-438.0,583.5843373493976,34.0,96.95838338903688,-1021.5843373493976,1.0,1.4280000000000002,1.0,0.7140000000000001,1.0,0.2856,8.0,0.6881927710843374,5.0,0.6735849056603773,3.0,0.5563636363636363,2026-02-28,v11_seg_weights,90,event,bottom50
4,3F_R_A,1068.0,470.1807228915663,64.0,103.16601594823987,597.8192771084337,0.0,0.0,0.0,0.0,2.0,0.5712,13.0,1.1183132530120483,7.0,0.9430188679245283,5.0,0.9272727272727272,2026-02-28,v11_seg_weights,90,event,bottom50
5,3F_R_N,-324.0,575.0,38.0,98.10767676945814,-899.0,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,10.0,0.8602409638554217,8.0,1.0777358490566038,7.0,1.298181818181818,2026-02-28,v11_seg_weights,90,event,bottom50
0,2F_L_N,524.0,251.05421686746988,50.0,102.23935274262001,272.9457831325301,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,9.0,0.9450000000000001,7.0,1.2190243902439024,5.0,1.373076923076923,2026-03-01,v6a_hit_an,90,event,top50
1,2F_R_N,310.0,267.1686746987952,44.0,101.7673077888811,42.8313253012048,0.0,0.0,2.0,1.4280000000000002,5.0,1.428,10.0,1.05,9.0,1.5673170731707318,6.0,1.6476923076923078,2026-03-01,v6a_hit_an,90,event,top50
2,3F_L_A,942.0,219.57831325301206,66.0,103.0053502515353,722.4216867469879,0.0,0.0,0.0,0.0,2.0,0.5712,10.0,1.05,3.0,0.5224390243902439,2.0,0.5492307692307692,2026-03-01,v6a_hit_an,90,event,top50
3,3F_L_N,-536.0,330.8734939759036,34.0,93.90647677376494,-866.8734939759036,2.0,2.8560000000000003,2.0,1.4280000000000002,2.0,0.5712,5.0,0.525,3.0,0.5224390243902439,2.0,0.5492307692307692,2026-03-01,v6a_hit_an,90,event,top50
4,3F_R_A,1020.0,213.70481927710844,60.0,102.74547845249589,806.2951807228916,0.0,0.0,0.0,0.0,3.0,0.8568,15.0,1.575,3.0,0.5224390243902439,3.0,0.8238461538461539,2026-03-01,v6a_hit_an,90,event,top50
5,3F_R_N,-106.0,298.49397590361446,52.0,100.8055662649445,-404.49397590361446,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,8.0,0.84,4.0,0.6965853658536585,2.0,0.5492307692307692,2026-03-01,v6a_hit_an,90,event,top50
0,2F_L_N,-586.0,334.6385542168675,36.0,95.51314146152112,-920.6385542168675,0.0,0.0,0.0,0.0,2.0,0.5712,7.0,0.735,4.0,0.6965853658536585,2.0,0.5492307692307692,2026-03-01,v6a_hit_an,90,event,bottom50
1,2F_R_N,252.0,271.53614457831327,52.0,101.4470487629596,-19.53614457831327,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,7.0,0.735,6.0,1.0448780487804878,3.0,0.8238461538461539,2026-03-01,v6a_hit_an,90,event,bottom50
2,3F_L_A,960.0,218.22289156626505,62.0,103.44076997940289,741.777108433735,0.0,0.0,1.0,0.7140000000000001,4.0,1.1424,11.0,1.155,7.0,1.2190243902439024,4.0,1.0984615384615384,2026-03-01,v6a_hit_an,90,event,bottom50
3,3F_L_N,490.0,253.6144578313253,52.0,103.80140440669733,236.3855421686747,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,12.0,1.26,7.0,1.2190243902439024,4.0,1.0984615384615384,2026-03-01,v6a_hit_an,90,event,bottom50
4,3F_R_A,910.0,221.9879518072289,64.0,102.86008252055693,688.0120481927711,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.155,4.0,0.6965853658536585,0.0,0.0,2026-03-01,v6a_hit_an,90,event,bottom50
5,3F_R_N,-900.0,358.2831325301205,38.0,93.0086577866616,-1258.2831325301204,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,4.0,0.42,3.0,0.5224390243902439,3.0,0.8238461538461539,2026-03-01,v6a_hit_an,90,event,bottom50
0,2F_L_N,524.0,251.05421686746988,50.0,102.23935274262001,272.9457831325301,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,9.0,0.9450000000000001,7.0,1.2190243902439024,5.0,1.373076923076923,2026-03-01,v11_seg_weights,90,event,top50
1,2F_R_N,310.0,267.1686746987952,44.0,101.7673077888811,42.8313253012048,0.0,0.0,2.0,1.4280000000000002,5.0,1.428,10.0,1.05,9.0,1.5673170731707318,6.0,1.6476923076923078,2026-03-01,v11_seg_weights,90,event,top50
2,3F_L_A,942.0,219.57831325301206,66.0,103.0053502515353,722.4216867469879,0.0,0.0,0.0,0.0,2.0,0.5712,10.0,1.05,3.0,0.5224390243902439,2.0,0.5492307692307692,2026-03-01,v11_seg_weights,90,event,top50
3,3F_L_N,-536.0,330.8734939759036,34.0,93.90647677376494,-866.8734939759036,2.0,2.8560000000000003,2.0,1.4280000000000002,2.0,0.5712,5.0,0.525,3.0,0.5224390243902439,2.0,0.5492307692307692,2026-03-01,v11_seg_weights,90,event,top50
4,3F_R_A,1020.0,213.70481927710844,60.0,102.74547845249589,806.2951807228916,0.0,0.0,0.0,0.0,3.0,0.8568,15.0,1.575,3.0,0.5224390243902439,3.0,0.8238461538461539,2026-03-01,v11_seg_weights,90,event,top50
5,3F_R_N,-106.0,298.49397590361446,52.0,100.8055662649445,-404.49397590361446,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,8.0,0.84,4.0,0.6965853658536585,2.0,0.5492307692307692,2026-03-01,v11_seg_weights,90,event,top50
0,2F_L_N,-586.0,334.6385542168675,36.0,95.51314146152112,-920.6385542168675,0.0,0.0,0.0,0.0,2.0,0.5712,7.0,0.735,4.0,0.6965853658536585,2.0,0.5492307692307692,2026-03-01,v11_seg_weights,90,event,bottom50
1,2F_R_N,252.0,271.53614457831327,52.0,101.4470487629596,-19.53614457831327,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,7.0,0.735,6.0,1.0448780487804878,3.0,0.8238461538461539,2026-03-01,v11_seg_weights,90,event,bottom50
2,3F_L_A,960.0,218.22289156626505,62.0,103.44076997940289,741.777108433735,0.0,0.0,1.0,0.7140000000000001,4.0,1.1424,11.0,1.155,7.0,1.2190243902439024,4.0,1.0984615384615384,2026-03-01,v11_seg_weights,90,event,bottom50
3,3F_L_N,490.0,253.6144578313253,52.0,103.80140440669733,236.3855421686747,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,12.0,1.26,7.0,1.2190243902439024,4.0,1.0984615384615384,2026-03-01,v11_seg_weights,90,event,bottom50
4,3F_R_A,910.0,221.9879518072289,64.0,102.86008252055693,688.0120481927711,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.155,4.0,0.6965853658536585,0.0,0.0,2026-03-01,v11_seg_weights,90,event,bottom50
5,3F_R_N,-900.0,358.2831325301205,38.0,93.0086577866616,-1258.2831325301204,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,4.0,0.42,3.0,0.5224390243902439,3.0,0.8238461538461539,2026-03-01,v11_seg_weights,90,event,bottom50
0,2F_L_N,-240.0,116.41566265060241,26.0,94.08442092721428,-356.4156626506024,0.0,0.0,0.0,0.0,5.0,1.428,5.0,0.84,5.0,1.2101694915254235,5.0,1.6604651162790698,2026-03-02,v6a_hit_an,90,non_event,top50
1,2F_R_N,-438.0,131.32530120481928,22.0,94.43072779951841,-569.3253012048193,0.0,0.0,1.0,0.7140000000000001,4.0,1.1424,5.0,0.84,5.0,1.2101694915254235,4.0,1.3283720930232559,2026-03-02,v6a_hit_an,90,non_event,top50
2,3F_L_A,132.0,88.40361445783132,38.0,95.09372264468325,43.596385542168676,0.0,0.0,0.0,0.0,2.0,0.5712,3.0,0.504,2.0,0.48406779661016947,1.0,0.33209302325581397,2026-03-02,v6a_hit_an,90,non_event,top50
3,3F_L_N,-152.0,109.78915662650603,32.0,98.77700124026332,-261.78915662650604,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,6.0,1.008,4.0,0.9681355932203389,2.0,0.6641860465116279,2026-03-02,v6a_hit_an,90,non_event,top50
4,3F_R_A,124.0,89.00602409638554,42.0,94.87961383467679,34.993975903614455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16799999999999998,0.0,0.0,0.0,0.0,2026-03-02,v6a_hit_an,90,non_event,top50
5,3F_R_N,1436.0,-9.789156626506024,52.0,114.21915338788138,1445.789156626506,2.0,2.8560000000000003,6.0,4.284000000000001,10.0,2.856,17.0,2.856,13.0,3.146440677966101,10.0,3.3209302325581396,2026-03-02,v6a_hit_an,90,non_event,top50
0,2F_L_N,278.0,77.40963855421687,34.0,98.52591313871957,200.59036144578312,3.0,4.284000000000001,4.0,2.8560000000000003,6.0,1.7136,10.0,1.68,7.0,1.6942372881355932,5.0,1.6604651162790698,2026-03-02,v6a_hit_an,90,non_event,bottom50
1,2F_R_N,-190.0,112.65060240963855,40.0,98.47325244459782,-302.65060240963857,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,4.0,0.6719999999999999,3.0,0.7261016949152541,2.0,0.6641860465116279,2026-03-02,v6a_hit_an,90,non_event,bottom50
2,3F_L_A,2.0,98.19277108433735,26.0,92.96990829770745,-96.19277108433735,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6719999999999999,0.0,0.0,0.0,0.0,2026-03-02,v6a_hit_an,90,non_event,bottom50
3,3F_L_N,312.0,74.84939759036145,46.0,107.51491677266317,237.15060240963857,4.0,5.712000000000001,4.0,2.8560000000000003,5.0,1.428,9.0,1.512,7.0,1.6942372881355932,4.0,1.3283720930232559,2026-03-02,v6a_hit_an,90,non_event,bottom50
4,3F_R_A,-32.0,100.75301204819277,28.000000000000004,94.6252169241747,-132.75301204819277,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33599999999999997,1.0,0.24203389830508473,0.0,0.0,2026-03-02,v6a_hit_an,90,non_event,bottom50
5,3F_R_N,928.0,28.46385542168675,50.0,107.9060923385578,899.5361445783133,2.0,2.8560000000000003,4.0,2.8560000000000003,8.0,2.2848,12.0,2.016,9.0,2.1783050847457623,8.0,2.6567441860465117,2026-03-02,v6a_hit_an,90,non_event,bottom50
