hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,diff_share,excess_vs_hall_day,hit104_lift_vs_hall_day
蒲田7,20260605,machine_category,juggler,172,709313,15900,92.44186046511628,0.36046511627906974,0.22093023255813954,0.3206380820471279,0.5501730103806228,51.90890113832806,-0.058172151733585586
蒲田7,20260605,machine_category,other,486,1298988,2100,4.320987654320987,0.32098765432098764,0.29218106995884774,0.5871949631858356,0.0726643598615917,-36.21197167246723,0.013078685667122614
蒲田7,20260606,machine_category,at_smart,30,169580,13800,460.0,0.3333333333333333,0.23333333333333334,0.04102293660652404,2.5090909090909093,452.3076923076923,-0.08275058275058272
蒲田7,20260606,machine_category,hana_oki,25,154249,-13000,-520.0,0.32,0.2,0.0373142289693344,-2.3636363636363638,-527.6923076923077,-0.11608391608391605
蒲田7,20260606,machine_category,juggler,172,1217475,62700,364.5348837209302,0.5755813953488372,0.29651162790697677,0.2945182199848323,11.4,356.84257602862255,-0.01957228817693929
蒲田7,20260606,machine_category,other,488,2592481,-58000,-118.85245901639344,0.3975409836065574,0.33401639344262296,0.6271446144393092,-10.545454545454545,-126.54476670870113,0.0179324773587069
蒲田7,20260607,machine_category,at_smart,30,150715,20100,670.0,0.5333333333333333,0.4666666666666667,0.040747770180575495,0.08846830985915492,352.23776223776224,0.11421911421911424
蒲田7,20260607,machine_category,hana_oki,25,156005,7000,280.0,0.52,0.4,0.04217799082387738,0.030809859154929578,-37.76223776223776,0.047552447552447585
蒲田7,20260607,machine_category,juggler,172,1039351,31900,185.46511627906978,0.4476744186046512,0.2616279069767442,0.2810021277573654,0.14040492957746478,-132.29712148316798,-0.09081964547080823
蒲田7,20260607,machine_category,other,488,2352659,168200,344.672131147541,0.45491803278688525,0.375,0.6360721112381817,0.7403169014084507,26.909893385303235,0.022552447552447563
蒲田7,20260608,machine_category,at_smart,30,104192,-15000,-500.0,0.26666666666666666,0.23333333333333334,0.04352197506358581,-0.13876040703052728,-652.6836158192091,-0.09293785310734465
蒲田7,20260608,machine_category,hana_oki,25,95158,10300,412.0,0.48,0.4,0.03974838858166364,0.09528214616096208,259.3163841807909,0.07372881355932204
蒲田7,20260608,machine_category,juggler,172,610964,23400,136.04651162790697,0.4011627906976744,0.27325581395348836,0.2552053897875906,0.21646623496762257,-16.637104191302086,-0.05301537248718963
蒲田7,20260608,machine_category,other,481,1583695,89400,185.86278586278587,0.3804573804573805,0.3471933471933472,0.6615242465671599,0.8270120259019427,33.17917004357682,0.020922160752669228
蒲田7,20260609,machine_category,at_smart,30,103750,-9000,-300.0,0.36666666666666664,0.3333333333333333,0.04101302771413347,-0.13803680981595093,-392.35127478753543,0.05571293673276673
蒲田7,20260609,machine_category,hana_oki,25,121200,11900,476.0,0.52,0.32,0.047911122495932296,0.18251533742331288,383.64872521246457,0.04237960339943342
蒲田7,20260609,machine_category,juggler,172,733992,26000,151.1627906976744,0.4069767441860465,0.22093023255813954,0.29015165530556386,0.3987730061349693,58.81151591013899,-0.05669016404242705
蒲田7,20260609,machine_category,other,479,1570742,36300,75.78288100208768,0.3444676409185804,0.29227557411273486,0.6209241944843704,0.5567484662576687,-16.56839378544774,0.014655177512168271
蒲田7,20260610,machine_category,at_smart,30,110047,-2700,-90.0,0.3,0.3,0.04185498118281104,-0.023872679045092837,-248.4033613445378,-0.0165266106442577
蒲田7,20260610,machine_category,hana_oki,25,145448,25700,1028.0,0.56,0.44,0.055319302689555365,0.22723253757736517,869.5966386554621,0.12347338935574231
蒲田7,20260610,machine_category,juggler,172,697480,14700,85.46511627906976,0.436046511627907,0.28488372093023256,0.2652776747697533,0.129973474801061,-72.93824506546805,-0.031642889714025124
蒲田7,20260610,machine_category,other,487,1676270,75400,154.82546201232032,0.36344969199178645,0.32238193018480493,0.6375480413578803,0.6666666666666666,-3.5778993322174983,0.005855319540547244
蒲田7,20260611,machine_category,at_smart,30,112109,-13600,-453.3333333333333,0.3333333333333333,0.23333333333333334,0.040729008896812025,-0.11877729257641921,-614.6009389671361,-0.0624413145539906
蒲田7,20260611,machine_category,hana_oki,25,147121,20800,832.0,0.64,0.48,0.053448808908364905,0.18165938864628822,670.7323943661972,0.18422535211267604
蒲田7,20260611,machine_category,juggler,172,757995,19700,114.53488372093024,0.3953488372093023,0.20930232558139536,0.27537829343530873,0.1720524017467249,-46.73272191287258,-0.08647232230592858
蒲田7,20260611,machine_category,other,483,1735334,87600,181.3664596273292,0.38509316770186336,0.32091097308488614,0.6304438887595143,0.7650655021834061,20.098853993526376,0.025136325197562204
蒲田7,20260613,machine_category,at_smart,30,161516,27100,903.3333333333334,0.5666666666666667,0.43333333333333335,0.04440608822766877,0.24885215794306703,750.5984104721833,0.08971482000935016
蒲田7,20260613,machine_category,hana_oki,25,128897,7400,296.0,0.4,0.32,0.03543804672157447,0.06795224977043159,143.26507713884993,-0.02361851332398318
蒲田7,20260613,machine_category,juggler,172,1104615,77500,450.5813953488372,0.5348837209302325,0.3488372093023256,0.303695182815364,0.711662075298439,297.84647248768715,0.0052186959783424025
蒲田7,20260613,machine_category,other,486,2242221,-3100,-6.378600823045267,0.3991769547325103,0.3374485596707819,0.6164606822353927,-0.028466483011937556,-159.11352368419534,-0.006169953653201277
蒲田7,20260614,machine_category,at_smart,30,143354,3200,106.66666666666667,0.36666666666666664,0.3333333333333333,0.04432928737440643,-0.6037735849056604,114.11048689138578,0.035580524344569264
蒲田7,20260614,machine_category,hana_oki,25,96112,-11600,-464.0,0.2,0.08,0.02972066679777998,2.188679245283019,-456.5561797752809,-0.21775280898876404
蒲田7,20260614,machine_category,juggler,172,867036,-1400,-8.13953488372093,0.4186046511627907,0.26744186046511625,0.268113118629099,0.2641509433962264,-0.6957146590018297,-0.030310948523647796
蒲田7,20260614,machine_category,other,485,2127342,4500,9.278350515463918,0.38556701030927837,0.31752577319587627,0.6578369271987146,-0.8490566037735849,16.722170740183017,0.01977296420711222
蒲田7,20260615,machine_category,at_smart,34,139220,8000,235.2941176470588,0.47058823529411764,0.35294117647058826,0.061629421342142006,-0.18140589569160998,297.4943997345059,0.06098066871318347
蒲田7,20260615,machine_category,hana_oki,25,90077,-3700,-148.0,0.32,0.24,0.0398749704513441,0.08390022675736962,-85.7997179125529,-0.051960507757404795
蒲田7,20260615,machine_category,juggler,172,643353,9700,56.395348837209305,0.3953488372093023,0.27325581395348836,0.2847972497394849,-0.2199546485260771,118.5956309246564,-0.018704693803916428
蒲田7,20260615,machine_category,other,478,1386336,-58100,-121.54811715481172,0.33472803347280333,0.29707112970711297,0.613698358467029,1.3174603174603174,-59.34783506736461,0.005110621949708183
蒲田7,20260616,machine_category,at_smart,34,107455,-23700,-697.0588235294117,0.14705882352941177,0.08823529411764706,0.04663995284570772,-0.2831541218637993,-816.801312799798,-0.22793065724143735
蒲田7,20260616,machine_category,hana_oki,25,94289,4800,192.0,0.36,0.28,0.04092535958186157,0.05734767025089606,72.25751072961373,-0.0361659513590844
蒲田7,20260616,machine_category,juggler,172,690233,18100,105.23255813953489,0.3546511627906977,0.2616279069767442,0.2995899173844993,0.2162485065710872,-14.509931130851385,-0.05453804438234022
蒲田7,20260616,machine_category,other,468,1411949,84500,180.55555555555554,0.39316239316239315,0.3547008547008547,0.6128447701879314,1.009557945041816,60.81306628516927,0.03853490334177029
蒲田7,20260617,machine_category,at_smart,35,181338,3500,100.0,0.4,0.37142857142857144,0.053819317175092786,0.01435602953240361,-242.41573033707863,0.011878009630818642
蒲田7,20260617,machine_category,hana_oki,25,143441,2700,108.0,0.48,0.32,0.042571864004855485,0.011074651353568499,-234.41573033707863,-0.03955056179775279
蒲田7,20260617,machine_category,juggler,172,912792,24400,141.86046511627907,0.4418604651162791,0.2441860465116279,0.2709075988644812,0.10008203445447088,-200.55526522079955,-0.1153645152861249
蒲田7,20260617,machine_category,other,480,2131814,213200,444.1666666666667,0.42291666666666666,0.40208333333333335,0.6327012199555705,0.874487284659557,101.75093632958806,0.04253277153558055
蒲田7,20260618,machine_category,at_smart,35,118768,900,25.714285714285715,0.45714285714285713,0.4,0.06066639662505881,-0.03896103896103896,58.57346067872384,0.1226173541963016
蒲田7,20260618,machine_category,hana_oki,25,90788,15900,636.0,0.36,0.28,0.04637428277647042,-0.6883116883116883,668.8591749644381,0.0026173541963016023
蒲田7,20260618,machine_category,juggler,172,540234,-13900,-80.81395348837209,0.3372093023255814,0.1744186046511628,0.27595017272617217,0.6017316017316018,-47.95477852393397,-0.10296404115253563
蒲田7,20260618,machine_category,other,471,1207933,-26000,-55.20169851380042,0.3333333333333333,0.3057324840764331,0.6170091478722985,1.1255411255411256,-22.342523549362298,0.028349838272734684
蒲田7,20260619,machine_category,at_smart,35,123831,15100,431.42857142857144,0.3142857142857143,0.2857142857142857,0.054429151249667046,0.5373665480427047,391.40008140008143,0.02930402930402931
蒲田7,20260619,machine_category,hana_oki,24,101280,-12600,-525.0,0.25,0.16666666666666666,0.044516998478299284,-0.4483985765124555,-565.0284900284901,-0.08974358974358973
蒲田7,20260619,machine_category,juggler,172,679858,13800,80.23255813953489,0.4011627906976744,0.23837209302325582,0.2988273849867653,0.49110320284697506,40.20406811104486,-0.018038163387000566
蒲田7,20260619,machine_category,other,471,1370117,11800,25.05307855626327,0.31210191082802546,0.2653927813163482,0.6022264652852684,0.4199288256227758,-14.975411472226757,0.008982524906091804
蒲田7,20260620,machine_category,at_smart,35,167100,-2100,-60.0,0.45714285714285713,0.34285714285714286,0.050017570505018816,0.22105263157894736,-46.657303370786515,0.03667736757624396
蒲田7,20260620,machine_category,hana_oki,25,113935,13200,528.0,0.36,0.36,0.034103841385334045,-1.3894736842105264,541.3426966292135,0.053820224719101084
蒲田7,20260620,machine_category,juggler,172,915717,28300,164.53488372093022,0.42441860465116277,0.29651162790697677,0.27409898031205454,-2.9789473684210526,177.87758035014372,-0.009668147373922131
蒲田7,20260620,machine_category,other,480,2144074,-48900,-101.875,0.36041666666666666,0.30416666666666664,0.6417796077975926,5.147368421052631,-88.53230337078652,-0.002013108614232262
蒲田7,20260621,machine_category,at_smart,34,143359,-10700,-314.70588235294116,0.3235294117647059,0.2647058823529412,0.04551096702590613,0.11732456140350878,-186.25517812758903,-0.028251864125932058
蒲田7,20260621,machine_category,hana_oki,25,89662,-5300,-212.0,0.36,0.28,0.028464235419309532,0.0581140350877193,-83.54929577464787,-0.012957746478873211
