hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
レイトギャップ,20250929,355,355,1060608,2987.6281690140845,886,2.4957746478873237,0.38309859154929576,0.3126760563380282,0.28745842728955756,normal
レイトギャップ,20250930,377,377,1392577,3693.8381962864723,118721,314.9098143236074,0.41644562334217505,0.33156498673740054,2.001454910379136,strong
レイトギャップ,20251001,351,351,1026179,2923.5868945868947,-3209,-9.142450142450143,0.37037037037037035,0.301994301994302,0.223607659312709,normal
レイトギャップ,20251002,358,358,1039920,2904.804469273743,-50910,-142.20670391061452,0.3687150837988827,0.2709497206703911,-0.5064224738410603,normal
レイトギャップ,20251003,361,361,1114907,3088.3850415512466,-60423,-167.37673130193906,0.3462603878116344,0.2742382271468144,-0.6445127417201175,normal
レイトギャップ,20251004,383,383,1545599,4035.5065274151434,-20178,-52.684073107049606,0.4046997389033943,0.3133159268929504,-0.015274654384846412,normal
レイトギャップ,20251005,383,383,1510496,3943.8537859007834,-115428,-301.37859007832895,0.3263707571801567,0.24804177545691905,-1.3796868552413948,recovery
レイトギャップ,20251006,389,389,2062888,5303.053984575836,26037,66.9331619537275,0.40102827763496146,0.2982005141388175,0.6409811285623026,normal
レイトギャップ,20251007,329,329,969965,2948.2218844984804,-2682,-8.151975683890578,0.4072948328267477,0.303951367781155,0.2290416972334225,normal
レイトギャップ,20251008,331,331,954708,2884.31419939577,-19689,-59.483383685800604,0.3776435045317221,0.29003021148036257,-0.05257769758837722,normal
レイトギャップ,20251009,345,345,956307,2771.904347826087,-28053,-81.31304347826087,0.3681159420289855,0.2811594202898551,-0.17234171379634253,normal
レイトギャップ,20251010,263,263,404475,1537.9277566539924,-20199,-76.8022813688213,0.3916349809885932,0.30038022813688214,-0.14759432920486187,normal
レイトギャップ,20251011,372,372,1358314,3651.3817204301076,-59711,-160.51344086021504,0.3790322580645161,0.2768817204301075,-0.6068586859300905,normal
