hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
金時,20250803,145,145,389668,2687.365517241379,1012,6.979310344827586,0.3724137931034483,0.32413793103448274,0.09891568680115317,normal
金時,20250804,137,137,288170,2103.4306569343066,7815,57.043795620437955,0.31386861313868614,0.25547445255474455,0.4030661298360971,normal
金時,20250805,145,145,441302,3043.462068965517,16840,116.13793103448276,0.36551724137931035,0.3103448275862069,0.7620732656930346,strong
金時,20250806,124,124,262534,2117.2096774193546,5031,40.57258064516129,0.3467741935483871,0.3064516129032258,0.30300063821114354,normal
金時,20250807,123,123,239365,1946.0569105691056,-25198,-204.8617886178862,0.3089430894308943,0.2926829268292683,-1.1880557810530774,recovery
金時,20250808,135,135,293517,2174.2,-12626,-93.52592592592593,0.3851851851851852,0.3333333333333333,-0.5116710788631167,normal
金時,20250809,145,145,421510,2906.9655172413795,24491,168.90344827586208,0.4413793103448276,0.38620689655172413,1.0826329470237008,strong
金時,20250810,143,143,405855,2838.146853146853,-14541,-101.68531468531468,0.3916083916083916,0.3076923076923077,-0.5612407826641346,normal
金時,20250811,142,142,397384,2798.478873239437,-24581,-173.1056338028169,0.3591549295774648,0.2605633802816901,-0.9951316252784261,recovery
金時,20250812,142,142,422479,2975.2042253521126,-5484,-38.61971830985915,0.36619718309859156,0.3028169014084507,-0.1781063317202784,normal
金時,20250813,137,137,346945,2532.4452554744526,-36321,-265.11678832116786,0.3284671532846715,0.25547445255474455,-1.554115369081072,recovery
金時,20250814,139,139,344980,2481.8705035971225,13340,95.97122302158273,0.381294964028777,0.2949640287769784,0.6395570120470988,normal
金時,20250815,145,145,558141,3849.248275862069,16473,113.60689655172413,0.4068965517241379,0.27586206896551724,0.7466967916310355,normal
金時,20250816,146,146,430872,2951.178082191781,30491,208.84246575342465,0.363013698630137,0.3082191780821918,1.3252694146375772,strong
金時,20250817,142,142,411784,2899.887323943662,16529,116.40140845070422,0.39436619718309857,0.3028169014084507,0.7636739367562104,strong
金時,20250818,126,126,254131,2016.9126984126983,-33815,-268.37301587301585,0.35714285714285715,0.30158730158730157,-1.5738975169862186,recovery
金時,20250819,128,128,277156,2165.28125,-8132,-63.53125,0.359375,0.296875,-0.32944821326612855,normal
金時,20250820,148,148,552890,3735.7432432432433,47107,318.2905405405405,0.4594594594594595,0.3783783783783784,1.9901854774426815,strong
金時,20250821,128,128,249744,1951.125,-11488,-89.75,0.34375,0.28125,-0.48873167307645643,normal
金時,20250822,127,127,247942,1952.2992125984251,-29898,-235.41732283464566,0.2677165354330709,0.1889763779527559,-1.3736859581743477,recovery
金時,20250823,148,148,436081,2946.4932432432433,-28800,-194.59459459459458,0.3310810810810811,0.2702702702702703,-1.1256807941992493,recovery
金時,20250824,144,144,446383,3099.8819444444443,-25859,-179.57638888888889,0.3333333333333333,0.2569444444444444,-1.034442586239373,recovery
金時,20250825,146,146,465194,3186.2602739726026,-1206,-8.26027397260274,0.3904109589041096,0.2876712328767123,0.006332565326959479,normal
金時,20250826,134,134,266457,1988.4850746268658,-21409,-159.76865671641792,0.291044776119403,0.23880597014925373,-0.9141071731694318,recovery
金時,20250827,132,132,293437,2223.007575757576,8905,67.46212121212122,0.4166666666666667,0.3181818181818182,0.4663592672157888,normal
