hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
ヒロキ,20250403,189,189,335299,1774.068783068783,10961,57.99470899470899,0.38095238095238093,0.31746031746031744,0.6965176827109328,normal
ヒロキ,20250404,186,186,332691,1788.6612903225807,-31507,-169.39247311827958,0.3548387096774194,0.26344086021505375,-0.7507015946041469,recovery
ヒロキ,20250405,250,250,995277,3981.108,1399,5.596,0.404,0.292,0.3630229753184783,normal
ヒロキ,20250406,260,260,1546567,5948.334615384615,81266,312.5615384615385,0.4346153846153846,0.3038461538461538,2.3167234460521198,strong
ヒロキ,20250407,229,229,501835,2191.4192139737993,-60109,-262.48471615720524,0.2925764192139738,0.21397379912663755,-1.3431927255575575,recovery
ヒロキ,20250408,215,215,473113,2200.525581395349,-13031,-60.609302325581396,0.33488372093023255,0.25116279069767444,-0.058344618473350096,normal
ヒロキ,20250409,199,199,401342,2016.7939698492462,-25721,-129.25125628140702,0.36683417085427134,0.2613065326633166,-0.4952204268383219,normal
ヒロキ,20250410,209,209,385522,1844.6028708133972,14142,67.66507177033493,0.31100478468899523,0.23923444976076555,0.7580652831405906,strong
ヒロキ,20250411,242,242,607673,2511.0454545454545,18878,78.00826446280992,0.384297520661157,0.30991735537190085,0.823895149689956,strong
ヒロキ,20250412,256,256,866656,3385.375,-9070,-35.4296875,0.34375,0.2421875,0.10191254128529781,normal
ヒロキ,20250413,252,252,987706,3919.468253968254,9656,38.317460317460316,0.40476190476190477,0.26587301587301587,0.5712806603528011,normal
ヒロキ,20250414,194,194,331966,1711.1649484536083,-46577,-240.08762886597938,0.28350515463917525,0.2268041237113402,-1.2006451281847892,recovery
ヒロキ,20250415,201,201,331017,1646.8507462686566,-2908,-14.467661691542288,0.373134328358209,0.30845771144278605,0.23532660429304444,normal
ヒロキ,20250416,253,253,828235,3273.6561264822135,24984,98.75098814229248,0.391304347826087,0.30434782608695654,0.9559134512231117,strong
ヒロキ,20250417,197,197,361458,1834.8121827411167,-39344,-199.71573604060913,0.34517766497461927,0.25380710659898476,-0.9436958093373361,recovery
ヒロキ,20250418,212,212,388880,1834.3396226415093,-34819,-164.24056603773585,0.3113207547169811,0.23113207547169812,-0.7179119748348404,normal
ヒロキ,20250419,257,257,938250,3650.7782101167313,-21564,-83.90661478599222,0.33073929961089493,0.22178988326848248,-0.20662175260655613,normal
ヒロキ,20250420,247,247,898846,3639.0526315789475,-3180,-12.874493927125506,0.3967611336032389,0.29959514170040485,0.2454664155138689,normal
ヒロキ,20250421,211,211,406254,1925.3744075829384,-3008,-14.255924170616113,0.36492890995260663,0.2559241706161137,0.2366742203687079,normal
ヒロキ,20250422,193,193,379798,1967.8652849740934,-290,-1.5025906735751295,0.34196891191709844,0.24870466321243523,0.31784357176061984,normal
ヒロキ,20250423,188,188,348040,1851.276595744681,12161,64.68617021276596,0.3617021276595745,0.26595744680851063,0.7391058865762076,normal
ヒロキ,20250424,196,196,343124,1750.6326530612246,-34019,-173.56632653061226,0.32653061224489793,0.2653061224489796,-0.7772663334908518,recovery
ヒロキ,20250425,219,219,409566,1870.164383561644,-37331,-170.46118721461187,0.3515981735159817,0.2602739726027397,-0.757503489186674,recovery
ヒロキ,20250426,260,260,1209055,4650.211538461538,-72319,-278.15,0.36923076923076925,0.2653846153846154,-1.442895358534643,recovery
ヒロキ,20250427,258,258,1035780,4014.6511627906975,-33424,-129.5503875968992,0.3953488372093023,0.2441860465116279,-0.49712426592989306,normal
ヒロキ,20250428,209,209,499851,2391.6315789473683,10779,51.57416267942584,0.3444976076555024,0.2631578947368421,0.6556537328962291,normal
ヒロキ,20250429,249,249,854672,3432.417670682731,44907,180.34939759036143,0.36947791164658633,0.2891566265060241,1.4752513930285345,strong
ヒロキ,20250430,252,252,870283,3453.503968253968,84766,336.37301587301585,0.40476190476190477,0.31746031746031744,2.4682730136707525,strong
