hall,machine_name,n_machine_days,baseline_plus_rate,baseline_hit104_rate,diff_p,diff_effect,plus_p,plus_effect,hit104_p,hit104_effect,note
ヒロキ,ジャグラーガールズ,1423,36.89,22.28,0.09979173671171361,0.0032843721070079566,0.08655825898403326,0.059623584638634874,0.6710860891514892,0.0,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,249,37.75,27.31,0.702620982813287,0.0,0.4859740943525963,0.0,0.8804491820986273,0.0,
ザシティ,甲鉄城のカバネリ,993,39.78,34.54,0.953532883787743,0.0,0.780671839403427,0.0,0.6120583957411458,0.0,
ザシティ,甲鉄城のカバネリ 海門(うなと)決戦,376,36.17,32.71,0.10557172491341202,0.012160909670509808,0.28789319825332416,0.0601117341624555,0.5063420404877037,0.0,
ザシティ,ジャグラーガールズ,595,31.93,16.3,0.5481572459810014,0.0,0.6949598361727729,0.0,0.3434601969430811,0.035568498898609,
ザシティ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,327,38.53,28.13,0.3976175405735611,0.0007276737244205633,0.782449121555679,0.0,0.5876002322802334,0.0,
金時,甲鉄城のカバネリ,866,39.26,35.68,0.12318264115858467,0.004697411011615925,0.7972102811765799,0.0,0.8788069075237885,0.0,
金時,甲鉄城のカバネリ 海門(うなと)決戦,463,38.23,32.61,0.8543877887601998,0.0,0.5394013812414027,0.0,0.7010180491000617,0.0,
金時,ジャグラーガールズ,1508,39.39,26.66,0.005222412751639114,0.008287593795658818,0.5677883961363617,0.0,0.3193884910583793,0.02591163434826558,
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,417,44.12,34.53,0.7543372367518167,0.0,0.8498118590468675,0.0,0.9224171072215913,0.0,
