hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate,baseline_hit104_rate,baseline_plus_rate
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,99,-47.474747474747474,34.34343434343434,24.242424242424242,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,102,-18.627450980392158,34.31372549019608,24.509803921568626,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,102,11.764705882352942,34.31372549019608,24.509803921568626,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,101,155.44554455445544,34.65346534653465,25.742574257425744,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,103,4.854368932038835,39.80582524271845,25.24271844660194,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,99,-36.36363636363637,29.292929292929294,22.22222222222222,24.96,34.89
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,月,0,224,315.625,50.44642857142857,44.19642857142857,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,火,1,229,138.8646288209607,40.174672489082965,37.117903930131,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,水,2,232,389.2241379310345,48.706896551724135,44.396551724137936,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,木,3,224,514.7321428571429,52.23214285714286,46.42857142857143,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,金,4,232,293.5344827586207,45.689655172413794,39.6551724137931,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,土,5,242,501.2396694214876,53.30578512396694,46.28099173553719,42.75,48.43
蒲田1,甲鉄城のカバネリ,day_of_week,hit104,日,6,238,332.7731092436975,48.319327731092436,41.17647058823529,42.75,48.43
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,148,-134.45945945945945,35.810810810810814,30.405405405405407,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,151,159.60264900662253,38.41059602649007,36.423841059602644,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,148,-268.2432432432432,33.108108108108105,28.37837837837838,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,145,-129.6551724137931,38.62068965517241,33.793103448275865,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,134,126.86567164179104,38.80597014925373,33.582089552238806,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,149,540.9395973154362,49.664429530201346,42.281879194630875,34.96,39.84
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,149,-8.053691275167786,44.29530201342282,39.59731543624161,34.96,39.84
蒲田1,ジャグラーガールズ,day_of_week,hit104,月,0,396,69.1919191919192,39.141414141414145,26.01010101010101,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,火,1,395,22.531645569620252,37.721518987341774,23.544303797468356,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,水,2,392,50.51020408163265,39.54081632653062,25.765306122448976,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,木,3,397,16.624685138539043,34.005037783375315,22.921914357682617,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,金,4,396,101.76767676767676,39.141414141414145,24.494949494949495,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,土,5,403,128.53598014888337,44.66501240694789,24.81389578163772,24.55,39.36
蒲田1,ジャグラーガールズ,day_of_week,hit104,日,6,403,27.29528535980149,41.19106699751861,24.317617866004962,24.55,39.36
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,65,-72.3076923076923,33.84615384615385,24.615384615384617,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,62,66.12903225806451,45.16129032258064,30.64516129032258,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,67,-129.8507462686567,29.850746268656714,20.8955223880597,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,68,-80.88235294117646,36.76470588235294,35.294117647058826,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,67,-270.14925373134326,25.37313432835821,14.925373134328357,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,71,19.718309859154928,36.61971830985916,22.535211267605636,26.11,36.52
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,71,288.7323943661972,47.88732394366197,33.80281690140845,26.11,36.52
楽園,甲鉄城のカバネリ,day_of_week,hit104,月,0,490,108.51836734693877,42.44897959183673,36.12244897959184,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,火,1,482,246.0746887966805,45.43568464730291,40.24896265560166,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,水,2,481,74.61122661122661,39.70893970893971,35.75883575883576,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,木,3,443,194.18510158013544,42.66365688487584,37.92325056433409,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,金,4,492,141.1991869918699,40.65040650406504,35.77235772357724,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,土,5,551,101.32123411978222,41.1978221415608,32.66787658802178,35.57,41.31
楽園,甲鉄城のカバネリ,day_of_week,hit104,日,6,547,32.822669104204756,37.6599634369287,31.62705667276051,35.57,41.31
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,212,-168.5566037735849,33.490566037735846,25.0,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,212,180.0943396226415,38.67924528301887,31.60377358490566,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,212,402.67452830188677,41.9811320754717,33.9622641509434,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,209,-198.33492822966508,36.36363636363637,26.794258373205743,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,193,136.58031088082902,39.37823834196891,31.088082901554404,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,214,-79.50934579439253,38.31775700934579,31.775700934579437,30.49,38.68
楽園,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,214,189.9532710280374,42.523364485981304,33.177570093457945,30.49,38.68
楽園,ジャグラーガールズ,day_of_week,hit104,月,0,304,47.036184210526315,41.44736842105263,26.973684210526315,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,火,1,305,-5.4557377049180324,37.704918032786885,25.573770491803277,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,水,2,306,86.13071895424837,40.52287581699346,30.718954248366014,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,木,3,304,136.20065789473685,42.76315789473684,27.302631578947366,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,金,4,305,20.003278688524592,41.967213114754095,24.91803278688525,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,土,5,311,-100.9903536977492,36.01286173633441,20.578778135048232,25.24,39.59
楽園,ジャグラーガールズ,day_of_week,hit104,日,6,312,-140.81089743589743,36.858974358974365,20.833333333333336,25.24,39.59
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,130,68.51538461538462,33.84615384615385,26.923076923076923,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,139,103.18705035971223,38.84892086330935,33.81294964028777,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,125,69.32,36.8,27.200000000000003,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,137,100.7956204379562,40.14598540145985,31.386861313868614,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,138,186.68115942028984,43.47826086956522,33.33333333333333,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,146,-91.61643835616438,31.506849315068493,23.28767123287671,28.26,36.6
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,144,-92.89583333333333,31.944444444444443,22.22222222222222,28.26,36.6
