hall,category,axis,rank,n_rows,n_machines,n_models,mean_games,within_model_pp,ci_lo_pp,ci_hi_pp
K1,技術介入,either_end,1,316,6,6,3380,-0.11,-1.544,1.405
K1,ハナハナ,rank_from_min,1,550,1,1,4428,0.5,-0.255,1.204
K1,ハナハナ,rank_from_min,2,550,1,1,4136,-0.112,-0.935,0.672
K1,ハナハナ,rank_from_min,3,550,1,1,4118,-0.066,-0.992,0.864
K1,ハナハナ,rank_from_min,4,550,1,1,4329,0.548,-0.196,1.271
K1,ハナハナ,rank_from_min,5,4580,16,2,3872,-0.105,-0.279,0.051
K1,ハナハナ,rank_from_max,1,550,2,2,4079,-0.062,-0.889,0.733
K1,ハナハナ,rank_from_max,2,549,2,2,3637,-0.599,-1.552,0.292
K1,ハナハナ,rank_from_max,3,550,2,2,3903,0.524,-0.401,1.508
K1,ハナハナ,rank_from_max,4,549,2,2,3764,-0.138,-0.964,0.674
K1,ハナハナ,rank_from_max,5,4582,12,1,4067,0.033,-0.061,0.155
K1,ハナハナ,either_end,1,1100,3,2,4253,0.219,-0.311,0.711
楽園,ジャグ,rank_from_min,1,2853,9,6,4399,0.286,-0.059,0.639
楽園,ジャグ,rank_from_min,2,2848,9,6,3817,-0.237,-0.614,0.094
楽園,ジャグ,rank_from_min,3,2853,9,6,3789,-0.141,-0.469,0.198
楽園,ジャグ,rank_from_min,4,2810,9,6,4014,0.059,-0.349,0.323
楽園,ジャグ,rank_from_min,5,34819,81,6,4037,0.003,-0.035,0.051
楽園,ジャグ,rank_from_max,1,2767,9,4,4509,0.386,0.012,0.666
楽園,ジャグ,rank_from_max,2,2853,9,4,3883,-0.049,-0.371,0.322
楽園,ジャグ,rank_from_max,3,2853,9,4,3925,-0.068,-0.37,0.312
楽園,ジャグ,rank_from_max,4,2853,9,4,3878,-0.193,-0.533,0.163
楽園,ジャグ,rank_from_max,5,34857,81,7,4023,-0.005,-0.046,0.03
楽園,ジャグ,either_end,1,5620,18,6,4453,0.335,0.063,0.581
楽園,AT一般,rank_from_min,1,12782,34,114,3091,0.266,-0.15,0.656
楽園,AT一般,rank_from_min,2,12537,34,115,2780,-0.386,-1.014,0.097
楽園,AT一般,rank_from_min,3,12195,33,104,2797,0.421,-0.147,1.215
楽園,AT一般,rank_from_min,4,10770,30,95,2695,-0.352,-0.842,0.056
楽園,AT一般,rank_from_min,5,112278,307,142,2925,0.001,-0.055,0.058
楽園,AT一般,rank_from_max,1,12324,32,99,3090,0.101,-0.365,0.422
楽園,AT一般,rank_from_max,2,11858,32,97,2781,-0.438,-0.904,0.025
楽園,AT一般,rank_from_max,3,11611,32,90,2800,0.415,-0.005,0.96
楽園,AT一般,rank_from_max,4,9996,27,79,2794,-0.406,-0.961,0.12
楽園,AT一般,rank_from_max,5,114773,315,158,2914,0.028,-0.035,0.091
楽園,AT一般,either_end,1,25106,66,134,3091,0.185,-0.1,0.408
楽園,技術介入,rank_from_min,1,3386,16,27,3077,0.969,0.525,1.521
楽園,技術介入,rank_from_min,2,3280,15,25,2661,-0.149,-0.91,0.382
楽園,技術介入,rank_from_min,3,2510,13,17,2928,-0.095,-0.855,0.468
楽園,技術介入,rank_from_min,4,2421,12,21,2867,0.124,-0.47,0.722
楽園,技術介入,rank_from_min,5,36020,161,36,3185,-0.079,-0.14,-0.028
楽園,技術介入,rank_from_max,1,3524,15,24,3490,0.771,0.388,1.315
楽園,技術介入,rank_from_max,2,3658,15,23,3082,-0.345,-0.93,0.086
楽園,技術介入,rank_from_max,3,3477,15,19,3325,0.077,-0.487,0.465
楽園,技術介入,rank_from_max,4,3363,16,22,3207,-0.271,-0.763,0.152
楽園,技術介入,rank_from_max,5,33595,156,40,3043,-0.024,-0.075,0.04
楽園,技術介入,either_end,1,6910,31,33,3287,0.868,0.608,1.276
楽園,ハナハナ,rank_from_min,1,1087,4,3,3031,0.802,0.01,1.754
楽園,ハナハナ,rank_from_min,2,1086,4,3,2727,0.203,-0.713,1.005
楽園,ハナハナ,rank_from_min,3,1098,5,3,2612,-1.015,-1.865,-0.02
楽園,ハナハナ,rank_from_min,4,1098,5,3,2652,0.563,-0.42,1.593
楽園,ハナハナ,rank_from_min,5,6268,23,3,2885,-0.095,-0.333,0.159
楽園,ハナハナ,rank_from_max,1,1106,3,2,3137,0.676,-0.088,1.427
楽園,ハナハナ,rank_from_max,2,1079,3,2,2760,-0.04,-0.937,0.902
楽園,ハナハナ,rank_from_max,3,1106,3,2,2697,-1.524,-2.337,-0.601
楽園,ハナハナ,rank_from_max,4,1105,3,2,2720,-0.493,-1.3,0.584
楽園,ハナハナ,rank_from_max,5,6241,29,3,2834,0.245,-0.0,0.492
楽園,ハナハナ,either_end,1,2193,7,3,3084,0.738,0.182,1.326
K7,ジャグ,rank_from_min,1,4486,12,7,5404,0.034,-0.183,0.293
K7,ジャグ,rank_from_min,2,4485,12,7,4858,-0.223,-0.476,-0.011
K7,ジャグ,rank_from_min,3,4486,12,7,4880,0.035,-0.211,0.277
K7,ジャグ,rank_from_min,4,4486,12,7,4831,0.149,-0.109,0.415
K7,ジャグ,rank_from_min,5,46416,124,9,4856,0.001,-0.043,0.041
K7,ジャグ,rank_from_max,1,4500,12,7,5372,-0.09,-0.295,0.146
K7,ジャグ,rank_from_max,2,4500,12,7,4880,0.0,-0.273,0.253
K7,ジャグ,rank_from_max,3,4472,12,7,4884,0.051,-0.272,0.304
K7,ジャグ,rank_from_max,4,4500,12,7,4816,-0.206,-0.5,0.049
K7,ジャグ,rank_from_max,5,46387,124,9,4858,0.024,-0.012,0.07
K7,ジャグ,either_end,1,8986,24,9,5388,-0.028,-0.183,0.155
K7,AT一般,rank_from_min,1,12115,38,59,4228,-1.047,-1.493,-0.558
K7,AT一般,rank_from_min,2,12159,38,61,3945,-0.038,-0.694,0.428
K7,AT一般,rank_from_min,3,12178,38,60,3957,-0.394,-0.892,0.229
K7,AT一般,rank_from_min,4,12120,37,62,4000,0.853,0.256,1.467
K7,AT一般,rank_from_min,5,120753,352,79,3989,0.063,-0.021,0.155
K7,AT一般,rank_from_max,1,12045,35,53,4354,-0.681,-1.099,-0.122
K7,AT一般,rank_from_max,2,11958,35,53,4028,-0.114,-0.668,0.426
K7,AT一般,rank_from_max,3,11985,36,55,4002,0.191,-0.359,0.741
K7,AT一般,rank_from_max,4,12093,36,53,4019,-0.115,-0.741,0.454
K7,AT一般,rank_from_max,5,121244,361,81,3962,0.071,-0.012,0.152
K7,AT一般,either_end,1,24160,73,67,4291,-0.864,-1.165,-0.461
K7,技術介入,rank_from_min,1,1865,11,16,5162,0.28,-0.218,0.736
K7,技術介入,rank_from_min,2,1906,11,17,4616,0.131,-0.409,0.601
K7,技術介入,rank_from_min,3,1883,11,18,4527,-0.071,-0.514,0.493
K7,技術介入,rank_from_min,4,1935,11,15,4500,-0.231,-0.66,0.24
K7,技術介入,rank_from_min,5,11981,63,17,4637,-0.016,-0.089,0.07
K7,技術介入,rank_from_max,1,2072,9,13,5012,0.113,-0.314,0.549
K7,技術介入,rank_from_max,2,2112,9,14,4567,-0.296,-0.827,0.206
K7,技術介入,rank_from_max,3,2046,9,14,4567,0.087,-0.383,0.543
K7,技術介入,rank_from_max,4,2103,9,12,4679,-0.143,-0.48,0.333
K7,技術介入,rank_from_max,5,11237,71,20,4628,0.046,-0.054,0.138
K7,技術介入,either_end,1,3937,20,19,5083,0.192,-0.134,0.524
K7,ハナハナ,rank_from_min,1,466,2,2,5343,-0.332,-1.063,0.429
K7,ハナハナ,rank_from_min,2,466,2,2,5286,0.184,-0.665,1.069
K7,ハナハナ,rank_from_min,3,466,2,2,4963,-0.717,-1.264,0.237
K7,ハナハナ,rank_from_min,4,466,2,2,5006,0.335,-0.472,1.259
K7,ハナハナ,rank_from_min,5,4864,16,2,5270,0.051,-0.097,0.167
K7,ハナハナ,rank_from_max,1,375,1,1,5719,-0.273,-1.072,0.504
K7,ハナハナ,rank_from_max,2,375,1,1,5401,-0.259,-1.098,0.441
K7,ハナハナ,rank_from_max,3,375,1,1,5339,0.053,-0.775,0.755
K7,ハナハナ,rank_from_max,4,375,1,1,5319,0.284,-0.407,1.063
K7,ハナハナ,rank_from_max,5,5228,20,2,5176,0.014,-0.103,0.109
K7,ハナハナ,either_end,1,841,3,2,5511,-0.306,-0.794,0.329
みとや,ジャグ,rank_from_min,1,3754,7,7,5759,1.634,1.355,1.879
みとや,ジャグ,rank_from_min,2,3757,7,7,4694,0.215,-0.072,0.51
みとや,ジャグ,rank_from_min,3,3744,7,7,4631,-0.179,-0.448,0.086
みとや,ジャグ,rank_from_min,4,3686,7,7,4465,-0.319,-0.592,-0.03
みとや,ジャグ,rank_from_min,5,34201,64,8,4819,-0.149,-0.191,-0.109
みとや,ジャグ,rank_from_max,1,3360,6,6,5789,1.509,1.26,1.752
みとや,ジャグ,rank_from_max,2,3360,6,6,4822,0.265,-0.002,0.522
みとや,ジャグ,rank_from_max,3,3360,6,6,4705,-0.017,-0.281,0.254
みとや,ジャグ,rank_from_max,4,3437,7,6,4466,-0.562,-0.901,-0.219
みとや,ジャグ,rank_from_max,5,35625,67,8,4802,-0.112,-0.154,-0.069
みとや,ジャグ,either_end,1,7114,13,8,5773,1.575,1.372,1.767
みとや,AT一般,rank_from_min,1,4760,11,47,3207,-0.17,-1.241,0.759
みとや,AT一般,rank_from_min,2,4638,10,46,2657,-0.061,-1.132,1.057
みとや,AT一般,rank_from_min,3,4664,10,43,2659,-0.349,-1.629,1.232
みとや,AT一般,rank_from_min,4,4746,11,48,2701,0.901,-0.157,2.129
みとや,AT一般,rank_from_min,5,62489,123,90,2803,-0.025,-0.16,0.099
みとや,AT一般,rank_from_max,1,5181,11,59,3186,-0.308,-1.239,0.7
みとや,AT一般,rank_from_max,2,5200,11,60,2693,0.114,-1.096,1.343
みとや,AT一般,rank_from_max,3,5142,11,52,2704,0.879,-0.463,2.495
みとや,AT一般,rank_from_max,4,4808,10,47,2796,0.589,-0.44,1.574
みとや,AT一般,rank_from_max,5,60966,122,85,2790,-0.104,-0.207,0.008
みとや,AT一般,either_end,1,9941,22,77,3196,-0.242,-0.959,0.512
みとや,技術介入,rank_from_min,1,800,4,8,3884,0.411,-0.392,1.32
みとや,技術介入,rank_from_min,2,799,4,8,3348,-0.46,-1.141,0.601
みとや,技術介入,rank_from_min,3,754,4,10,3340,0.024,-1.345,1.224
みとや,技術介入,rank_from_min,4,752,4,9,3453,0.099,-0.886,1.044
みとや,技術介入,rank_from_min,5,4306,22,14,3736,-0.013,-0.1,0.053
みとや,技術介入,rank_from_max,1,492,2,3,4593,0.379,-0.284,1.464
みとや,技術介入,rank_from_max,2,678,3,4,3844,-0.546,-1.4,0.247
みとや,技術介入,rank_from_max,3,679,3,4,3781,0.205,-0.942,0.836
みとや,技術介入,rank_from_max,4,695,4,10,3480,-0.032,-0.761,0.918
みとや,技術介入,rank_from_max,5,4867,26,17,3520,0.014,-0.286,0.104
みとや,技術介入,either_end,1,1292,6,10,4154,0.399,-0.188,1.265
