window_end,mean,n_obs,metric,window_days
2026-03-08,7.958171834625324,90,edge,90
2026-03-15,6.792958656330748,90,edge,90
2026-03-22,6.423934108527135,90,edge,90
2026-03-29,6.3641795865633135,90,edge,90
2026-04-05,4.816052971576232,90,edge,90
2026-04-12,5.7422480620155065,90,edge,90
2026-04-19,7.1128875968992284,90,edge,90
2026-04-26,6.93136304909561,90,edge,90
2026-05-03,7.472222222222225,90,edge,90
2026-05-10,6.8008720930232585,90,edge,90
2026-05-17,7.819767441860468,90,edge,90
2026-05-24,8.508397932816537,90,edge,90
2026-05-31,8.555878552971578,90,edge,90
2026-06-07,7.616605696367913,89,edge,90
2026-06-14,9.892805232558143,88,edge,90
2026-06-21,11.251651691331922,88,edge,90
2026-06-28,13.325184989429175,88,edge,90
2026-07-05,15.633093287526425,88,edge,90
2026-07-12,16.652838668617715,87,edge,90
2026-07-19,15.100347588023894,87,edge,90
2025-09-05,168.74305555555557,60,edge_vs_excluded,60
2025-09-12,176.42361111111114,60,edge_vs_excluded,60
2025-09-19,207.36458333333337,60,edge_vs_excluded,60
2025-09-26,205.5347222222222,60,edge_vs_excluded,60
2025-10-03,196.68749999999997,60,edge_vs_excluded,60
2025-10-10,183.15625,60,edge_vs_excluded,60
2025-10-17,206.3100282485876,59,edge_vs_excluded,60
2025-10-24,147.7471751412429,59,edge_vs_excluded,60
2025-10-31,160.1483050847458,59,edge_vs_excluded,60
2025-11-07,132.0621468926554,59,edge_vs_excluded,60
2025-11-14,93.85240112994349,59,edge_vs_excluded,60
2025-11-21,135.39901129943505,59,edge_vs_excluded,60
2025-11-28,135.4943502824859,59,edge_vs_excluded,60
2025-12-05,133.60522598870057,59,edge_vs_excluded,60
2025-12-12,170.11805555555554,60,edge_vs_excluded,60
2025-12-19,173.33680555555557,60,edge_vs_excluded,60
2025-12-26,193.52777777777777,60,edge_vs_excluded,60
2026-01-02,192.82638888888886,60,edge_vs_excluded,60
2026-01-09,180.28124999999997,60,edge_vs_excluded,60
2026-01-16,168.78472222222217,60,edge_vs_excluded,60
2026-01-23,155.71527777777777,60,edge_vs_excluded,60
2026-01-30,137.82638888888889,60,edge_vs_excluded,60
2026-02-06,107.01041666666669,60,edge_vs_excluded,60
2026-02-13,86.45833333333331,60,edge_vs_excluded,60
2026-02-20,68.23958333333331,60,edge_vs_excluded,60
2026-02-27,120.31944444444443,60,edge_vs_excluded,60
2026-03-06,92.70486111111111,60,edge_vs_excluded,60
2026-03-13,115.86458333333331,60,edge_vs_excluded,60
2026-03-20,112.14583333333333,60,edge_vs_excluded,60
2026-03-27,110.58680555555553,60,edge_vs_excluded,60
