section,island,台数,行数,hit率,hit差pp,機械割pp,CI下,CI上,日数,BB+RB,bCI下,bCI上,有意
3258-3266,3250-3266,9,4547,52.9,6.6,-2.349,-4.253,-0.586,211,-0.0846,-0.2349,0.0612,*
1130-1134,1130-1134,5,2705,27.6,-18.7,-2.405,-4.734,0.179,537,-0.4152,-0.7952,0.0179,
2008-2020,2008-2020,13,6130,40.1,-6.1,-2.876,-7.319,8.516,32,-0.0024,-0.8089,1.9995,
3107-3112,3107-3112,6,2832,46.8,0.5,-3.298,-6.217,0.19,98,-0.0316,-0.196,0.173,
3117-3120,3117-3120,4,1694,44.8,-1.5,-12.821,-27.323,0.255,52,-0.4771,-1.5972,0.5626,
1106-1110,1106-1115,5,2688,43.7,-2.6,,,,0,,,,
1156-1169,1156-1183,14,7657,48.5,2.3,,,,0,,,,
2129-2140,2114-2140,12,6347,53.1,6.8,,,,0,,,,
2141-2151,2141-2162,11,5761,54.9,8.6,,,,0,,,,
2152-2162,2141-2162,11,5730,50.5,4.2,,,,0,,,,
2173-2184,2173-2184,12,6333,50.1,3.8,,,,0,,,,
2185-2196,2185-2196,12,5880,45.7,-0.6,,,,0,,,,
2197-2209,2197-2222,13,6191,48.7,2.5,,,,0,,,,
3132-3141,3121-3141,10,4621,44.1,-2.2,,,,5,,,,
3164-3173,3164-3173,10,4573,55.8,9.5,,,,28,,,,
3174-3185,3174-3185,12,5295,52.0,5.8,,,,14,,,,
3186-3199,3186-3199,14,6200,49.6,3.3,,,,0,,,,
3200-3212,3200-3225,13,5587,53.0,6.7,,,,0,,,,
