dd,category,value,win_rate,hit104_rate,avg_diff,n_records,n_machines,n_dates
9,rank_from_min,3,0.36257309941520466,0.26900584795321636,-90.83625730994152,342,18,19
9,rank_from_min,4,0.3216374269005848,0.2543859649122807,-82.8391812865497,342,18,19
9,rank_from_min,5,0.4093567251461988,0.30994152046783624,146.91228070175438,342,18,19
9,rank_from_min,6,0.38596491228070173,0.30409356725146197,159.0204678362573,342,18,19
9,rank_from_min,7,0.3508771929824561,0.2807017543859649,42.77777777777778,342,18,19
9,rank_from_min,8,0.3538011695906433,0.26900584795321636,99.5906432748538,342,18,19
9,rank_from_min,9,0.37719298245614036,0.2894736842105263,-20.239766081871345,342,18,19
9,section,501-522,0.3588516746411483,0.3014354066985646,6.842105263157895,418,22,19
9,section,523-539,0.33126934984520123,0.29721362229102166,-1.0464396284829722,323,17,19
9,section,540-556,0.4024767801857585,0.34674922600619196,148.61609907120743,323,17,19
9,section,557-573,0.35294117647058826,0.28792569659442724,103.39938080495357,323,17,19
9,section,574-590,0.3715170278637771,0.3157894736842105,354.59442724458205,323,17,19
9,section,591-607,0.3157894736842105,0.25077399380804954,-136.77089783281733,323,17,19
9,section,608-623,0.3223684210526316,0.27631578947368424,5.207236842105263,304,16,19
9,section,624-640,0.29411764705882354,0.26006191950464397,-166.80804953560371,323,17,19
9,section,641-657,0.42724458204334365,0.25386996904024767,70.22600619195046,323,17,19
9,section,658-674,0.38699690402476783,0.22291021671826625,-11.801857585139318,323,17,19
9,section,675-691,0.4024767801857585,0.24148606811145512,-8.108359133126935,323,17,19
9,section,692-700,0.3567251461988304,0.2982456140350877,-244.94736842105263,171,9,19
9,section,701-711,0.3684210526315789,0.3062200956937799,-105.26315789473684,209,11,19
9,section,712-722,0.3588516746411483,0.22009569377990432,-114.08612440191388,209,11,19
9,section,723-733,0.3827751196172249,0.2631578947368421,-43.889952153110045,209,11,19
9,section,734-744,0.40669856459330145,0.23444976076555024,43.110047846889955,209,11,19
9,section,745-755,0.3588516746411483,0.3062200956937799,-47.74162679425837,209,11,19
9,section,805-815,0.41148325358851673,0.2822966507177033,-21.784688995215312,209,11,19
10,machine_name, サラリーマン金太郎,1.0,1.0,6938.0,1,1,1
10,machine_name,1000ちゃんA,1.0,1.0,1015.0,1,1,1
10,machine_name,A‐SLOT+ この素晴らしい世界に祝福を！,0.5,0.0,-121.0,2,1,2
10,machine_name,A‐SLOT+ 異世界かるてっと,0.16666666666666666,0.16666666666666666,-508.8333333333333,6,4,3
10,machine_name,BIRDIE WING ‐Golf Girls' Story‐,0.0,0.0,-2428.0,4,4,1
10,machine_name,GALFY,0.0,0.0,-926.0,1,1,1
10,machine_name,Re:ゼロから始める異世界生活 season2,0.25,0.125,3.625,8,8,2
10,machine_name,SHAKE BONUS TRIGGER,0.36363636363636365,0.36363636363636365,352.8181818181818,11,5,8
10,machine_name,ToLOVEるダークネス,0.35714285714285715,0.32142857142857145,-128.64285714285714,28,15,8
10,machine_name,ToLOVEるダークネス TRANCE ver.8.7,0.4666666666666667,0.4,23.6,15,8,6
10,machine_name,ULTRAMAN,0.5,0.5,2000.0,2,1,2
10,machine_name,ありふれた職業で世界最強,0.5833333333333334,0.3333333333333333,364.1666666666667,12,5,4
10,machine_name,いざ！番長,0.35555555555555557,0.35555555555555557,-67.66666666666667,45,19,13
10,machine_name,うしおととら 白面決戦,0.0,0.0,-1706.0,2,1,2
10,machine_name,うみねこのなく頃に2,0.4,0.4,-541.5,10,3,5
10,machine_name,かぐや様は告らせたい,0.205607476635514,0.205607476635514,-385.70093457943926,107,17,18
10,machine_name,からくりサーカス,0.2711864406779661,0.23728813559322035,-234.41525423728814,118,35,18
10,machine_name,とある科学の超電磁砲2,0.3,0.2,-713.3,10,7,4
10,machine_name,にゃんこ大戦争 超神速,0.25,0.25,-526.5,4,4,2
10,machine_name,ようこそ実力至上主義の教室へ,0.0,0.0,-1510.6,5,3,3
10,machine_name,わたしの幸せな結婚,0.3333333333333333,0.3333333333333333,466.0,9,5,5
10,machine_name,アイドルマスター ミリオンライブ！ ネクストプロローグ,0.4,0.4,984.6,5,5,1
10,machine_name,アイムジャグラーEX-TP,0.41338582677165353,0.2637795275590551,45.84251968503937,254,27,16
10,machine_name,アズールレーン THE ANIMATION,0.23333333333333334,0.23333333333333334,-690.4666666666667,30,11,11
10,machine_name,アレックス ブライト,0.3225806451612903,0.16129032258064516,-422.0967741935484,31,8,12
10,machine_name,ウルトラミラクルジャグラー,0.4777777777777778,0.28888888888888886,118.03333333333333,90,5,18
10,machine_name,ガールズ&パンツァー 最終章,0.0,0.0,-665.2222222222222,9,7,4
10,machine_name,ギルティクラウン2,0.3,0.2,-1001.0,10,6,3
10,machine_name,クランキークレスト,0.1875,0.1875,-496.4375,16,4,16
10,machine_name,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,0.28125,0.125,-283.78125,32,7,10
10,machine_name,ゴジラ,1.0,1.0,2445.5,2,1,2
10,machine_name,ゴジラ対エヴァンゲリオン,0.23076923076923078,0.15384615384615385,123.0,13,3,5
10,machine_name,ゴッドイーター リザレクション,0.40186915887850466,0.34579439252336447,6.91588785046729,107,47,18
10,machine_name,ゴブリンスレイヤーII,0.3333333333333333,0.3333333333333333,1004.3333333333334,6,6,2
