dd,segment,rank_from_aisle,machine_instance_id,machine_number,machine_name,avg_diff_on_dd,n_dd,avg_diff_non_dd,n_non_dd,dd_specific_lift,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,single_machine_dominance_flag
1,h_nonjug,6,slot_568,568,ALL_MODELS,-190.73684210526315,19,270.70377358490566,530,-461.4406156901688,False,True,False,,False
1,h_nonjug,6,slot_579,579,ALL_MODELS,570.7894736842105,19,172.3679245283019,530,398.4215491559086,False,False,False,,False
1,h_nonjug,6,slot_602,602,ALL_MODELS,199.3684210526316,19,230.15283018867925,530,-30.784409136047657,False,True,False,,False
1,h_nonjug,6,slot_613,613,ALL_MODELS,404.0,19,1.6358490566037736,530,402.3641509433962,False,True,False,,False
1,h_nonjug,6,slot_635,635,ALL_MODELS,-789.8421052631579,19,-316.3943396226415,530,-473.4477656405164,False,False,False,,False
1,h_nonjug,7,slot_507,507,ALL_MODELS,-827.1052631578947,19,83.05471698113207,530,-910.1599801390267,False,False,False,,False
1,h_nonjug,7,slot_533,533,ALL_MODELS,289.0,19,-203.81509433962265,530,492.81509433962265,False,True,False,,False
1,h_nonjug,7,slot_546,546,ALL_MODELS,914.421052631579,19,97.62830188679246,530,816.7927507447865,False,True,False,,False
1,h_nonjug,7,slot_567,567,ALL_MODELS,-352.0,19,244.60188679245283,530,-596.6018867924529,False,False,False,,False
1,h_nonjug,7,slot_580,580,ALL_MODELS,-859.1578947368421,19,100.35849056603773,530,-959.5163853028798,False,True,False,,False
1,h_nonjug,7,slot_601,601,ALL_MODELS,-207.26315789473685,19,135.31698113207548,530,-342.58013902681233,False,True,False,,False
1,h_nonjug,7,slot_614,614,ALL_MODELS,-488.63157894736844,19,15.622641509433961,530,-504.2542204568024,False,False,False,,False
1,h_nonjug,7,slot_634,634,ALL_MODELS,-35.89473684210526,19,48.216981132075475,530,-84.11171797418073,False,False,False,,False
1,h_nonjug,8,slot_508,508,ALL_MODELS,1610.7368421052631,19,-136.04716981132074,530,1746.784011916584,False,True,False,,False
1,h_nonjug,8,slot_532,532,ALL_MODELS,84.78947368421052,19,-45.575471698113205,530,130.36494538232373,False,True,False,,False
1,h_nonjug,8,slot_547,547,ALL_MODELS,-208.6315789473684,19,226.45094339622642,530,-435.08252234359486,False,True,False,,False
1,h_nonjug,8,slot_566,566,ALL_MODELS,435.05263157894734,19,288.57924528301885,530,146.4733862959285,False,True,False,,False
1,h_nonjug,8,slot_581,581,ALL_MODELS,-995.5263157894736,19,191.50943396226415,530,-1187.0357497517377,False,False,False,,False
1,h_nonjug,8,slot_600,600,ALL_MODELS,494.05263157894734,19,216.38867924528302,530,277.6639523336643,False,True,False,,False
1,h_nonjug,8,slot_615,615,ALL_MODELS,-66.6842105263158,19,-44.79622641509434,530,-21.887984111221456,False,False,False,,False
1,h_nonjug,8,slot_633,633,ALL_MODELS,862.0,19,-139.94150943396227,530,1001.9415094339622,False,True,False,,False
1,h_nonjug,9,slot_509,509,ALL_MODELS,-1582.6842105263158,19,-125.64905660377359,530,-1457.0351539225423,False,False,False,,False
1,h_nonjug,9,slot_531,531,ALL_MODELS,-619.6842105263158,19,-193.15471698113208,530,-426.52949354518375,False,False,False,,False
1,h_nonjug,9,slot_548,548,ALL_MODELS,817.0526315789474,19,50.950943396226414,530,766.101688182721,False,False,False,,False
1,h_nonjug,9,slot_565,565,ALL_MODELS,340.94736842105266,19,83.67547169811321,530,257.27189672293946,False,False,False,,False
1,h_nonjug,9,slot_582,582,ALL_MODELS,-828.8421052631579,19,170.29056603773586,530,-999.1326713008938,False,True,False,,False
1,h_nonjug,9,slot_599,599,ALL_MODELS,209.94736842105263,19,300.02830188679246,530,-90.08093346573983,False,False,False,,False
1,h_nonjug,9,slot_616,616,ALL_MODELS,-546.2631578947369,19,-185.28301886792454,530,-360.98013902681237,False,False,False,,False
1,h_nonjug,9,slot_632,632,ALL_MODELS,-324.63157894736844,19,-259.33584905660376,530,-65.29572989076468,False,False,False,,False
1,h_nonjug,10,slot_510,510,ALL_MODELS,355.42105263157896,19,171.35283018867923,530,184.06822244289972,False,False,False,,False
1,h_nonjug,10,slot_530,530,ALL_MODELS,73.6842105263158,19,-209.49622641509433,530,283.1804369414101,False,False,False,,False
1,h_nonjug,10,slot_549,549,ALL_MODELS,-1173.6842105263158,19,135.39811320754717,530,-1309.082323733863,False,True,False,,False
1,h_nonjug,10,slot_564,564,ALL_MODELS,38.05263157894737,19,85.07735849056604,530,-47.02472691161867,False,True,False,,False
1,h_nonjug,10,slot_583,583,ALL_MODELS,-761.5263157894736,19,-52.31509433962264,530,-709.211221449851,False,False,False,,False
1,h_nonjug,10,slot_598,598,ALL_MODELS,292.36842105263156,19,127.93962264150943,530,164.42879841112213,False,True,False,,False
1,h_nonjug,10,slot_617,617,ALL_MODELS,388.2631578947368,19,-121.1566037735849,530,509.4197616683217,False,False,False,,False
1,h_nonjug,10,slot_631,631,ALL_MODELS,61.36842105263158,19,-152.37735849056602,530,213.7457795431976,False,True,False,,False
1,h_nonjug,11,slot_511,511,ALL_MODELS,-369.8421052631579,19,157.0679245283019,530,-526.9100297914598,False,False,False,,False
1,h_nonjug,11,slot_529,529,ALL_MODELS,-356.6842105263158,19,-99.67924528301887,530,-257.0049652432969,False,False,False,,False
1,h_nonjug,11,slot_550,550,ALL_MODELS,-562.3157894736842,19,-103.8188679245283,530,-458.49692154915584,False,True,False,,False
1,h_nonjug,11,slot_563,563,ALL_MODELS,969.7894736842105,19,95.12641509433962,530,874.6630585898708,False,False,False,,False
1,h_nonjug,11,slot_584,584,ALL_MODELS,137.57894736842104,19,90.3754716981132,530,47.20347567030784,False,False,False,,False
1,h_nonjug,11,slot_597,597,ALL_MODELS,141.3684210526316,19,89.7188679245283,530,51.64955312810329,False,True,False,,False
1,h_nonjug,11,slot_618,618,ALL_MODELS,-228.47368421052633,19,-179.011320754717,530,-49.46236345580934,False,False,False,,False
1,h_nonjug,11,slot_630,630,ALL_MODELS,-560.0,19,-195.4377358490566,530,-364.5622641509434,False,False,False,,False
1,h_nonjug,12,slot_512,512,ALL_MODELS,-1160.7368421052631,19,131.25849056603772,530,-1291.9953326713007,False,False,False,,False
1,h_nonjug,12,slot_528,528,ALL_MODELS,-416.0,19,37.466037735849056,530,-453.46603773584906,False,True,False,,False
1,h_nonjug,12,slot_551,551,ALL_MODELS,-138.31578947368422,19,-44.386792452830186,530,-93.92899702085404,False,False,False,,False
1,h_nonjug,12,slot_562,562,ALL_MODELS,-97.84210526315789,19,-52.632075471698116,530,-45.210029791459775,False,True,False,,False
1,h_nonjug,12,slot_585,585,ALL_MODELS,115.10526315789474,19,211.64905660377357,530,-96.54379344587883,False,False,False,,False
1,h_nonjug,12,slot_596,596,ALL_MODELS,781.7894736842105,19,92.0,530,689.7894736842105,False,False,False,,False
1,h_nonjug,12,slot_619,619,ALL_MODELS,622.2631578947369,19,-32.824528301886794,530,655.0876861966236,False,False,False,,False
1,h_nonjug,12,slot_629,629,ALL_MODELS,-813.4736842105264,19,11.683018867924527,530,-825.1567030784508,False,False,False,,False
1,h_nonjug,13,slot_513,513,ALL_MODELS,303.05263157894734,19,58.92075471698113,530,244.13187686196622,False,True,False,,False
1,h_nonjug,13,slot_527,527,ALL_MODELS,102.26315789473684,19,-121.12830188679246,530,223.3914597815293,False,False,False,,False
1,h_nonjug,13,slot_552,552,ALL_MODELS,330.42105263157896,19,55.19433962264151,530,275.22671300893745,False,False,False,,False
1,h_nonjug,13,slot_561,561,ALL_MODELS,-671.6315789473684,19,-35.22075471698113,530,-636.4108242303873,False,True,False,,False
1,h_nonjug,13,slot_586,586,ALL_MODELS,586.7894736842105,19,-133.93018867924528,530,720.7196623634558,False,False,False,,False
1,h_nonjug,13,slot_595,595,ALL_MODELS,-966.5263157894736,19,-126.27358490566037,530,-840.2527308838132,False,False,False,,False
1,h_nonjug,13,slot_620,620,ALL_MODELS,368.8421052631579,19,-135.43396226415095,530,504.2760675273089,False,False,False,,False
1,h_nonjug,13,slot_628,628,ALL_MODELS,-357.1578947368421,19,-87.68867924528301,530,-269.46921549155905,False,False,False,,False
1,h_nonjug,14,slot_514,514,ALL_MODELS,-347.4736842105263,19,181.1188679245283,530,-528.5925521350546,False,True,False,,False
1,h_nonjug,14,slot_526,526,ALL_MODELS,33.473684210526315,19,-6.979245283018868,530,40.452929493545184,False,False,False,,False
1,h_nonjug,14,slot_553,553,ALL_MODELS,753.6315789473684,19,-42.928301886792454,530,796.5598808341609,False,False,False,,False
1,h_nonjug,14,slot_560,560,ALL_MODELS,-222.10526315789474,19,-11.915094339622641,530,-210.1901688182721,False,False,False,,False
1,h_nonjug,14,slot_587,587,ALL_MODELS,-663.578947368421,19,121.87735849056604,530,-785.4563058589871,False,False,False,,False
1,h_nonjug,14,slot_594,594,ALL_MODELS,603.7368421052631,19,145.67735849056604,530,458.0594836146971,False,True,False,,False
1,h_nonjug,14,slot_621,621,ALL_MODELS,-131.52631578947367,19,-7.9547169811320755,530,-123.57159880834159,False,False,False,,False
1,h_nonjug,14,slot_627,627,ALL_MODELS,-223.8421052631579,19,-8.69433962264151,530,-215.14776564051638,False,False,False,,False
1,h_nonjug,15,slot_515,515,ALL_MODELS,-1107.157894736842,19,-30.00754716981132,530,-1077.1503475670308,False,True,False,,False
1,h_nonjug,15,slot_525,525,ALL_MODELS,-33.73684210526316,19,-186.82830188679245,530,153.0914597815293,False,False,False,,False
1,h_nonjug,15,slot_554,554,ALL_MODELS,-336.36842105263156,19,143.39622641509433,530,-479.7646474677259,False,True,False,,False
1,h_nonjug,15,slot_559,559,ALL_MODELS,-821.3684210526316,19,-64.80754716981131,530,-756.5608738828203,False,False,False,,False
1,h_nonjug,15,slot_588,588,ALL_MODELS,-776.1578947368421,19,-72.05660377358491,530,-704.1012909632572,False,False,False,,False
1,h_nonjug,15,slot_593,593,ALL_MODELS,3.526315789473684,19,-142.10377358490567,530,145.63008937437934,False,False,False,,False
1,h_nonjug,15,slot_622,622,ALL_MODELS,-992.4736842105264,19,20.562264150943395,530,-1013.0359483614698,False,False,False,,False
1,h_nonjug,15,slot_626,626,ALL_MODELS,-437.8421052631579,19,-184.5245283018868,530,-253.31757696127113,False,False,False,,False
1,h_nonjug,16,slot_516,516,ALL_MODELS,-84.78947368421052,19,101.01698113207547,530,-185.806454816286,False,False,False,,False
1,h_nonjug,16,slot_524,524,ALL_MODELS,-363.1578947368421,19,-141.32830188679245,530,-221.82959285004964,False,False,False,,False
1,h_nonjug,16,slot_555,555,ALL_MODELS,-979.1578947368421,19,-254.39811320754717,530,-724.759781529295,False,False,False,,False
1,h_nonjug,16,slot_558,558,ALL_MODELS,-1324.421052631579,19,32.635849056603774,530,-1357.0569016881827,False,False,False,,False
1,h_nonjug,16,slot_589,589,ALL_MODELS,766.578947368421,19,-222.0,530,988.578947368421,False,False,False,,False
1,h_nonjug,16,slot_592,592,ALL_MODELS,-184.68421052631578,19,-117.66415094339622,530,-67.02005958291956,False,False,False,,False
1,h_nonjug,16,slot_623,623,ALL_MODELS,-92.3157894736842,19,-33.49245283018868,530,-58.82333664349552,False,False,False,,False
1,h_nonjug,16,slot_625,625,ALL_MODELS,-68.15789473684211,19,-153.96981132075473,530,85.81191658391262,False,True,False,,False
1,h_nonjug,17,slot_517,517,ALL_MODELS,411.57894736842104,19,-131.96603773584906,530,543.5449851042702,False,True,False,,False
1,h_nonjug,17,slot_523,523,ALL_MODELS,-52.94736842105263,19,-264.98490566037736,530,212.03753723932473,False,False,False,,False
1,h_nonjug,17,slot_556,556,ALL_MODELS,-571.1052631578947,19,-106.01698113207547,530,-465.08828202581924,False,False,False,,False
1,h_nonjug,17,slot_557,557,ALL_MODELS,-223.94736842105263,19,-251.6320754716981,530,27.68470705064547,False,False,False,,False
1,h_nonjug,17,slot_590,590,ALL_MODELS,-1010.1578947368421,19,-181.89811320754717,530,-828.259781529295,False,False,False,,False
1,h_nonjug,17,slot_591,591,ALL_MODELS,16.36842105263158,19,-156.28301886792454,530,172.65143992055613,False,True,False,,False
1,h_nonjug,17,slot_624,624,ALL_MODELS,-893.9473684210526,19,-267.7377358490566,530,-626.209632571996,False,True,False,,False
1,h_nonjug,18,slot_518,518,ALL_MODELS,800.2631578947369,19,26.460377358490565,530,773.8027805362464,False,True,False,,True
1,h_nonjug,19,slot_519,519,ALL_MODELS,-698.6315789473684,19,39.14716981132076,530,-737.7787487586892,False,True,False,,True
1,h_nonjug,20,slot_520,520,ALL_MODELS,282.89473684210526,19,63.23018867924528,530,219.66454816285997,False,True,False,,True
1,h_nonjug,21,slot_521,521,ALL_MODELS,-459.1578947368421,19,50.950943396226414,530,-510.1088381330685,False,True,False,,True
1,h_nonjug,22,slot_522,522,ALL_MODELS,-1002.8421052631579,19,-91.20754716981132,530,-911.6345580933466,False,True,False,,True
1,mixed_805,1,slot_805,805,ALL_MODELS,-60.421052631578945,19,42.30943396226415,530,-102.7304865938431,False,True,False,,True
1,mixed_805,2,slot_806,806,ALL_MODELS,15.789473684210526,19,85.9245283018868,530,-70.13505461767627,False,False,False,,True
1,mixed_805,3,slot_807,807,ALL_MODELS,-182.73684210526315,19,50.62830188679245,530,-233.3651439920556,False,False,False,,True
1,mixed_805,4,slot_808,808,ALL_MODELS,115.52631578947368,19,61.61132075471698,530,53.91499503475671,False,True,False,,True
1,mixed_805,5,slot_809,809,ALL_MODELS,170.47368421052633,19,10.554716981132076,530,159.91896722939424,False,True,False,,True
1,mixed_805,6,slot_810,810,ALL_MODELS,151.73684210526315,19,-71.03396226415094,530,222.7708043694141,False,True,False,,True
1,mixed_805,7,slot_811,811,ALL_MODELS,108.21052631578948,19,6.2981132075471695,530,101.9124131082423,False,True,False,,True
1,mixed_805,8,slot_812,812,ALL_MODELS,47.73684210526316,19,-43.0377358490566,530,90.77457795431977,False,True,False,,True
1,mixed_805,9,slot_813,813,ALL_MODELS,78.84210526315789,19,79.00754716981132,530,-0.1654419066534274,False,False,False,,True
1,mixed_805,10,slot_814,814,ALL_MODELS,-358.63157894736844,19,70.05471698113207,530,-428.6862959285005,False,True,False,,True
1,mixed_805,11,slot_815,815,ALL_MODELS,-255.05263157894737,19,72.98301886792453,530,-328.0356504468719,False,True,False,,True
1,v_jug,1,slot_712,712,ALL_MODELS,194.52631578947367,19,46.549056603773586,530,147.9772591857001,False,True,False,,False
1,v_jug,1,slot_733,733,ALL_MODELS,61.10526315789474,19,168.13584905660377,530,-107.03058589870903,False,True,False,,False
1,v_jug,1,slot_734,734,ALL_MODELS,-279.4736842105263,19,117.5811320754717,530,-397.054816285998,False,True,False,,True
1,v_jug,2,slot_713,713,ALL_MODELS,-74.42105263157895,19,54.89245283018868,530,-129.31350546176762,False,True,False,,False
1,v_jug,2,slot_732,732,ALL_MODELS,-220.78947368421052,19,225.25471698113208,530,-446.0441906653426,False,True,False,,False
1,v_jug,2,slot_735,735,ALL_MODELS,-247.31578947368422,19,111.84150943396226,530,-359.15729890764646,False,False,False,,False
1,v_jug,3,slot_714,714,ALL_MODELS,-195.10526315789474,19,7.809433962264151,530,-202.9146971201589,False,False,False,,False
1,v_jug,3,slot_731,731,ALL_MODELS,96.63157894736842,19,97.7566037735849,530,-1.1250248262164746,False,True,False,,False
