variant,segment,event_type,n_days,mean_vs_other,ci_lower,ci_upper,se,wins,losses,win_pct,p_value_wilcoxon,p_value_sign,verdict,loo_min_mean,loo_max_mean,loo_sign_flips,loo_fragile,q_value_wilcoxon,q_value_sign
v9b_blend_05,2F_L_N,non_event,189,79.00098807930134,28.98160738190858,131.01601963409192,26.212717811046133,109,80,57.7,0.012331888486802788,0.041395619283973305,maybe,72.49961548320944,83.37461548320944,0,False,0.03699566546040837,0.10644587815878849
v9b_blend_05,2F_R_N,event,67,70.05340766049272,-50.76823413055205,197.64667550800203,63.67755197190163,35,32,52.2,0.4841619466113959,0.8071946913670247,ns,46.15215407082877,84.24808324205915,0,False,0.4979951450860072,0.8546767320356733
v9b_blend_05,2F_R_N,non_event,189,51.247976031108564,-2.974713138267358,105.4586711927073,27.85043760751649,102,87,54.0,0.15228152046788146,0.30850513289883275,ns,44.798769546270194,55.798961804665474,0,False,0.21928538947374931,0.43790941692958635
v9b_blend_05,3F_L_A,event,67,127.57399748246719,43.561513217047285,227.5735636576152,46.625829394484846,35,32,52.2,0.07401175509581064,0.8071946913670247,ns,95.29518072289159,134.29700620664477,0,False,0.12111014470223558,0.8546767320356733
v9b_blend_05,3F_L_A,non_event,189,64.65225983298272,34.69685886402754,94.75320647670043,15.286970150630749,120,69,63.5,3.650341834538088e-05,0.00025510010702115975,USEFUL,61.415182004614195,68.13275442194309,0,False,0.0013141230604337116,0.00918360385276175
v9b_blend_05,3F_L_N,event,67,-200.60151051969066,-326.60470463945325,-70.34872325121381,65.50603797103726,24,43,35.8,0.003532078256475753,0.027119992403126333,WORSE,-222.5098576122672,-182.09556407447968,0,False,0.01271548172331271,0.07510151742404216
v9b_blend_05,3F_L_N,non_event,189,-37.66634793140817,-99.5410602728374,26.471509848919474,32.205364106776294,82,107,43.4,0.17963395447012365,0.08058113741204015,ns,-44.22712125096129,-32.01627787746732,0,False,0.2395119392934982,0.18130755917709035
v9b_blend_05,3F_R_A,event,67,76.92249595396513,-11.352751303722343,182.3539965833483,48.97960665581228,37,30,55.2,0.2503981603997566,0.46381761789686937,ns,40.48740416210296,86.07539247900695,0,False,0.3219404919425442,0.5386269111060419
v9b_blend_05,3F_R_A,non_event,189,50.41732007394658,16.120812615541528,84.16361318289029,17.44453812249228,107,82,56.6,0.014683645238878695,0.08058113741204015,maybe,46.59705844655216,53.415854908997694,0,False,0.039312229926845875,0.18130755917709035
v9b_blend_05,3F_R_N,event,67,-141.21920517892462,-301.6797203740334,14.845511149073836,79.8311675048008,23,44,34.3,0.03808986285115364,0.013933875024287785,bad?,-168.2793902884264,-117.33461117196055,0,False,0.07411639595087732,0.05016195008743603
v9b_blend_05,3F_R_N,non_event,189,-122.82565181360363,-197.23000015936762,-44.096646108242496,39.157489940258216,74,115,39.2,0.00032889050411616524,0.003508139931872323,WORSE,-131.42578825942067,-115.67511535503719,0,False,0.002960014537045487,0.02525860750948073
v9c_percentile,2F_L_N,event,67,117.81604028052507,7.606118503866206,228.6181959180004,56.565133235599944,39,28,58.2,0.03368188872873199,0.22154872964481104,maybe,94.01387367652427,134.46221248630886,0,False,0.07411639595087732,0.34677192466144335
v9c_percentile,2F_L_N,non_event,189,89.04851150634283,32.33060894371137,143.64284439344678,28.553520262247304,116,73,61.4,0.002261155717000064,0.0021659721611007577,USEFUL,82.55482568572161,94.49762881312483,0,False,0.009044622868000255,0.019493749449906818
v9c_percentile,2F_R_N,event,67,62.34975723790686,-53.944580561050145,183.00509126056463,60.304209205843314,38,29,56.7,0.4349020628331789,0.3284320626971897,ns,44.36272362175977,79.00730193501278,0,False,0.4604845371174835,0.43790941692958635
v9c_percentile,2F_R_N,non_event,189,69.4882705424874,13.54214636323071,125.91902451074137,28.461765555388713,105,84,55.6,0.035951056633047686,0.14553062787215798,maybe,63.9482824916688,74.78540758779799,0,False,0.07411639595087732,0.2757422422840888
v9c_percentile,3F_L_A,event,67,130.91224599892107,44.13359782413235,233.371207966193,47.810694207886996,37,30,55.2,0.0824635360911678,0.46381761789686937,ns,99.00985761226727,137.68583424607522,0,False,0.1290733608383496,0.5386269111060419
v9c_percentile,3F_L_A,non_event,189,59.73659718238032,27.277557053611268,92.33439631542039,16.52480343877691,113,76,59.8,0.0006849289871664079,0.008653116386496589,USEFUL,56.209081004870555,63.21382337862087,0,False,0.004931488707598137,0.03893902373923465
v9c_percentile,3F_L_N,event,67,-184.90532278367203,-310.5028479590001,-55.66440837978781,64.4401337291947,26,41,38.8,0.008083124049807048,0.08643723427347082,WORSE,-205.85898138006576,-166.16155531215776,0,False,0.026453860526641247,0.18304355493205585
v9c_percentile,3F_L_N,non_event,189,-21.235290367820493,-81.1193559954102,40.889045866003684,31.337177884027415,85,104,45.0,0.35570400300130767,0.19029148414591004,ns,-27.434119456549606,-13.896308638810565,0,False,0.3880407305468811,0.32621397282156006
v9c_percentile,3F_R_A,event,67,88.79895702211833,1.821612569681717,191.04117065276023,48.09384340752576,38,29,56.7,0.12134130358357849,0.3284320626971897,ns,54.2382256297919,98.86883899233297,0,False,0.18201195537536774,0.43790941692958635
v9c_percentile,3F_R_A,non_event,189,64.90259450500416,29.75644004589788,99.15348218269905,17.61262142103131,111,78,58.7,0.0009377660389520035,0.019688345605355914,USEFUL,60.7704434760318,68.81325301204821,0,False,0.005626596233712022,0.06443458561752845
v9c_percentile,3F_R_N,event,67,-162.564736558173,-327.3231208415753,-2.110548912066187,81.79303370439759,22,45,32.8,0.03808986285115364,0.006741447363103123,bad?,-187.90735669952537,-134.14841182913472,0,False,0.07411639595087732,0.03467030072453035
v9c_percentile,3F_R_N,non_event,189,-114.08669599031045,-190.0648682029706,-34.15261761331039,39.905549120455795,75,114,39.7,0.0015081453552884922,0.005566130513722026,WORSE,-122.64034862855678,-106.8896757241733,0,False,0.006786654098798215,0.033396783082332154
