index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type
2,3F_L_A,-128.0,65.36144578313252,28.000000000000004,94.96896080598344,-193.36144578313252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1413861386138614,0.0,0.0,0.0,0.0,2025-10-26,v6a_hit_an,90,non_event
3,3F_L_N,-118.0,64.60843373493977,38.0,97.19470127133062,-182.60843373493975,0.0,0.0,2.0,1.4280000000000002,6.0,1.7136,9.0,1.2724752475247525,7.0,1.4486956521739132,5.0,1.5521739130434782,2025-10-26,v6a_hit_an,90,non_event
4,3F_R_A,374.0,27.56024096385542,50.0,99.34901080657693,346.43975903614455,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.42415841584158415,2.0,0.4139130434782609,0.0,0.0,2025-10-26,v6a_hit_an,90,non_event
5,3F_R_N,436.0,22.89156626506024,40.0,102.88257761951972,413.10843373493975,2.0,2.8560000000000003,3.0,2.1420000000000003,7.0,1.9992,14.0,1.9794059405940594,10.0,2.0695652173913044,6.0,1.862608695652174,2025-10-26,v6a_hit_an,90,non_event
0,2F_L_N,126.0,46.234939759036145,34.0,100.64954921566574,79.76506024096386,1.0,1.4280000000000002,2.0,1.4280000000000002,3.0,0.8568,7.0,0.9897029702970297,4.0,0.8278260869565218,3.0,0.931304347826087,2025-10-26,v9b_blend_05,90,non_event
1,2F_R_N,588.0,11.44578313253012,36.0,101.65403406949827,576.5542168674699,1.0,1.4280000000000002,3.0,2.1420000000000003,6.0,1.7136,10.0,1.413861386138614,8.0,1.6556521739130436,6.0,1.862608695652174,2025-10-26,v9b_blend_05,90,non_event
2,3F_L_A,-136.0,65.96385542168674,28.000000000000004,95.10297599413397,-201.96385542168673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1413861386138614,0.0,0.0,0.0,0.0,2025-10-26,v9b_blend_05,90,non_event
3,3F_L_N,-118.0,64.60843373493977,38.0,97.19470127133062,-182.60843373493975,0.0,0.0,2.0,1.4280000000000002,6.0,1.7136,9.0,1.2724752475247525,7.0,1.4486956521739132,5.0,1.5521739130434782,2025-10-26,v9b_blend_05,90,non_event
4,3F_R_A,420.0,24.096385542168676,50.0,99.70386190529442,395.90361445783134,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.42415841584158415,2.0,0.4139130434782609,0.0,0.0,2025-10-26,v9b_blend_05,90,non_event
5,3F_R_N,436.0,22.89156626506024,40.0,102.88257761951971,413.10843373493975,2.0,2.8560000000000003,3.0,2.1420000000000003,7.0,1.9992,14.0,1.9794059405940594,10.0,2.0695652173913044,6.0,1.862608695652174,2025-10-26,v9b_blend_05,90,non_event
0,2F_L_N,16.0,54.51807228915663,32.0,99.68512032741863,-38.51807228915663,0.0,0.0,1.0,0.7140000000000001,2.0,0.5712,7.0,0.9897029702970297,4.0,0.8278260869565218,2.0,0.6208695652173913,2025-10-26,v9c_percentile,90,non_event
1,2F_R_N,526.0,16.1144578313253,36.0,101.3394863059411,509.8855421686747,1.0,1.4280000000000002,3.0,2.1420000000000003,6.0,1.7136,10.0,1.413861386138614,8.0,1.6556521739130436,6.0,1.862608695652174,2025-10-26,v9c_percentile,90,non_event
2,3F_L_A,-136.0,65.96385542168674,28.000000000000004,95.10297599413397,-201.96385542168673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1413861386138614,0.0,0.0,0.0,0.0,2025-10-26,v9c_percentile,90,non_event
3,3F_L_N,120.0,46.68674698795181,40.0,99.19800269095524,73.3132530120482,1.0,1.4280000000000002,2.0,1.4280000000000002,7.0,1.9992,10.0,1.413861386138614,8.0,1.6556521739130436,5.0,1.5521739130434782,2025-10-26,v9c_percentile,90,non_event
4,3F_R_A,402.0,25.451807228915662,48.0,99.46364401335425,376.54819277108436,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.42415841584158415,2.0,0.4139130434782609,0.0,0.0,2025-10-26,v9c_percentile,90,non_event
5,3F_R_N,436.0,22.89156626506024,40.0,102.88257761951971,413.10843373493975,2.0,2.8560000000000003,3.0,2.1420000000000003,7.0,1.9992,14.0,1.9794059405940594,10.0,2.0695652173913044,6.0,1.862608695652174,2025-10-26,v9c_percentile,90,non_event
0,2F_L_N,974.0,169.4277108433735,52.0,105.08360409040586,804.5722891566265,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,15.0,1.6476923076923078,10.0,1.4571428571428573,4.0,0.8525373134328358,2025-10-27,v6a_hit_an,90,event
1,2F_R_N,620.0,196.0843373493976,40.0,106.37970966121152,423.91566265060237,0.0,0.0,1.0,0.7140000000000001,6.0,1.7136,10.0,1.0984615384615386,9.0,1.3114285714285716,7.0,1.4919402985074626,2025-10-27,v6a_hit_an,90,event
2,3F_L_A,4.0,242.46987951807228,42.0,98.73871740669462,-238.46987951807228,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32953846153846156,0.0,0.0,0.0,0.0,2025-10-27,v6a_hit_an,90,event
3,3F_L_N,56.0,238.55421686746988,44.0,100.46047781188,-182.55421686746988,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,12.0,1.3181538461538462,10.0,1.4571428571428573,7.0,1.4919402985074626,2025-10-27,v6a_hit_an,90,event
4,3F_R_A,310.0,219.4277108433735,62.0,99.72039449437379,90.57228915662651,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32953846153846156,3.0,0.43714285714285717,2.0,0.4262686567164179,2025-10-27,v6a_hit_an,90,event
5,3F_R_N,-432.0,275.30120481927713,40.0,98.70438941248682,-707.3012048192771,1.0,1.4280000000000002,2.0,1.4280000000000002,7.0,1.9992,14.0,1.5378461538461539,13.0,1.8942857142857144,11.0,2.3444776119402984,2025-10-27,v6a_hit_an,90,event
0,2F_L_N,974.0,169.4277108433735,52.0,105.08360409040586,804.5722891566265,2.0,2.8560000000000003,3.0,2.1420000000000003,4.0,1.1424,15.0,1.6476923076923078,10.0,1.4571428571428573,4.0,0.8525373134328358,2025-10-27,v9b_blend_05,90,event
1,2F_R_N,620.0,196.0843373493976,40.0,106.37970966121152,423.91566265060237,0.0,0.0,1.0,0.7140000000000001,6.0,1.7136,10.0,1.0984615384615386,9.0,1.3114285714285716,7.0,1.4919402985074626,2025-10-27,v9b_blend_05,90,event
2,3F_L_A,92.0,235.84337349397592,44.0,99.0505976052921,-143.84337349397592,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32953846153846156,0.0,0.0,0.0,0.0,2025-10-27,v9b_blend_05,90,event
3,3F_L_N,38.0,239.90963855421685,44.0,100.4095817676555,-201.90963855421685,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,12.0,1.3181538461538462,10.0,1.4571428571428573,7.0,1.4919402985074626,2025-10-27,v9b_blend_05,90,event
4,3F_R_A,322.0,218.52409638554218,62.0,99.83621902396582,103.47590361445782,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32953846153846156,3.0,0.43714285714285717,2.0,0.4262686567164179,2025-10-27,v9b_blend_05,90,event
