hall,dd_group,day_of_week,avg_diff,plus_rate,hit104_rate,n,ci_low,ci_high,tier
みとや,4系,木,260,45.7,33.9,1846,125,388,B
みとや,4系,金,183,42.6,31.7,2116,63,300,C
みとや,4系,土,356,47.3,35.4,2126,217,493,B
みとや,4系,日,144,45.2,32.4,1860,0,281,B
みとや,7系,月,187,42.1,31.2,2085,78,304,C
みとや,7系,火,249,42.7,31.5,2091,135,371,C
みとや,7系,水,219,42.8,31.6,1835,99,345,C
みとや,7系,木,214,42.0,32.1,1814,108,324,C
みとや,7系,金,82,38.5,29.4,2339,-5,177,C
みとや,7系,土,139,43.1,31.7,2128,16,261,C
みとや,7系,日,168,43.6,32.8,1852,43,293,B
みとや,その他,月,-17,37.4,27.8,15388,-47,14,C
みとや,その他,火,-34,37.5,28.6,14782,-65,-1,C
みとや,その他,水,-73,35.7,27.3,15315,-99,-45,C
みとや,その他,木,-50,36.2,27.4,15467,-78,-18,C
みとや,その他,金,-3,37.2,28.2,14915,-33,29,C
みとや,その他,土,-25,39.4,29.3,16055,-60,12,C
みとや,その他,日,-49,37.5,28.0,16560,-84,-16,C
みとや,X_DDS,月,199,42.9,32.3,5241,129,265,C
みとや,X_DDS,火,238,42.4,31.7,6019,174,307,C
みとや,X_DDS,水,199,42.2,31.8,4752,123,281,C
みとや,X_DDS,木,204,43.2,32.6,4433,136,281,C
みとや,X_DDS,金,127,40.0,30.2,6231,63,187,C
みとや,X_DDS,土,197,44.1,32.9,5314,112,280,B
みとや,X_DDS,日,137,43.7,32.4,4502,57,219,B
みとや,非イベント,月,-39,37.0,27.4,14085,-71,-8,C
みとや,非イベント,火,-58,37.2,28.3,13226,-93,-23,C
みとや,非イベント,水,-76,35.6,27.2,14524,-103,-44,C
みとや,非イベント,木,-55,36.0,27.2,14694,-85,-24,C
みとや,非イベント,金,-20,37.0,28.0,13139,-51,12,C
みとや,非イベント,土,-26,39.4,29.2,14995,-63,10,C
みとや,非イベント,日,-54,37.4,27.8,15770,-90,-20,C
