hall,machine_name,n_machine_days,baseline_plus_rate,baseline_hit104_rate,diff_p,diff_effect,plus_p,plus_effect,hit104_p,hit104_effect
レイトギャップ,甲鉄城のカバネリ,542,39.11,34.69,0.2870128497251626,0.007527316509173747,0.19162099956635856,0.10929147380224477,0.16325932616753416,0.11723556584729171
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,920,38.37,29.67,0.28257571732882913,0.00445049407950813,0.3256156271687874,0.05614305534982889,0.056613964721104214,0.1195586299691028
レイトギャップ,ジャグラーガールズ,1847,43.04,24.91,0.18192727888513213,0.0037651338282663903,0.04942153603058696,0.08650171327314911,0.13928699701769873,0.0674673201646199
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,510,36.27,25.69,0.500493616736744,0.0,0.6360664012554454,0.0,0.3404942259596379,0.07055241446188888
ARROW,甲鉄城のカバネリ,750,45.47,35.07,0.5460772290247895,0.0,0.8021491064778606,0.0,0.47121529120664485,0.0
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,894,40.16,29.08,0.3289763293603655,0.003305401291512017,0.2906265678718504,0.064577392353116,0.7160467278198652,0.0
ARROW,ジャグラーガールズ,537,43.39,25.51,0.109301648753614,0.019317643757869683,0.5060349437621569,0.0,0.13399804124146736,0.1265512314023014
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,616,37.18,26.95,0.33516138508291105,0.004636462435011405,0.16788674240712606,0.10876445193057248,0.10987081078682114,0.12557261547673088
ヒロキ,甲鉄城のカバネリ,1618,40.17,33.31,0.6538797974906416,0.0,0.4439504003199415,0.015892607800314013,0.06995154818934267,0.08649556516951143
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,445,38.65,30.79,0.04215957131787516,0.03523257512927733,0.00599490624352005,0.2270518743561737,0.05817977862740511,0.17089823070597407
ヒロキ,ジャグラーガールズ,1423,36.89,22.28,0.8269451587134551,0.0,0.20596279346322208,0.06519324516536407,0.14369784246428602,0.07602262020095947
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,249,37.75,27.31,0.8158454784123037,0.0,0.8562929896470297,0.0,0.34927832742402104,0.09580909165768642
ザシティ,甲鉄城のカバネリ,993,39.78,34.54,0.5124217833087197,0.0,0.7344470582525853,0.0,0.8426521045772215,0.0
ザシティ,甲鉄城のカバネリ 海門(うなと)決戦,376,36.17,32.71,0.8071724867652462,0.0,0.658241496715078,0.0,0.7558446637320532,0.0
ザシティ,ジャグラーガールズ,595,31.93,16.3,0.2087196398029078,0.010603552673619876,0.3218427021680823,0.07065862273309419,0.4332112401222016,0.03152620674355814
ザシティ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,327,38.53,28.13,0.1966075727494263,0.021477753420439373,0.4015589484604641,0.06045979411499205,0.10911831934566708,0.17242366115106866
金時,甲鉄城のカバネリ,866,39.26,35.68,0.11221176243050235,0.01153409859333553,0.07589541971977443,0.11613486727195653,0.3792361592622493,0.044533382767390176
金時,甲鉄城のカバネリ 海門(うなと)決戦,463,38.23,32.61,0.3166237559428619,0.007261772819947233,0.36407530265390553,0.06595079921229853,0.4468750115224585,0.02565581820432347
金時,ジャグラーガールズ,1508,39.39,26.66,0.49998396009993396,0.0,0.7447999810877808,0.0,0.0810889483678408,0.08674824790379172
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,417,44.12,34.53,0.391039704204302,0.0038911627736139937,0.23716086745794793,0.11050212468995317,0.327115924443816,0.0823764569431949
