hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,19,dd,plus,5,5,22,-631.8181818181819,27.27272727272727,13.636363636363635
蒲田7,kakuban,19,dd,plus,6,6,22,522.7272727272727,54.54545454545454,36.36363636363637
蒲田7,kakuban,19,dd,plus,7,7,24,675.0,62.5,41.66666666666667
蒲田7,kakuban,19,dd,plus,8,8,23,278.2608695652174,43.47826086956522,34.78260869565217
蒲田7,kakuban,19,dd,plus,9,9,24,420.8333333333333,29.166666666666668,29.166666666666668
蒲田7,kakuban,19,dd,plus,10,10,24,891.6666666666666,54.166666666666664,45.83333333333333
蒲田7,kakuban,19,dd,plus,11,11,24,441.6666666666667,41.66666666666667,25.0
蒲田7,kakuban,19,dd,plus,12,12,20,635.0,45.0,30.0
蒲田7,kakuban,19,dd,plus,13,13,23,73.91304347826087,34.78260869565217,26.08695652173913
蒲田7,kakuban,19,dd,plus,14,14,23,-13.043478260869565,26.08695652173913,21.73913043478261
蒲田7,kakuban,19,dd,plus,15,15,23,-39.130434782608695,34.78260869565217,21.73913043478261
蒲田7,kakuban,19,dd,plus,16,16,24,-58.333333333333336,25.0,20.833333333333336
蒲田7,kakuban,19,dd,plus,17,17,24,8.333333333333334,45.83333333333333,29.166666666666668
蒲田7,kakuban,19,dd,plus,18,18,23,95.65217391304348,39.130434782608695,34.78260869565217
蒲田7,kakuban,19,dd,plus,19,19,24,529.1666666666666,29.166666666666668,20.833333333333336
蒲田7,kakuban,19,dd,plus,20,20,23,656.5217391304348,56.52173913043478,43.47826086956522
蒲田7,kakuban,19,dd,plus,21,21,24,804.1666666666666,50.0,37.5
蒲田7,kakuban,19,dd,plus,22,22,24,-462.5,20.833333333333336,12.5
蒲田7,kakuban,19,dd,plus,23,23,22,-227.27272727272728,36.36363636363637,36.36363636363637
蒲田7,kakuban,19,dd,plus,24,24,23,-221.7391304347826,34.78260869565217,21.73913043478261
蒲田7,kakuban,19,dd,plus,25,25,24,-154.16666666666666,33.33333333333333,16.666666666666664
蒲田7,kakuban,19,dd,plus,26,26,24,-12.5,41.66666666666667,20.833333333333336
蒲田7,kakuban,19,dd,plus,27,27,24,-662.5,20.833333333333336,12.5
蒲田7,kakuban,19,dd,plus,28,28,24,-112.5,29.166666666666668,25.0
蒲田7,kakuban,19,dd,plus,29,29,22,177.27272727272728,36.36363636363637,22.727272727272727
蒲田7,kakuban,19,dd,plus,30,30,22,-104.54545454545455,36.36363636363637,27.27272727272727
蒲田7,kakuban,19,dd,plus,31,31,12,-475.0,33.33333333333333,16.666666666666664
蒲田7,kakuban,2,dd,plus,1,1,632,386.0759493670886,49.84177215189873,38.607594936708864
蒲田7,kakuban,2,dd,plus,2,2,626,139.1373801916933,37.06070287539936,29.87220447284345
蒲田7,kakuban,2,dd,plus,3,3,578,221.10726643598616,41.86851211072664,34.77508650519031
蒲田7,kakuban,2,dd,plus,4,4,576,249.82638888888889,40.625,33.15972222222222
蒲田7,kakuban,2,dd,plus,5,5,569,170.47451669595782,39.54305799648506,32.68892794376098
蒲田7,kakuban,2,dd,plus,6,6,567,211.99294532627866,38.62433862433862,29.98236331569665
蒲田7,kakuban,2,dd,plus,7,7,635,509.9212598425197,48.346456692913385,38.110236220472444
蒲田7,kakuban,2,dd,plus,8,8,626,324.1214057507987,42.6517571884984,33.38658146964856
蒲田7,kakuban,2,dd,plus,9,9,620,118.06451612903226,39.83870967741935,30.64516129032258
蒲田7,kakuban,2,dd,plus,10,10,624,126.92307692307692,38.30128205128205,29.647435897435898
蒲田7,kakuban,2,dd,plus,11,11,634,135.01577287066246,40.694006309148264,31.703470031545745
蒲田7,kakuban,2,dd,plus,12,12,529,185.82230623818526,39.69754253308129,30.812854442344044
蒲田7,kakuban,2,dd,plus,13,13,624,-18.75,38.46153846153847,30.448717948717945
蒲田7,kakuban,2,dd,plus,14,14,626,170.28753993610223,41.21405750798722,32.42811501597444
蒲田7,kakuban,2,dd,plus,15,15,634,30.441640378548897,35.17350157728706,28.86435331230284
蒲田7,kakuban,2,dd,plus,16,16,616,188.47402597402598,41.23376623376623,31.493506493506494
蒲田7,kakuban,2,dd,plus,17,17,636,304.55974842767296,46.069182389937104,36.79245283018868
蒲田7,kakuban,2,dd,plus,18,18,626,83.06709265175719,38.65814696485623,31.948881789137378
蒲田7,kakuban,2,dd,plus,19,19,624,207.69230769230768,39.1025641025641,30.448717948717945
蒲田7,kakuban,2,dd,plus,20,20,630,386.984126984127,41.74603174603175,32.53968253968254
蒲田7,kakuban,2,dd,plus,21,21,632,235.6012658227848,41.61392405063291,33.54430379746836
