hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
みとや,kakuban,10,8804,dd,plus,chi2,53.18028785031476,0.00566567318590228,0.05131119595153278,8804,31,,
みとや,kakuban,10,8804,dd_bin,diff,kruskal,3.2822309453225103,0.5117525266292342,0.0,8804,5,0.0,
みとや,kakuban,10,8804,dd_bin,hit104,chi2,2.470007871058148,0.6500142803256785,0.0,8804,5,,
みとや,kakuban,10,8804,dd_bin,plus,chi2,3.6453676715734002,0.4561216682988374,0.0,8804,5,,
みとや,kakuban,10,8804,is_x_day,diff,kruskal,2.6582399361442253,0.10301466737109137,0.00018839353966646505,8804,2,0.0,
みとや,kakuban,10,8804,is_x_day,hit104,chi2,15.052680317237215,0.0001045516795872081,0.039954203735128806,8804,2,,
みとや,kakuban,10,8804,is_x_day,plus,chi2,28.835023427641055,7.881296570720148e-08,0.056231486093720036,8804,2,,
みとや,kakuban,11,8878,day_of_week,diff,kruskal,7.029841585148883,0.31809628594321393,0.00011609081108656108,8878,7,0.0,
みとや,kakuban,11,8878,day_of_week,hit104,chi2,10.676421770506124,0.09890679128696285,0.022950510071953995,8878,7,,
みとや,kakuban,11,8878,day_of_week,plus,chi2,10.497269175268375,0.1052131376962838,0.022506537991711296,8878,7,,
みとや,kakuban,11,8878,dd,diff,kruskal,41.81439620628278,0.07423291657790683,0.0013354127055818673,8878,31,0.0,
みとや,kakuban,11,8878,dd,hit104,chi2,55.56106913553909,0.003065225416923089,0.053657160773797105,8878,31,,
みとや,kakuban,11,8878,dd,plus,chi2,60.03778671003319,0.0009110312875144944,0.058166967808952724,8878,31,,
みとや,kakuban,11,8878,dd_bin,diff,kruskal,0.6228038178495385,0.9604962659039836,0.0,8878,5,0.0,
みとや,kakuban,11,8878,dd_bin,hit104,chi2,3.1353401233484592,0.5354374702835196,0.0,8878,5,,
みとや,kakuban,11,8878,dd_bin,plus,chi2,1.2542441445667458,0.8690894559162773,0.0,8878,5,,
みとや,kakuban,11,8878,is_x_day,diff,kruskal,5.601086964504541,0.017949337972567706,0.0005183739256990244,8878,2,0.0,
みとや,kakuban,11,8878,is_x_day,hit104,chi2,8.96647310892941,0.002749788960349033,0.029956899983735536,8878,2,,
みとや,kakuban,11,8878,is_x_day,plus,chi2,25.19588275321965,5.179264889852355e-07,0.05220794723388617,8878,2,,
みとや,kakuban,12,5657,day_of_week,diff,kruskal,11.305183254641598,0.07939006869065073,0.0009389704875471855,5657,7,0.0,
みとや,kakuban,12,5657,day_of_week,hit104,chi2,16.695031217359393,0.010471878991036184,0.04348252898938197,5657,7,,
みとや,kakuban,12,5657,day_of_week,plus,chi2,12.370612323266336,0.05419356113389641,0.033558283078182746,5657,7,,
みとや,kakuban,12,5657,dd,diff,kruskal,44.67872672178366,0.04134053892850553,0.0026090875794140883,5657,31,0.0,
みとや,kakuban,12,5657,dd,hit104,chi2,67.06595476701412,0.00011861673222174849,0.08094719914516321,5657,31,,
みとや,kakuban,12,5657,dd,plus,chi2,59.55585570155324,0.0010417042671189707,0.07228165741870637,5657,31,,
みとや,kakuban,12,5657,dd_bin,diff,kruskal,2.1077741059375055,0.7159442832123664,0.0,5657,5,0.0,
みとや,kakuban,12,5657,dd_bin,hit104,chi2,2.9258563269726983,0.5703088567023917,0.0,5657,5,,
みとや,kakuban,12,5657,dd_bin,plus,chi2,4.152052040997718,0.3858187768873514,0.005172840620309898,5657,5,,
みとや,kakuban,12,5657,is_x_day,diff,kruskal,4.063472113190041,0.04382031045294096,0.000541728048309468,5657,2,0.0,
みとや,kakuban,12,5657,is_x_day,hit104,chi2,26.340710775477227,2.8619205600068905e-07,0.06693498762179804,5657,2,,
みとや,kakuban,12,5657,is_x_day,plus,chi2,19.67889763120024,9.160740977098273e-06,0.05746704579883256,5657,2,,
みとや,kakuban,13,5703,day_of_week,diff,kruskal,17.701383084108198,0.007023436146927951,0.0020543158504403437,5703,7,0.0,
みとや,kakuban,13,5703,day_of_week,hit104,chi2,6.222031109252568,0.39878336875782466,0.006225321022392416,5703,7,,
みとや,kakuban,13,5703,day_of_week,plus,chi2,4.870392298766658,0.5605406991776287,0.0,5703,7,,
みとや,kakuban,13,5703,dd,diff,kruskal,27.460936966647278,0.598979201172271,0.0,5703,31,0.0,
みとや,kakuban,13,5703,dd,hit104,chi2,41.78850236679606,0.07461044336178535,0.04545888521588356,5703,31,,
みとや,kakuban,13,5703,dd,plus,chi2,35.626456265304256,0.22056127000889442,0.031397908828058804,5703,31,,
みとや,kakuban,13,5703,dd_bin,diff,kruskal,5.662934263550345,0.2257743253942001,0.00029184525509834067,5703,5,0.0,
みとや,kakuban,13,5703,dd_bin,hit104,chi2,5.757415374430399,0.2180118937128197,0.017552416465674573,5703,5,,
みとや,kakuban,13,5703,dd_bin,plus,chi2,5.7305029222691655,0.22019875247752177,0.017417448058874033,5703,5,,
みとや,kakuban,13,5703,is_x_day,diff,kruskal,0.002737402510571523,0.9582735643113032,0.0,5703,2,0.0,
みとや,kakuban,13,5703,is_x_day,hit104,chi2,5.6192901753021065,0.0177638419756527,0.028462023841904546,5703,2,,
みとや,kakuban,13,5703,is_x_day,plus,chi2,9.317548103510592,0.002269695134702385,0.03819262266738578,5703,2,,
みとや,kakuban,14,5646,day_of_week,diff,kruskal,13.09948185551623,0.04148308846856078,0.0012589966049860312,5646,7,0.0,
みとや,kakuban,14,5646,day_of_week,hit104,chi2,6.078594125630619,0.41444380365426386,0.0037060083490920875,5646,7,,
みとや,kakuban,14,5646,day_of_week,plus,chi2,6.8350221578437145,0.3363742231314105,0.012154593925725408,5646,7,,
みとや,kakuban,14,5646,dd,diff,kruskal,40.1442476369553,0.10210053844426266,0.0018066335951834906,5646,31,0.0,
みとや,kakuban,14,5646,dd,hit104,chi2,45.32777464989272,0.03597367686083194,0.052099347580153645,5646,31,,
みとや,kakuban,14,5646,dd,plus,chi2,57.4919623514489,0.0018325667783121345,0.06977967195121801,5646,31,,
みとや,kakuban,14,5646,dd_bin,diff,kruskal,1.1297873701948788,0.8895177684899434,0.0,5646,5,0.0,
みとや,kakuban,14,5646,dd_bin,hit104,chi2,1.4128740060922862,0.8419543938792389,0.0,5646,5,,
みとや,kakuban,14,5646,dd_bin,plus,chi2,1.693878527479197,0.7918292951710706,0.0,5646,5,,
みとや,kakuban,14,5646,is_x_day,diff,kruskal,2.383991498173674,0.1225839788280729,0.0002452146524049741,5646,2,0.0,
みとや,kakuban,14,5646,is_x_day,hit104,chi2,11.688915832724028,0.0006287352378813327,0.043514226052542945,5646,2,,
みとや,kakuban,14,5646,is_x_day,plus,chi2,18.36233741671393,1.8263252610669942e-05,0.05545872924082305,5646,2,,
みとや,kakuban,15,5634,day_of_week,diff,kruskal,5.737696503383071,0.45320553367608885,0.0,5634,7,0.0,
みとや,kakuban,15,5634,day_of_week,hit104,chi2,3.939780325081131,0.6848256425875894,0.0,5634,7,,
みとや,kakuban,15,5634,day_of_week,plus,chi2,6.222134360027439,0.3987722376907096,0.006264613169719826,5634,7,,
みとや,kakuban,15,5634,dd,diff,kruskal,25.054061775724303,0.722400338386461,0.0,5634,31,0.0,
みとや,kakuban,15,5634,dd,hit104,chi2,37.07909522027565,0.17485041656273653,0.035436888500866515,5634,31,,
みとや,kakuban,15,5634,dd,plus,chi2,43.528046099460994,0.05259696326510065,0.0489961735766934,5634,31,,
みとや,kakuban,15,5634,dd_bin,diff,kruskal,2.5393098717556715,0.6376108551943506,0.0,5634,5,0.0,
みとや,kakuban,15,5634,dd_bin,hit104,chi2,1.1337262517755116,0.8888849079711306,0.0,5634,5,,
みとや,kakuban,15,5634,dd_bin,plus,chi2,1.2050755027392153,0.8772622644630039,0.0,5634,5,,
みとや,kakuban,15,5634,is_x_day,diff,kruskal,0.02807947444935714,0.8669221149577091,0.0,5634,2,0.0,
みとや,kakuban,15,5634,is_x_day,hit104,chi2,8.823512350828466,0.0029737372386237928,0.03726714216275182,5634,2,,
みとや,kakuban,15,5634,is_x_day,plus,chi2,17.52835390302362,2.8305486501018342e-05,0.054167975028245934,5634,2,,
みとや,kakuban,16,5672,day_of_week,diff,kruskal,13.864242447144006,0.03118996617572117,0.00138821578943407,5672,7,0.0,
みとや,kakuban,16,5672,day_of_week,hit104,chi2,8.212338585511434,0.22295599685356093,0.019746589962995064,5672,7,,
みとや,kakuban,16,5672,day_of_week,plus,chi2,6.632301255214879,0.35619327648381643,0.010550390964059955,5672,7,,
みとや,kakuban,16,5672,dd,diff,kruskal,24.953007799149265,0.7273123885307653,0.0,5672,31,0.0,
みとや,kakuban,16,5672,dd,hit104,chi2,36.42362982208903,0.19453346369195706,0.033641978916757735,5672,31,,
みとや,kakuban,16,5672,dd,plus,chi2,36.196137239207104,0.2017257708498833,0.03304039452701347,5672,31,,
みとや,kakuban,16,5672,dd_bin,diff,kruskal,3.37344107872097,0.4973808642823334,0.0,5672,5,0.0,
みとや,kakuban,16,5672,dd_bin,hit104,chi2,3.829462616936265,0.42957726075289693,0.0,5672,5,,
みとや,kakuban,16,5672,dd_bin,plus,chi2,5.015013074297997,0.2857605260563039,0.013373806984330532,5672,5,,
みとや,kakuban,16,5672,is_x_day,diff,kruskal,0.7843425000995843,0.37581633047707574,0.0,5672,2,0.0,
みとや,kakuban,16,5672,is_x_day,hit104,chi2,16.24835914542054,5.5557689482180534e-05,0.051853637602788244,5672,2,,
みとや,kakuban,16,5672,is_x_day,plus,chi2,13.204253943187538,0.00027931440918516943,0.04638981744486293,5672,2,,
みとや,kakuban,17,5321,day_of_week,diff,kruskal,14.136974638042373,0.02814295067610858,0.0015312334659470029,5321,7,0.0,
みとや,kakuban,17,5321,day_of_week,hit104,chi2,10.692362720680704,0.09836252937794016,0.029695304389719297,5321,7,,
みとや,kakuban,17,5321,day_of_week,plus,chi2,6.301283334883625,0.3903000383250864,0.007511338871524007,5321,7,,
みとや,kakuban,17,5321,dd,diff,kruskal,34.51852104516948,0.26058033433871475,0.0008541627684630394,5321,31,0.0,
みとや,kakuban,17,5321,dd,hit104,chi2,39.56785372428653,0.11350905872761156,0.0423958586172626,5321,31,,
みとや,kakuban,17,5321,dd,plus,chi2,48.34825120330717,0.018295539996878794,0.058718476991157016,5321,31,,
みとや,kakuban,17,5321,dd_bin,diff,kruskal,0.9539261136811719,0.9166999524374388,0.0,5321,5,0.0,
みとや,kakuban,17,5321,dd_bin,hit104,chi2,2.143234348813171,0.7094341287609811,0.0,5321,5,,
みとや,kakuban,17,5321,dd_bin,plus,chi2,5.373000454135027,0.2511204267594226,0.016060556356299598,5321,5,,
みとや,kakuban,17,5321,is_x_day,diff,kruskal,3.6712978331226864,0.055357063439295,0.0005022180547325976,5321,2,0.0,
みとや,kakuban,17,5321,is_x_day,hit104,chi2,11.202744922054539,0.0008167642334738653,0.043792395811857524,5321,2,,
