hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2143-2146,dd,plus,21,21,62,-487.0967741935484,27.419354838709676,20.967741935483872
蒲田1,section,2143-2146,dd,plus,22,22,64,-54.6875,37.5,31.25
蒲田1,section,2143-2146,dd,plus,23,23,59,-394.91525423728814,25.423728813559322,20.33898305084746
蒲田1,section,2143-2146,dd,plus,24,24,55,-341.8181818181818,30.909090909090907,21.818181818181817
蒲田1,section,2143-2146,dd,plus,25,25,56,160.71428571428572,35.714285714285715,33.92857142857143
蒲田1,section,2143-2146,dd,plus,26,26,54,-361.1111111111111,29.629629629629626,22.22222222222222
蒲田1,section,2143-2146,dd,plus,27,27,67,655.223880597015,44.776119402985074,41.7910447761194
蒲田1,section,2143-2146,dd,plus,28,28,53,-511.3207547169811,22.641509433962266,20.754716981132077
蒲田1,section,2143-2146,dd,plus,29,29,54,-116.66666666666667,25.925925925925924,22.22222222222222
蒲田1,section,2143-2146,dd,plus,30,30,59,691.5254237288135,40.67796610169492,35.59322033898305
蒲田1,section,2143-2146,dd,plus,31,31,36,366.6666666666667,36.11111111111111,30.555555555555557
蒲田1,section,2223-2235,dd,plus,1,1,247,336.8421052631579,51.012145748987855,34.0080971659919
蒲田1,section,2223-2235,dd,plus,2,2,244,65.1639344262295,43.85245901639344,28.278688524590162
蒲田1,section,2223-2235,dd,plus,3,3,232,70.25862068965517,43.96551724137931,25.862068965517242
蒲田1,section,2223-2235,dd,plus,4,4,229,38.427947598253276,39.737991266375545,23.144104803493452
蒲田1,section,2223-2235,dd,plus,5,5,234,151.28205128205127,46.58119658119658,27.350427350427353
蒲田1,section,2223-2235,dd,plus,6,6,233,80.68669527896996,39.48497854077253,24.892703862660944
蒲田1,section,2223-2235,dd,plus,7,7,234,183.33333333333334,45.72649572649573,30.76923076923077
蒲田1,section,2223-2235,dd,plus,8,8,230,15.652173913043478,34.34782608695652,25.217391304347824
蒲田1,section,2223-2235,dd,plus,9,9,233,216.73819742489272,40.772532188841204,29.613733905579398
蒲田1,section,2223-2235,dd,plus,10,10,233,-45.06437768240343,37.76824034334764,22.317596566523605
蒲田1,section,2223-2235,dd,plus,11,11,233,-46.351931330472105,39.05579399141631,21.888412017167383
蒲田1,section,2223-2235,dd,plus,12,12,220,-61.36363636363637,35.0,20.0
蒲田1,section,2223-2235,dd,plus,13,13,234,315.38461538461536,47.008547008547005,32.9059829059829
蒲田1,section,2223-2235,dd,plus,14,14,229,-37.55458515283843,38.427947598253276,22.270742358078603
蒲田1,section,2223-2235,dd,plus,15,15,233,-34.76394849785408,39.05579399141631,22.746781115879827
蒲田1,section,2223-2235,dd,plus,16,16,230,27.82608695652174,34.78260869565217,23.043478260869566
蒲田1,section,2223-2235,dd,plus,17,17,234,211.96581196581195,48.717948717948715,29.48717948717949
蒲田1,section,2223-2235,dd,plus,18,18,215,3.7209302325581395,39.06976744186046,28.37209302325581
蒲田1,section,2223-2235,dd,plus,19,19,219,-161.18721461187215,30.136986301369863,17.35159817351598
蒲田1,section,2223-2235,dd,plus,20,20,218,-56.88073394495413,33.02752293577982,21.100917431192663
蒲田1,section,2223-2235,dd,plus,21,21,221,51.13122171945702,41.6289592760181,23.076923076923077
蒲田1,section,2223-2235,dd,plus,22,22,221,195.92760180995475,46.15384615384615,30.76923076923077
蒲田1,section,2223-2235,dd,plus,23,23,218,129.3577981651376,43.57798165137615,26.605504587155966
蒲田1,section,2223-2235,dd,plus,24,24,215,-13.023255813953488,34.883720930232556,20.46511627906977
蒲田1,section,2223-2235,dd,plus,25,25,219,280.82191780821915,48.401826484018265,30.59360730593607
蒲田1,section,2223-2235,dd,plus,26,26,218,-153.21100917431193,32.11009174311927,21.55963302752294
蒲田1,section,2223-2235,dd,plus,27,27,221,151.5837104072398,41.17647058823529,28.054298642533936
蒲田1,section,2223-2235,dd,plus,28,28,216,-62.03703703703704,35.648148148148145,23.14814814814815
蒲田1,section,2223-2235,dd,plus,29,29,193,-128.49740932642487,33.160621761658035,17.616580310880828
蒲田1,section,2223-2235,dd,plus,30,30,195,465.12820512820514,54.871794871794876,36.41025641025641
蒲田1,section,2223-2235,dd,plus,31,31,116,-16.379310344827587,39.6551724137931,24.137931034482758
蒲田1,section,2099-2109,dd,plus,1,1,208,882.6923076923077,52.40384615384615,41.82692307692308
蒲田1,section,2099-2109,dd,plus,2,2,201,376.6169154228856,40.79601990049751,33.83084577114428
蒲田1,section,2099-2109,dd,plus,3,3,189,-112.6984126984127,37.03703703703704,32.27513227513227
蒲田1,section,2099-2109,dd,plus,4,4,188,19.680851063829788,34.04255319148936,26.063829787234045
蒲田1,section,2099-2109,dd,plus,5,5,186,153.76344086021504,36.02150537634409,33.87096774193548
蒲田1,section,2099-2109,dd,plus,6,6,191,7.329842931937173,36.64921465968586,30.36649214659686
蒲田1,section,2099-2109,dd,plus,7,7,196,-15.306122448979592,42.3469387755102,32.142857142857146
蒲田1,section,2099-2109,dd,plus,8,8,188,-286.17021276595744,29.78723404255319,24.46808510638298
蒲田1,section,2099-2109,dd,plus,9,9,190,252.10526315789474,42.10526315789473,34.21052631578947
蒲田1,section,2099-2109,dd,plus,10,10,189,329.6296296296296,47.61904761904761,38.095238095238095
蒲田1,section,2099-2109,dd,plus,11,11,193,780.3108808290156,53.36787564766839,49.22279792746114
蒲田1,section,2099-2109,dd,plus,12,12,178,-200.0,30.89887640449438,25.842696629213485
蒲田1,section,2099-2109,dd,plus,13,13,185,109.1891891891892,37.83783783783784,31.351351351351354
蒲田1,section,2099-2109,dd,plus,14,14,179,92.73743016759776,41.340782122905026,35.19553072625698
蒲田1,section,2099-2109,dd,plus,15,15,185,1.6216216216216217,38.37837837837838,35.13513513513514
蒲田1,section,2099-2109,dd,plus,16,16,181,-59.668508287292816,35.91160220994475,30.386740331491712
蒲田1,section,2099-2109,dd,plus,17,17,195,459.4871794871795,50.256410256410255,42.56410256410256
蒲田1,section,2099-2109,dd,plus,18,18,171,73.09941520467837,35.08771929824561,32.748538011695906
蒲田1,section,2099-2109,dd,plus,19,19,175,-398.2857142857143,34.285714285714285,27.42857142857143
蒲田1,section,2099-2109,dd,plus,20,20,180,88.33333333333333,35.55555555555556,31.666666666666664
蒲田1,section,2099-2109,dd,plus,21,21,175,69.71428571428571,40.0,32.0
蒲田1,section,2099-2109,dd,plus,22,22,186,170.43010752688173,41.935483870967744,34.40860215053764
蒲田1,section,2099-2109,dd,plus,23,23,181,-112.70718232044199,36.46408839779006,30.939226519337016
蒲田1,section,2099-2109,dd,plus,24,24,178,-0.5617977528089888,37.640449438202246,32.02247191011236
蒲田1,section,2099-2109,dd,plus,25,25,174,262.0689655172414,35.63218390804598,31.03448275862069
蒲田1,section,2099-2109,dd,plus,26,26,175,-72.0,34.85714285714286,29.714285714285715
蒲田1,section,2099-2109,dd,plus,27,27,186,61.29032258064516,42.473118279569896,33.33333333333333
蒲田1,section,2099-2109,dd,plus,28,28,177,40.112994350282484,40.67796610169492,36.15819209039548
