island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
AT島,557-573,4,旧店長2026前半,1379.25,423.16101694915255,956.0889830508474,148.72357723577235,1230.5264227642276,24,118
AT島,557-573,5,旧店長2026前半,-136.625,82.18333333333334,-218.80833333333334,103.72895277207392,-240.3539527720739,24,120
AT島,557-573,6,旧店長2026前半,2041.4166666666667,312.70338983050846,1728.7132768361582,355.63453815261045,1685.7821285140562,24,118
AT島,557-573,7,旧店長2026前半,216.04166666666666,66.07949790794979,149.96216875871687,-2.725470763131814,218.76713742979848,48,239
AT島,557-573,8,旧店長2026前半,136.5,237.2941176470588,-100.79411764705881,110.20456802383316,26.29543197616684,48,238
AT島,557-573,9,旧店長2026前半,305.5416666666667,-103.39166666666667,408.93333333333334,45.54582074521652,259.99584592145015,48,240
AT島,574-590,0,旧店長2026前半,213.33333333333334,-252.94560669456067,466.278940027894,-95.35588235294118,308.6892156862745,48,239
AT島,574-590,1,旧店長2026前半,-17.5,16.058333333333334,-33.55833333333334,109.89194499017681,-127.39194499017681,24,120
AT島,574-590,2,旧店長2026前半,1966.875,175.11666666666667,1791.7583333333332,181.75442043222003,1785.12057956778,24,120
AT島,574-590,3,旧店長2026前半,1274.3333333333333,213.00833333333333,1061.3249999999998,-81.40236686390533,1355.7357001972387,24,120
AT島,574-590,4,旧店長2026前半,830.9583333333334,173.2092050209205,657.7491283124128,96.49462365591398,734.4637096774194,48,239
AT島,574-590,5,旧店長2026前半,801.9375,286.56666666666666,515.3708333333334,196.06967615309128,605.8678238469088,48,240
AT島,574-590,6,旧店長2026前半,259.4583333333333,23.330543933054393,236.1277894002789,-46.74828599412341,306.20661932745674,48,239
AT島,574-590,7,旧店長2026前半,456.8541666666667,4.728813559322034,452.12535310734467,158.33498023715416,298.5191864295125,48,236
AT島,574-590,8,旧店長2026前半,1071.3333333333333,65.82203389830508,1005.5112994350281,47.448412698412696,1023.8849206349206,48,236
AT島,574-590,9,旧店長2026前半,365.4375,140.7071129707113,224.7303870292887,-32.384086444007856,397.82158644400783,48,239
AT島,591-607,0,旧店長2026前半,587.6666666666666,113.54166666666667,474.12499999999994,293.00388349514566,294.66278317152097,24,120
AT島,591-607,1,旧店長2026前半,44.87234042553192,-242.43459915611814,287.30693958165006,7.562252964426878,37.31008746110504,47,237
AT島,591-607,2,旧店長2026前半,342.8510638297872,131.6293103448276,211.22175348495963,78.762,264.0890638297872,47,232
AT島,591-607,3,旧店長2026前半,-80.125,26.741525423728813,-106.86652542372882,47.983300589390964,-128.10830058939098,48,236
