island,section,last_digit,dd,dd_mean,global_mean,deviation_dd,n_records
AT島,501-522,4,25,-111.15151515151516,167.10344827586206,-278.2549634273772,33
AT島,501-522,4,26,-113.06060606060606,167.10344827586206,-280.1640543364681,33
AT島,501-522,4,27,1748.6764705882354,167.10344827586206,1581.5730223123733,34
AT島,501-522,4,28,857.6363636363636,167.10344827586206,690.5329153605015,33
AT島,501-522,4,29,278.0689655172414,167.10344827586206,110.96551724137933,29
AT島,501-522,4,30,763.8571428571429,167.10344827586206,596.7536945812808,28
AT島,501-522,4,31,-260.94444444444446,167.10344827586206,-428.04789272030655,18
AT島,501-522,5,1,-443.6969696969697,21.41906653426018,-465.1160362312299,33
AT島,501-522,5,2,-275.46875,21.41906653426018,-296.8878165342602,32
AT島,501-522,5,3,111.82352941176471,21.41906653426018,90.40446287750453,34
AT島,501-522,5,4,-161.94117647058823,21.41906653426018,-183.3602430048484,34
AT島,501-522,5,5,-382.8484848484849,21.41906653426018,-404.26755138274507,33
AT島,501-522,5,6,-94.39393939393939,21.41906653426018,-115.81300592819957,33
AT島,501-522,5,7,696.1176470588235,21.41906653426018,674.6985805245633,34
AT島,501-522,5,8,-266.125,21.41906653426018,-287.5440665342602,32
AT島,501-522,5,9,69.93939393939394,21.41906653426018,48.520327405133756,33
AT島,501-522,5,10,-395.969696969697,21.41906653426018,-417.3887635039572,33
AT島,501-522,5,11,488.9117647058824,21.41906653426018,467.4926981716222,34
AT島,501-522,5,12,73.21212121212122,21.41906653426018,51.793054677861036,33
AT島,501-522,5,13,-8.617647058823529,21.41906653426018,-30.036713593083707,34
AT島,501-522,5,14,-441.7647058823529,21.41906653426018,-463.1837724166131,34
AT島,501-522,5,15,-125.26470588235294,21.41906653426018,-146.68377241661312,34
AT島,501-522,5,16,337.8529411764706,21.41906653426018,316.4338746422104,34
AT島,501-522,5,17,362.55882352941177,21.41906653426018,341.1397569951516,34
AT島,501-522,5,18,984.7647058823529,21.41906653426018,963.3456393480927,34
AT島,501-522,5,19,306.3939393939394,21.41906653426018,284.9748728596792,33
AT島,501-522,5,20,301.52941176470586,21.41906653426018,280.11034523044566,34
AT島,501-522,5,21,-409.79411764705884,21.41906653426018,-431.21318418131904,34
AT島,501-522,5,22,-232.4848484848485,21.41906653426018,-253.90391501910867,33
AT島,501-522,5,23,93.5625,21.41906653426018,72.14343346573982,32
AT島,501-522,5,24,-906.8529411764706,21.41906653426018,-928.2720077107308,34
AT島,501-522,5,25,274.88235294117646,21.41906653426018,253.4632864069163,34
AT島,501-522,5,26,-779.7058823529412,21.41906653426018,-801.1249488872014,34
AT島,501-522,5,27,648.6969696969697,21.41906653426018,627.2779031627095,33
AT島,501-522,5,28,171.12121212121212,21.41906653426018,149.70214558695196,33
AT島,501-522,5,29,-165.8148148148148,21.41906653426018,-187.23388134907498,27
AT島,501-522,5,30,404.0740740740741,21.41906653426018,382.6550075398139,27
AT島,501-522,5,31,828.2941176470588,21.41906653426018,806.8750511127986,17
AT島,501-522,6,1,213.9375,145.2082494969819,68.72925050301811,32
AT島,501-522,6,2,76.33333333333333,145.2082494969819,-68.87491616364856,33
AT島,501-522,6,3,-181.125,145.2082494969819,-326.3332494969819,32
AT島,501-522,6,4,343.72727272727275,145.2082494969819,198.51902323029086,33
AT島,501-522,6,5,630.0294117647059,145.2082494969819,484.82116226772393,34
AT島,501-522,6,6,472.09090909090907,145.2082494969819,326.8826595939272,33
AT島,501-522,6,7,-763.8529411764706,145.2082494969819,-909.0611906734525,34
AT島,501-522,6,8,243.21875,145.2082494969819,98.01050050301811,32
AT島,501-522,6,9,1118.5625,145.2082494969819,973.3542505030181,32
AT島,501-522,6,10,-485.4848484848485,145.2082494969819,-630.6930979818304,33
AT島,501-522,6,11,1095.909090909091,145.2082494969819,950.7008414121091,33
AT島,501-522,6,12,-80.97058823529412,145.2082494969819,-226.178837732276,34
AT島,501-522,6,13,-547.6875,145.2082494969819,-692.8957494969819,32
AT島,501-522,6,14,-406.70588235294116,145.2082494969819,-551.914131849923,34
AT島,501-522,6,15,-773.9411764705883,145.2082494969819,-919.1494259675702,34
AT島,501-522,6,16,-122.79411764705883,145.2082494969819,-268.0023671440407,34
AT島,501-522,6,17,1037.7058823529412,145.2082494969819,892.4976328559593,34
AT島,501-522,6,18,-306.35483870967744,145.2082494969819,-451.56308820665936,31
AT島,501-522,6,19,-193.05882352941177,145.2082494969819,-338.26707302639363,34
AT島,501-522,6,20,-49.0,145.2082494969819,-194.2082494969819,33
AT島,501-522,6,21,-82.54545454545455,145.2082494969819,-227.75370404243642,33
AT島,501-522,6,22,252.90625,145.2082494969819,107.69800050301811,32
AT島,501-522,6,23,533.9705882352941,145.2082494969819,388.7623387383122,34
AT島,501-522,6,24,-124.26470588235294,145.2082494969819,-269.47295537933485,34
AT島,501-522,6,25,377.8181818181818,145.2082494969819,232.60993232119992,33
