island,section,last_digit,best_dd,best_deviation,worst_dd,worst_deviation,dd_spread
AT島,624-640,0,20,1609.3491552695093,3,-901.2141245878884,2510.563279857398
バラエティ島,745-755,3,30,1105.8762183235867,14,-1333.2708404999428,2439.1470588235297
AT島,608-623,6,8,1618.7490942028985,4,-818.4825234441603,2437.2316176470586
AT島,501-522,9,27,1278.3157847127995,2,-1094.0251243781095,2372.340909090909
AT島,557-573,2,17,1265.3750146765292,10,-1105.011794592633,2370.386809269162
AT島,540-556,8,27,1230.8506097560976,21,-1125.2077235772358,2356.0583333333334
AT島,501-522,3,13,1485.1761811023623,12,-855.1767600741084,2340.3529411764707
AT島,591-607,6,11,1125.7798099336562,13,-1197.432311278465,2323.212121212121
バラエティ島,692-700,9,17,1292.4636506276152,7,-1011.4571827057183,2303.9208333333336
バラエティ島,745-755,6,15,1389.250786255096,4,-898.1609784507863,2287.4117647058824
バラエティ島,692-700,3,11,839.6754563894524,31,-1446.8024847870183,2286.4779411764707
AT島,501-522,2,4,1337.4976626836235,15,-943.9239059438275,2281.421568627451
AT島,540-556,6,25,1344.017770854527,29,-928.6708865528805,2272.6886574074074
AT島,557-573,8,30,1280.0097176904526,1,-968.2348710541362,2248.244588744589
バラエティ島,701-711,9,31,1561.0996541288368,29,-662.3892347600519,2223.4888888888886
バラエティ島,745-755,2,19,1145.7962556338844,23,-1057.9684502484688,2203.764705882353
AT島,501-522,0,24,1403.5596454150523,9,-794.1150426419888,2197.674688057041
AT島,523-539,4,24,1076.4419275371026,8,-1117.3540283452503,2193.795955882353
AT島,608-623,8,17,1299.4920239282153,29,-893.262878032569,2192.754901960784
AT島,557-573,9,14,1277.0718263136068,20,-910.9974336484423,2188.0692599620493
バラエティ島,692-700,4,17,1189.089241330335,8,-987.8989939637828,2176.9882352941177
AT島,591-607,5,4,1543.2721092354668,26,-628.5514201762977,2171.8235294117644
バラエティ島,701-711,4,14,1254.8520220588234,25,-915.0303308823529,2169.8823529411766
AT島,523-539,3,24,1064.1500769321813,3,-1103.9381583619363,2168.0882352941176
AT島,540-556,9,28,995.6614089184061,1,-1164.1621204933588,2159.823529411765
AT島,608-623,1,7,1451.8352329716422,17,-704.1594194347749,2155.994652406417
AT島,540-556,5,4,1306.6774080149987,31,-847.1624612660469,2153.8398692810456
AT島,574-590,0,18,1119.5617647058823,31,-1028.9218954248367,2148.483660130719
AT島,523-539,6,2,1148.9589853452558,25,-994.735143442623,2143.694128787879
AT島,591-607,9,11,1076.8432519206513,22,-1059.0391010205253,2135.8823529411766
AT島,574-590,8,24,1024.2280578898226,31,-1105.389589169001,2129.6176470588234
AT島,540-556,2,30,1278.4167867954448,17,-844.139935893631,2122.5567226890757
AT島,557-573,3,24,805.2682231822778,11,-1314.240299544995,2119.508522727273
AT島,624-640,7,24,1086.9611764705883,25,-1001.8329411764705,2088.7941176470586
バラエティ島,745-755,4,12,1121.8872355266217,20,-960.5024703557312,2082.389705882353
AT島,591-607,7,24,1131.9073014419776,22,-943.3868162050812,2075.2941176470586
AT島,624-640,1,8,1086.6448543914607,12,-971.9433809026569,2058.5882352941176
AT島,557-573,0,24,1012.6584076054664,22,-1030.9224747474748,2043.5808823529412
AT島,574-590,7,4,1072.5179609393163,24,-950.7173331783306,2023.2352941176468
AT島,523-539,8,12,678.8163112607557,31,-1335.3904623577828,2014.2067736185386
AT島,574-590,9,23,846.8679574117498,24,-1162.5865017912863,2009.454459203036
バラエティ島,701-711,0,27,1221.2140491147916,13,-725.3153626499143,1946.5294117647059
AT島,574-590,5,27,1156.6950297292617,31,-778.1252317086469,1934.8202614379086
AT島,557-573,7,29,1100.932367314856,27,-830.4260443883833,1931.3584117032392
バラエティ島,745-755,7,31,1163.7966622749232,24,-759.9353638688676,1923.7320261437908
バラエティ島,692-700,8,12,1223.9767080745341,21,-696.8447204968944,1920.8214285714284
バラエティ島,692-700,2,11,1086.1953079856698,17,-821.8635155437421,1908.058823529412
AT島,501-522,6,9,973.3542505030181,15,-919.1494259675702,1892.5036764705883
AT島,501-522,5,18,963.3456393480927,24,-928.2720077107308,1891.6176470588234
AT島,608-623,9,4,1281.9200277360453,26,-605.6976193227782,1887.6176470588234
バラエティ島,692-700,0,28,1016.0805322128851,18,-861.4488795518207,1877.5294117647059
AT島,523-539,5,8,1046.8217286914767,20,-807.795918367347,1854.6176470588236
AT島,501-522,8,17,971.9349660182799,2,-879.5834163346614,1851.5183823529412
AT島,501-522,7,17,1081.427148414476,12,-769.3849957980477,1850.812144212524
AT島,624-640,6,14,1122.3799988080339,2,-727.6475747213779,1850.0275735294117
バラエティ島,692-700,6,7,959.2438674321503,4,-850.4142208031438,1809.6580882352941
AT島,591-607,8,30,972.2518351214004,31,-831.4068950373298,1803.6587301587301
AT島,540-556,1,12,871.8018719303124,22,-913.1633687113989,1784.9652406417113
バラエティ島,701-711,8,14,1116.6592133929594,30,-665.7567529935951,1782.4159663865544
AT島,523-539,9,7,956.690927218345,8,-822.5976757228315,1779.2886029411766
バラエティ島,723-733,7,7,1138.9551113649345,18,-629.3390062821245,1768.294117647059
