claim_id,hall,metric,unit,n_baseline_days,n_recent_days,recent_from,baseline,baseline_ci_lo,baseline_ci_hi,recent,recent_ci_lo,recent_ci_hi,delta,delta_ci_lo,delta_ci_hi,detect_limit,status
rakuen_jug_edge1,楽園蒲田店,payout,pp,448,180,20260327,0.7394,0.4739,0.9954,0.588,0.2046,0.9516,-0.1514,-0.6123,0.296,0.4542,UNDERPOWERED
rakuen_jug_edge1,楽園蒲田店,rb_rate,回/1000G,448,180,20260327,0.0723,0.0452,0.095,0.0128,-0.0266,0.0493,-0.0595,-0.1036,-0.0137,0.045,DEAD
rakuen_jug_edge1,楽園蒲田店,bonus_rate,回/1000G,448,180,20260327,0.1476,0.105,0.1867,0.0994,0.0408,0.1561,-0.0482,-0.1182,0.0216,0.0699,ALIVE
rakuen_hana_edge1,楽園蒲田店,payout,pp,448,180,20260327,1.3171,0.668,1.9429,0.1859,-0.9399,1.1922,-1.1312,-2.4165,0.0225,1.2195,UNDERPOWERED
rakuen_hana_edge1,楽園蒲田店,rb_rate,回/1000G,448,180,20260327,0.1233,0.0597,0.1769,0.0743,-0.0134,0.1713,-0.049,-0.1496,0.0704,0.11,UNDERPOWERED
rakuen_hana_edge1,楽園蒲田店,bonus_rate,回/1000G,448,180,20260327,0.2693,0.1791,0.3556,0.1135,-0.0371,0.2567,-0.1557,-0.3286,0.013,0.1708,UNDERPOWERED
rakuen_clean_edge1_jug,楽園蒲田店,payout,pp,448,180,20260327,1.2779,0.9331,1.6214,0.9628,0.3989,1.4792,-0.3151,-0.9776,0.3077,0.6427,UNDERPOWERED
rakuen_clean_edge1_jug,楽園蒲田店,rb_rate,回/1000G,448,180,20260327,0.0999,0.0655,0.1313,0.0503,-0.0032,0.1025,-0.0497,-0.1105,0.0131,0.0618,UNDERPOWERED
rakuen_clean_edge1_jug,楽園蒲田店,bonus_rate,回/1000G,448,180,20260327,0.2264,0.1753,0.276,0.1785,0.0857,0.2626,-0.0479,-0.1536,0.0521,0.1029,ALIVE
rakuen_clean_edge1_bt,楽園蒲田店,payout,pp,448,180,20260327,1.5887,1.1718,2.0735,0.2916,-0.4502,0.888,-1.2972,-2.2028,-0.5803,0.8112,DEAD
rakuen_clean_edge1_bt,楽園蒲田店,rb_rate,回/1000G,448,180,20260327,0.0669,0.0401,0.1007,0.0405,0.0125,0.0726,-0.0264,-0.0707,0.0165,0.0436,UNDERPOWERED
rakuen_clean_edge1_bt,楽園蒲田店,bonus_rate,回/1000G,448,180,20260327,0.2185,0.1634,0.2843,0.0996,0.0268,0.1652,-0.1189,-0.2173,-0.0324,0.0924,WEAKENED
rakuen_dd_jug,楽園蒲田店,payout,pp,75,29,20260327,2.262,1.7621,2.7185,2.265,1.3977,3.0374,0.003,-0.986,0.926,0.956,ALIVE
rakuen_dd_jug,楽園蒲田店,rb_rate,回/1000G,75,29,20260327,0.27,0.2133,0.3224,0.3461,0.2552,0.4338,0.0761,-0.0298,0.1816,0.1057,ALIVE
rakuen_dd_jug,楽園蒲田店,bonus_rate,回/1000G,75,29,20260327,0.4209,0.3314,0.5033,0.4765,0.3243,0.615,0.0556,-0.1191,0.2215,0.1703,ALIVE
rakuen_dd_hana,楽園蒲田店,payout,pp,44,18,20260327,6.4083,5.176,7.5756,6.9401,5.318,8.6852,0.5318,-1.4767,2.7111,2.0939,ALIVE
rakuen_dd_hana,楽園蒲田店,rb_rate,回/1000G,44,18,20260327,0.4528,0.366,0.5355,0.4688,0.3537,0.5959,0.016,-0.1251,0.1749,0.15,ALIVE
rakuen_dd_hana,楽園蒲田店,bonus_rate,回/1000G,44,18,20260327,0.9789,0.8065,1.1402,1.0288,0.8067,1.2774,0.05,-0.2246,0.3634,0.294,ALIVE
rakuen_dd_bt,楽園蒲田店,payout,pp,42,18,20260327,2.4876,1.7966,3.1569,2.7553,1.8411,3.6485,0.2677,-0.8616,1.4012,1.1314,ALIVE
rakuen_dd_bt,楽園蒲田店,rb_rate,回/1000G,42,18,20260327,0.0925,0.0552,0.13,0.1191,0.0683,0.1685,0.0266,-0.0372,0.0887,0.063,UNDERPOWERED
rakuen_dd_bt,楽園蒲田店,bonus_rate,回/1000G,42,18,20260327,0.2884,0.2004,0.3747,0.3335,0.2258,0.4415,0.0451,-0.0927,0.1856,0.1391,ALIVE
rakuen_dd_at,楽園蒲田店,payout,pp,56,24,20260327,2.1854,1.5795,2.7705,1.624,0.8912,2.3264,-0.5614,-1.4856,0.3822,0.9339,ALIVE
k1_jug_edge1,マルハンメガシティ2000-蒲田1,payout,pp,436,178,20260327,0.1187,-0.1205,0.3059,0.0258,-0.3416,0.3549,-0.093,-0.4878,0.3236,0.4057,NO_BASELINE
k1_jug_edge1,マルハンメガシティ2000-蒲田1,rb_rate,回/1000G,436,178,20260327,-0.0018,-0.0299,0.0228,0.032,0.0001,0.0663,0.0337,-0.0052,0.0786,0.0419,NO_BASELINE
k1_jug_edge1,マルハンメガシティ2000-蒲田1,bonus_rate,回/1000G,436,178,20260327,0.0446,0.0,0.0813,0.0203,-0.0793,0.0987,-0.0243,-0.1263,0.068,0.0971,UNDERPOWERED
mitoya_jug_edge1,みとや大森町店,payout,pp,450,175,20260327,1.9993,1.7735,2.2309,0.9217,0.4709,1.3737,-1.0776,-1.5875,-0.5737,0.5069,WEAKENED
mitoya_jug_edge1,みとや大森町店,rb_rate,回/1000G,450,175,20260327,0.2081,0.1831,0.2303,0.0696,0.0133,0.1284,-0.1385,-0.1982,-0.075,0.0616,WEAKENED
mitoya_jug_edge1,みとや大森町店,bonus_rate,回/1000G,450,175,20260327,0.3638,0.3292,0.3968,0.1582,0.079,0.2392,-0.2056,-0.2899,-0.1172,0.0863,WEAKENED
