hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,15,True,新鬼武者3,other,38,26.31578947368421,26.172839506172842,0.1429499675113668,38,75,1.0,1.0,False
レイトギャップ,15,True,ダーリン・イン・ザ・フランキス,other,19,26.31578947368421,26.22641509433962,0.08937437934458714,39,74,1.0,1.0,False
レイトギャップ,15,True,主役は銭形5,other,24,29.166666666666668,29.09090909090909,0.07575757575757791,40,73,1.0,1.0,False
レイトギャップ,15,True,押忍！番長4,other,44,27.27272727272727,27.46288798920378,-0.1901607164765089,41,72,1.0,1.0,False
レイトギャップ,15,True,ダンベル何キロ持てる？,other,19,21.052631578947366,21.524663677130047,-0.4720320981826802,42,71,1.0,1.0,False
レイトギャップ,15,True,沖ドキ!GOLD‐30,oki,466,42.70386266094421,43.561085336707436,-0.8572226757632251,43,70,0.7089100108664512,1.0,False
レイトギャップ,15,True,マイジャグラーV,jug,74,18.91891891891892,20.362381363244175,-1.443462444325256,44,69,0.8853631753383959,1.0,False
レイトギャップ,15,True,ウルトラミラクルジャグラー,jug,60,23.333333333333332,24.864572047670638,-1.5312387143373059,45,68,0.8817853578132842,1.0,False
レイトギャップ,15,True,バキ 強くなりたくば喰らえ!!!,other,11,27.27272727272727,28.908554572271388,-1.6358272995441183,46,67,1.0,1.0,False
レイトギャップ,15,True,キン肉マン～7人の悪魔超人編～,other,19,26.31578947368421,28.000000000000004,-1.6842105263157947,47,66,1.0,1.0,False
レイトギャップ,15,True,ハッピージャグラーVIII,jug,90,22.22222222222222,24.129172714078376,-1.9069504918561542,48,65,0.7136790120774497,1.0,False
レイトギャップ,15,True,ネオアイムジャグラーEX,jug,300,23.333333333333332,25.26207839562443,-1.9287450622910995,49,64,0.46536346996760836,0.9502419401357014,False
レイトギャップ,15,True,戦国乙女4 戦乱に閃く炯眼の軍師,other,89,26.96629213483146,29.055118110236222,-2.088825975404763,50,63,0.7269328085172488,1.0,False
レイトギャップ,15,True,主役は銭形4,other,9,22.22222222222222,24.503311258278146,-2.281089036055924,51,62,1.0,1.0,False
レイトギャップ,15,True,アイムジャグラーEX-TP,jug,364,23.9010989010989,26.546940165120436,-2.6458412640215343,52,61,0.25991854052689656,0.9173560355112615,False
レイトギャップ,15,True,真・一騎当千,other,21,28.57142857142857,31.5086782376502,-2.937249666221632,53,60,1.0,1.0,False
レイトギャップ,15,True,回胴黙示録カイジ 狂宴,other,13,30.76923076923077,33.76623376623377,-2.9970029970029977,54,59,1.0,1.0,False
レイトギャップ,15,True,ゴーゴージャグラー3,jug,210,21.428571428571427,24.443757725587144,-3.015186297015717,55,58,0.33581783442822966,0.9173560355112615,False
レイトギャップ,15,True,革命機ヴァルヴレイヴ2,other,98,29.591836734693878,32.653804149981795,-3.061967415287917,56,57,0.590616268783545,1.0,False
