target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_rank_1,0.013888888888888888,1.0,0.0273972602739726,0.0,0.0,0.0,0.0,72,0.013888888888888888,2026-05-01,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.029411764705882353,1.0,0.05714285714285715,0.0,0.0,0.0,1.0,68,0.027777777777777776,2026-05-01,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.08695652173913043,0.6666666666666666,0.15384615384615383,0.0,0.0,0.0,1.0,23,0.041666666666666664,2026-05-01,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.09259259259259259,1.0,0.1694915254237288,0.0,1.0,1.0,1.0,54,0.06944444444444445,2026-05-01,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.024390243902439025,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,41,0.013888888888888888,2026-05-02,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.027777777777777776,1.0,0.05405405405405406,0.0,0.0,0.0,0.0,72,0.027777777777777776,2026-05-02,2026-05,Saturday,0,0.0,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.024390243902439025,0.3333333333333333,0.04545454545454545,0.0,0.0,0.0,1.0,41,0.041666666666666664,2026-05-02,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.058823529411764705,0.6,0.10714285714285714,0.0,0.0,0.0,0.0,51,0.06944444444444445,2026-05-02,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.023809523809523808,1.0,0.046511627906976744,0.0,0.0,0.0,0.0,42,0.013888888888888888,2026-05-03,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.028169014084507043,1.0,0.05479452054794521,0.0,0.0,0.0,0.0,71,0.027777777777777776,2026-05-03,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,0.0,72,0.041666666666666664,2026-05-03,2026-05,Sunday,0,0.0,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
