target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_top_5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.06944444444444445,2026-04-30,2026-04,Thursday,1,0.18944039940834045,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-01,2026-05,Friday,0,0.15546882152557373,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-01,2026-05,Friday,0,0.142288938164711,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-01,2026-05,Friday,0,0.15684935450553894,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.3333333333333333,0.2,0.25,1.0,1.0,1.0,1.0,3,0.06944444444444445,2026-05-01,2026-05,Friday,0,0.19426237046718597,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-02,2026-05,Saturday,0,0.16092316806316376,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-02,2026-05,Saturday,0,0.14107659459114075,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-02,2026-05,Saturday,0,0.15611235797405243,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.06944444444444445,2026-05-02,2026-05,Saturday,0,0.18860508501529694,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-03,2026-05,Sunday,0,0.15686169266700745,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-03,2026-05,Sunday,0,0.1538083702325821,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.041666666666666664,2026-05-03,2026-05,Sunday,0,0.1686670184135437,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06944444444444445,2026-05-03,2026-05,Sunday,0,0.18824392557144165,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013888888888888888,2026-05-04,2026-05,Monday,0,0.14676687121391296,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-04,2026-05,Monday,0,0.15612943470478058,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-04,2026-05,Monday,0,0.16627487540245056,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.06944444444444445,2026-05-04,2026-05,Monday,0,0.18819688260555267,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-05,2026-05,Tuesday,0,0.16522037982940674,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-05,2026-05,Tuesday,0,0.15271785855293274,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.041666666666666664,2026-05-05,2026-05,Tuesday,0,0.16432690620422363,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06944444444444445,2026-05-05,2026-05,Tuesday,0,0.1883891373872757,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-06,2026-05,Wednesday,0,0.1579148769378662,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-05-06,2026-05,Wednesday,0,0.15106187760829926,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.041666666666666664,2026-05-06,2026-05,Wednesday,0,0.16069358587265015,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-06,2026-05,Wednesday,0,0.18895332515239716,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-07,2026-05,Thursday,1,0.14590026438236237,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.027777777777777776,2026-05-07,2026-05,Thursday,1,0.14954522252082825,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.041666666666666664,2026-05-07,2026-05,Thursday,1,0.16266390681266785,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.06944444444444445,2026-05-07,2026-05,Thursday,1,0.19205237925052643,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-08,2026-05,Friday,0,0.14237681031227112,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-05-08,2026-05,Friday,0,0.15609921514987946,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-08,2026-05,Friday,0,0.1603107899427414,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06944444444444445,2026-05-08,2026-05,Friday,0,0.1904313564300537,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-09,2026-05,Saturday,0,0.13938231766223907,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.027777777777777776,2026-05-09,2026-05,Saturday,0,0.14293459057807922,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-09,2026-05,Saturday,0,0.1685863882303238,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-09,2026-05,Saturday,0,0.18854069709777832,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-10,2026-05,Sunday,0,0.1562235951423645,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.027777777777777776,2026-05-10,2026-05,Sunday,0,0.15233804285526276,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.041666666666666664,2026-05-10,2026-05,Sunday,0,0.1529528796672821,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-10,2026-05,Sunday,0,0.1874481439590454,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014705882352941176,2026-05-11,2026-05,Monday,0,0.16904622316360474,68,72,68,4,0.9444444444444444,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029411764705882353,2026-05-11,2026-05,Monday,0,0.15804995596408844,68,72,68,4,0.9444444444444444,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.04411764705882353,2026-05-11,2026-05,Monday,0,0.17537598311901093,68,72,68,4,0.9444444444444444,0.0,xgb,cuda,global,0,0
is_top_5,0.125,0.2,0.15384615384615385,0.0,0.0,0.0,1.0,8,0.07352941176470588,2026-05-11,2026-05,Monday,0,0.181874081492424,68,72,68,4,0.9444444444444444,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-12,2026-05,Tuesday,0,0.1909795105457306,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.027777777777777776,2026-05-12,2026-05,Tuesday,0,0.15509922802448273,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.041666666666666664,2026-05-12,2026-05,Tuesday,0,0.15354816615581512,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.06944444444444445,2026-05-12,2026-05,Tuesday,0,0.19205893576145172,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-13,2026-05,Wednesday,0,0.18793509900569916,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.027777777777777776,2026-05-13,2026-05,Wednesday,0,0.1526002287864685,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.041666666666666664,2026-05-13,2026-05,Wednesday,0,0.15294863283634186,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
