feature,importance_top2,importance_top3,importance_top5,mean_importance
count_decrease_flag,3.568450409045631e-05,7.947519779507977e-05,0.00012845919283947647,8.120629824167086e-05
is_thursday,2.3661983544346938e-05,4.251943967922142e-05,0.00014425616622978845,7.014586315111893e-05
rolling_std_efficiency_7d,2.208054777836173e-05,5.5043670180365096e-05,0.0001323535080382897,6.982590866567218e-05
prior_top3_rate,2.470187331272134e-05,6.447607162242191e-05,0.00010154900579445991,6.357565024320105e-05
same_weekday_top3_rate,3.1699241825407534e-05,6.862993355532542e-05,5.80045968665643e-05,5.277792408243242e-05
lag_14_efficiency,1.7533210684866295e-05,6.825593000557483e-05,3.9404996789900584e-05,4.17313791601139e-05
eff_delta_1_vs_7,4.558281522667092e-06,7.022802627305017e-06,9.994729085140875e-05,3.717612500046029e-05
eff_delta_1_vs_14,2.6832949357151116e-05,5.826846472194802e-05,1.1617058960193238e-06,2.8754373325039488e-05
lag_21_efficiency,7.06443608441602e-06,7.648757200476043e-07,7.644162372957998e-05,2.8090311844681202e-05
lag_7_efficiency,4.741457149618533e-06,1.7010267910936347e-05,5.938058816548519e-05,2.7044104408680022e-05
prior_top2_rate,1.3859373173982683e-05,3.632451085914763e-05,2.4341512731475068e-05,2.4841798921535127e-05
rolling_avg_efficiency_7d,1.4165159528737389e-05,1.0379078854963968e-05,4.7045534771292415e-05,2.3863257718331256e-05
rolling_avg_efficiency_14d,1.9022411018820336e-05,2.841526238590905e-05,2.374391815035814e-05,2.3727197185029178e-05
lag_1_efficiency,9.299738672285272e-06,9.987465283630703e-06,4.05667026859263e-05,1.9951302213947426e-05
is_month_end_event,1.3851534469665677e-05,4.7048317343050635e-06,4.1122744343977815e-05,1.9893036849316185e-05
same_weekday_rank1_rate,9.222245216784622e-07,6.1332216067585305e-06,4.7587170477150134e-05,1.821420553519571e-05
same_weekday_top2_rate,1.3359139700883305e-05,3.5169409629823925e-05,3.882548932181602e-06,1.747036608762961e-05
count_increase_flag,1.7420170170817785e-06,1.1751376617696895e-05,2.8399672366821064e-05,1.3964355333866578e-05
prior_rank1_rate,1.5079528503108743e-06,6.8487137015740095e-06,2.164678865841857e-05,1.0001151736767817e-05
rolling_avg_efficiency_28d,1.5386346674277066e-06,6.175197148345468e-06,6.370346484022703e-06,4.694726099931959e-06
