date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251105,3190,ゴーゴージャグラー3,8668,1400,1.0538378710967544,59.21052631578947,1340.7894736842106,152,152
20251106,3186,ゴーゴージャグラー3,1565,-400,0.9148029818956337,-10.526315789473685,-389.4736842105263,114,114
20251106,3189,ゴーゴージャグラー3,1001,-300,0.9000999000999002,-10.526315789473685,-289.4736842105263,114,114
20251106,3190,ゴーゴージャグラー3,1694,-400,0.9212908303817394,-10.526315789473685,-389.4736842105263,114,114
20251107,3178,ゴーゴージャグラー3,6943,1900,1.0912189735464977,58.13953488372093,1841.860465116279,172,172
20251107,3180,ゴーゴージャグラー3,6529,-400,0.9795782917241027,58.13953488372093,-458.1395348837209,172,172
20251107,3189,ゴーゴージャグラー3,1383,-100,0.9758978067004097,58.13953488372093,-158.13953488372093,172,172
20251108,3178,ゴーゴージャグラー3,8114,1500,1.0616218880946513,416.4634146341463,1083.5365853658536,164,164
20251108,3180,ゴーゴージャグラー3,4514,-2300,0.8301580268793384,416.4634146341463,-2716.4634146341464,164,164
20251108,3189,ゴーゴージャグラー3,6192,1700,1.0915159345391903,416.4634146341463,1283.5365853658536,164,164
20251109,3180,ゴーゴージャグラー3,3279,-500,0.9491714953746061,292.5,-792.5,160,160
20251109,3184,ゴーゴージャグラー3,2726,-500,0.9388603570555148,292.5,-792.5,160,160
20251109,3189,ゴーゴージャグラー3,1143,-500,0.8541848935549723,292.5,-792.5,160,160
20251110,3180,ゴーゴージャグラー3,1128,-300,0.9113475177304965,180.85106382978722,-480.8510638297872,141,141
20251110,3186,ゴーゴージャグラー3,1575,0,1.0,180.85106382978722,-180.85106382978722,141,141
20251110,3189,ゴーゴージャグラー3,2283,-300,0.9561979851073149,180.85106382978722,-480.8510638297872,141,141
20251111,3178,ゴーゴージャグラー3,9314,4100,1.1467325173573832,510.4651162790698,3589.5348837209303,172,172
20251111,3184,ゴーゴージャグラー3,8175,2200,1.089704383282365,510.4651162790698,1689.5348837209303,172,172
20251111,3189,ゴーゴージャグラー3,8415,4500,1.17825311942959,510.4651162790698,3989.5348837209303,172,172
20251112,3178,ゴーゴージャグラー3,3430,-1100,0.8931000971817298,22.75862068965517,-1122.7586206896551,145,145
20251112,3190,ゴーゴージャグラー3,1047,-300,0.9044890162368673,22.75862068965517,-322.7586206896552,145,145
20251112,3335,アイムジャグラーEX-TP,1897,-500,0.9121419785626428,22.75862068965517,-522.7586206896551,145,145
