hall_name,floor,machine_number,X,Y,display_y,section,section_min,section_max,rank_from_min,rank_from_max
みとや大森町店,2F,633,10,21,21,624-657,624,657,10,25
みとや大森町店,2F,632,11,21,21,624-657,624,657,9,26
みとや大森町店,2F,631,12,21,21,624-657,624,657,8,27
みとや大森町店,2F,630,13,21,21,624-657,624,657,7,28
みとや大森町店,2F,629,14,21,21,624-657,624,657,6,29
みとや大森町店,2F,628,15,21,21,624-657,624,657,5,30
みとや大森町店,2F,627,16,21,21,624-657,624,657,4,31
みとや大森町店,2F,626,17,21,21,624-657,624,657,3,32
みとや大森町店,2F,625,18,21,21,624-657,624,657,2,33
みとや大森町店,2F,624,19,21,21,624-657,624,657,1,34
みとや大森町店,2F,608,3,24,24,591-623,591,623,18,16
みとや大森町店,2F,609,4,24,24,591-623,591,623,19,15
みとや大森町店,2F,610,5,24,24,591-623,591,623,20,14
みとや大森町店,2F,611,6,24,24,591-623,591,623,21,13
みとや大森町店,2F,612,7,24,24,591-623,591,623,22,12
みとや大森町店,2F,613,8,24,24,591-623,591,623,23,11
みとや大森町店,2F,614,9,24,24,591-623,591,623,24,10
みとや大森町店,2F,615,11,24,24,591-623,591,623,25,9
みとや大森町店,2F,616,12,24,24,591-623,591,623,26,8
みとや大森町店,2F,617,13,24,24,591-623,591,623,27,7
みとや大森町店,2F,618,14,24,24,591-623,591,623,28,6
みとや大森町店,2F,619,15,24,24,591-623,591,623,29,5
みとや大森町店,2F,620,16,24,24,591-623,591,623,30,4
みとや大森町店,2F,621,17,24,24,591-623,591,623,31,3
みとや大森町店,2F,622,18,24,24,591-623,591,623,32,2
みとや大森町店,2F,623,19,24,24,591-623,591,623,33,1
みとや大森町店,2F,607,3,25,25,591-623,591,623,17,17
みとや大森町店,2F,606,4,25,25,591-623,591,623,16,18
みとや大森町店,2F,605,5,25,25,591-623,591,623,15,19
みとや大森町店,2F,604,6,25,25,591-623,591,623,14,20
みとや大森町店,2F,603,7,25,25,591-623,591,623,13,21
みとや大森町店,2F,602,8,25,25,591-623,591,623,12,22
みとや大森町店,2F,601,9,25,25,591-623,591,623,11,23
みとや大森町店,2F,600,10,25,25,591-623,591,623,10,24
みとや大森町店,2F,599,11,25,25,591-623,591,623,9,25
みとや大森町店,2F,598,12,25,25,591-623,591,623,8,26
みとや大森町店,2F,597,13,25,25,591-623,591,623,7,27
みとや大森町店,2F,596,14,25,25,591-623,591,623,6,28
みとや大森町店,2F,595,15,25,25,591-623,591,623,5,29
みとや大森町店,2F,594,16,25,25,591-623,591,623,4,30
みとや大森町店,2F,593,17,25,25,591-623,591,623,3,31
みとや大森町店,2F,592,18,25,25,591-623,591,623,2,32
みとや大森町店,2F,591,19,25,25,591-623,591,623,1,33
みとや大森町店,2F,574,3,28,28,557-590,557,590,18,17
みとや大森町店,2F,575,4,28,28,557-590,557,590,19,16
みとや大森町店,2F,576,5,28,28,557-590,557,590,20,15
みとや大森町店,2F,577,6,28,28,557-590,557,590,21,14
みとや大森町店,2F,578,7,28,28,557-590,557,590,22,13
みとや大森町店,2F,579,8,28,28,557-590,557,590,23,12
みとや大森町店,2F,580,9,28,28,557-590,557,590,24,11
みとや大森町店,2F,581,10,28,28,557-590,557,590,25,10
みとや大森町店,2F,582,11,28,28,557-590,557,590,26,9
みとや大森町店,2F,583,12,28,28,557-590,557,590,27,8
みとや大森町店,2F,584,13,28,28,557-590,557,590,28,7
みとや大森町店,2F,585,14,28,28,557-590,557,590,29,6
みとや大森町店,2F,586,15,28,28,557-590,557,590,30,5
みとや大森町店,2F,587,16,28,28,557-590,557,590,31,4
みとや大森町店,2F,588,17,28,28,557-590,557,590,32,3
みとや大森町店,2F,589,18,28,28,557-590,557,590,33,2
みとや大森町店,2F,590,19,28,28,557-590,557,590,34,1
みとや大森町店,2F,573,3,29,29,557-590,557,590,17,18
みとや大森町店,2F,572,4,29,29,557-590,557,590,16,19
みとや大森町店,2F,571,5,29,29,557-590,557,590,15,20
みとや大森町店,2F,570,6,29,29,557-590,557,590,14,21
みとや大森町店,2F,569,7,29,29,557-590,557,590,13,22
みとや大森町店,2F,568,8,29,29,557-590,557,590,12,23
みとや大森町店,2F,567,9,29,29,557-590,557,590,11,24
みとや大森町店,2F,566,10,29,29,557-590,557,590,10,25
みとや大森町店,2F,565,11,29,29,557-590,557,590,9,26
みとや大森町店,2F,564,12,29,29,557-590,557,590,8,27
みとや大森町店,2F,563,13,29,29,557-590,557,590,7,28
みとや大森町店,2F,562,14,29,29,557-590,557,590,6,29
みとや大森町店,2F,561,15,29,29,557-590,557,590,5,30
みとや大森町店,2F,560,16,29,29,557-590,557,590,4,31
みとや大森町店,2F,559,17,29,29,557-590,557,590,3,32
みとや大森町店,2F,558,18,29,29,557-590,557,590,2,33
みとや大森町店,2F,557,19,29,29,557-590,557,590,1,34
みとや大森町店,2F,540,3,32,32,523-556,523,556,18,17
みとや大森町店,2F,541,4,32,32,523-556,523,556,19,16
みとや大森町店,2F,542,5,32,32,523-556,523,556,20,15
みとや大森町店,2F,543,6,32,32,523-556,523,556,21,14
みとや大森町店,2F,544,7,32,32,523-556,523,556,22,13
みとや大森町店,2F,545,8,32,32,523-556,523,556,23,12
みとや大森町店,2F,546,9,32,32,523-556,523,556,24,11
みとや大森町店,2F,547,10,32,32,523-556,523,556,25,10
みとや大森町店,2F,548,11,32,32,523-556,523,556,26,9
みとや大森町店,2F,549,12,32,32,523-556,523,556,27,8
みとや大森町店,2F,550,13,32,32,523-556,523,556,28,7
みとや大森町店,2F,551,14,32,32,523-556,523,556,29,6
みとや大森町店,2F,552,15,32,32,523-556,523,556,30,5
みとや大森町店,2F,553,16,32,32,523-556,523,556,31,4
みとや大森町店,2F,554,17,32,32,523-556,523,556,32,3
みとや大森町店,2F,555,18,32,32,523-556,523,556,33,2
みとや大森町店,2F,556,19,32,32,523-556,523,556,34,1
みとや大森町店,2F,539,3,33,33,523-556,523,556,17,18
みとや大森町店,2F,538,4,33,33,523-556,523,556,16,19
みとや大森町店,2F,537,5,33,33,523-556,523,556,15,20
みとや大森町店,2F,536,6,33,33,523-556,523,556,14,21
みとや大森町店,2F,535,7,33,33,523-556,523,556,13,22
みとや大森町店,2F,534,8,33,33,523-556,523,556,12,23
みとや大森町店,2F,533,9,33,33,523-556,523,556,11,24
みとや大森町店,2F,532,10,33,33,523-556,523,556,10,25
みとや大森町店,2F,531,11,33,33,523-556,523,556,9,26
みとや大森町店,2F,530,12,33,33,523-556,523,556,8,27
みとや大森町店,2F,529,13,33,33,523-556,523,556,7,28
みとや大森町店,2F,528,14,33,33,523-556,523,556,6,29
みとや大森町店,2F,527,15,33,33,523-556,523,556,5,30
みとや大森町店,2F,526,16,33,33,523-556,523,556,4,31
みとや大森町店,2F,525,17,33,33,523-556,523,556,3,32
みとや大森町店,2F,524,18,33,33,523-556,523,556,2,33
みとや大森町店,2F,523,19,33,33,523-556,523,556,1,34
みとや大森町店,2F,501,1,36,36,501-522,501,522,1,22
みとや大森町店,2F,502,2,36,36,501-522,501,522,2,21
みとや大森町店,2F,503,3,36,36,501-522,501,522,3,20
みとや大森町店,2F,504,4,36,36,501-522,501,522,4,19
みとや大森町店,2F,505,5,36,36,501-522,501,522,5,18
みとや大森町店,2F,506,6,36,36,501-522,501,522,6,17
みとや大森町店,2F,507,7,36,36,501-522,501,522,7,16
みとや大森町店,2F,508,8,36,36,501-522,501,522,8,15
みとや大森町店,2F,509,9,36,36,501-522,501,522,9,14
みとや大森町店,2F,510,10,36,36,501-522,501,522,10,13
みとや大森町店,2F,511,11,36,36,501-522,501,522,11,12
みとや大森町店,2F,512,12,36,36,501-522,501,522,12,11
みとや大森町店,2F,513,13,36,36,501-522,501,522,13,10
みとや大森町店,2F,514,14,36,36,501-522,501,522,14,9
みとや大森町店,2F,515,15,36,36,501-522,501,522,15,8
みとや大森町店,2F,516,16,36,36,501-522,501,522,16,7
みとや大森町店,2F,517,17,36,36,501-522,501,522,17,6
みとや大森町店,2F,518,18,36,36,501-522,501,522,18,5
みとや大森町店,2F,519,19,36,36,501-522,501,522,19,4
みとや大森町店,2F,520,20,36,36,501-522,501,522,20,3
みとや大森町店,2F,521,21,36,36,501-522,501,522,21,2
みとや大森町店,2F,522,22,36,36,501-522,501,522,22,1
