hall,machine_name,full_range,full_n,full_kruskal_p,full_effect_size,full_top_dd,recent_range,recent_n,recent_kruskal_p,recent_effect_size,recent_top_dd,n_common_dd_levels,spearman_rho,spearman_p,verdict,note
レイトギャップ,ネオアイムジャグラーEX,2025-10-06~2026-07-04,7963,2.4315463592843566e-23,0.01892377960297005,19,2026-05-06~2026-07-04,1981,2.3621705673335203e-08,0.03226166675542982,22.0,31,0.35564516129032264,0.04958732291684792,recent_drift,
レイトギャップ,ハッピージャグラーVIII,2025-03-20~2026-07-04,2121,0.013255007128723984,0.00943600639162636,21,2026-05-06~2026-07-04,264,0.45259257255480656,0.0009809243122183193,20.0,29,0.36108374384236447,0.054297234225273605,no_signal,
レイトギャップ,ファンキージャグラー2,2025-03-20~2026-07-04,4231,0.02021786348813684,0.004265376388600934,5,2026-05-06~2026-07-04,511,0.0017544939509047913,0.057610493965319295,5.0,31,0.18911290322580646,0.3082514424532382,recent_drift,
レイトギャップ,マイジャグラーV,2025-03-20~2026-07-04,2318,0.06263810260390643,0.005539918502805915,30,2026-05-06~2026-07-04,286,0.012082164765936194,0.0786272559077089,31.0,30,0.5799777530589544,0.0007814168616554107,recent_drift,
ARROW,アイムジャグラーEX-TP,2025-01-01~2025-09-07,3446,4.901020653743329e-06,0.013830721596361112,15,2025-07-10~2025-09-07,797,0.16973218581628344,0.009475708930287277,5.0,31,0.6721774193548387,3.4530569926239255e-05,no_signal,
ARROW,ウルトラミラクルジャグラー,2025-01-01~2026-07-02,537,0.11138194256179233,0.019113942590905344,5,2026-05-04~2026-07-02,51,,,,0,,,no_signal,n_common_dd_levels=0 < 8
ARROW,ゴーゴージャグラー3,2025-01-01~2026-07-02,3933,5.3922617236383673e-11,0.02039367491524948,5,2026-05-04~2026-07-02,361,0.0016443243526751109,0.0845221932790796,5.0,31,0.325,0.07443228656617945,recent_drift,
ARROW,ジャグラーガールズ,2025-01-01~2026-07-02,505,0.008846040786675346,0.04513465073050501,15,2026-05-04~2026-07-02,48,,,,0,,,faded,n_common_dd_levels=0 < 8
ARROW,ネオアイムジャグラーEX,2025-09-01~2026-07-02,4098,1.431645611220199e-11,0.020431012196342267,5,2026-05-04~2026-07-02,720,0.0059690021810424945,0.03334390332963427,5.0,31,0.6830645161290324,2.2921738198684664e-05,stable_dd_bias,
ARROW,ハッピージャグラーVIII,2025-01-01~2026-07-02,2537,3.3582522521734115e-06,0.019309470364586228,15,2026-05-04~2026-07-02,244,0.04833396895986121,0.06473058209242287,26.0,28,0.23316912972085385,0.23243548858674354,recent_drift,
ARROW,ファンキージャグラー2,2025-01-01~2026-07-02,4491,3.367089091505936e-07,0.012390984315870377,15,2026-05-04~2026-07-02,448,0.21015103543680785,0.01423713045736802,5.0,31,0.32258064516129037,0.07674307131190523,no_signal,
ARROW,マイジャグラーV,2025-01-01~2026-07-02,20632,8.524004313904517e-40,0.011493085245017864,25,2026-05-04~2026-07-02,1972,2.1992701166536374e-05,0.021917483791853272,5.0,31,0.6274193548387097,0.00015825861183081826,recent_drift,
ARROW,ミスタージャグラー,2025-01-01~2026-07-02,525,0.15292008980390454,0.015946363347420393,15,2026-05-04~2026-07-02,51,,,,0,,,no_signal,n_common_dd_levels=0 < 8
ヒロキ,アイムジャグラーEX-TP,2025-01-01~2026-07-04,2885,2.3340294675380305e-06,0.017342560378488022,30,2026-05-06~2026-07-04,168,0.0042347342287887965,0.18310443163919976,30.0,20,0.23308270676691725,0.32267802500462267,recent_drift,
ヒロキ,ゴーゴージャグラー3,2025-01-01~2026-07-04,1704,0.22461385619391752,0.0032925064526316238,14,2026-05-06~2026-07-04,172,0.9626040870237164,0.0,9.0,17,0.45833333333333337,0.06427130284402015,no_signal,
ヒロキ,ジャグラーガールズ,2025-01-01~2026-07-04,786,0.3905278689783523,0.002003547409914269,5,2026-05-06~2026-07-04,78,0.5838824207703623,0.0,6.0,2,,,no_signal,n_common_dd_levels=2 < 8
ヒロキ,ネオアイムジャグラーEX,2025-09-22~2026-07-04,918,3.285511136761047e-06,0.054629457371160414,15,2026-05-06~2026-07-04,193,0.07175633353062669,0.07035077975628763,11.0,23,0.7480237154150197,4.063674939633985e-05,stable_dd_bias,
ヒロキ,ハッピージャグラーVIII,2025-01-01~2026-07-04,781,0.9590093011735094,0.0,9,2026-05-06~2026-07-04,34,,,,0,,,no_signal,n_common_dd_levels=0 < 8
ヒロキ,ファンキージャグラー2,2025-01-01~2026-07-04,1056,0.4132922803365617,0.0010176209407056756,21,2026-05-06~2026-07-04,101,0.9326932477656775,0.0,26.0,8,-0.14285714285714288,0.735764859879812,no_signal,
ヒロキ,マイジャグラーV,2025-01-01~2026-07-04,12474,0.01039275375353747,0.001666287691003439,30,2026-05-06~2026-07-04,1069,0.5365035549265706,0.0,6.0,31,0.07500000000000001,0.6884291889171924,no_signal,
ヒロキ,ミスタージャグラー,2025-01-01~2026-07-04,987,0.37342332690794316,0.0019599606847173637,9,2026-05-06~2026-07-04,95,0.8468063480031689,0.0,26.0,6,,,no_signal,n_common_dd_levels=6 < 8
ザシティ,アイムジャグラーEX-TP,2025-01-01~2025-09-15,625,0.21242555043158862,0.009879050199067834,14,2025-07-18~2025-09-15,126,0.042828122879812726,0.14783878410492807,14.0,14,0.5032967032967033,0.06656042759911303,recent_drift,
ザシティ,ウルトラミラクルジャグラー,2025-01-01~2026-07-04,760,0.03886479118433877,0.020532631546589967,31,2026-05-06~2026-07-04,79,,,,0,,,faded,n_common_dd_levels=0 < 8
ザシティ,ゴーゴージャグラー3,2025-01-01~2026-07-04,5606,4.723774470491368e-11,0.014336989634958882,6,2026-05-06~2026-07-04,723,0.20755665958237127,0.008693523635490405,12.0,31,0.4991935483870968,0.004251834314511525,no_signal,
ザシティ,ジャグラーガールズ,2025-01-01~2026-07-04,345,0.594939761128918,0.0,13,2026-05-06~2026-07-04,92,,,,0,,,no_signal,n_common_dd_levels=0 < 8
ザシティ,ネオアイムジャグラーEX,2025-09-16~2026-07-04,539,0.6005402707403904,0.0,25,2026-05-06~2026-07-04,138,0.7524857497035209,0.0,19.0,16,0.5823529411764706,0.017932734131035365,no_signal,
ザシティ,ハッピージャグラーVIII,2025-01-01~2026-07-04,1256,0.46025023701814816,8.627641263490262e-05,14,2026-05-06~2026-07-04,162,0.34676240986419676,0.01702084457675671,4.0,20,0.1413533834586466,0.5522144386322418,no_signal,
ザシティ,ファンキージャグラー2,2025-01-01~2026-07-04,1282,0.27685034503884126,0.003277421946044666,28,2026-05-06~2026-07-04,189,0.5264213360012051,0.0,4.0,25,0.13999999999999999,0.5044771926366052,no_signal,
ザシティ,マイジャグラーV,2025-01-01~2026-07-04,4105,2.5190779784007725e-05,0.010336192176523906,18,2026-05-06~2026-07-04,730,0.005718608498718055,0.03310950832269775,12.0,31,0.5375,0.001819335737525446,recent_drift,
ザシティ,ミスタージャグラー,2025-01-01~2026-07-04,986,0.15637998008348789,0.008111018807240754,5,2026-05-06~2026-07-04,84,,,,0,,,no_signal,n_common_dd_levels=0 < 8
金時,アイムジャグラーEX-TP,2025-01-01~2025-11-16,1834,0.5157468424211605,0.0,14,2025-09-18~2025-11-16,208,0.3327219866010833,0.014891933706460992,14.0,26,0.05025641025641025,0.8073786434470329,no_signal,
金時,ウルトラミラクルジャグラー,2025-01-01~2026-07-04,1151,0.46500875842303213,1.1245471395983563e-05,25,2026-05-06~2026-07-04,125,0.1227821572103246,0.10830365942161904,4.0,12,0.41958041958041964,0.1745190081300594,recent_drift,
金時,ゴーゴージャグラー3,2025-01-01~2026-07-04,2490,0.3357563128125904,0.0010975668786305068,2,2026-05-06~2026-07-04,292,0.2638590662605555,0.016859330204578582,2.0,30,0.24271412680756396,0.1962401377494158,no_signal,
金時,ジャグラーガールズ,2025-01-01~2026-07-04,871,0.016002943363187482,0.022527721392897063,7,2026-05-06~2026-07-04,106,0.14282641228951848,0.12048590479962966,20.0,6,,,recent_drift,n_common_dd_levels=6 < 8
金時,ネオアイムジャグラーEX,2025-09-24~2026-07-04,1950,0.23116682130400568,0.0027725206820467547,19,2026-05-06~2026-07-04,461,0.7116034099462478,0.0,27.0,31,0.7189516129032258,5.2079516256956064e-06,no_signal,
金時,ハッピージャグラーVIII,2025-01-01~2026-07-04,761,0.19854764023785124,0.008624564787449008,23,2026-05-06~2026-07-04,87,,,,0,,,no_signal,n_common_dd_levels=0 < 8
金時,ファンキージャグラー2,2025-01-01~2026-07-04,3057,0.38677495936364004,0.0005258600466057937,24,2026-05-06~2026-07-04,311,0.5842809573247052,0.0,16.0,31,0.45241935483870976,0.010606345698193445,no_signal,
金時,マイジャグラーV,2025-01-01~2026-07-04,4755,0.9527012652358519,0.0,23,2026-05-06~2026-07-04,544,0.021186238880988584,0.034522630645408635,26.0,31,0.35564516129032264,0.04958732291684792,recent_drift,
金時,ミスタージャグラー,2025-01-01~2026-07-04,976,0.4718287880106006,0.0,24,2026-05-06~2026-07-04,112,0.3618947221458371,0.020315416200074907,15.0,9,0.5833333333333334,0.09918581647988327,recent_drift,
