date,year,month,day,source,is_event_day,is_grand_opening,kamata7_diff,kamata7_weekday_strategy,kamata7_full_half,kamata1_diff,kamata1_weekday_strategy,kamata1_full_half,kamata7_content,kamata1_content
20260116,2026,1,16,poco,0,0,309400.0,金曜日→列イチ以上,カバネリ、吉宗、スタアライト、ウルミラ、エウレカART、クレアBT,,金曜日→列イチ以上,化物語、秘宝伝,金曜日→列イチ以上：全→カバネリ、吉宗、スタアライト、ウルミラ、エウレカART、クレアBT、他多数,金曜日→列イチ以上：全→化物語、秘宝伝
20260117,2026,1,17,poco,1,0,82400.0,,新鬼武者3、SBJ、ヴヴヴ、吉宗,61200.0,,新鬼武者3、カバネリ,全→新鬼武者3、SBJ、ヴヴヴ、吉宗,全→新鬼武者3、カバネリ
20260118,2026,1,18,poco,0,0,,日曜日→機種イチ以上,戦国乙女、ヴヴヴ,78400.0,日曜日→機種イチ以上,吉宗、秘宝伝、エヴァBT,日曜日→機種イチ以上、全→戦国乙女、ヴヴヴ,日曜日→機種イチ以上、全→吉宗、秘宝伝、エヴァBT
20260119,2026,1,19,poco,0,0,10100.0,月曜日→列全仕掛け：モンキー(2023-2031番台)、からくり〜ダリフラ(3103-3116番台),からくり、ヴヴヴ、ToLOVEる、シャーマン、ダリフラ、天膳,27000.0,月曜日→列全仕掛け：マギレコ〜鉄拳6(2043-2059番台),マギレコ、鉄拳6,月曜日→列全仕掛け：モンキー(2023-2031番台)、からくり〜ダリフラ(3103-3116番台)、全→からくり、ヴヴヴ、ToLOVEる、シャーマン、ダリフラ、天膳,月曜日→列全仕掛け：マギレコ〜鉄拳6(2043-2059番台)、全→マギレコ、鉄拳6
20260120,2026,1,20,poco,0,0,174400.0,火曜日→角◯：2F北斗転生側→角2、3Fヴヴヴ2側→角2、3F東京喰種側→角2,SBJ,37200.0,火曜日→角◯→ジャグラー角1、その他機種角9,SBJ,火曜日→角◯：2F北斗転生側→角2、3Fヴヴヴ2側→角2、3F東京喰種側→角2、全→SBJ,火曜日→角◯→ジャグラー角1、その他機種角9、全→SBJ
20260121,2026,1,21,poco,1,0,226500.0,,東リベ、L炎炎,81100.0,,SBJ、ウルミラ,全→東リベ、L炎炎,全→SBJ、ウルミラ
20260122,2026,1,22,poco,1,0,154300.0,,からくり、ToLOVEる,162700.0,3台並び→ジャグラー末尾8絡み、その他機種末尾1絡み,ヴヴヴ2、からくり、仕掛け→末尾7,全→からくり、ToLOVEる,3台並び→ジャグラー末尾8絡み、その他機種末尾1絡み、全→ヴヴヴ2、からくり、仕掛け→末尾7
20260123,2026,1,23,poco,0,0,6600.0,金曜日→列イチ以上,防振り、ガルパン,,金曜日→列イチ以上,化物語,金曜日→列イチ以上、全→防振り、ガルパン,金曜日→列イチ以上、全→化物語
20260124,2026,1,24,poco,0,0,149400.0,土曜日→3台並び：ノーマル→末尾1絡み、AT→末尾6絡み,かぐや様,46300.0,土曜日→3台並び(+4台並び)：ジャグラー→末尾3絡み、その他機種→末尾1絡み,からくり,土曜日→3台並び：ノーマル→末尾1絡み、AT→末尾6絡み、全→かぐや様,土曜日→3台並び(+4台並び)：ジャグラー→末尾3絡み、その他機種→末尾1絡み、全→からくり
20260125,2026,1,25,poco,0,0,76200.0,日曜日→機種イチ以上,ヴヴヴ2,,日曜日→機種イチ以上,吉宗,日曜日→機種イチ以上、全→ヴヴヴ2,日曜日→機種イチ以上、全→吉宗
20260126,2026,1,26,poco,0,0,127900.0,月曜日→列全仕掛け：戦国乙女(2001-2010番台)、からくり〜ダリフラ(3103-3116番台),からくり、シャーマン、ダリフラ,,月曜日→列全仕掛け：判定→全台系はどちらも見つからず,,月曜日→列全仕掛け：戦国乙女(2001-2010番台)、からくり〜ダリフラ(3103-3116番台)、全→からくり、シャーマン、ダリフラ,月曜日→列全仕掛け：判定→全台系はどちらも見つからず
20260127,2026,1,27,poco,1,0,238400.0,,ななつま、ToLOVEる、L炎炎、炎炎,14700.0,,戦国乙女,全→ななつま、ToLOVEる、L炎炎、炎炎,全→戦国乙女
20260128,2026,1,28,poco,0,0,,水曜日→末尾：2Fモンキー側→末尾1、2F北斗転生側→末尾0、3Fヴヴヴ2側→末尾9、3F東京喰種側→末尾6,SBJ、銭形5,,水曜日→末尾→ジャグラー末尾6、その他機種末尾2,プリズムナナ,水曜日→末尾：2Fモンキー側→末尾1、2F北斗転生側→末尾0、3Fヴヴヴ2側→末尾9、3F東京喰種側→末尾6、全→SBJ、銭形5,水曜日→末尾→ジャグラー末尾6、その他機種末尾2、全→プリズムナナ
20260129,2026,1,29,poco,0,0,,木曜日→他の曜日仕掛けのいずれかが発動→角◯：2Fモンキー側→角5、2F北斗転生側→角7、3Fヴヴヴ2側→角8、3F東京喰種側→角3、3Fノーマル機→角6,SBJ,29100.0,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角6、その他機種→角9,沖ドキBLACK、ななつま,木曜日→他の曜日仕掛けのいずれかが発動→角◯：2Fモンキー側→角5、2F北斗転生側→角7、3Fヴヴヴ2側→角8、3F東京喰種側→角3、3Fノーマル機→角6、全→SBJ,木曜日→他の曜日仕掛けのいずれかが発動→角◯：ジャグラー→角6、その他機種→角9、全→沖ドキBLACK、ななつま
20260130,2026,1,30,poco,1,0,161800.0,,東リベ、ミスター,59800.0,,ミスター、ガールズ、超電磁砲2、エヴァBT、カバネリ、DMC,全→東リベ、ミスター,全→ミスター、ガールズ、超電磁砲2、エヴァBT、カバネリ、DMC
20260131,2026,1,31,poco,1,0,,,不明,14800.0,,東京喰種,全→不明,全→東京喰種
20260201,2026,2,1,poco,1,0,35500.0,,いざ審判、GE、カバネリ、吉宗、ゾンサガ、ダリフラ,,- / 全→旧北斗,,全→いざ審判、GE、カバネリ、吉宗、ゾンサガ、ダリフラ,- / 全→旧北斗
20260202,2026,2,2,poco,1,0,74500.0,,新鬼3、防振り、L炎炎,,- / 全→アズレン、秘宝伝、ななつま、銭形5,,全→新鬼3、防振り、L炎炎,- / 全→アズレン、秘宝伝、ななつま、銭形5
20260203,2026,2,3,poco,0,0,,- / 角仕掛け,戦国乙女4、ToLOVEる、ななつま,31800.0,角仕掛け（角7）,ななつま、銭形5,- / 角仕掛け、全→戦国乙女4、ToLOVEる、ななつま,角仕掛け（角7）、全→ななつま、銭形5
20260204,2026,2,4,poco,0,0,57400.0,末尾仕掛け,ハッピー、ヴヴヴ、プリズムナナ、シャーマン,3100.0,末尾（ジャグ7、他2）,防振り、DMC,末尾仕掛け、全→ハッピー、ヴヴヴ、プリズムナナ、シャーマン,末尾（ジャグ7、他2）、全→防振り、DMC
20260205,2026,2,5,poco,0,0,87000.0,変則（3台並び末尾1絡み）,からくり、超電磁砲2、ウルミラ,,- / 変則（3台並び末尾1絡み）,超電磁砲2、シャーマン,変則（3台並び末尾1絡み）、全→からくり、超電磁砲2、ウルミラ,- / 変則（3台並び末尾1絡み）、全→超電磁砲2、シャーマン
20260206,2026,2,6,poco,0,0,25100.0,列イチ以上,アズレン、SBJ,,- / 列イチ以上,SBJ,列イチ以上、全→アズレン、SBJ,- / 列イチ以上、全→SBJ
20260207,2026,2,7,poco,1,0,152400.0,,かぐや様、モンハン、ガールズ、シャーマン,101400.0,,ToLOVEる、銭形5,全→かぐや様、モンハン、ガールズ、シャーマン,全→ToLOVEる、銭形5
20260208,2026,2,8,poco,0,0,151200.0,機種イチ以上,ゴージャグ、SBJ,,- / 機種イチ以上,秘宝伝,機種イチ以上、全→ゴージャグ、SBJ,- / 機種イチ以上、全→秘宝伝
