poco_machine,mapped_name,status,db_match
ゾンサガ,ゾンビランドサガ,FOUND,ゾンビランドサガ
ダリフラ,ダーリン・イン・ザ・フランキス,FOUND,ダーリン・イン・ザ・フランキス
テラフォーマーズ,[DELETE],DELETE,[DELETE]
ディスク2,ディスクアップ2,FOUND,ディスクアップ2
デビルメイクライ,デビル メイ クライ5 スタイリッシュトライブ,FOUND,デビル メイ クライ5 スタイリッシュトライブ
デビルメイクライ5,デビル メイ クライ5 スタイリッシュトライブ,FOUND,デビル メイ クライ5 スタイリッシュトライブ
ドラハナ,ドラゴンハナハナ,FOUND,ドラゴンハナハナ
ニブ→東京喰種,東京喰種,PARTIAL,東京喰種
ハイハラ,ハイパーラッシュ,FOUND,ハイパーラッシュ
ハッピー,ハッピージャグラーVIII,PARTIAL,ハッピージャグラーVIII
ハーレム,翔べ！ハーレムエース | LB翔べ!ハーレムエースCF,PARTIAL,翔べ！ハーレムエース | LB翔べ!ハーレムエースCF
バイオ5,バイオハザード5,FOUND,バイオハザード5
バイオRE2,バイオハザード RE:2,FOUND,バイオハザード RE:2
バラエティBOX(クレアBT,[複数機種 - クレアBT含む],MULTIPLE_MACHINES,[複数機種 - クレアBT含む]
パンドリ,バンドリ！,FOUND,バンドリ！
ファンキー,ファンキージャグラー2,PARTIAL,ファンキージャグラー2
プリズムナナ,プリズムナナ,OK,プリズムナナ
マイジャグ,マイジャグラーV,PARTIAL,マイジャグラーV
マギレコ,マギアレコード,FOUND,マギアレコード
ミスター,ミスタージャグラー,PARTIAL,ミスタージャグラー
ミラクル,ウルトラミラクルジャグラー,PARTIAL,ウルトラミラクルジャグラー
モンキー,モンキーターンV,PARTIAL,モンキーターンV
モンハンライズ,モンスターハンターライズ,FOUND,モンスターハンターライズ
ルパン,ルパン三世 大航海者の秘宝,PARTIAL,ルパン三世 大航海者の秘宝
ヴァルヴレイヴ,革命機ヴァルヴレイヴ | 革命機ヴァルヴレイヴ2,PARTIAL,革命機ヴァルヴレイヴ | 革命機ヴァルヴレイヴ2
ヴヴヴ,革命機ヴァルヴレイヴ,FOUND,革命機ヴァルヴレイヴ
ヴヴヴ2,革命機ヴァルヴレイヴ2,FOUND,革命機ヴァルヴレイヴ2
ヴヴヴ2？からくり？,[DELETE - 重複/曖昧],DELETE,[DELETE - 重複/曖昧]
一騎当千,真・一騎当千,PARTIAL,真・一騎当千
不明,,NOT FOUND,
乙女,戦国乙女4 戦乱に閃く炯眼の軍師,PARTIAL,戦国乙女4 戦乱に閃く炯眼の軍師
乾潮,転生したら剣でした,FOUND,転生したら剣でした
仕掛け→ヴヴヴ2,,NOT FOUND,
仕掛け→末尾1,,NOT FOUND,
仕掛け→末尾7,,NOT FOUND,
仕掛け→末尾ゾロ目,,NOT FOUND,
他多数,,NOT FOUND,
全台系,,NOT FOUND,
初代ヴヴヴ,革命機ヴァルヴレイヴ,FOUND,革命機ヴァルヴレイヴ
化物語,化物語,OK,化物語
北斗,スマスロ北斗の拳 | 北斗の拳 転生の章2,PARTIAL,スマスロ北斗の拳 | 北斗の拳 転生の章2
吉宗,吉宗,OK,吉宗
吠,咲‐Saki‐ 頂上決戦,FOUND,咲‐Saki‐ 頂上決戦
咲,咲‐Saki‐ 頂上決戦,PARTIAL,咲‐Saki‐ 頂上決戦
喰種,東京喰種,PARTIAL,東京喰種
天膳,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,PARTIAL,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION
平和オリンピア,[複数機種] 戦国乙女4 / ToLoveるダークネス / ガールズ&パンツァー,MULTIPLE_MACHINES,[複数機種] 戦国乙女4 / ToLoveるダークネス / ガールズ&パンツァー
戦国乙女,戦国乙女4 戦乱に閃く炯眼の軍師,FOUND,戦国乙女4 戦乱に閃く炯眼の軍師
戦国乙女？,,NOT FOUND,
新鬼武者3,新鬼武者3,OK,新鬼武者3
旧北斗,スマスロ北斗の拳,FOUND,スマスロ北斗の拳
末尾ルーレット,[DELETE],DELETE,[DELETE]
東リベ,東京リベンジャーズ,FOUND,東京リベンジャーズ
東京喰種,東京喰種,OK,東京喰種
沖ドキBLACK,沖ドキ!BLACK,FOUND,沖ドキ!BLACK
沖ドキゴージャス,沖ドキ!ゴージャス 30Φ,FOUND,沖ドキ!ゴージャス 30Φ
炎炎,スマスロ炎炎ノ消防隊 | スマスロ炎炎ノ消防隊2,PARTIAL,スマスロ炎炎ノ消防隊 | スマスロ炎炎ノ消防隊2
番長4,押忍！番長4,PARTIAL,押忍！番長4
番長ZERO,押忍!番長ZERO,PARTIAL,押忍!番長ZERO
秘宝伝,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver. | スマスロ秘宝伝,PARTIAL,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver. | スマスロ秘宝伝
緋弾ドン,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,FOUND,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL
貫通→戦国乙女,,NOT FOUND,
超電磁砲2,とある科学の超電磁砲2,PARTIAL,とある科学の超電磁砲2
転スラ,無職転生 ～異世界行ったら本気だす～,FOUND,無職転生 ～異世界行ったら本気だす～
鉄拳6,鉄拳6,OK,鉄拳6
銭形5,主役は銭形5,PARTIAL,主役は銭形5
鏡,HEY！エリートサラリーマン鏡,PARTIAL,HEY！エリートサラリーマン鏡
防振り,痛いのは嫌なので防御力に極振りしたいと思います,FOUND,痛いのは嫌なので防御力に極振りしたいと思います
高配分→ヴヴヴ,,NOT FOUND,
麻雀格闘,麻雀格闘倶楽部 覚醒,PARTIAL,麻雀格闘倶楽部 覚醒
麻雀物語,L麻雀物語,PARTIAL,L麻雀物語
