hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
みとや,アレックス ブライト,dd,hit104,9,9,26,348.65384615384613,46.15384615384615,46.15384615384615
みとや,アレックス ブライト,dd,hit104,10,10,26,-427.0769230769231,34.61538461538461,19.230769230769234
みとや,アレックス ブライト,dd,hit104,11,11,27,28.88888888888889,48.148148148148145,40.74074074074074
みとや,アレックス ブライト,dd,hit104,12,12,26,-520.3461538461538,23.076923076923077,19.230769230769234
みとや,アレックス ブライト,dd,hit104,13,13,27,59.407407407407405,55.55555555555556,37.03703703703704
みとや,アレックス ブライト,dd,hit104,14,14,27,285.1111111111111,44.44444444444444,37.03703703703704
みとや,アレックス ブライト,dd,hit104,15,15,27,-291.6296296296296,25.925925925925924,14.814814814814813
みとや,アレックス ブライト,dd,hit104,16,16,27,418.037037037037,55.55555555555556,44.44444444444444
みとや,アレックス ブライト,dd,hit104,17,17,27,-283.74074074074076,25.925925925925924,18.51851851851852
みとや,アレックス ブライト,dd,hit104,18,18,26,-441.46153846153845,23.076923076923077,15.384615384615385
みとや,アレックス ブライト,dd,hit104,19,19,27,-83.33333333333333,40.74074074074074,29.629629629629626
みとや,アレックス ブライト,dd,hit104,20,20,27,-137.66666666666666,40.74074074074074,29.629629629629626
みとや,アレックス ブライト,dd,hit104,21,21,27,-276.14814814814815,33.33333333333333,25.925925925925924
みとや,アレックス ブライト,dd,hit104,22,22,27,117.22222222222223,48.148148148148145,22.22222222222222
みとや,アレックス ブライト,dd,hit104,23,23,27,-33.25925925925926,44.44444444444444,37.03703703703704
みとや,アレックス ブライト,dd,hit104,24,24,27,-110.07407407407408,37.03703703703704,18.51851851851852
みとや,アレックス ブライト,dd,hit104,25,25,27,372.9259259259259,55.55555555555556,40.74074074074074
みとや,アレックス ブライト,dd,hit104,26,26,27,416.51851851851853,55.55555555555556,44.44444444444444
みとや,アレックス ブライト,dd,hit104,27,27,27,-230.59259259259258,33.33333333333333,14.814814814814813
みとや,アレックス ブライト,dd,hit104,28,28,27,-20.074074074074073,48.148148148148145,37.03703703703704
みとや,アレックス ブライト,dd,hit104,29,29,26,-345.2692307692308,34.61538461538461,15.384615384615385
みとや,アレックス ブライト,dd,hit104,30,30,25,204.84,40.0,28.000000000000004
みとや,アレックス ブライト,dd,hit104,31,31,15,630.7333333333333,66.66666666666666,53.333333333333336
みとや,ウルトラミラクルジャグラー,dd,hit104,1,1,95,-40.23157894736842,38.94736842105263,22.105263157894736
みとや,ウルトラミラクルジャグラー,dd,hit104,2,2,89,-135.0,32.58426966292135,17.97752808988764
みとや,ウルトラミラクルジャグラー,dd,hit104,3,3,90,18.8,37.77777777777778,22.22222222222222
みとや,ウルトラミラクルジャグラー,dd,hit104,4,4,90,298.9222222222222,47.77777777777778,30.0
みとや,ウルトラミラクルジャグラー,dd,hit104,5,5,89,46.57303370786517,39.325842696629216,24.719101123595504
みとや,ウルトラミラクルジャグラー,dd,hit104,6,6,89,-111.08988764044943,32.58426966292135,22.47191011235955
みとや,ウルトラミラクルジャグラー,dd,hit104,7,7,90,495.05555555555554,51.11111111111111,34.44444444444444
みとや,ウルトラミラクルジャグラー,dd,hit104,8,8,88,-11.352272727272727,38.63636363636363,20.454545454545457
みとや,ウルトラミラクルジャグラー,dd,hit104,9,9,88,-132.5340909090909,32.95454545454545,14.772727272727273
みとや,ウルトラミラクルジャグラー,dd,hit104,10,10,88,121.2159090909091,47.72727272727273,29.545454545454547
みとや,ウルトラミラクルジャグラー,dd,hit104,11,11,90,156.37777777777777,48.888888888888886,28.888888888888886
みとや,ウルトラミラクルジャグラー,dd,hit104,12,12,84,-118.19047619047619,34.523809523809526,16.666666666666664
みとや,ウルトラミラクルジャグラー,dd,hit104,13,13,89,-44.38202247191011,37.07865168539326,24.719101123595504
みとや,ウルトラミラクルジャグラー,dd,hit104,14,14,90,64.62222222222222,51.11111111111111,27.77777777777778
みとや,ウルトラミラクルジャグラー,dd,hit104,15,15,89,222.04494382022472,44.9438202247191,30.337078651685395
みとや,ウルトラミラクルジャグラー,dd,hit104,16,16,87,-59.747126436781606,35.63218390804598,19.54022988505747
みとや,ウルトラミラクルジャグラー,dd,hit104,17,17,90,433.44444444444446,53.333333333333336,33.33333333333333
みとや,ウルトラミラクルジャグラー,dd,hit104,18,18,89,91.61797752808988,35.95505617977528,28.08988764044944
みとや,ウルトラミラクルジャグラー,dd,hit104,19,19,89,280.39325842696627,46.06741573033708,35.95505617977528
みとや,ウルトラミラクルジャグラー,dd,hit104,20,20,90,-122.03333333333333,31.11111111111111,21.11111111111111
みとや,ウルトラミラクルジャグラー,dd,hit104,21,21,88,-131.20454545454547,35.22727272727273,17.045454545454543
みとや,ウルトラミラクルジャグラー,dd,hit104,22,22,90,107.4888888888889,46.666666666666664,30.0
みとや,ウルトラミラクルジャグラー,dd,hit104,23,23,87,-70.8735632183908,40.229885057471265,19.54022988505747
みとや,ウルトラミラクルジャグラー,dd,hit104,24,24,90,456.05555555555554,53.333333333333336,33.33333333333333
みとや,ウルトラミラクルジャグラー,dd,hit104,25,25,87,191.95402298850576,42.5287356321839,33.33333333333333
みとや,ウルトラミラクルジャグラー,dd,hit104,26,26,89,-146.24719101123594,29.213483146067414,15.730337078651685
みとや,ウルトラミラクルジャグラー,dd,hit104,27,27,90,284.97777777777776,45.55555555555556,31.11111111111111
みとや,ウルトラミラクルジャグラー,dd,hit104,28,28,89,128.48314606741573,39.325842696629216,24.719101123595504
みとや,ウルトラミラクルジャグラー,dd,hit104,29,29,77,-73.45454545454545,31.16883116883117,19.480519480519483
みとや,ウルトラミラクルジャグラー,dd,hit104,30,30,75,394.68,48.0,36.0
みとや,ウルトラミラクルジャグラー,dd,hit104,31,31,45,-16.08888888888889,40.0,24.444444444444443
