hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,ひぐらしのなく頃に祭2,717,dd_bin,diff,kruskal,3.561631250626602,0.46856926209821415,0.0,717,5,0.0,
ヒロキ,ひぐらしのなく頃に祭2,717,dd_bin,hit104,chi2,5.226252441484234,0.2648602808733164,0.041289755353696375,717,5,,
ヒロキ,ひぐらしのなく頃に祭2,717,dd_bin,plus,chi2,1.8035811433477158,0.7718270958540154,0.0,717,5,,
ヒロキ,ひぐらしのなく頃に祭2,717,is_x_day,diff,kruskal,0.0017726655589161392,0.9664165607122945,0.0,717,2,0.0,
ヒロキ,ひぐらしのなく頃に祭2,717,is_x_day,hit104,chi2,0.057376770716576604,0.8106911574867889,0.0,717,2,,
ヒロキ,ひぐらしのなく頃に祭2,717,is_x_day,plus,chi2,0.05956456228104956,0.8071854957471418,0.0,717,2,,
ヒロキ,アイムジャグラーEX-TP,4799,day_of_week,diff,kruskal,27.376117110468424,0.0001231002399824197,0.004460792385323127,4799,7,0.0,
ヒロキ,アイムジャグラーEX-TP,4799,day_of_week,hit104,chi2,19.27210149813107,0.0037279434633462976,0.052591949993877916,4799,7,,
ヒロキ,アイムジャグラーEX-TP,4799,day_of_week,plus,chi2,15.345051687493815,0.0177362475433578,0.044129771804889056,4799,7,,
ヒロキ,アイムジャグラーEX-TP,4799,dd,diff,kruskal,51.1553442979845,0.009378316965653008,0.004436943015516883,4799,31,0.0,
ヒロキ,アイムジャグラーEX-TP,4799,dd,hit104,chi2,36.895250791776554,0.18021638763407907,0.0378920343935578,4799,31,,
ヒロキ,アイムジャグラーEX-TP,4799,dd,plus,chi2,45.53023255970275,0.0344306236852617,0.0568815502644114,4799,31,,
ヒロキ,アイムジャグラーEX-TP,4799,dd_bin,diff,kruskal,1.9959582043457051,0.7365023285996457,0.0,4799,5,0.0,
ヒロキ,アイムジャグラーEX-TP,4799,dd_bin,hit104,chi2,0.9087633535699073,0.9233002209550656,0.0,4799,5,,
ヒロキ,アイムジャグラーEX-TP,4799,dd_bin,plus,chi2,0.681298254888843,0.9536150435022096,0.0,4799,5,,
