hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd,plus,chi2,31.1228765195731,0.40938423925423306,0.040640326892969564,653,31,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,diff,kruskal,2.1521964422787425,0.7077899258151359,0.0,653,5,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,hit104,chi2,3.5837677544478708,0.4652560943584376,0.0,653,5,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,plus,chi2,3.0228000826482884,0.5540171376667518,0.0,653,5,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,diff,kruskal,0.34485116726114906,0.5570423314900046,0.0,653,2,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,hit104,chi2,0.055732523023405145,0.8133726364336915,0.0,653,2,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,plus,chi2,0.00033683432779390806,0.9853572093309572,0.0,653,2,,
楽園,ありふれた職業で世界最強,722,day_of_week,diff,kruskal,6.199491211847717,0.40121821630230436,0.00027900868789890523,722,7,0.0,
楽園,ありふれた職業で世界最強,722,day_of_week,hit104,chi2,7.9569491457778225,0.24127432431636422,0.05198729065558241,722,7,,
楽園,ありふれた職業で世界最強,722,day_of_week,plus,chi2,7.364017001762156,0.288490455207829,0.043362450669883694,722,7,,
楽園,ありふれた職業で世界最強,722,dd,diff,kruskal,28.825998724295058,0.5267507023697412,0.0,722,31,0.0,
楽園,ありふれた職業で世界最強,722,dd,hit104,chi2,20.913967198383546,0.8905587734766135,0.0,722,31,,
楽園,ありふれた職業で世界最強,722,dd,plus,chi2,24.74961756237575,0.7371062631391626,0.0,722,31,,
楽園,ありふれた職業で世界最強,722,dd_bin,diff,kruskal,5.126642492929889,0.27454826571257857,0.0015713284420221607,722,5,0.0,
楽園,ありふれた職業で世界最強,722,dd_bin,hit104,chi2,1.0595500032906546,0.9006357872331402,0.0,722,5,,
楽園,ありふれた職業で世界最強,722,dd_bin,plus,chi2,2.061422204908776,0.7244626481023422,0.0,722,5,,
楽園,ありふれた職業で世界最強,722,is_x_day,diff,kruskal,4.449774552109113,0.03490585463081585,0.00479135354459599,722,2,0.0,
楽園,ありふれた職業で世界最強,722,is_x_day,hit104,chi2,0.5751656833819979,0.44821348202079314,0.0,722,2,,
楽園,ありふれた職業で世界最強,722,is_x_day,plus,chi2,4.780658385620221,0.028781114779833073,0.0723997100891393,722,2,,
楽園,いざ！番長,1144,day_of_week,diff,kruskal,16.51465155754499,0.01124264418400806,0.009247714650435349,1144,7,0.0,
楽園,いざ！番長,1144,day_of_week,hit104,chi2,6.935450753124567,0.3268579842151513,0.028527620440495303,1144,7,,
楽園,いざ！番長,1144,day_of_week,plus,chi2,8.076489867794518,0.232552869647533,0.04256888924906623,1144,7,,
楽園,いざ！番長,1144,dd,diff,kruskal,25.117514746783723,0.7193009848130301,0.0,1144,31,0.0,
楽園,いざ！番長,1144,dd,hit104,chi2,28.72676259740532,0.5319819255706061,0.0,1144,31,,
楽園,いざ！番長,1144,dd,plus,chi2,36.385275384940705,0.19573294650997342,0.0745885977156377,1144,31,,
楽園,いざ！番長,1144,dd_bin,diff,kruskal,4.282173821899902,0.3691626223901451,0.0002477382106232679,1144,5,0.0,
楽園,いざ！番長,1144,dd_bin,hit104,chi2,4.0677110112655,0.39691971384338115,0.007495201022861539,1144,5,,
楽園,いざ！番長,1144,dd_bin,plus,chi2,6.164441202980438,0.18719966657409282,0.04348090453338675,1144,5,,
楽園,いざ！番長,1144,is_x_day,diff,kruskal,0.4523835188477317,0.5012052272536154,0.0,1144,2,0.0,
楽園,いざ！番長,1144,is_x_day,hit104,chi2,1.096014898037221,0.29514233397291306,0.009123440444729625,1144,2,,
楽園,いざ！番長,1144,is_x_day,plus,chi2,1.4553605778171925,0.22766974635154152,0.019940551082606915,1144,2,,
楽園,うみねこのなく頃に2,460,day_of_week,diff,kruskal,5.087147346521625,0.5326854652651376,0.0,460,7,0.0,
楽園,うみねこのなく頃に2,460,day_of_week,hit104,chi2,2.701463195990625,0.8452744422448503,0.0,460,7,,
楽園,うみねこのなく頃に2,460,day_of_week,plus,chi2,3.7245073168053957,0.7138993168802443,0.0,460,7,,
楽園,うみねこのなく頃に2,460,dd,diff,kruskal,27.09990421186001,0.6180202628570239,0.0,460,31,0.0,
楽園,うみねこのなく頃に2,460,dd,hit104,chi2,28.271018090097037,0.5560773485790087,0.0,460,31,,
楽園,うみねこのなく頃に2,460,dd,plus,chi2,26.290562305430647,0.6602213690253007,0.0,460,31,,
楽園,うみねこのなく頃に2,460,dd_bin,diff,kruskal,2.1133336096279183,0.7149231758716248,0.0,460,5,0.0,
楽園,うみねこのなく頃に2,460,dd_bin,hit104,chi2,2.01825697005888,0.7324007467983464,0.0,460,5,,
楽園,うみねこのなく頃に2,460,dd_bin,plus,chi2,3.139782608422574,0.5347116227652948,0.0,460,5,,
楽園,うみねこのなく頃に2,460,is_x_day,diff,kruskal,0.005089201459643248,0.9431282438236188,0.0,460,2,0.0,
楽園,うみねこのなく頃に2,460,is_x_day,hit104,chi2,6.559688977194866e-06,0.9979564690919073,0.0,460,2,,
楽園,うみねこのなく頃に2,460,is_x_day,plus,chi2,0.04152216413863351,0.8385333309842675,0.0,460,2,,
楽園,かぐや様は告らせたい,3751,day_of_week,diff,kruskal,15.770021884017963,0.015043052908466505,0.0026095143920988146,3751,7,0.0,
楽園,かぐや様は告らせたい,3751,day_of_week,hit104,chi2,6.517368556893843,0.3677913049427213,0.011727672046014031,3751,7,,
楽園,かぐや様は告らせたい,3751,day_of_week,plus,chi2,9.98222616396841,0.12540251256833526,0.03258067503714507,3751,7,,
楽園,かぐや様は告らせたい,3751,dd,diff,kruskal,41.30258609201247,0.08200009670218847,0.0030383295946270076,3751,31,0.0,
楽園,かぐや様は告らせたい,3751,dd,hit104,chi2,40.17820109540516,0.10145870227926,0.05207738298242852,3751,31,,
楽園,かぐや様は告らせたい,3751,dd,plus,chi2,38.87771600827151,0.12849188843716083,0.04863391584482834,3751,31,,
楽園,かぐや様は告らせたい,3751,dd_bin,diff,kruskal,9.525035903742138,0.04923534947232276,0.001474916151559567,3751,5,0.0,
