date,last_digit,is_rank_1,is_top_3,is_top_5,month_progress,day_of_week,day_of_month,days_since_last_rank1,rolling_avg_diff_7d,rolling_avg_diff_14d,rolling_avg_diff_21d,rolling_avg_diff_28d,rolling_avg_diff_35d,rolling_avg_games_7d,rolling_avg_games_14d,rolling_avg_games_21d,rolling_avg_games_28d,rolling_avg_games_35d,rolling_avg_efficiency_7d,rolling_avg_efficiency_14d,rolling_avg_efficiency_21d,rolling_avg_efficiency_28d,rolling_avg_efficiency_35d,rolling_rank_sum_7d,rolling_rank_sum_14d,rolling_rank_sum_21d,dow_lastdigit_rank1_rate,periodicity_strength,prior_week_rank1_rate,prior_same_weekday_rank1_rate
2025-07-09,9,0,0,1,0.2580645,2.0,9.0,0.0,100050.0,100050.0,100050.0,100050.0,100050.0,408280.0,408280.0,408280.0,408280.0,408280.0,0.24183448,0.24183448,0.24183448,0.24183448,0.24183448,17.0,17.0,17.0,0.09756097,0.03547945,0.0,0.0
2025-07-09,ã‚¾ãƒ­ç›®,0,0,0,0.2580645,2.0,9.0,0.0,116750.0,116750.0,116750.0,116750.0,116750.0,394380.5,394380.5,394380.5,394380.5,394380.5,0.29250336,0.29250336,0.29250336,0.29250336,0.29250336,13.0,13.0,13.0,0.048780486,0.038751386,0.14285715,0.0
2025-07-10,0,0,0,0,0.29032257,3.0,10.0,0.0,96100.0,96100.0,96100.0,96100.0,96100.0,406314.0,406314.0,406314.0,406314.0,406314.0,0.23277836,0.23277836,0.23277836,0.23277836,0.23277836,17.0,17.0,17.0,0.12195122,0.036321186,0.0,0.0
2025-07-10,1,0,0,1,0.29032257,3.0,10.0,0.0,122233.336,122233.336,122233.336,122233.336,122233.336,419095.34,419095.34,419095.34,419095.34,419095.34,0.2867553,0.2867553,0.2867553,0.2867553,0.2867553,11.0,11.0,11.0,0.09756097,0.046272263,0.14285715,0.0
2025-07-10,2,0,0,0,0.29032257,3.0,10.0,0.0,133300.0,133300.0,133300.0,133300.0,133300.0,398519.34,398519.34,398519.34,398519.34,398519.34,0.33131105,0.33131105,0.33131105,0.33131105,0.33131105,7.0,7.0,7.0,0.17073171,0.047563225,0.0,0.0
2025-07-10,3,0,0,1,0.29032257,3.0,10.0,0.0,140000.0,140000.0,140000.0,140000.0,140000.0,403118.0,403118.0,403118.0,403118.0,403118.0,0.34048223,0.34048223,0.34048223,0.34048223,0.34048223,17.0,17.0,17.0,0.0,0.03312406,0.14285715,0.0
2025-07-10,4,0,0,0,0.29032257,3.0,10.0,0.0,108100.0,108100.0,108100.0,108100.0,108100.0,397302.34,397302.34,397302.34,397302.34,397302.34,0.26981488,0.26981488,0.26981488,0.26981488,0.26981488,19.0,19.0,19.0,0.048780486,0.0377796,0.14285715,0.0
2025-07-10,5,0,1,1,0.29032257,3.0,10.0,0.0,72866.664,72866.664,72866.664,72866.664,72866.664,402611.66,402611.66,402611.66,402611.66,402611.66,0.17870651,0.17870651,0.17870651,0.17870651,0.17870651,25.0,25.0,25.0,0.024390243,0.03521127,0.0,0.0
2025-07-10,6,1,1,1,0.29032257,3.0,10.0,0.0,96700.0,96700.0,96700.0,96700.0,96700.0,398733.66,398733.66,398733.66,398733.66,398733.66,0.23865213,0.23865213,0.23865213,0.23865213,0.23865213,17.0,17.0,17.0,0.07317073,0.033639003,0.14285715,0.0
2025-07-10,7,0,0,0,0.29032257,3.0,10.0,0.0,95833.336,95833.336,95833.336,95833.336,95833.336,392883.66,392883.66,392883.66,392883.66,392883.66,0.23555426,0.23555426,0.23555426,0.23555426,0.23555426,23.0,23.0,23.0,0.17073171,0.052751012,0.0,0.0
2025-07-10,8,0,0,0,0.29032257,3.0,10.0,0.0,89166.664,89166.664,89166.664,89166.664,89166.664,403608.0,403608.0,403608.0,403608.0,403608.0,0.21743357,0.21743357,0.21743357,0.21743357,0.21743357,22.0,22.0,22.0,0.09756097,0.045774646,0.14285715,0.0
2025-07-10,9,0,0,0,0.29032257,3.0,10.0,0.0,90700.0,90700.0,90700.0,90700.0,90700.0,405514.0,405514.0,405514.0,405514.0,405514.0,0.22122568,0.22122568,0.22122568,0.22122568,0.22122568,21.0,21.0,21.0,0.07317073,0.03547945,0.14285715,0.0
2025-07-10,ã‚¾ãƒ­ç›®,0,1,1,0.29032257,3.0,10.0,0.0,98733.336,98733.336,98733.336,98733.336,98733.336,394175.66,394175.66,394175.66,394175.66,394175.66,0.24807945,0.24807945,0.24807945,0.24807945,0.24807945,19.0,19.0,19.0,0.12195122,0.038751386,0.14285715,0.0
2025-07-11,0,0,0,0,0.32258064,4.0,11.0,0.0,81950.0,81950.0,81950.0,81950.0,81950.0,400371.0,400371.0,400371.0,400371.0,400371.0,0.20039792,0.20039792,0.20039792,0.20039792,0.20039792,26.0,26.0,26.0,0.1,0.036321186,0.0,0.0
2025-07-11,1,0,0,0,0.32258064,4.0,11.0,0.0,110200.0,110200.0,110200.0,110200.0,110200.0,416625.5,416625.5,416625.5,416625.5,416625.5,0.26033595,0.26033595,0.26033595,0.26033595,0.26033595,16.0,16.0,16.0,0.075,0.046272263,0.0,0.0
2025-07-11,2,0,0,1,0.32258064,4.0,11.0,0.0,103675.0,103675.0,103675.0,103675.0,103675.0,388213.0,388213.0,388213.0,388213.0,388213.0,0.2588389,0.2588389,0.2588389,0.2588389,0.2588389,18.0,18.0,18.0,0.075,0.047563225,0.14285715,0.0
2025-07-11,3,0,0,0,0.32258064,4.0,11.0,0.0,123575.0,123575.0,123575.0,123575.0,123575.0,395883.0,395883.0,395883.0,395883.0,395883.0,0.30500382,0.30500382,0.30500382,0.30500382,0.30500382,21.0,21.0,21.0,0.075,0.03312406,0.14285715,0.0
2025-07-11,4,0,1,1,0.32258064,4.0,11.0,0.0,94700.0,94700.0,94700.0,94700.0,94700.0,394816.0,394816.0,394816.0,394816.0,394816.0,0.23753543,0.23753543,0.23753543,0.23753543,0.23753543,27.0,27.0,27.0,0.125,0.0377796,0.0,0.0
2025-07-11,5,0,0,0,0.32258064,4.0,11.0,0.0,76550.0,76550.0,76550.0,76550.0,76550.0,394169.0,394169.0,394169.0,394169.0,394169.0,0.19340506,0.19340506,0.19340506,0.19340506,0.19340506,28.0,28.0,28.0,0.1,0.03521127,0.2857143,0.0
2025-07-11,6,1,1,1,0.32258064,4.0,11.0,0.0,100950.0,100950.0,100950.0,100950.0,100950.0,390469.0,390469.0,390469.0,390469.0,390469.0,0.25672206,0.25672206,0.25672206,0.25672206,0.25672206,18.0,18.0,18.0,0.175,0.033639003,0.2857143,0.0
2025-07-11,7,0,0,0,0.32258064,4.0,11.0,0.0,87475.0,87475.0,87475.0,87475.0,87475.0,393560.5,393560.5,393560.5,393560.5,393560.5,0.21610036,0.21610036,0.21610036,0.21610036,0.21610036,30.0,30.0,30.0,0.075,0.052751012,0.14285715,0.0
2025-07-11,8,0,0,1,0.32258064,4.0,11.0,0.0,83775.0,83775.0,83775.0,83775.0,83775.0,393639.5,393639.5,393639.5,393639.5,393639.5,0.20953771,0.20953771,0.20953771,0.20953771,0.20953771,28.0,28.0,28.0,0.075,0.045774646,0.14285715,0.0
