dd,rank_from_min,section_size_group,section_machine_count,diff_sum,games_sum,machine_count,pay_rate
11,6,large,22,11000,867150,14,100.42
11,6,medium,14,51900,668786,11,102.59
11,7,large,22,47500,788241,14,102.01
11,7,medium,14,26900,663486,11,101.35
11,8,large,22,-5500,823113,14,99.78
11,8,medium,14,32800,677689,11,101.61
11,9,large,22,7600,832302,14,100.3
11,9,medium,14,27200,625681,11,101.45
11,10,large,22,29000,849861,14,101.14
11,10,medium,14,-32700,592961,10,98.16
11,11,large,22,26400,855227,14,101.03
11,11,medium,14,-9000,544081,9,99.45
11,12,large,22,57100,831548,14,102.29
11,12,medium,14,-3400,570673,9,99.8
11,13,large,22,-14600,911195,14,99.47
11,13,medium,14,-13700,374252,6,98.78
12,1,large,22,46200,720879,14,102.14
12,1,medium,14,-45300,519072,11,97.09
12,2,large,22,3600,652584,14,100.18
12,2,medium,14,-18900,413921,11,98.48
12,3,large,22,5600,564375,14,100.33
12,3,medium,14,2900,443685,11,100.22
12,4,large,22,-15500,566748,14,99.09
12,4,medium,14,30100,456806,11,102.2
12,5,large,22,-49500,570659,14,97.11
12,5,medium,14,-17200,432910,11,98.68
12,6,large,22,25900,624811,14,101.38
12,6,medium,14,17700,471950,11,101.25
12,7,large,22,31500,588203,14,101.79
12,7,medium,14,46000,401514,11,103.82
12,8,large,22,68900,594437,14,103.86
12,8,medium,14,52000,483419,11,103.59
12,9,large,22,34500,588674,14,101.95
12,9,medium,14,21000,465520,11,101.5
12,10,large,22,61300,611681,14,103.34
12,10,medium,14,17100,402380,10,101.42
12,11,large,22,59700,614502,14,103.24
12,11,medium,14,28400,389146,9,102.43
12,12,large,22,-8400,605648,14,99.54
12,12,medium,14,6400,381814,9,100.56
12,13,large,22,28400,592446,14,101.6
12,13,medium,14,-5500,262642,6,99.3
13,1,large,22,-44400,876985,14,98.31
13,1,medium,14,-2600,612166,11,99.86
13,2,large,22,-47900,789280,14,97.98
13,2,medium,14,-12400,552133,11,99.25
13,3,large,22,2100,748059,14,100.09
13,3,medium,14,20500,590095,11,101.16
13,4,large,22,3700,777518,14,100.16
13,4,medium,14,39100,562033,11,102.32
13,5,large,22,200,758309,14,100.01
13,5,medium,14,42900,564662,11,102.53
13,6,large,22,23000,782498,14,100.98
13,6,medium,14,46000,574255,11,102.67
13,7,large,22,38000,775274,14,101.63
13,7,medium,14,47400,545212,11,102.9
13,8,large,22,40000,798932,14,101.67
13,8,medium,14,-7500,558580,11,99.55
13,9,large,22,-2900,749744,14,99.87
13,9,medium,14,37600,576107,11,102.18
13,10,large,22,58000,747343,14,102.59
13,10,medium,14,13600,507024,10,100.89
13,11,large,22,45400,756215,14,102.0
13,11,medium,14,-18700,444790,9,98.6
13,12,large,22,-5700,708844,14,99.73
13,12,medium,14,-36400,456887,9,97.34
13,13,large,22,88000,747451,14,103.92
13,13,medium,14,32000,324816,6,103.28
14,1,large,22,66800,821220,14,102.71
14,1,medium,14,11600,676932,11,100.57
14,2,large,22,20000,772543,14,100.86
14,2,medium,14,35500,589510,11,102.01
14,3,large,22,56000,745892,14,102.5
14,3,medium,14,93800,576150,11,105.43
14,4,large,22,-8500,748752,14,99.62
14,4,medium,14,73200,559862,11,104.36
14,5,large,22,-7900,748142,14,99.65
14,5,medium,14,79500,591483,11,104.48
14,6,large,22,72000,737419,14,103.25
14,6,medium,14,25400,602480,11,101.41
14,7,large,22,-400,760086,14,99.98
14,7,medium,14,55400,602127,11,103.07
14,8,large,22,14500,732161,14,100.66
14,8,medium,14,40800,551416,11,102.47
14,9,large,22,42600,726516,14,101.95
14,9,medium,14,43300,614298,11,102.35
14,10,large,22,14200,667913,14,100.71
14,10,medium,14,24900,538667,10,101.54
14,11,large,22,34400,749833,14,101.53
14,11,medium,14,44800,492497,9,103.03
14,12,large,22,-23600,754746,14,98.96
14,12,medium,14,-5600,470898,9,99.6
14,13,large,22,72700,754537,14,103.21
14,13,medium,14,-11800,350544,6,98.88
15,1,large,22,-75300,830886,14,96.98
15,1,medium,14,5900,640586,11,100.31
15,2,large,22,14500,724207,14,100.67
15,2,medium,14,2300,593321,11,100.13
15,3,large,22,-17000,735228,14,99.23
15,3,medium,14,75300,593757,11,104.23
15,4,large,22,44300,730814,14,102.02
15,4,medium,14,33900,634760,11,101.78
15,5,large,22,19500,711697,14,100.91
15,5,medium,14,42400,619011,11,102.28
15,6,large,22,123200,748767,14,105.48
15,6,medium,14,27800,600654,11,101.54
15,7,large,22,-52500,726878,14,97.59
15,7,medium,14,28100,570461,11,101.64
15,8,large,22,26200,748539,14,101.17
15,8,medium,14,32100,583293,11,101.83
15,9,large,22,25700,749135,14,101.14
15,9,medium,14,19100,599894,11,101.06
15,10,large,22,24700,764355,14,101.08
15,10,medium,14,-5600,579981,10,99.68
15,11,large,22,61600,715981,14,102.87
15,11,medium,14,9300,488772,9,100.63
15,12,large,22,47800,763600,14,102.09
15,12,medium,14,-20400,472967,9,98.56
15,13,large,22,9600,768082,14,100.42
15,13,medium,14,5200,355769,6,100.49
16,1,large,22,23400,808821,14,100.96
16,1,medium,14,15100,609498,11,100.83
16,2,large,22,15100,654765,14,100.77
16,2,medium,14,10400,546537,11,100.63
16,3,large,22,10300,716489,14,100.48
16,3,medium,14,16400,534832,11,101.02
16,4,large,22,65900,703688,14,103.12
16,4,medium,14,23900,528248,11,101.51
16,5,large,22,53700,771326,14,102.32
16,5,medium,14,81700,588610,11,104.63
16,6,large,22,25900,670633,14,101.29
16,6,medium,14,-8400,538675,11,99.48
16,7,large,22,1200,716557,14,100.06
16,7,medium,14,33600,554888,11,102.02
16,8,large,22,-15800,675119,14,99.22
16,8,medium,14,-1300,523899,11,99.92
16,9,large,22,6400,672702,14,100.32
16,9,medium,14,34400,562846,11,102.04
16,10,large,22,49900,706620,14,102.35
16,10,medium,14,65300,507601,10,104.29
16,11,large,22,47500,689720,14,102.3
16,11,medium,14,36000,453782,9,102.64
16,12,large,22,28000,682658,14,101.37
16,12,medium,14,-400,455167,9,99.97
16,13,large,22,75300,720692,14,103.48
16,13,medium,14,3200,302976,6,100.35
17,1,large,22,17300,1021899,14,100.56
17,1,medium,14,12100,798590,11,100.51
17,2,large,22,-24000,939921,14,99.15
17,2,medium,14,18300,730952,11,100.83
17,3,large,22,81400,942139,14,102.88
17,3,medium,14,40600,719510,11,101.88
17,4,large,22,9000,919194,14,100.33
17,4,medium,14,18200,716412,11,100.85
17,5,large,22,-3900,918530,14,99.86
17,5,medium,14,31300,698393,11,101.49
17,6,large,22,-16600,927399,14,99.4
17,6,medium,14,44200,721988,11,102.04
17,7,large,22,21000,919088,14,100.76
17,7,medium,14,55800,708479,11,102.63
17,8,large,22,-37500,917883,14,98.64
17,8,medium,14,67400,679454,11,103.31
17,9,large,22,59600,952949,14,102.08
17,9,medium,14,-500,702700,11,99.98
17,10,large,22,21900,961437,14,100.76
17,10,medium,14,36100,671934,10,101.79
17,11,large,22,56400,900462,14,102.09
17,11,medium,14,4900,593920,9,100.28
17,12,large,22,124500,923252,14,104.49
17,12,medium,14,43600,601023,9,102.42
17,13,large,22,-36000,938337,14,98.72
17,13,medium,14,-3700,404774,6,99.7
