hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
蒲田7,日,False,バンドリ！,other,98,36.734693877551024,34.751773049645394,1.9829208279056303,40,61,0.670859993659121,0.8827105179725275,False
蒲田7,日,False,革命機ヴァルヴレイヴ2,other,716,32.262569832402235,30.35003977724741,1.912530055154825,41,60,0.19229520096504704,0.6203070998872485,False
蒲田7,日,False,戦国乙女4 戦乱に閃く炯眼の軍師,other,647,32.766615146831526,30.867402119835603,1.8992130269959233,42,59,0.23210104751957594,0.6631458500559313,False
蒲田7,日,False,スーパーリオエース2,other,24,37.5,35.714285714285715,1.7857142857142847,43,58,0.8332160219105958,0.9408289506876945,False
蒲田7,日,False,ファンキージャグラー2,jug,1174,29.89778534923339,28.20422120033015,1.693564148903242,44,57,0.13465835939919313,0.5869285025789901,False
蒲田7,日,False,化物語,other,241,35.684647302904565,33.99885909868796,1.6857882042166068,45,56,0.5399039611845132,0.8200755525729795,False
蒲田7,日,False,シャーマンキング,other,163,36.809815950920246,35.25423728813559,1.5555786627846544,46,55,0.6231593213515012,0.8783013971121622,False
蒲田7,日,False,スマスロ北斗の拳,other,1358,42.56259204712813,41.1407392154844,1.4218528316437258,47,54,0.22464087261760535,0.6607084488753098,False
蒲田7,日,False,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,other,115,37.391304347826086,36.02409638554217,1.3672079622839135,48,53,0.7705702418851719,0.9236611310578228,False
蒲田7,日,False,ミスタージャグラー,jug,294,29.25170068027211,27.99065420560748,1.261046474664628,49,52,0.6024983369858448,0.8731859956316591,False
蒲田7,日,False,ToLOVEるダークネス TRANCE ver.8.7,other,394,39.59390862944163,38.55042016806723,1.0434884613744018,50,51,0.6411600198918783,0.8783013971121622,False
蒲田7,日,False,デビル メイ クライ5 スタイリッシュトライブ,other,178,36.51685393258427,35.49382716049383,1.0230267720904394,51,50,0.7540513962483795,0.9236611310578228,False
蒲田7,日,False,新ハナビ,bt,386,31.865284974093267,30.986418870621872,0.8788661034713954,52,49,0.6596389418303226,0.8795185891070968,False
蒲田7,日,False,モンスターハンターライズ,other,767,34.289439374185136,33.460144927536234,0.8292944466489018,53,48,0.565878883720808,0.8321748290011881,False
