hall,weekday,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
楽園,日,False,アズールレーン THE ANIMATION,other,125,28.000000000000004,31.76620076238882,-3.7662007623888165,123,59,0.33941121347550407,0.6703340037100431,False
楽園,日,False,ダンベル何キロ持てる？,other,208,20.673076923076923,24.446202531645568,-3.7731256085686447,124,58,0.1502773740507844,0.5391317472528824,False
楽園,日,False,A‐SLOT+ この素晴らしい世界に祝福を！,bt,100,31.0,34.8111658456486,-3.8111658456486026,125,57,0.4033688073948435,0.7228688528561056,False
楽園,日,False,ニューゲッターマウス,bt,133,24.81203007518797,28.676470588235293,-3.864440513047324,126,56,0.2551791592545222,0.5998367250008899,False
楽園,日,False,からくりサーカス,other,895,30.502793296089386,34.40357218796513,-3.9007788918757456,127,55,0.0026153949722614867,0.15779549665977638,False
楽園,日,False,転生したら剣でした,other,61,26.229508196721312,30.158730158730158,-3.929221962008846,128,54,0.4899676814308449,0.771166524686808,False
楽園,日,False,甲鉄城のカバネリ,other,547,31.62705667276051,35.573348584501005,-3.946291911740495,129,53,0.023324993757533656,0.3365673609127906,False
楽園,日,False,盾の勇者の成り上がり,other,165,28.484848484848484,32.470588235294116,-3.9857397504456316,130,52,0.18747034878418448,0.5391317472528824,False
楽園,日,False,ダンジョンに出会いを求めるのは間違っているだろうか2,bt,192,29.166666666666668,33.274179236912154,-4.107512570245486,131,51,0.1704319541472084,0.5391317472528824,False
楽園,日,False,範馬刃牙,other,31,19.35483870967742,23.463687150837988,-4.108848441160568,132,50,0.6761625340039512,0.8681964349550614,False
楽園,日,False,スマスロ ハナビ,bt,151,23.178807947019866,27.35294117647059,-4.1741332294507245,133,49,0.20478587543612065,0.5702498992913513,False
楽園,日,False,新鬼武者2,other,382,31.151832460732987,35.40816326530612,-4.256330804573135,134,48,0.03337766261226105,0.37795795124548937,False
楽園,日,False,スマスロ炎炎ノ消防隊,other,155,32.25806451612903,36.531791907514446,-4.273727391385414,135,47,0.18547046206755213,0.5391317472528824,False
楽園,日,False,ヱヴァンゲリヲン ～約束の扉～,bt,160,24.375,28.75882946518668,-4.383829465186679,136,46,0.16576363889080248,0.5391317472528824,False
楽園,日,False,クランキークレスト,bt,401,26.433915211970078,30.933023615950443,-4.499108403980365,137,45,0.024129014632809975,0.3365673609127906,False
楽園,日,False,GI優駿倶楽部黄金,other,36,30.555555555555557,35.05747126436782,-4.5019157088122626,138,44,0.6035049872850614,0.8546160179143486,False
楽園,日,False,ジャグラーガールズ,jug,312,20.833333333333336,25.336426914153133,-4.503093580819797,139,43,0.03345154366663579,0.37795795124548937,False
楽園,日,False,Sister Quest,other,48,20.833333333333336,25.403225806451612,-4.569892473118276,140,42,0.4182267808494303,0.7278754551321817,False
楽園,日,False,スマスロ炎炎ノ消防隊2,other,156,25.0,29.672447013487474,-4.672447013487474,141,41,0.14026550689970002,0.5289178489342855,False
楽園,日,False,マタドールIII,bt,53,26.41509433962264,31.22923588039867,-4.814141540776028,142,40,0.46253327389487797,0.7343730050436221,False
楽園,日,False,にゃんこ大戦争 超神速,other,31,25.806451612903224,30.666666666666664,-4.86021505376344,143,39,0.5654571493848749,0.8320954799891248,False
楽園,日,False,スマスロ北斗の拳,other,2052,31.62768031189084,36.52991706161137,-4.902236749720533,144,38,4.81136635022105e-08,8.7085730939001e-06,True
楽園,日,False,麻雀物語,other,84,22.61904761904762,27.5390625,-4.92001488095238,145,37,0.27666055245193455,0.640730190758224,False
楽園,日,False,キングハナハナ-30,hana,1008,22.51984126984127,27.505938242280287,-4.986096972439018,146,36,2.331872468138399e-05,0.0021103445836652512,True
楽園,日,False,マジカルハロウィン8,bt,93,24.731182795698924,30.0,-5.268817204301076,147,35,0.18163218284429056,0.5391317472528824,False
楽園,日,False,押忍！番長4,other,281,24.555160142348754,29.857512953367877,-5.302352811019123,148,34,0.02009538327546273,0.3365673609127906,False
楽園,日,False,ミリオンゴッド‐神々の軌跡‐,other,96,17.708333333333336,23.08823529411765,-5.379901960784313,149,33,0.1876535915852574,0.5391317472528824,False
楽園,日,False,とある科学の超電磁砲2,other,167,23.353293413173652,28.833693304535636,-5.480399891361984,150,32,0.06320868893039559,0.4950317100230561,False
楽園,日,False,劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,other,131,21.374045801526716,26.889534883720927,-5.515489082194211,151,31,0.09819765722483975,0.4950317100230561,False
楽園,日,False,いざ！番長,other,181,22.65193370165746,28.234265734265733,-5.582332032608274,152,30,0.05013376634936989,0.44988567753894376,False
楽園,日,False,ダーリン・イン・ザ・フランキス,other,32,25.0,30.65326633165829,-5.6532663316582905,153,29,0.45515712036934763,0.7343730050436221,False
楽園,日,False,主役は銭形5,other,127,23.62204724409449,29.385964912280706,-5.763917668186217,154,28,0.10139828281731453,0.4950317100230561,False
楽園,日,False,翔べ！ハーレムエース,bt,86,26.744186046511626,32.5497287522604,-5.805542705748774,155,27,0.20912587697423907,0.5735118747323829,False
楽園,日,False,ピンクパンサーSP,bt,154,34.41558441558442,40.24738344433872,-5.831799028754304,156,26,0.08625899768393964,0.4950317100230561,False
楽園,日,False,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,bt,144,22.22222222222222,28.34890965732087,-6.126687435098649,157,25,0.06692309280959001,0.4950317100230561,False
楽園,日,False,ラブ嬢3～Wご指名はいかがですか?～,other,128,24.21875,30.375000000000004,-6.1562500000000036,158,24,0.08642282085728564,0.4950317100230561,False
楽園,日,False,スマート沖スロ スターハナハナ,hana,223,16.143497757847534,22.308781869688385,-6.165284111840851,159,23,0.008982847711907762,0.32517908717106103,False
楽園,日,False,鉄拳6,other,111,27.027027027027028,33.378932968536255,-6.3519059415092265,160,22,0.1099668225365423,0.4950317100230561,False
楽園,日,False,ゴブリンスレイヤーII,other,56,25.0,31.640625,-6.640625,161,21,0.203648058907742,0.5702498992913513,False
楽園,日,False,ルパン三世 大航海者の秘宝,other,99,21.21212121212121,27.923211169284468,-6.7110899571632565,162,20,0.07807277937027929,0.4950317100230561,False
楽園,日,False,マジカルハロウィン ボーナストリガー,bt,44,20.454545454545457,27.310924369747898,-6.856378915202441,163,19,0.24756764618771648,0.5995177347921183,False
楽園,日,False,一方通行 とある魔術の禁書目録,other,74,25.675675675675674,32.960893854748605,-7.285218179072931,164,18,0.11253209405195086,0.4950317100230561,False
