segment6,rank_basis,kakuban_group,weekday,n,all_weekday_mean_residual,weekday_mean_residual,weekday_specific_effect,t_stat,p_value,q_value,significant
2F_L_A,rank_from_min,K5-9,Fri,605,132.60489333737743,107.78709169618263,-24.817801641194844,-0.385599211611369,0.6999292836216781,1.0,False
2F_L_A,rank_from_min,K5-9,Mon,557,132.60489333737743,96.75899803368385,-35.84589530369359,-0.5257361561063344,0.59928115085018,1.0,False
2F_L_A,rank_from_min,K5-9,Sat,698,132.60489333737743,111.27421885659709,-21.330674480780345,-0.35849369961671673,0.7200824354011811,1.0,False
2F_L_A,rank_from_min,K5-9,Sun,659,132.60489333737743,81.45873979333767,-51.14615354403975,-0.7577917292654381,0.44884697317964706,1.0,False
2F_L_A,rank_from_min,K5-9,Thu,520,132.60489333737743,169.40315934065933,36.79826600328189,0.5784289706141283,0.5632254473340229,1.0,False
2F_L_A,rank_from_min,K5-9,Tue,612,132.60489333737743,166.0864067849362,33.48151344755877,0.5096913416135618,0.6104517631141525,1.0,False
2F_L_A,rank_from_min,K5-9,Wed,588,132.60489333737743,207.34855847100744,74.74366513363002,1.1806070996494635,0.2382370041324663,1.0,False
2F_L_N,rank_from_min,K1,Fri,906,-135.26883068262813,-126.51950163198708,8.749329050641085,0.09113982085104248,0.927401660072847,1.0,False
2F_L_N,rank_from_min,K1,Mon,927,-135.26883068262813,-22.511496292906912,112.75733438972115,1.190052623733117,0.23433072150877582,1.0,False
2F_L_N,rank_from_min,K1,Sat,1093,-135.26883068262813,-235.3265266208595,-100.05769593823143,-1.0510452686989364,0.2934703319315405,1.0,False
2F_L_N,rank_from_min,K1,Sun,1030,-135.26883068262813,-201.0435052050557,-65.77467452242763,-0.6917644540832019,0.4892413123421754,1.0,False
2F_L_N,rank_from_min,K1,Thu,844,-135.26883068262813,-24.70104263437829,110.56778804824981,1.1472478063144813,0.2516047099289301,1.0,False
2F_L_N,rank_from_min,K1,Tue,927,-135.26883068262813,-137.81781864306134,-2.548987960433262,-0.02753077568916835,0.9780423255871621,1.0,False
2F_L_N,rank_from_min,K1,Wed,936,-135.26883068262813,-163.36526866763478,-28.096437985006702,-0.28163019483719126,0.7782894025210063,1.0,False
2F_L_N,rank_from_min,K10-14,Sun,3623,45.37710626079931,-74.0538436981505,-119.43094995894985,-2.3339030526497493,0.019655217400883825,0.13758652180618677,False
2F_L_N,rank_from_min,K10-14,Fri,2993,45.37710626079931,132.83445538103467,87.45734912023534,1.5760076074714808,0.11512977015053719,0.8059083910537603,False
2F_L_N,rank_from_min,K10-14,Mon,3077,45.37710626079931,39.11121736694297,-6.265888893856362,-0.11809061705882208,0.9060035683466181,1.0,False
