test_date,variant,window,DD,dow,is_event,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_machines_scored,n_actual_machines
2026-01-07,v2_dd_individual,90,7,2,True,event,446.0,343.82530120481925,102.17469879518075,40.0,103.93850531458996,1.0,4.0,6.0,1.4280000000000002,2.8560000000000003,1.7136,714,714
2026-01-07,v3_hist_payout,90,7,2,True,event,282.0,356.17469879518075,-74.17469879518075,42.0,101.6125870293578,0.0,3.0,5.0,0.0,2.1420000000000003,1.428,714,714
2026-01-07,v4_kakuban_fix,90,7,2,True,event,918.0,308.2831325301205,609.7168674698795,46.0,107.68070697866452,1.0,4.0,6.0,1.4280000000000002,2.8560000000000003,1.7136,714,714
2026-01-08,v1_baseline,90,8,3,False,non_event,-96.0,149.24698795180723,-245.24698795180723,38.0,96.28903232615563,1.0,1.0,3.0,1.4280000000000002,0.7140000000000001,0.8568,714,714
2026-01-08,v2_dd_individual,90,8,3,False,non_event,60.0,137.5,-77.5,42.0,100.53361250496961,1.0,1.0,2.0,1.4280000000000002,0.7140000000000001,0.5712,714,714
2026-01-08,v3_hist_payout,90,8,3,False,non_event,0.0,142.01807228915663,-142.01807228915663,38.0,98.58450803225152,1.0,1.0,1.0,1.4280000000000002,0.7140000000000001,0.2856,714,714
2026-01-08,v4_kakuban_fix,90,8,3,False,non_event,676.0,91.1144578313253,584.8855421686746,48.0,104.59234475649359,1.0,1.0,7.0,1.4280000000000002,0.7140000000000001,1.9992,714,714
2026-01-09,v1_baseline,90,9,4,False,non_event,62.0,83.28313253012048,-21.283132530120483,28.000000000000004,94.89613332821405,0.0,3.0,6.0,0.0,2.1420000000000003,1.7136,714,714
2026-01-09,v2_dd_individual,90,9,4,False,non_event,330.0,63.102409638554214,266.8975903614458,36.0,97.0789009145713,0.0,3.0,6.0,0.0,2.1420000000000003,1.7136,714,714
2026-01-09,v3_hist_payout,90,9,4,False,non_event,300.0,65.36144578313252,234.63855421686748,34.0,99.23876149679545,0.0,4.0,5.0,0.0,2.8560000000000003,1.428,714,714
2026-01-09,v4_kakuban_fix,90,9,4,False,non_event,206.0,72.43975903614458,133.56024096385542,36.0,99.45096433009907,0.0,3.0,6.0,0.0,2.1420000000000003,1.7136,714,714
2026-01-10,v1_baseline,90,10,5,False,non_event,1286.0,148.79518072289156,1137.2048192771085,54.0,106.8835985664412,2.0,4.0,6.0,2.8560000000000003,2.8560000000000003,1.7136,714,714
2026-01-10,v2_dd_individual,90,10,5,False,non_event,1484.0,133.8855421686747,1350.1144578313254,54.0,109.01114056957697,2.0,4.0,9.0,2.8560000000000003,2.8560000000000003,2.5704,714,714
2026-01-10,v3_hist_payout,90,10,5,False,non_event,1068.0,165.210843373494,902.789156626506,52.0,106.69308532255732,0.0,2.0,7.0,0.0,1.4280000000000002,1.9992,714,714
2026-01-10,v4_kakuban_fix,90,10,5,False,non_event,214.0,229.51807228915663,-15.518072289156635,38.0,101.02610418417277,1.0,1.0,3.0,1.4280000000000002,0.7140000000000001,0.8568,714,714
2026-01-11,v1_baseline,90,11,6,True,event,492.0,128.0120481927711,363.9879518072289,46.0,105.92105646346076,1.0,2.0,8.0,1.4280000000000002,1.4280000000000002,2.2848,714,714
2026-01-11,v2_dd_individual,90,11,6,True,event,140.0,154.51807228915663,-14.518072289156635,42.0,102.06072518237144,1.0,1.0,7.0,1.4280000000000002,0.7140000000000001,1.9992,714,714
2026-01-11,v3_hist_payout,90,11,6,True,event,-530.0,204.96987951807228,-734.9698795180723,36.0,96.57944589342151,0.0,0.0,4.0,0.0,0.0,1.1424,714,714
2026-01-11,v4_kakuban_fix,90,11,6,True,event,-280.0,186.14457831325302,-466.144578313253,38.0,99.76851403659467,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,714,714
2026-01-12,v1_baseline,90,12,0,False,non_event,168.0,-64.90963855421687,232.90963855421688,36.0,98.98662675322328,1.0,4.0,6.0,1.4280000000000002,2.8560000000000003,1.7136,714,714
2026-01-12,v2_dd_individual,90,12,0,False,non_event,638.0,-100.3012048192771,738.3012048192771,44.0,105.39394331081554,1.0,5.0,7.0,1.4280000000000002,3.5700000000000003,1.9992,714,714
2026-01-12,v3_hist_payout,90,12,0,False,non_event,1110.0,-135.84337349397592,1245.8433734939758,48.0,109.53841324470771,2.0,6.0,10.0,2.8560000000000003,4.284000000000001,2.856,714,714
2026-01-12,v4_kakuban_fix,90,12,0,False,non_event,128.0,-61.897590361445786,189.8975903614458,44.0,100.48872401916242,0.0,3.0,6.0,0.0,2.1420000000000003,1.7136,714,714
2026-01-13,v1_baseline,90,13,1,False,non_event,78.0,-176.05421686746988,254.05421686746988,44.0,99.79944512946108,0.0,0.0,5.0,0.0,0.0,1.428,714,714
2026-01-13,v2_dd_individual,90,13,1,False,non_event,-278.0,-149.24698795180723,-128.75301204819277,32.0,97.79429945202024,0.0,0.0,5.0,0.0,0.0,1.428,714,714
2026-01-13,v3_hist_payout,90,13,1,False,non_event,-302.0,-147.43975903614458,-154.56024096385542,32.0,96.51643199172383,0.0,1.0,5.0,0.0,0.7140000000000001,1.428,714,714
2026-01-13,v4_kakuban_fix,90,13,1,False,non_event,-384.0,-141.26506024096386,-242.73493975903614,38.0,94.58534778601624,0.0,0.0,2.0,0.0,0.0,0.5712,714,714
2026-01-14,v1_baseline,90,14,2,False,non_event,-72.0,214.4578313253012,-286.4578313253012,48.0,94.81408859467793,1.0,1.0,6.0,1.4280000000000002,0.7140000000000001,1.7136,714,714
2026-01-14,v2_dd_individual,90,14,2,False,non_event,330.0,184.1867469879518,145.8132530120482,46.0,100.80761774298087,1.0,1.0,6.0,1.4280000000000002,0.7140000000000001,1.7136,714,714
2026-01-14,v3_hist_payout,90,14,2,False,non_event,312.0,185.5421686746988,126.45783132530121,48.0,100.90842419085713,1.0,1.0,5.0,1.4280000000000002,0.7140000000000001,1.428,714,714
2026-01-14,v4_kakuban_fix,90,14,2,False,non_event,352.0,182.53012048192772,169.46987951807228,40.0,103.68895647151126,2.0,2.0,7.0,2.8560000000000003,1.4280000000000002,1.9992,714,714
2026-01-15,v1_baseline,90,15,3,False,non_event,-2.0,172.289156626506,-174.289156626506,38.0,98.0769278011622,0.0,3.0,4.0,0.0,2.1420000000000003,1.1424,714,714
2026-01-15,v2_dd_individual,90,15,3,False,non_event,-56.0,176.35542168674698,-232.35542168674698,46.0,103.24976827212684,0.0,1.0,3.0,0.0,0.7140000000000001,0.8568,714,714
2026-01-15,v3_hist_payout,90,15,3,False,non_event,84.0,165.8132530120482,-81.8132530120482,42.0,105.5913519994948,0.0,2.0,4.0,0.0,1.4280000000000002,1.1424,714,714
2026-01-15,v4_kakuban_fix,90,15,3,False,non_event,412.0,141.1144578313253,270.8855421686747,46.0,102.34898771342012,1.0,2.0,6.0,1.4280000000000002,1.4280000000000002,1.7136,714,714
2026-01-16,v1_baseline,90,16,4,False,non_event,352.0,433.73493975903614,-81.73493975903614,40.0,114.0299189633469,1.0,2.0,5.0,1.4280000000000002,1.4280000000000002,1.428,714,714
2026-01-16,v2_dd_individual,90,16,4,False,non_event,692.0,408.13253012048193,283.86746987951807,46.0,115.79592440135144,1.0,2.0,4.0,1.4280000000000002,1.4280000000000002,1.1424,714,714
2026-01-16,v3_hist_payout,90,16,4,False,non_event,806.0,399.54819277108436,406.45180722891564,44.0,116.17710418698267,1.0,2.0,6.0,1.4280000000000002,1.4280000000000002,1.7136,714,714
2026-01-16,v4_kakuban_fix,90,16,4,False,non_event,2052.0,305.72289156626505,1746.277108433735,48.0,127.26548238669791,4.0,8.0,13.0,5.712000000000001,5.712000000000001,3.7128,714,714
2026-01-17,v1_baseline,90,17,5,True,event,182.0,99.84939759036145,82.15060240963855,42.0,102.17842185016416,0.0,0.0,6.0,0.0,0.0,1.7136,714,714
2026-01-17,v2_dd_individual,90,17,5,True,event,-274.0,134.1867469879518,-408.1867469879518,32.0,98.14053115095594,0.0,0.0,4.0,0.0,0.0,1.1424,714,714
2026-01-17,v3_hist_payout,90,17,5,True,event,200.0,98.49397590361446,101.50602409638554,40.0,101.04684653201659,1.0,1.0,6.0,1.4280000000000002,0.7140000000000001,1.7136,714,714
2026-01-17,v4_kakuban_fix,90,17,5,True,event,158.0,101.6566265060241,56.3433734939759,46.0,100.44546021606651,0.0,0.0,5.0,0.0,0.0,1.428,714,714
2026-01-18,v1_baseline,90,18,6,False,non_event,-134.0,2.710843373493976,-136.710843373494,36.0,98.12997003130069,2.0,2.0,5.0,2.8560000000000003,1.4280000000000002,1.428,714,714
2026-01-18,v2_dd_individual,90,18,6,False,non_event,422.0,-39.1566265060241,461.1566265060241,52.0,103.40541236051045,1.0,2.0,7.0,1.4280000000000002,1.4280000000000002,1.9992,714,714
2026-01-18,v3_hist_payout,90,18,6,False,non_event,496.0,-44.7289156626506,540.7289156626506,50.0,103.13554677876806,1.0,2.0,7.0,1.4280000000000002,1.4280000000000002,1.9992,714,714
2026-01-18,v4_kakuban_fix,90,18,6,False,non_event,312.0,-30.873493975903614,342.8734939759036,42.0,99.99719737855513,1.0,1.0,7.0,1.4280000000000002,0.7140000000000001,1.9992,714,714
2026-01-19,v1_baseline,90,19,0,False,non_event,282.0,-15.963855421686747,297.96385542168673,46.0,102.75566437412141,1.0,1.0,6.0,1.4280000000000002,0.7140000000000001,1.7136,714,714
2026-01-19,v2_dd_individual,90,19,0,False,non_event,104.0,-2.5602409638554215,106.56024096385542,38.0,100.4827313116136,0.0,0.0,6.0,0.0,0.0,1.7136,714,714
2026-01-19,v3_hist_payout,90,19,0,False,non_event,4.0,4.969879518072289,-0.9698795180722888,36.0,98.72020004472898,0.0,0.0,6.0,0.0,0.0,1.7136,714,714
2026-01-19,v4_kakuban_fix,90,19,0,False,non_event,580.0,-38.403614457831324,618.4036144578313,40.0,104.58683013920708,2.0,2.0,7.0,2.8560000000000003,1.4280000000000002,1.9992,714,714
