segment,event_type,component,mean_vs_other,mean_diff,mean_other,std_vs_other,n_days,p_value,day_win_pct,verdict,label
3F_R_A,event,c3,-3.2026810724289723,230.7058823529412,233.90856342537015,271.7909580603629,68,0.84019687003087,47.1,ns,DD*kakuban
3F_R_A,event,c4,40.773309323729485,251.61764705882354,210.84433773509403,243.65047149865703,68,0.09589775133665934,55.9,ns,dow*kakuban
3F_R_A,event,c5,9.846938775510202,236.61764705882354,226.77070828331333,280.1499337964649,68,0.9172677458341656,50.0,ns,last_digit
3F_R_A,event,c6,70.87374949979991,264.44117647058823,193.56742697078832,274.31469652901296,68,0.04312193651533679,61.8,maybe,zorome
3F_R_A,event,composite,12.423969587835133,237.7941176470588,225.3701480592237,281.94720700107877,68,0.9805005146091341,50.0,ns,ALL(weighted)
3F_R_A,non_event,c1,99.88582946406075,164.94179894179894,65.05596947773819,278.57521846526873,189,5.1442557369683064e-06,65.6,USEFUL,kakuban
3F_R_A,non_event,c2,143.00082784436526,185.37566137566137,42.37483353129612,257.5239929219713,189,5.324157894189662e-12,72.0,USEFUL,hist
3F_R_A,non_event,c3,32.702803872871904,133.62962962962962,100.92682575675774,264.35889010955225,189,0.056616836797134626,55.0,ns,DD*kakuban
3F_R_A,non_event,c4,22.43746175718965,128.25396825396825,105.81650649677862,252.12268139750987,189,0.3170189295372611,53.4,ns,dow*kakuban
3F_R_A,non_event,c5,109.35240974696757,169.86243386243387,60.5100241154663,283.5468627577758,189,2.013822049871752e-06,62.4,USEFUL,last_digit
3F_R_A,non_event,c6,15.178490443796562,125.03703703703704,109.85854659324046,255.27377187295605,189,0.3768345379387128,54.5,ns,zorome
3F_R_A,non_event,composite,113.6672785516323,171.92592592592592,58.25864737429364,277.7980379987071,189,5.231546174418691e-07,63.5,USEFUL,ALL(weighted)
3F_R_N,event,c1,120.42425679949399,-15.205882352941176,-135.63013915243516,1025.0837273064978,68,0.21482683069075803,54.4,ns,kakuban
3F_R_N,event,c2,154.83807716635042,-2.6176470588235294,-157.45572422517395,1089.077824064308,68,0.2334499292828195,57.4,ns,hist
3F_R_N,event,c3,108.1553605313093,-16.41176470588235,-124.56712523719165,836.654034537299,68,0.44864027960928776,47.1,ns,DD*kakuban
3F_R_N,event,c4,-9.076850094876654,-60.5,-51.42314990512334,853.4293907653886,68,0.6733065003847468,54.4,ns,dow*kakuban
3F_R_N,event,c5,148.62167931688805,-1.1470588235294117,-149.76873814041747,1012.6481050409135,68,0.22168089262955015,55.9,ns,last_digit
3F_R_N,event,c6,23.180028462998113,-42.705882352941174,-65.88591081593928,826.1470603874425,68,0.7974606719126218,51.5,ns,zorome
3F_R_N,event,composite,148.62167931688805,-1.1470588235294117,-149.76873814041747,1012.6481050409135,68,0.22168089262955015,55.9,ns,ALL(weighted)
3F_R_N,non_event,c1,132.61455310917677,33.925925925925924,-98.68862718325083,902.8018988050793,189,0.04197787169665532,56.1,maybe,kakuban
3F_R_N,non_event,c2,155.16507367582636,40.835978835978835,-114.32909483984753,859.8977507649936,189,0.010559510796725976,59.8,maybe,hist
3F_R_N,non_event,c3,1.2705239802014,-16.53968253968254,-17.810206519883945,832.4412997036816,189,0.8786245550622308,49.7,ns,DD*kakuban
3F_R_N,non_event,c4,122.49280309495364,27.735449735449734,-94.7573533595039,851.0887023700078,189,0.03571684102220894,56.6,maybe,dow*kakuban
3F_R_N,non_event,c5,61.62189224554817,5.26984126984127,-56.352050975706895,862.81437056796,189,0.37827024212042537,53.4,ns,last_digit
3F_R_N,non_event,c6,35.11699948796722,-2.3915343915343916,-37.50853387950161,839.6412548342884,189,0.475370946605862,50.8,ns,zorome
3F_R_N,non_event,composite,62.14723786766798,5.470899470899471,-56.676338396768514,862.6932935669676,189,0.37183609330523903,53.4,ns,ALL(weighted)
