index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
5,3F_R_N,1392.0,152.710843373494,54.0,107.91363484982479,1239.289156626506,3.0,4.284000000000001,5.0,3.5700000000000003,10.0,2.856,14.0,2.0193939393939395,12.0,2.38,9.0,2.856,2025-10-14,v9c_percentile,90,non_event,bottom50
0,2F_L_N,-40.0,105.12048192771084,36.0,98.88096899859444,-145.12048192771084,0.0,0.0,1.0,0.7140000000000001,4.0,1.1424,8.0,1.109126213592233,6.0,1.2417391304347827,3.0,0.9520000000000001,2025-10-15,v9c_percentile,90,non_event,top50
1,2F_R_N,-266.0,122.13855421686748,32.0,97.3503553577367,-388.1385542168675,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,7.0,0.9704854368932039,5.0,1.0347826086956522,3.0,0.9520000000000001,2025-10-15,v9c_percentile,90,non_event,top50
2,3F_L_A,138.0,91.71686746987952,38.0,97.17534660550899,46.28313253012048,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.41592233009708734,0.0,0.0,0.0,0.0,2025-10-15,v9c_percentile,90,non_event,top50
3,3F_L_N,44.0,98.79518072289157,30.0,95.9175483589639,-54.79518072289157,0.0,0.0,2.0,1.4280000000000002,4.0,1.1424,8.0,1.109126213592233,6.0,1.2417391304347827,3.0,0.9520000000000001,2025-10-15,v9c_percentile,90,non_event,top50
4,3F_R_A,86.0,95.63253012048193,38.0,94.6970568568901,-9.632530120481931,0.0,0.0,0.0,0.0,1.0,0.2856,3.0,0.41592233009708734,1.0,0.20695652173913046,1.0,0.31733333333333336,2025-10-15,v9c_percentile,90,non_event,top50
5,3F_R_N,-856.0,166.56626506024097,28.000000000000004,92.67434654760436,-1022.566265060241,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,4.0,0.5545631067961165,4.0,0.8278260869565218,3.0,0.9520000000000001,2025-10-15,v9c_percentile,90,non_event,top50
0,2F_L_N,726.0,47.43975903614458,46.0,106.68825256771744,678.5602409638554,3.0,4.284000000000001,4.0,2.8560000000000003,6.0,1.7136,11.0,1.5250485436893204,7.0,1.4486956521739132,6.0,1.9040000000000001,2025-10-15,v9c_percentile,90,non_event,bottom50
1,2F_R_N,568.0,59.33734939759036,44.0,103.1393158575479,508.66265060240966,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,10.0,1.3864077669902912,6.0,1.2417391304347827,6.0,1.9040000000000001,2025-10-15,v9c_percentile,90,non_event,bottom50
2,3F_L_A,-42.0,105.2710843373494,36.0,96.8483027237732,-147.2710843373494,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.41592233009708734,0.0,0.0,0.0,0.0,2025-10-15,v9c_percentile,90,non_event,bottom50
3,3F_L_N,-100.0,109.63855421686748,38.0,95.59155196680518,-209.63855421686748,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,10.0,1.3864077669902912,8.0,1.6556521739130436,3.0,0.9520000000000001,2025-10-15,v9c_percentile,90,non_event,bottom50
4,3F_R_A,250.0,83.28313253012048,44.0,97.95479189600408,166.7168674698795,0.0,0.0,0.0,0.0,1.0,0.2856,5.0,0.6932038834951456,2.0,0.4139130434782609,1.0,0.31733333333333336,2025-10-15,v9c_percentile,90,non_event,bottom50
5,3F_R_N,-536.0,142.46987951807228,28.000000000000004,94.20554255521256,-678.4698795180723,1.0,1.4280000000000002,3.0,2.1420000000000003,5.0,1.428,6.0,0.8318446601941747,5.0,1.0347826086956522,5.0,1.5866666666666667,2025-10-15,v9c_percentile,90,non_event,bottom50
0,2F_L_N,690.0,145.33132530120483,44.0,103.7356070233533,544.6686746987951,1.0,1.4280000000000002,1.0,0.7140000000000001,7.0,1.9992,12.0,1.9253932584269662,8.0,1.8425806451612905,4.0,1.393170731707317,2025-10-16,v9c_percentile,90,non_event,top50
1,2F_R_N,208.0,181.6265060240964,42.0,98.71734802499358,26.373493975903614,0.0,0.0,2.0,1.4280000000000002,3.0,0.8568,5.0,0.802247191011236,4.0,0.9212903225806452,3.0,1.0448780487804878,2025-10-16,v9c_percentile,90,non_event,top50
2,3F_L_A,-34.0,199.84939759036143,32.0,95.35357729865221,-233.84939759036143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3208988764044944,0.0,0.0,0.0,0.0,2025-10-16,v9c_percentile,90,non_event,top50
3,3F_L_N,-370.0,225.15060240963857,28.000000000000004,87.75297803996615,-595.1506024096386,0.0,0.0,1.0,0.7140000000000001,1.0,0.2856,5.0,0.802247191011236,2.0,0.4606451612903226,1.0,0.34829268292682924,2025-10-16,v9c_percentile,90,non_event,top50
4,3F_R_A,-20.0,198.79518072289156,28.000000000000004,95.58230075785617,-218.79518072289156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16,v9c_percentile,90,non_event,top50
5,3F_R_N,784.0,138.25301204819277,38.0,106.92071652148626,645.7469879518072,3.0,4.284000000000001,5.0,3.5700000000000003,11.0,3.1416,14.0,2.2462921348314606,11.0,2.5335483870967743,9.0,3.1346341463414635,2025-10-16,v9c_percentile,90,non_event,top50
0,2F_L_N,-36.0,200.0,40.0,97.85792596537836,-236.0,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,6.0,0.9626966292134831,3.0,0.6909677419354839,2.0,0.6965853658536585,2025-10-16,v9c_percentile,90,non_event,bottom50
1,2F_R_N,16.0,196.0843373493976,40.0,95.22813495718611,-180.0843373493976,0.0,0.0,0.0,0.0,3.0,0.8568,6.0,0.9626966292134831,4.0,0.9212903225806452,2.0,0.6965853658536585,2025-10-16,v9c_percentile,90,non_event,bottom50
2,3F_L_A,112.0,188.85542168674698,46.0,98.40774328169402,-76.85542168674698,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3208988764044944,0.0,0.0,0.0,0.0,2025-10-16,v9c_percentile,90,non_event,bottom50
3,3F_L_N,-46.0,200.75301204819277,32.0,90.26590769022259,-246.75301204819277,1.0,1.4280000000000002,3.0,2.1420000000000003,5.0,1.428,6.0,0.9626966292134831,5.0,1.1516129032258065,5.0,1.7414634146341463,2025-10-16,v9c_percentile,90,non_event,bottom50
4,3F_R_A,252.0,178.3132530120482,36.0,96.50642049831161,73.6867469879518,0.0,0.0,0.0,0.0,1.0,0.2856,2.0,0.3208988764044944,1.0,0.2303225806451613,1.0,0.34829268292682924,2025-10-16,v9c_percentile,90,non_event,bottom50
5,3F_R_N,374.0,169.1265060240964,50.0,108.901736988317,204.8734939759036,1.0,1.4280000000000002,2.0,1.4280000000000002,7.0,1.9992,11.0,1.7649438202247192,8.0,1.8425806451612905,5.0,1.7414634146341463,2025-10-16,v9c_percentile,90,non_event,bottom50
0,2F_L_N,-20.0,110.99397590361446,38.0,99.11769409771506,-130.99397590361446,0.0,0.0,1.0,0.7140000000000001,5.0,1.428,9.0,1.224,5.0,1.0056338028169014,5.0,1.428,2025-10-17,v9c_percentile,90,event,top50
1,2F_R_N,144.0,98.644578313253,42.0,98.29073113134757,45.35542168674699,0.0,0.0,1.0,0.7140000000000001,2.0,0.5712,7.0,0.9520000000000001,4.0,0.8045070422535211,2.0,0.5712,2025-10-17,v9c_percentile,90,event,top50
2,3F_L_A,56.0,105.2710843373494,42.0,98.19095151892886,-49.27108433734939,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.544,2.0,0.40225352112676055,0.0,0.0,2025-10-17,v9c_percentile,90,event,top50
3,3F_L_N,-432.0,142.01807228915663,34.0,96.52689551672232,-574.0180722891566,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,6.0,0.8160000000000001,6.0,1.2067605633802816,2.0,0.5712,2025-10-17,v9c_percentile,90,event,top50
4,3F_R_A,-90.0,116.26506024096386,34.0,97.19941052195459,-206.26506024096386,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.272,0.0,0.0,0.0,0.0,2025-10-17,v9c_percentile,90,event,top50
5,3F_R_N,494.0,72.28915662650603,42.0,103.37642422407802,421.71084337349396,2.0,2.8560000000000003,3.0,2.1420000000000003,9.0,2.5704,12.0,1.6320000000000001,10.0,2.011267605633803,9.0,2.5704,2025-10-17,v9c_percentile,90,event,top50
0,2F_L_N,152.0,98.0421686746988,52.0,98.32940501443979,53.9578313253012,0.0,0.0,0.0,0.0,3.0,0.8568,7.0,0.9520000000000001,4.0,0.8045070422535211,3.0,0.8568,2025-10-17,v9c_percentile,90,event,bottom50
1,2F_R_N,404.0,79.06626506024097,40.0,103.03060063299107,324.933734939759,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,9.0,1.224,6.0,1.2067605633802816,6.0,1.7136,2025-10-17,v9c_percentile,90,event,bottom50
2,3F_L_A,120.0,100.45180722891567,44.0,98.41772671442415,19.54819277108433,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.40800000000000003,1.0,0.20112676056338027,0.0,0.0,2025-10-17,v9c_percentile,90,event,bottom50
3,3F_L_N,1280.0,13.102409638554217,57.99999999999999,109.58776283564326,1266.8975903614457,1.0,1.4280000000000002,4.0,2.8560000000000003,9.0,2.5704,16.0,2.176,14.0,2.815774647887324,9.0,2.5704,2025-10-17,v9c_percentile,90,event,bottom50
4,3F_R_A,-52.0,113.40361445783132,44.0,97.0555270437626,-165.40361445783134,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.272,1.0,0.20112676056338027,0.0,0.0,2025-10-17,v9c_percentile,90,event,bottom50
5,3F_R_N,-702.0,162.34939759036143,30.0,94.36548787039823,-864.3493975903614,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,8.0,1.088,6.0,1.2067605633802816,3.0,0.8568,2025-10-17,v9c_percentile,90,event,bottom50
0,2F_L_N,-824.0,47.13855421686747,36.0,92.48842916550134,-871.1385542168674,0.0,0.0,0.0,0.0,1.0,0.2856,3.0,0.47076923076923083,1.0,0.238,1.0,0.33209302325581397,2025-10-18,v9c_percentile,90,non_event,top50
1,2F_R_N,-462.0,19.879518072289155,34.0,95.76395770664084,-481.87951807228916,0.0,0.0,0.0,0.0,3.0,0.8568,5.0,0.7846153846153847,4.0,0.952,3.0,0.9962790697674418,2025-10-18,v9c_percentile,90,non_event,top50
2,3F_L_A,34.0,-17.46987951807229,38.0,98.43008969932285,51.46987951807229,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3138461538461539,0.0,0.0,0.0,0.0,2025-10-18,v9c_percentile,90,non_event,top50
3,3F_L_N,-296.0,7.379518072289157,36.0,104.38400067215443,-303.37951807228916,0.0,0.0,3.0,2.1420000000000003,3.0,0.8568,4.0,0.6276923076923078,3.0,0.714,3.0,0.9962790697674418,2025-10-18,v9c_percentile,90,non_event,top50
4,3F_R_A,448.0,-48.644578313253014,60.0,100.02760567075237,496.644578313253,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.47076923076923083,1.0,0.238,0.0,0.0,2025-10-18,v9c_percentile,90,non_event,top50
5,3F_R_N,-632.0,32.68072289156626,40.0,97.94160000204084,-664.6807228915662,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,5.0,0.7846153846153847,4.0,0.952,3.0,0.9962790697674418,2025-10-18,v9c_percentile,90,non_event,top50
0,2F_L_N,686.0,-66.56626506024097,52.0,104.2188351308328,752.566265060241,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,10.0,1.5692307692307694,7.0,1.666,5.0,1.6604651162790698,2025-10-18,v9c_percentile,90,non_event,bottom50
