日付,曜日,店舗,島/台番,機種,レート,差枚,台数,勝率,末尾,コメント,矛盾フラグ
2025.10.31,金曜日,蒲田7,,ファンキー2,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,シャーマンキング,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,真一騎当千,S,417900,715,330/715,,,
2025.10.31,金曜日,蒲田7,,DMC5ST,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,主役は銭形5,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,東京リベンジャーズ,S,142200,350,153/350,,,
2025.10.31,金曜日,蒲田7,,レヴュースタァライト,S,142200,350,153/350,,,
2025.11.01,土曜日,蒲田7,,東京喰種,B,67300,715,256/715,,,
2025.11.02,日曜日,蒲田7,,防振り,A,145600,715,321/715,,,
2025.11.02,日曜日,蒲田7,,バジ絆2天膳,A,145600,715,321/715,,,
2025.11.02,日曜日,蒲田7,,真一騎当千,A,145600,715,321/715,,,
2025.11.02,日曜日,蒲田7,,クランキークレスト,A,145600,715,321/715,,,
2025.11.02,日曜日,蒲田7,,戦国乙女4,S,159400,350,167/350,,,
2025.11.02,日曜日,蒲田7,,沖ドキゴージャス-30,S,159400,350,167/350,,,
2025.11.02,日曜日,蒲田7,,HEYエリート鏡,S,159400,350,167/350,①⑨ゾロ②,,
2025.11.06,木曜日,蒲田7,,かぐや様,A,150800,715,267/715,,,
2025.11.06,木曜日,蒲田7,,レールガン2,A,150800,715,267/715,,,
2025.11.08,土曜日,蒲田7,,ヴヴヴ,A,185200,715,291/715,,,
2025.11.08,土曜日,蒲田7,,スマスロ炎炎,A,185200,715,291/715,,,
2025.11.08,土曜日,蒲田7,,防振り,A,185200,715,291/715,,,
2025.11.08,土曜日,蒲田7,,バジ絆2天膳,A,185200,715,291/715,,,
2025.11.09,日曜日,蒲田7,,防振り,B,89200,715,282/715,,,
2025.11.09,日曜日,蒲田7,,アズールレーン,C,-16800,350,132/350,,,
2025.11.11,火曜日,蒲田7,,SBJ,B,101300,715,275/715,,,
2025.11.11,火曜日,蒲田7,,SAO,B,101300,715,275/715,,,
2025.11.12,水曜日,蒲田7,,アズールレーン,A,256200,715,326/715,,,
2025.11.12,水曜日,蒲田7,,絶対衝激Ⅳ,A,256200,715,326/715,,,
2025.11.12,水曜日,蒲田7,,ゴージャグ3,A,256200,715,326/715,ゾロ③,,
2025.11.12,水曜日,蒲田1,,防振り,S,157300,350,161/350,,,
2025.11.12,水曜日,蒲田1,,DMC5ST,S,157300,350,161/350,,,
2025.11.12,水曜日,蒲田1,,かぐや様,S,157300,350,161/350,,,
2025.11.12,水曜日,蒲田1,,ダリフラ,S,157300,350,161/350,,,
2025.11.16,日曜日,蒲田7,,ファンキー2,B,97000,715,288/715,,,
2025.11.16,日曜日,蒲田7,,ファンキー2,B,97700,715,288/715,,,
2025.11.16,日曜日,蒲田7,,ファンキー2,A,110700,350,159/350,,,
2025.11.16,日曜日,蒲田7,,レールガン2,A,110700,350,159/350,,,
2025.11.16,日曜日,蒲田7,,SAO,A,110700,350,159/350,②,,
2025.11.18,火曜日,蒲田7,,ToLOVEるTRANCE,A,161000,715,312/715,,,
2025.11.18,火曜日,蒲田7,,バイオ5,A,161000,715,312/715,,,
2025.11.18,火曜日,蒲田7,,ハッピーVⅢ,A,161000,715,312/715,,,
2025.11.18,火曜日,蒲田7,,真一騎当千,A,161000,715,312/715,,,
2025.11.23,日曜日,蒲田7,,いざ！番長,A,117300,350,153/350,,,
2025.11.23,日曜日,蒲田7,,甲鉄城のカバネリ,A,117300,350,153/350,,,
2025.11.23,日曜日,蒲田7,,エヴァ約束の扉,A,117300,350,153/350,ゾロ②,,
2025.11.23,日曜日,蒲田7,,いざ！番長,A,117300,350,153/350,,,
2025.11.23,日曜日,蒲田7,,甲鉄城のカバネリ,A,117300,350,153/350,,,
2025.11.23,日曜日,蒲田7,,エヴァ約束の扉,A,117300,350,153/350,ゾロ②,,
2025.11.28,金曜日,蒲田7,,いざ！番長,A,271000,715,300/715,,,
2025.11.28,金曜日,蒲田7,,SBJ,A,271000,715,300/715,,,
2025.11.28,金曜日,蒲田7,,主役は銭形5,A,271000,715,300/715,,,
2025.11.28,金曜日,蒲田7,,ネオプラネット,C,-32100,350,122/350,,,
2025.12.01,月曜日,蒲田1,,マイⅤ,B,50100,350,155/350,,,
2025.12.01,月曜日,蒲田1,,エヴァ約束の扉,B,50100,350,155/350,,,
2025.12.01,月曜日,蒲田1,,マイⅤ,B,50100,350,155/350,,,
2025.12.01,月曜日,蒲田1,,エヴァ約束の扉,B,50100,350,155/350,,,
2025.12.01,月曜日,蒲田1,,吉宗,A,146300,715,306/715,,,
2025.12.01,月曜日,蒲田1,,レールガン2,A,146300,715,306/715,,,
2025.12.01,月曜日,蒲田1,,エウレカART,A,146300,715,306/715,,,
2025.12.01,月曜日,蒲田1,,北斗の拳,A,146300,715,306/715,,,
2025.12.01,月曜日,蒲田1,,ジャグラーガールズ,A,146300,715,306/715,,,
2025.12.01,月曜日,蒲田1,,咲頂上決戦,A,146300,715,306/715,,,
2025.12.02,火曜日,蒲田1,,チバリヨ2プラス,C,-14200,350,126/350,,,
2025.12.02,火曜日,蒲田1,,ToLOVEるTRANCE,B,91200,715,276/715,,,
2025.12.02,火曜日,蒲田1,,からくりサーカス,B,91200,715,276/715,,,
2025.12.02,火曜日,蒲田1,,シャーマンキング,B,91200,715,276/715,,,
2025.12.04,木曜日,蒲田7,,ゾンビランドサガ,A,181800,715,283/715,,,
2025.12.06,土曜日,蒲田7,,SAO,C,-500,715,252/715,,,
2025.12.06,土曜日,蒲田7,,咲-Saki-頂上決戦,C,-500,715,252/715,,,
2025.12.07,日曜日,蒲田7,,レヴュースタァライト,S,286100,715,289/715,,,
2025.12.07,日曜日,蒲田7,,スマスロ炎炎,S,286100,715,289/715,,,
2025.12.07,日曜日,蒲田7,,シャーマンキング,S,286100,715,289/715,,,
2025.12.07,日曜日,蒲田7,,バジ絆2天膳,S,286100,715,289/715,,,
2025.12.07,日曜日,蒲田7,,ガルパン最終章,S,286100,715,289/715,⑤,,
2025.12.07,日曜日,蒲田7,,モンキーⅤ,S,154600,350,155/350,⑥①,,
2025.12.08,月曜日,蒲田7,,DMC5ST,A,233600,715,315/715,,,
2025.12.08,月曜日,蒲田7,,東リベ,A,233600,715,315/715,,,
2025.12.08,月曜日,蒲田7,,ジャグガール,A,233600,715,315/715,,,
2025.12.08,月曜日,蒲田7,,スマスロ炎炎,A,233600,715,315/715,,,
2025.12.08,月曜日,蒲田7,,この素晴！,A,233600,715,315/715,②,,
2025.12.13,土曜日,蒲田7,,戦国乙女4,A,270000,715,304/715,,,
2025.12.13,土曜日,蒲田7,,甲鉄城のカバネリ,A,270000,715,304/715,,,
2025.12.13,土曜日,蒲田7,,ネオプラネット,A,270000,715,304/715,,,
2025.12.13,土曜日,蒲田7,,ToLOVEるTRANCE,A,270000,715,304/715,③,,
2025.12.14,日曜日,蒲田7,,キングハナハナ-30,B,31800,715,283/715,,,
2025.12.14,日曜日,蒲田7,,ガルパン最終章,B,31800,715,283/715,,,
2025.12.14,日曜日,蒲田7,,キングハナハナ-30,B,31800,715,283/715,,,
2025.12.14,日曜日,蒲田7,,ガルパン最終章,B,31800,715,283/715,,,
2025.12.16,火曜日,蒲田7,,アズールレーン,B,106100,715,264/715,,,
2025.12.16,火曜日,蒲田7,,ダリフラ,B,106100,715,264/715,,,
2025.12.16,火曜日,蒲田7,,バンドリ！,B,106100,715,264/715,,,
2025.12.21,日曜日,蒲田7,,銀河英雄伝説DNT,C,-61300,715,279/715,,,
2025.12.21,日曜日,蒲田7,,クレアの秘宝伝BT,D,-77800,350,129/350,,,
2025.12.24,水曜日,蒲田7,,レールガン2,B,100100,715,254/715,,,
2025.12.24,水曜日,蒲田7,,この素晴！,B,100100,715,254/715,,,
2025.12.26,金曜日,蒲田7,,ハッピーVⅢ,B,97200,715,273/715,,,
2025.12.28,日曜日,蒲田7,,マギアレコード,A,234700,715,339/715,,,
2025.12.28,日曜日,蒲田7,,シェイクBT,A,234700,715,339/715,,,
2025.12.28,日曜日,蒲田7,,プリズムナナ,A,234700,715,339/715,,,
2025.12.31,水曜日,蒲田1,,新鬼武者3,B,62700,350,147/350,,,
2025.12.31,水曜日,蒲田1,,マイⅤ,B,62700,350,147/350,,,
2025.12.31,水曜日,蒲田7,,ToLOVEるTRANCE,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,アズールレーン,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,アレックスブライト,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,ゾンビランドサガ,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,カバネリ,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,ウルトラミラクル,B,123900,715,305/715,,,
2025.12.31,水曜日,蒲田7,,新鬼武者3,B,62700,350,147/350,,,
2025.12.31,水曜日,蒲田7,,マイⅤ,B,62700,350,147/350,,,
2026.01.04,日曜日,蒲田7,,モンキーⅤ,B,39300,715,277/715,,,
2026.01.06,火曜日,蒲田7,,モンハンライズ,S,321500,715,298/715,,,
2026.01.06,火曜日,蒲田7,,バジ絆2天膳,S,321500,715,298/715,①,,
2026.01.08,木曜日,蒲田7,,ガルパン最終章,A,249600,715,308/715,,,
2026.01.08,木曜日,蒲田7,,ToLOVEるTRANCE,A,249600,715,308/715,,,
2026.01.11,日曜日,蒲田7,,北斗の拳,A,174700,715,294/715,,,
2026.01.11,日曜日,蒲田7,,防振り,B,6000,350,141/350,⑤,,
2026.01.12,月曜日,蒲田1,,東リベ,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,吉宗,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,北斗の拳,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,クレアの秘宝伝BT,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,レールガン2,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,DMC5ST,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,甲鉄城のカバネリ,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,東リベ,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,吉宗,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,北斗の拳,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,クレアの秘宝伝BT,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,レールガン2,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,DMC5ST,A,86300,350,152/350,,,
2026.01.12,月曜日,蒲田1,,甲鉄城のカバネリ,A,86300,350,152/350,,,
2026.01.14,水曜日,蒲田7,,バンドリ！,C,-110200,715,241/715,,,
2026.01.14,水曜日,蒲田7,,この素晴！,C,-110200,715,241/715,,,
2026.01.18,日曜日,蒲田7,,吉宗,B,82400,715,316/715,,,
2026.01.18,日曜日,蒲田7,,レールガン2,B,82400,715,316/715,,,
2026.01.18,日曜日,蒲田7,,SBJ,B,82400,715,316/715,,,
2026.01.18,日曜日,蒲田7,,バンドリ！,B,82400,715,316/715,,,
2026.01.23,金曜日,蒲田7,,からくりサーカス,A,154300,715,289/715,⓪③⑦,,
2026.01.24,土曜日,蒲田7,,防振り,B,6600,715,254/715,,,
2026.01.24,土曜日,蒲田7,,ガルパン最終章,B,6600,715,254/715,,,
2026.01.25,日曜日,蒲田7,,かぐや様,A,149400,715,293/715,,,
2026.01.28,水曜日,蒲田7,,七つの魔剣,A,238400,715,315/715,,,
2026.01.31,土曜日,蒲田1,,ToLOVEるTRANCE,B,59800,350,133/350,,,
2026.01.31,土曜日,蒲田1,,ToLOVEるTRANCE,B,59800,350,133/350,,,
2026.01.31,土曜日,蒲田1,,東京リベンジャーズ,A,161800,715,303/715,,,
2026.02.01,日曜日,蒲田7,,アレックスブライト,D,-237000,715,248/715,,,
2026.02.01,日曜日,蒲田7,,バンドリ！,D,-237000,715,248/715,,,
2026.02.02,月曜日,蒲田1,,北斗の拳,C,-16500,350,141/350,,,
2026.02.03,火曜日,蒲田7,,スマスロ炎炎,B,74500,715,280/715,,,
2026.02.03,火曜日,蒲田7,,防振り,B,74500,715,280/715,,,
2026.02.03,火曜日,蒲田7,,エウレカART,B,74500,715,280/715,①,,
2026.02.06,金曜日,蒲田7,,からくりサーカス,B,87000,715,275/715,,,
2026.02.06,金曜日,蒲田7,,レールガン2,B,87000,715,275/715,,,
2026.02.06,金曜日,蒲田7,,この素晴！,B,87000,715,275/715,,,
2026.02.08,日曜日,蒲田7,,無職転生,A,152400,715,327/715,,,
2026.02.08,日曜日,蒲田7,,モンハンライズ,A,152400,715,327/715,,,
2026.02.08,日曜日,蒲田7,,ガルパン最終章,A,152400,715,327/715,,,
2026.02.08,日曜日,蒲田7,,ジャグラーガールズ,A,152400,715,327/715,,,
2026.02.08,日曜日,蒲田7,,バンドリ！,A,152400,715,327/715,,,
2026.02.12,木曜日,蒲田1,,マイⅤ,B,49800,350,150/350,,,
2026.02.12,木曜日,蒲田1,,マイⅤ,B,49800,350,150/350,,,
2026.02.15,日曜日,蒲田7,,ヴヴヴ,B,96700,715,310/715,,,
2026.02.15,日曜日,蒲田7,,ファンキー2,B,96700,715,310/715,,,
2026.02.15,日曜日,蒲田7,,シャーマンキング,B,96700,715,310/715,,,
2026.02.15,日曜日,蒲田7,,ファンキー2,C,-13500,350,139/350,,,
2026.02.18,水曜日,蒲田7,,七つの魔剣,B,30500,715,277/715,,,
2026.02.23,月曜日,蒲田1,,東リベ,A,71200,350,159/350,,,
2026.02.28,土曜日,蒲田1,,スマスロ秘宝伝,C,-4600,715,278/715,,,
2026.02.28,土曜日,蒲田1,,甲鉄城のカバネリ,C,-4600,715,278/715,,,
2026.03.01,日曜日,蒲田7,,カバネリ,S,369300,715,350/715,,,
2026.03.01,日曜日,蒲田7,,マイⅤ,S,369300,715,350/715,,,
2026.03.01,日曜日,蒲田7,,東リベ,B,32300,350,140/350,,,
2026.03.01,日曜日,蒲田7,,ファンキー2,B,32300,350,140/350,,,
2026.03.12,木曜日,蒲田1,,東京喰種,A,94300,350,145/350,,,
2026.03.12,木曜日,蒲田1,,SAO,A,94300,350,145/350,ゾロ,,
2026.03.12,木曜日,蒲田1,,東京喰種,A,94300,350,145/350,,,
2026.03.12,木曜日,蒲田1,,SAO,A,94300,350,145/350,ゾロ,,
2026.03.12,木曜日,蒲田1,,東京喰種,A,94300,350,145/350,,,
2026.03.12,木曜日,蒲田1,,SAO,A,94300,350,145/350,ゾロ,,
2026.03.23,月曜日,蒲田1,,炎炎ノ消防隊2,B,12500,350,143/350,,,
2026.03.23,月曜日,蒲田1,,無職転生,B,12500,350,143/350,,,
2026.03.29,日曜日,蒲田7,,戦国乙女4,A,224100,715,312/715,,,
2026.03.29,日曜日,蒲田7,,ガルパン最終章,A,224100,715,312/715,,,
2026.03.29,日曜日,蒲田7,,バンドリ！,A,224100,715,312/715,⑤③,,
2026.03.31,火曜日,蒲田1,,ジャグガール,B,32300,350,134/350,,,
2026.03.31,火曜日,蒲田1,,ミスタージャグ,B,32300,350,134/350,,,
2026.03.31,火曜日,蒲田1,,吉宗,B,32300,350,134/350,,,
2026.03.31,火曜日,蒲田7,,ガルパン最終章,A,192000,715,323/715,,,
2026.03.31,火曜日,蒲田7,,グランベルム,A,192000,715,323/715,⑦,,
2026.03.31,火曜日,蒲田7,,ジャグガール,B,32300,350,134/350,,,
2026.03.31,火曜日,蒲田7,,ミスタージャグ,B,32300,350,134/350,,,
2026.03.31,火曜日,蒲田7,,吉宗,B,32300,350,134/350,,,
2026.04.02,木曜日,蒲田7,,ファンキー2,A,182500,715,306/715,,,
2026.04.12,日曜日,蒲田7,,東リベ,A,192400,715,322/715,,,
2026.04.12,日曜日,蒲田7,,新鬼武者3,A,192400,715,322/715,,,
2026.04.12,日曜日,蒲田7,,プリズムナナ,A,192400,715,322/715,,,
2026.04.19,日曜日,蒲田7,,かぐや様,C,-64100,350,122/350,,,
2026.04.19,日曜日,蒲田7,,攻殻機動隊,C,-64100,350,122/350,⑨,,
2026.04.26,日曜日,蒲田1,,鉄拳6,B,36200,715,292/715,,,
2026.05.01,金曜日,蒲田1,,モンハンライズ,S,153400,350,166/350,,,
2026.05.01,金曜日,蒲田1,,炎炎ノ消防隊2,S,153400,350,166/350,,,
2026.05.01,金曜日,蒲田1,,ファンキー2,S,153400,350,166/350,,,
2026.05.01,金曜日,蒲田1,,防振り,S,153400,350,166/350,,,
2026.05.01,金曜日,蒲田1,,SAO,S,153400,350,166/350,,,
2026.05.02,土曜日,蒲田7,,甲鉄城のカバネリ,A,204400,715,314/715,,,
2026.05.03,日曜日,蒲田1,,かぐや様,A,74300,350,151/350,,,
2026.05.03,日曜日,蒲田1,,攻殻機動隊,A,74300,350,151/350,,,
2026.05.03,日曜日,蒲田1,,バジ絆2天膳,A,74300,350,151/350,⑥,,
2026.05.03,日曜日,蒲田1,,カバネリ海門,A,276500,715,317/715,,,
2026.05.10,日曜日,蒲田1,,ハッピーVⅢ,C,-35600,350,140/350,,,
2026.05.10,日曜日,蒲田1,,ファンキー2,B,47800,715,296/715,,,
2026.05.12,火曜日,蒲田1,,北斗転生2,S,207800,350,150/350,,,
2026.05.12,火曜日,蒲田1,,東リベ,S,207800,350,150/350,⑦③,,
2026.05.17,日曜日,蒲田1,,DMC5ST,D,-99600,350,130/350,,,
2026.05.17,日曜日,蒲田1,,ヴヴヴ,A,177000,715,301/715,,,
2026.05.24,日曜日,蒲田1,,SBJ,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,マギレコ,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,レヴュースタァライト,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,SAO,A,109200,350,153/350,⑥ゾロ,,
2026.05.24,日曜日,蒲田1,,SBJ,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,マギレコ,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,レヴュースタァライト,A,109200,350,153/350,,,
2026.05.24,日曜日,蒲田1,,SAO,A,109200,350,153/350,⑥ゾロ,,
2026.05.24,日曜日,蒲田1,,ウルトラミラクル,C,-63300,715,290/715,,,
2026.05.24,日曜日,蒲田1,,エウレカART,C,-63300,715,290/715,,,
2026.05.24,日曜日,蒲田1,,この素晴！,C,-63300,715,290/715,,,
2026.05.31,日曜日,蒲田1,,ジャグガール,A,79300,350,162/350,,,
2026.05.31,日曜日,蒲田1,,ToLOVEるTRANCE,A,79300,350,162/350,,,
2026.05.31,日曜日,蒲田1,,ビッグドリーム,A,79300,350,162/350,,,
2026.05.31,日曜日,蒲田1,,シャーマンキング,A,79300,350,162/350,,,
2026.05.31,日曜日,蒲田1,,かぐや様,A,79300,350,162/350,,,
2026.05.31,日曜日,蒲田1,,シャーマンキング,S,362000,715,341/715,,,
2026.05.31,日曜日,蒲田1,,マイⅤ,S,362000,715,341/715,⑤,,
