hall,machine_name,event_type,n_event_days,n_normal_days,hit104_rate_event,hit104_rate_normal,hit104_gap,hit104_chi2_p,hit104_cramers_v,bottom3_rate_event,bottom3_rate_normal,bottom3_gap,bottom3_chi2_p,bottom3_cramers_v,note
蒲田7,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,is_weekend,235,593,37.87234042553192,35.24451939291737,2.6278210326145484,0.47753398988119,0.02468374182302743,0.0,0.33726812816188867,0.33726812816188867,0.37274312971419055,0.030976443857685273,warning: 50.0% of expected cells are below 5
蒲田7,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,is_x_day,241,587,41.078838174273855,33.901192504258944,7.177645670014911,0.05061924717402912,0.067930298084362,0.4149377593360996,0.17035775127768313,-0.24458000805841648,0.5148745330019712,0.022633072020412672,warning: 50.0% of expected cells are below 5
蒲田7,バンドリ！,is_any_event,342,361,37.13450292397661,32.686980609418285,4.447522314558327,0.21611143417927567,0.046651864821594224,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,バンドリ！,is_weekend,200,503,37.0,33.99602385685885,3.003976143141152,0.4507595577326198,0.028443280778097137,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,バンドリ！,is_x_day,206,497,37.86407766990291,33.601609657947684,4.262468011955228,0.2803514136670997,0.04071525472374857,0.0,0.0,0.0,,,insufficient contingency table
蒲田7,ビッグドリーム THE GOLDEN PUSHER,is_any_event,152,161,40.131578947368425,31.67701863354037,8.454560313828054,0.11887340673805609,0.08814926970595728,7.236842105263158,8.695652173913043,1.4588100686498846,0.6342051866853375,0.02689473292373253,
蒲田7,ビッグドリーム THE GOLDEN PUSHER,is_weekend,90,223,46.666666666666664,31.390134529147986,15.276532137518679,0.010713737056725407,0.14424189661652068,4.444444444444445,9.417040358744394,4.97259591429995,0.1418869415389265,0.08302150593597346,
蒲田7,ビッグドリーム THE GOLDEN PUSHER,is_x_day,96,217,34.375,36.405529953917046,-2.0305299539170463,0.7296635148153325,0.019532950248034624,7.291666666666667,8.294930875576037,1.0032642089093704,0.7627157834435342,0.0170653246405157,
蒲田7,モンスターハンターライズ,is_any_event,2703,2808,35.22012578616352,31.801994301994302,3.418131484169219,0.00718789122101668,0.03620894936773374,0.07399186089530152,0.03561253561253561,-0.03837932528276591,0.5414460606979616,0.008225481253241799,warning: 50.0% of expected cells are below 5
蒲田7,モンスターハンターライズ,is_weekend,1559,3952,35.08659397049391,32.84412955465587,2.242464415838036,0.1120984112543935,0.021402409545380013,0.06414368184733803,0.05060728744939271,-0.013536394397945316,0.8461442567261337,0.002613827554665374,warning: 50.0% of expected cells are below 5
蒲田7,モンスターハンターライズ,is_x_day,1592,3919,35.23869346733669,32.763460066343455,2.4752334009932326,0.07759696444078794,0.02377283109221604,0.06281407035175879,0.05103342689461597,-0.011780643457142817,0.8650603469394815,0.002289130661369521,warning: 50.0% of expected cells are below 5
蒲田7,ヨルムンガンド,is_any_event,170,163,29.411764705882355,29.447852760736197,-0.03608805485384181,0.9942364088028622,0.00039585375426122845,0.5882352941176471,1.8404907975460123,1.2522555034283651,0.2943672245863751,0.057462334676344755,warning: 50.0% of expected cells are below 5
蒲田7,ヨルムンガンド,is_weekend,95,238,30.526315789473685,28.991596638655466,1.5347191508182192,0.7814004472426679,0.015206603584944025,1.0526315789473684,1.2605042016806722,0.20787262273330387,0.8750617784371004,0.008616276597507268,warning: 50.0% of expected cells are below 5
蒲田7,ヨルムンガンド,is_x_day,95,238,28.421052631578945,29.831932773109244,-1.4108801415302992,0.7986435545236757,0.013979557762527779,0.0,1.680672268907563,1.680672268907563,0.2036433449788519,0.06966351291601619,warning: 50.0% of expected cells are below 5
