day_of_week,seg,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
土,A,4,634,346.0,1496.2,49.7,30.8
土,A,5,646,397.0,1532.4,48.6,31.4
土,A,6,631,382.0,1555.6,50.9,32.6
土,A,7,630,377.0,1453.1,51.9,31.3
土,A,8,638,445.0,1610.8,50.2,34.8
土,A,9,611,408.0,1475.5,50.6,32.1
土,A,10,625,284.0,1442.7,48.2,30.2
土,A,11,571,245.0,1439.5,47.6,27.7
土,A,12,582,207.0,1368.6,46.0,27.0
土,A,13,485,266.0,1501.4,47.0,28.0
土,A,14,392,223.0,1430.5,45.7,28.6
土,A,15,290,206.0,1409.5,46.6,29.0
土,A,16,196,302.0,1466.5,51.0,32.1
土,A,17,48,352.0,1246.3,54.2,35.4
土,A,18,45,-218.0,952.6,33.3,15.6
土,A,19,47,177.0,1309.4,46.8,27.7
土,A,20,49,153.0,1297.4,42.9,24.5
土,A,21,46,43.0,1418.2,39.1,26.1
土,A,22,50,184.0,1410.5,54.0,30.0
土,N,1,1943,38.0,3388.0,41.4,34.7
土,N,2,1910,197.0,3435.4,42.1,35.4
土,N,3,1878,180.0,3200.1,42.9,35.6
土,N,4,1801,243.0,3563.4,43.3,37.0
土,N,5,1857,237.0,3387.1,42.5,36.2
土,N,6,1846,317.0,3642.6,43.8,38.2
土,N,7,1872,151.0,3479.2,43.5,35.4
土,N,8,1769,394.0,3578.1,42.8,37.2
土,N,9,1732,228.0,3615.2,43.4,36.9
土,N,10,1543,363.0,3755.2,43.8,37.7
土,N,11,1433,212.0,3566.0,43.3,36.7
土,N,12,1450,-16.0,3462.1,40.7,33.6
土,N,13,1111,85.0,3585.2,41.0,34.7
土,N,14,1004,27.0,3654.9,40.8,34.5
土,N,15,824,-17.0,3592.3,41.0,35.3
土,N,16,571,68.0,3333.5,41.0,36.3
土,N,17,386,82.0,3439.5,40.2,34.2
土,N,18,99,558.0,2964.9,50.5,41.4
土,N,19,50,234.0,2617.4,42.0,38.0
土,N,20,49,737.0,2966.9,51.0,40.8
土,N,21,49,433.0,2529.2,53.1,42.9
土,N,22,50,-562.0,2591.9,32.0,26.0
日,A,1,624,149.0,1491.6,43.8,27.4
日,A,2,594,331.0,1420.4,48.7,29.5
日,A,3,586,382.0,1531.1,47.3,31.7
日,A,4,580,338.0,1404.3,49.1,29.3
日,A,5,583,384.0,1524.3,48.7,32.1
日,A,6,581,338.0,1492.4,47.0,31.0
日,A,7,573,345.0,1426.6,49.6,31.2
日,A,8,584,272.0,1411.3,46.6,30.3
日,A,9,566,414.0,1507.3,50.9,33.4
日,A,10,579,370.0,1516.2,47.2,31.3
日,A,11,531,365.0,1510.9,47.6,32.0
日,A,12,534,396.0,1497.8,52.6,34.1
日,A,13,449,305.0,1476.9,49.2,30.3
日,A,14,358,366.0,1462.2,51.7,31.8
日,A,15,274,312.0,1461.5,48.5,31.8
日,A,16,180,206.0,1401.4,48.9,30.0
日,A,17,41,207.0,1197.0,46.3,29.3
日,A,18,41,629.0,1463.9,65.9,46.3
日,A,19,41,254.0,1302.9,48.8,31.7
日,A,20,37,351.0,1182.0,51.4,32.4
日,A,21,42,186.0,1088.4,47.6,35.7
日,A,22,47,130.0,1356.9,42.6,25.5
日,N,1,1855,-20.0,3242.5,40.6,33.5
日,N,2,1779,247.0,3381.0,44.5,37.6
日,N,3,1740,183.0,3402.2,42.6,35.5
日,N,4,1712,179.0,3387.7,42.3,35.5
日,N,5,1748,345.0,3486.2,43.5,37.1
日,N,6,1723,234.0,3343.7,42.5,35.6
日,N,7,1728,158.0,3294.7,42.5,35.6
日,N,8,1661,370.0,3549.2,43.5,38.2
日,N,9,1639,68.0,3370.1,39.7,33.7
日,N,10,1444,75.0,3372.3,42.4,35.7
日,N,11,1351,276.0,3444.2,43.7,36.3
日,N,12,1357,145.0,3429.8,41.1,35.1
日,N,13,1040,118.0,3406.6,43.7,35.6
日,N,14,952,-9.0,3603.7,39.5,33.6
日,N,15,782,77.0,3695.4,41.7,35.8
日,N,16,533,68.0,3366.4,41.1,36.2
日,N,17,371,362.0,3318.6,43.9,39.6
日,N,18,94,-179.0,2130.7,38.3,25.5
日,N,19,48,627.0,2682.9,47.9,35.4
日,N,20,45,456.0,2815.5,44.4,35.6
日,N,21,47,113.0,2678.1,42.6,38.3
日,N,22,47,583.0,2798.2,44.7,40.4
