entity,machine_type,n_streaks,mean_streak_days,median_streak_days,pct_streak_1day,pct_streak_ge2days
バンドリ！,AT系,24,1.1666666666666667,1.0,87.5,12.5
バーサスリヴァイズ,BT,1,1.0,1.0,100.0,0.0
バーニングエクスプレス,AT系,3,1.0,1.0,100.0,0.0
ビッグドリーム THE GOLDEN PUSHER,AT系,0,0.0,0.0,0.0,0.0
ファンキージャグラー2,A型,3,1.0,1.0,100.0,0.0
プリズムナナ,AT系,6,1.0,1.0,100.0,0.0
マイジャグラーV,A型,2,1.0,1.0,100.0,0.0
マギアレコード 魔法少女まどか☆マギカ外伝,AT系,1,1.0,1.0,100.0,0.0
マジカルハロウィン ボーナストリガー,BT,0,0.0,0.0,0.0,0.0
マジカルハロウィン8,BT,4,1.0,1.0,100.0,0.0
マタドールIII,BT,0,0.0,0.0,0.0,0.0
ミスタージャグラー,A型,0,0.0,0.0,0.0,0.0
ミリオンゴッド‐神々の軌跡‐,AT系,0,0.0,0.0,0.0,0.0
モンキーターンV,AT系,1,1.0,1.0,100.0,0.0
モンスターハンターライズ,AT系,8,1.0,1.0,100.0,0.0
ヨルムンガンド,AT系,0,0.0,0.0,0.0,0.0
ラブ嬢3～Wご指名はいかがですか?～,AT系,2,1.0,1.0,100.0,0.0
ルパン三世 大航海者の秘宝,AT系,2,1.0,1.0,100.0,0.0
ヱヴァンゲリヲン ～約束の扉～,BT,0,0.0,0.0,0.0,0.0
七つの魔剣が支配する,AT系,5,1.0,1.0,100.0,0.0
不二子BT,BT,0,0.0,0.0,0.0,0.0
主役は銭形5,AT系,5,1.0,1.0,100.0,0.0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,BT,0,0.0,0.0,0.0,0.0
化物語,AT系,0,0.0,0.0,0.0,0.0
北斗の拳 転生の章2,AT系,2,1.0,1.0,100.0,0.0
吉宗,AT系,3,1.0,1.0,100.0,0.0
咲‐Saki‐ 頂上決戦,AT系,0,0.0,0.0,0.0,0.0
回胴黙示録カイジ 狂宴,AT系,4,1.0,1.0,100.0,0.0
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,AT系,2,1.0,1.0,100.0,0.0
戦国†恋姫,BT,1,2.0,2.0,0.0,100.0
戦国乙女4 戦乱に閃く炯眼の軍師,AT系,7,1.0,1.0,100.0,0.0
押忍!番長ZERO,AT系,0,0.0,0.0,0.0,0.0
押忍！番長4,AT系,6,1.0,1.0,100.0,0.0
攻殻機動隊,AT系,5,1.0,1.0,100.0,0.0
新ハナビ,BT,0,0.0,0.0,0.0,0.0
新鬼武者3,AT系,1,1.0,1.0,100.0,0.0
東京リベンジャーズ,AT系,2,1.0,1.0,100.0,0.0
東京喰種,AT系,1,1.0,1.0,100.0,0.0
機動戦士ガンダムユニコーン 覚醒DRIVE,AT系,0,0.0,0.0,0.0,0.0
沖ドキ!DUO アンコール,AT系,0,0.0,0.0,0.0,0.0
沖ドキ!ゴージャス 30Φ,AT系,0,0.0,0.0,0.0,0.0
無職転生 ～異世界行ったら本気だす～,AT系,1,1.0,1.0,100.0,0.0
甲鉄城のカバネリ,AT系,1,1.0,1.0,100.0,0.0
甲鉄城のカバネリ 海門(うなと)決戦,AT系,0,0.0,0.0,0.0,0.0
痛いのは嫌なので防御力に極振りしたいと思います。,AT系,5,1.0,1.0,100.0,0.0
真・一騎当千,AT系,3,1.0,1.0,100.0,0.0
真打 吉宗,AT系,0,0.0,0.0,0.0,0.0
範馬刃牙,AT系,0,0.0,0.0,0.0,0.0
絶対衝激IV,AT系,0,0.0,0.0,0.0,0.0
翔べ！ハーレムエース,BT,0,0.0,0.0,0.0,0.0
荒野のコトブキ飛行隊,AT系,0,0.0,0.0,0.0,0.0
虚構推理,AT系,1,1.0,1.0,100.0,0.0
転生したら剣でした,AT系,0,0.0,0.0,0.0,0.0
鉄拳6,AT系,2,1.0,1.0,100.0,0.0
銀河英雄伝説 Die Neue These,AT系,5,1.0,1.0,100.0,0.0
防空少女ラブキューレ2～極限の共鳴～,AT系,11,1.1818181818181819,1.0,81.81818181818183,18.181818181818183
革命機ヴァルヴレイヴ,AT系,9,1.0,1.0,100.0,0.0
革命機ヴァルヴレイヴ2,AT系,2,1.0,1.0,100.0,0.0
麻雀格闘倶楽部 覚醒,AT系,6,1.1666666666666667,1.0,83.33333333333334,16.666666666666664
