entity,machine_type,high_anomaly_days,normal_days,rank_pct_high_anomaly_mean,rank_pct_normal_mean,change_pct,enough_high_sample_ge5
ゴーゴージャグラー3,A型,9,302,0.5269647133643613,0.4736568040511995,-0.11254543132753056,1
シャーマンキング,AT系,9,302,0.2706099967786026,0.5690212552468807,0.5244290186292017,1
ジャグラーガールズ,A型,9,302,0.478508304008406,0.4632958647278467,-0.032835258068827235,1
スマスロ サンダーV,BT,5,75,0.5385588895692999,0.45476639223424276,-0.1842539351322535,1
スマスロ ハナビ,BT,6,102,0.6095461658841941,0.4756163556121231,-0.28159210399672213,1
スマスロ北斗の拳,AT系,9,302,0.522386070067995,0.3758320035762439,-0.38994568077548003,1
スマスロ炎炎ノ消防隊,AT系,5,261,0.13689241012610578,0.5372626159796204,0.7452039169401312,1
スマスロ炎炎ノ消防隊2,AT系,6,102,0.4973804177723345,0.6117810991172001,0.1869961028706931,1
スマスロ秘宝伝,AT系,3,114,0.44861660079051385,0.5706267332125455,0.21381776443443576,0
スマート沖スロ ニューキングハナハナV,A型,3,88,0.5410628019323672,0.5080174272367949,-0.06504771868814133,0
スーパーブラックジャック,AT系,9,302,0.37470678447791117,0.48828660159484105,0.2326089160463458,1
ソードアート・オンライン,AT系,9,302,0.5127251486521236,0.42573281629035203,-0.20433551051991805,1
ゾンビランドサガ,AT系,9,302,0.32911620285319,0.5414920618061437,0.3922049350909693,1
ダーリン・イン・ザ・フランキス,AT系,3,172,0.4532527657527658,0.6026561393463249,0.24790815830003904,0
ディスクアップ ULTRAREMIX,BT,9,302,0.5714470253055934,0.42011764756181247,-0.3602071434562045,1
