entity,n_obs,adf_stat,p_value,used_lag,is_stationary_5pct
化物語,166,-7.7109818205463485,1.264101590034297e-11,1.0,1
北斗の拳 転生の章2,139,-12.08790113247143,2.1561522372195157e-22,0.0,1
吉宗,237,-17.84729281136626,3.089349106807522e-30,0.0,1
咲‐Saki‐ 頂上決戦,126,-8.481852289626302,1.3862916815624677e-13,1.0,1
回胴黙示録カイジ 狂宴,63,-6.419371781215744,1.8074989265412564e-08,1.0,1
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,320,-6.373825739256294,2.309913248248933e-08,10.0,1
戦国†恋姫,188,-13.497977360841368,3.0156508811525313e-25,0.0,1
戦国乙女4 戦乱に閃く炯眼の軍師,320,-4.842551549672313,4.505889526080396e-05,10.0,1
押忍!番長ZERO,92,-9.535215868062252,2.8206632984289686e-16,0.0,1
押忍！番長4,92,-9.474764444921046,4.017122518310862e-16,0.0,1
攻殻機動隊,111,-9.920861010986659,2.9936203578312546e-17,0.0,1
新ハナビ,320,-17.26416966051259,5.915751851515705e-30,0.0,1
新鬼武者3,228,-15.734023121580819,1.2792156368227666e-28,0.0,1
東京リベンジャーズ,257,-17.491925311325296,4.432157383884144e-30,0.0,1
東京喰種,320,-16.759808800327882,1.3130017102175175e-29,0.0,1
機動戦士ガンダムユニコーン 覚醒DRIVE,34,-5.787987950490497,4.947732935499874e-07,0.0,1
沖ドキ!DUO アンコール,153,-4.10820389833628,0.0009387211782681523,8.0,1
沖ドキ!ゴージャス 30Φ,167,-12.935203589679839,3.630138445939589e-24,0.0,1
無職転生 ～異世界行ったら本気だす～,153,-12.231884145229257,1.0490629781471035e-22,0.0,1
甲鉄城のカバネリ,320,-18.358491120888267,2.2295641450578315e-30,0.0,1
甲鉄城のカバネリ 海門(うなと)決戦,83,-9.677295736335976,1.2310245691156202e-16,0.0,1
痛いのは嫌なので防御力に極振りしたいと思います。,320,-18.770942456507996,2.0252125811059197e-30,0.0,1
真・一騎当千,154,-13.303356759813838,6.975966858719919e-25,0.0,1
真打 吉宗,48,-7.007346410345152,7.06600736877316e-10,0.0,1
範馬刃牙,84,-4.130220310484374,0.0008629292592554464,5.0,1
絶対衝激IV,47,-7.897445035381861,4.273221063779176e-12,0.0,1
翔べ！ハーレムエース,77,-6.817737571415967,2.0387156487394955e-09,1.0,1
荒野のコトブキ飛行隊,50,-5.50054257739421,2.076085771385893e-06,6.0,1
虚構推理,48,-7.84670696189175,5.7434998876209185e-12,0.0,1
転生したら剣でした,64,-8.586939472541996,7.46321850784953e-14,0.0,1
鉄拳6,126,-9.41249711108256,5.78483712884119e-16,0.0,1
銀河英雄伝説 Die Neue These,83,-8.202444713481011,7.170307800254089e-13,1.0,1
防空少女ラブキューレ2～極限の共鳴～,154,-5.591351373960136,1.3268924606016356e-06,2.0,1
革命機ヴァルヴレイヴ,284,-17.429892250335463,4.7735954042607596e-30,0.0,1
革命機ヴァルヴレイヴ2,200,-10.201998287568282,5.936867652517081e-18,1.0,1
麻雀格闘倶楽部 覚醒,83,-9.121246316942406,3.2008687897670755e-15,0.0,1
