entity,machine_type,mean_diff,median_diff,std_diff,n_days
バベル,AT系,52.7777777777778,-116.66666666666666,1232.2647568507473,12
バンドリ！,AT系,520.78125,-150.0,2607.614425629447,320
バーサスリヴァイズ,BT,260.41666666666663,158.33333333333331,719.3614132769966,320
バーニングエクスプレス,AT系,389.09090909090907,-300.0,2403.502284651136,55
ビッグドリーム THE GOLDEN PUSHER,AT系,-1054.9450549450548,-1142.857142857143,2103.3650246691773,13
ファンキージャグラー2,A型,277.95572916666663,143.75,620.6218112817313,320
プリズムナナ,AT系,-50.0,-400.0,2018.0056494833705,166
マイジャグラーV,A型,218.96929824561403,137.71929824561403,506.9630559352702,320
マギアレコード 魔法少女まどか☆マギカ外伝,AT系,269.84265581232495,143.20728291316527,777.6739292501414,320
マジカルハロウィン ボーナストリガー,BT,-117.94871794871796,-100.0,778.221953139241,104
マジカルハロウィン8,BT,373.4375,200.0,1239.8607196907137,320
マタドールIII,BT,-50.0,-150.0,724.644943484495,35
ミスタージャグラー,A型,218.07291666666666,133.33333333333334,573.7849077891931,320
ミリオンゴッド‐神々の軌跡‐,AT系,-1104.1307189542483,-1214.0,907.6607070926017,34
モンキーターンV,AT系,355.74686986863713,261.9047619047619,639.1101186592452,320
モンスターハンターライズ,AT系,293.51762991289047,112.5,1123.411805962945,320
ヨルムンガンド,AT系,-512.5,-550.0,1219.5543308756057,48
ラブ嬢3～Wご指名はいかがですか?～,AT系,581.7460317460317,400.0,1976.7662903636003,63
ルパン三世 大航海者の秘宝,AT系,1263.3333333333333,1450.0,3057.570619828444,15
ヱヴァンゲリヲン ～約束の扉～,BT,109.97285559174809,50.0,657.2781933426517,307
七つの魔剣が支配する,AT系,341.5699404761905,158.33333333333331,1399.1684752662109,320
不二子BT,BT,115.74074074074073,-50.0,950.1666499123132,153
主役は銭形5,AT系,-1.7182130584192565,-200.0,1831.9950910002322,194
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,BT,330.9375,262.5,801.1892977020793,320
化物語,AT系,-166.40089770848098,-157.3529411764706,1073.773430190582,166
北斗の拳 転生の章2,AT系,68.1239623685667,-100.0,1144.116750884485,139
吉宗,AT系,288.1589724497394,0.0,1580.7220107295752,237
咲‐Saki‐ 頂上決戦,AT系,-201.45502645502646,-466.66666666666663,1252.955652032904,126
回胴黙示録カイジ 狂宴,AT系,992.8571428571429,850.0,1861.3829653724679,63
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,AT系,302.1953125,120.0,1096.0649572068392,320
戦国†恋姫,BT,122.87234042553192,0.0,1246.8819912860333,188
戦国乙女4 戦乱に閃く炯眼の軍師,AT系,404.62650240384613,170.0,1322.33391775487,320
押忍!番長ZERO,AT系,638.4057971014493,608.3333333333333,1352.5464139071555,92
押忍！番長4,AT系,875.9963768115942,337.5,1931.8584285026473,92
攻殻機動隊,AT系,-17.71771771771771,-166.66666666666666,1992.3075287940085,111
新ハナビ,BT,254.140625,218.75,471.6631720563056,320
新鬼武者3,AT系,107.76665929529707,-24.789915966386555,1143.7442026202973,228
東京リベンジャーズ,AT系,116.04928761886876,-30.76923076923077,998.6794796010461,257
東京喰種,AT系,-51.791158536585364,-123.17073170731707,793.0231106382851,320
機動戦士ガンダムユニコーン 覚醒DRIVE,AT系,-294.81792717086836,-364.2857142857143,845.8085936385662,34
沖ドキ!DUO アンコール,AT系,-15.507912566736094,-121.42857142857143,957.4837467524801,153
沖ドキ!ゴージャス 30Φ,AT系,-155.0605555805682,-257.14285714285717,669.1609519062281,167
無職転生 ～異世界行ったら本気だす～,AT系,-108.79629629629629,-275.0,1492.7790186581979,153
甲鉄城のカバネリ,AT系,445.5338541666667,300.0,985.7501820635147,320
甲鉄城のカバネリ 海門(うなと)決戦,AT系,-287.31396172927003,-247.05882352941177,737.8191833895306,83
痛いのは嫌なので防御力に極振りしたいと思います。,AT系,420.515625,255.0,1157.9008814081421,320
真・一騎当千,AT系,265.90909090909093,-125.0,2243.120962367442,154
真打 吉宗,AT系,-343.75,-426.66666666666663,979.8054578458858,48
範馬刃牙,AT系,-75.29761904761905,-56.25,1071.6534773031576,84
絶対衝激IV,AT系,-506.7375886524823,-700.0,1561.3883855443846,47
翔べ！ハーレムエース,BT,543.7229437229437,366.6666666666667,1327.3578793127635,77
荒野のコトブキ飛行隊,AT系,-154.5,0.0,1026.2460072258204,50
虚構推理,AT系,-432.9166666666667,-460.0,1308.8340732138943,48
転生したら剣でした,AT系,-113.28125,-285.0,886.6649743762943,64
鉄拳6,AT系,82.31418493323254,-88.88888888888889,1201.7305345598045,126
銀河英雄伝説 Die Neue These,AT系,11.44578313253012,-300.0,2022.620934627993,83
防空少女ラブキューレ2～極限の共鳴～,AT系,790.9090909090909,200.0,2306.6078320832794,154
革命機ヴァルヴレイヴ,AT系,280.8878269617706,70.83333333333334,1815.7167770690305,284
革命機ヴァルヴレイヴ2,AT系,-13.383333333333335,-101.66666666666667,870.9552267363351,200
麻雀格闘倶楽部 覚醒,AT系,309.6385542168675,-200.0,1921.928303644312,83
