hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,シャーマンキング,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=79 < 200; window1_n=87 < 200
レイトギャップ,シャーマンキング,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=79 < 200; window1_n=87 < 200
レイトギャップ,ジャグラーガールズ,hit104,2026-04-02..2026-06-30,356,0.2100633526735057,0.1284258181245409,11.0,2026-01-02..2026-04-01,358,0.8917963570380818,0.0,13.0,31,0.15345384645102175,0.4098359575300231,False,False,
レイトギャップ,ジャグラーガールズ,plus,2026-04-02..2026-06-30,356,0.11838774214766229,0.1614294940802848,15.0,2026-01-02..2026-04-01,358,0.482494323402041,0.0,16.0,31,0.21777517094392637,0.23924191573766004,False,False,
レイトギャップ,スマスロ サンダーV,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=4 < 200
レイトギャップ,スマスロ サンダーV,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=4 < 200
レイトギャップ,スマスロ ハナビ,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=116 < 200
レイトギャップ,スマスロ ハナビ,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=116 < 200
レイトギャップ,スマスロ北斗の拳,hit104,2026-04-02..2026-06-30,545,0.8131603848952969,0.0,2.0,2026-01-02..2026-04-01,1166,0.005126350405284159,0.14217310770583858,17.0,31,0.025630680782463933,0.8911387211713913,False,False,
レイトギャップ,スマスロ北斗の拳,plus,2026-04-02..2026-06-30,545,0.8666631950267947,0.0,31.0,2026-01-02..2026-04-01,1166,0.0030825801342161175,0.1479874880696013,13.0,31,-0.05189299630058058,0.78159472971643,False,False,
レイトギャップ,スマスロ炎炎ノ消防隊2,hit104,2026-04-02..2026-06-30,886,0.6686610862097139,0.0,12.0,2026-03-04..2026-04-01,232,0.5234780316919707,0.0,1.0,29,0.25022460596576557,0.1904768269262144,False,False,
レイトギャップ,スマスロ炎炎ノ消防隊2,plus,2026-04-02..2026-06-30,886,0.33516611267774793,0.055012366324063686,16.0,2026-03-04..2026-04-01,232,0.9060858021588625,0.0,8.0,29,0.43210383598678503,0.019240077419278533,False,False,
レイトギャップ,スマスロ秘宝伝,hit104,2026-04-02..2026-06-30,215,0.6451067577218896,0.0,1.0,2026-01-21..2026-04-01,277,0.6838086366988464,0.0,9.0,30,-0.01251693512275413,0.9476585815905045,False,False,
レイトギャップ,スマスロ秘宝伝,plus,2026-04-02..2026-06-30,215,0.604011533723411,0.0,19.0,2026-01-21..2026-04-01,277,0.5263215654197089,0.0,14.0,30,0.22335398016044844,0.23544918930663222,False,False,
レイトギャップ,スマート沖スロ ニューキングハナハナV,hit104,2026-04-02..2026-06-30,,,,,2026-02-04..2026-04-01,,,,,,,,False,False,skip: window1_n=157 < 200
レイトギャップ,スマート沖スロ ニューキングハナハナV,plus,2026-04-02..2026-06-30,,,,,2026-02-04..2026-04-01,,,,,,,,False,False,skip: window1_n=157 < 200
レイトギャップ,スーパーブラックジャック,hit104,2026-04-01..2026-06-29,239,0.11483376559122863,0.19850398475074274,12.0,2026-01-01..2026-03-31,231,0.1483092501024185,0.18563661904717305,29.0,30,0.1300112112509984,0.49349686958075784,False,False,
レイトギャップ,スーパーブラックジャック,plus,2026-04-01..2026-06-29,239,0.06968877239663435,0.22463125304706538,12.0,2026-01-01..2026-03-31,231,0.5463145300600325,0.0,26.0,30,0.2042829926507595,0.2788839809343184,False,False,
レイトギャップ,スーパーリオエース2,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=76 < 200; window1_n=0 < 200
レイトギャップ,スーパーリオエース2,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=76 < 200; window1_n=0 < 200
レイトギャップ,ソードアート・オンライン,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-03-31,,,,,,,,False,False,skip: window0_n=78 < 200; window1_n=81 < 200
レイトギャップ,ソードアート・オンライン,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-03-31,,,,,,,,False,False,skip: window0_n=78 < 200; window1_n=81 < 200
レイトギャップ,タクトオーパス デスティニー,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 200; window1_n=0 < 200
レイトギャップ,タクトオーパス デスティニー,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 200; window1_n=0 < 200
レイトギャップ,ダンベル何キロ持てる？,hit104,2026-06-01..2026-06-30,,,,,2026-01-02..2026-01-04,,,,,,,,False,False,skip: window0_n=27 < 200; window1_n=3 < 200
レイトギャップ,ダンベル何キロ持てる？,plus,2026-06-01..2026-06-30,,,,,2026-01-02..2026-01-04,,,,,,,,False,False,skip: window0_n=27 < 200; window1_n=3 < 200
レイトギャップ,チバリヨ2プラス,hit104,2026-04-02..2026-06-30,376,0.304707429583238,0.094342087956018,17.0,2026-01-02..2026-04-01,318,0.8605537183966704,0.0,5.0,31,0.09990894202729954,0.5928220046205985,False,False,
